href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.dk/20180313/rejected-asylum-seekers-at-danish-expulsion-centre-missed-registration-10000-times-report,asylum seeker,484,"
				13 March 2018
				11:52 CET+01:00			 
					11:52 CET+01:00				", The Local,"Rejected asylum seekers at Danish expulsion centre missed registration 10,000 times: report","Rejected asylum seekers and other foreign citizens facing deportation due to criminality at the controversial Kærshovedgård expulsion centre failed to meet registration requirements on thousands of occasions, according to a report.
Residents at the Jutland centre are not incarcerated but are required to live at the centre and register with authorities there up to seven times weekly.
But registrations have been missed 10,057 times since the centre was opened in 2016, Central and West Jutland Police have confirmed according to a report by newspaper Jyllands-Posten.
Some have absconded completely while others have absented themselves for long or short periods before returning, according to the report.
As such, a single individual can be responsible for large quantities of missed registrations.
243 people have been charged by police for failing to register, while other charges for failure to comply with rules relating to staying on the site have also been made.
The so-called udrejsecenter (departure or expulsion centre) houses rejected asylum seekers who have not yet left Danish territory, for example due to being stateless or because no readmission arrangement exists between Denmark and their home country.
Others do not agree with the outcome of their asylum application or are unable to be voluntarily returned to their home countries due to the danger they believe that will place them under.
The facility is home to 189 people at the time of writing.
In October 2017, residents at the centre protested at what they called 'intolerable' circumstances surrounding their status.
An expert told The Local that living conditions at the centre had been proven by studies to cause psychological damage.
READ ALSO: Denmark rejected asylum seekers hunger strike against 'intolerable' circumstances
Denmark's prosecution service has now designated a special prosecutor to deal with the missed registration cases, according to Jyllands-Posten, with two days since the turn of the year having seen cases at Herning City Court.
63 foreign citizens have reportedly been prosecuted over the issue, with fines and short prison sentences given to some while others have been acquitted.
Defence lawyer Kaare Kristensen criticised the legal process as futile, with the majority of residents having no means of earning money or paying back the fines given their status as non-residents.
Kristensen and fellow defence lawyer Jakob Fastrup both said that they had experienced clients being pleased to receive prison sentences. The individuals said that prison was a preferable place to be detained than the isolated expulsion centre, according to Jyllands-Posten's report.
Immigration minister Inger Støjberg told Jyllands-Posten that residents of the centre had ""no business being in Denmark"".
""Until we can get them out, we need to keep track of where they are staying, namely at Kærshovedgård. If they don't stay there, we''ll punish them and put them in prison,"" the minister added.
READ MORE:
Danish immigration minister escorted from deportation centre as tensions boil over
VIDEO: Protests in Danish cities over controversial asylum expulsion centres"
https://www.thelocal.dk/20180514/sweden-based-asylum-seeker-to-remain-in-detention-for-copenhagen-terror-plot,asylum seeker,256,"
				14 May 2018
				15:58 CEST+02:00			 
					15:58 CEST+02:00				",Ritzau/The Local,Sweden-based asylum seeker to remain in detention for Copenhagen terror plot ,"A Syrian man seeking asylum in Sweden and accused of planning a terror attack in Denmark will remain in police custody, the Copenhagen City Court ruled on Monday.
The 31-year-old man was arrested shortly before Christmas for his role in a failed terror plot that was hatched with a 21-year-old Syrian man in November 2016.
According to police, the two men planned to stab people at random in Copenhagen and then detonate one or more bombs in the Danish capital.
Their plan was thwarted when the younger man was stopped attempted to cross the border from Germany to Denmark. The 21-year-old, also a Syrian asylum seeker, was reportedly carrying 17,000 matches, two kitchen knives and six walkie-talkies when the German police arrested him.
The two men were reportedly recruited and brought together by Isis. The younger of the two was convicted by a German court in July 2016, when it was documented that he had declared in writing that he was willing to kill in the name of the terrorist group.
The foiled plot was an apparent suicide mission. When crossing into Denmark, the 21-year-old had no change of clothes and just a small amount of cash. Farewell letters and bomb-making instructions were found in his phone.
The 31-year-old who on Monday had his police custody extended through June 11th has declared himself innocent.
Monday’s court proceedings in Copenhagen occurred behind closed doors and prosecutor Sonja Hedegaard was unwilling to provide any additional details about the case, including when the man is expected to face trial."
https://www.thelocal.dk/20180705/harder-for-denmark-to-return-asylum-seekers-report,asylum seeker,353,"
				5 July 2018
				09:46 CEST+02:00			 
					09:46 CEST+02:00				",Ritzau/The Local,Harder for Denmark to return asylum seekers within EU: report,"It has become more difficult for Denmark to return asylum seekers to other European countries in which they were previously registered.
Ministry of Immigration and Integration figures show a drop in the proportion of people who left Denmark on this basis, newspaper Kristeligt Dagblad reports.
In 2013 and 2014, other European countries refused to accept returning asylum seekers in 10.7 and 22.5 percent of cases respectively.
That measure increased to 48 percent in 2016 and 34 percent in 2017.
Marlene Wind, a professor at the University of Copenhagen who specialises in EU law and politics, said she was surprised at the lack of agreement between Denmark and European countries on how to manage migrants that move between states.
“The Dublin rules state that there must be reciprocity in relation to asylum seekers whose cases have already been assessed in another EU country. That means it should be possible to send an asylum seeker back to the first country in which that person was registered,” Wind told Kristeligt Dagblad.
“So it surprises me that this is not working. But it shows, as experts have said for a year, that the Dublin Regulation is not working,” the professor continued.
Government leaders from across the EU last week met a summit in Brussels, where the issue of how to manage migration and refugees was top of the agenda.
At the summit, Germany secured an agreement with other EU countries to send some of its asylum seekers back to EU states in which they were originally registered after arriving in Europe, in accordance with the Dublin Regulation.
Researcher Catharina Sørensen of Danish thinktank Tænketanken Europa said one of the problems with returning asylum seekers was historical precedent.
“During the migration crisis [in 2015, ed.], several countries failed to register asylum seekers, who were then able to trickle up through Europe.
“Now Germany is pushing for the rules to be followed. But there is a risk of the system breaking down because there remains a strong desire to limit migration,” Sørensen told Kristeligt Dagblad.
READ ALSO: 'We can do it alone': Danish PM on foreign-based refugee expulsion centre"
https://www.thelocal.dk/20161224/two-per-cent-of-denmark-sweden-ferry-id-rejections-were-asylum-seekers,asylum seeker,482,"
				24 December 2016
				16:29 CET+01:00			 
					16:29 CET+01:00				", The Local,'Two percent' of Denmark-Sweden ferry ID rejections asylum seekers,"Of 10,000 people refused boarding at a passenger ferry that links Denmark and Sweden, only 200 were potential asylum seekers, says the company that runs the ferry.
The Swedish requirement for ID checks at the border between the two countries has resulted in 10,000 people being turned away from the ferry, that connects the Danish town of Helsingør with Helsingborg in Sweden.
Almost all of the rejections were due to normal travellers forgetting to bring their papers, reports Danish broadcaster DR.
ID and border checks were introduced on 4th January this year in an effort to prevent asylum seeker without papers from travelling to Sweden to seek asylum.
Only 200 hundred of the 10,000 recorded refusals during 2016 were potential asylum seekers, according to the report.
""The majority of the people we refuse boarding are Scandinavian citizens, mostly Swedes. We're obviously all used to travelling in a region where mobility is in flow,"" Henrik Rørbæk, administrative director of HH Ferries, told DR.
""It is a big procedure for the sake of relatively small figures. And in general, the flow of asylum seekers up here has not been very great. It also shouldn't be any secret that this is costing us large amounts each month,"" Rørbæk continued.
Rørbæk told DR that the ID checks cost the company three million Swedish kronor ($325,000) every month.
Over three million passengers passed through HH's ID checks in 2016, reports DR.
The company must pay fines of up to 50,000 kronor ($5,400) every time a passenger is stopped by Swedish border control without ID.
""Most people are understanding, but many others blame us for not being able to travel. So if I could have a little Christmas present, it would be that we found more convenient ways in which to maintain the border checks, so that they don't disadvantage individual travellers,"" said Rørbæk.
The director added that his company did not take any political position with regard to the ID checks.
Opposition party Enhedslisten (The Red-Green Alliance) decried the ID checks as a 'waste of resources'.
""These figures show that this border control is a bit silly. It does not stop criminals or asylum seekers, and in practice just cost money and inconveniences people,"" legal spokesperson Pernille Skipper told DR.
But Integration Minister Inger Støjberg told the broadcaster that she was not about to reconsider border control.
""We know that things can change very quickly and that a large number of asylum seekers who possibly want to travel on to Sweden might come here, and get stuck here, so as long as the Swedes maintain their ID checks, I see no reason why we should lift our border control,"" Støjberg said.
Martin Henriksen of the anti-immigration Danish People's Party told DR that if it was up to his party, it would ""always be necessary to show a passport to enter Denmark. Even for people coming from Sweden."""
https://www.thelocal.dk/20160718/asylum-seeker-arrested-for-raping-teen-in-denmark,asylum seeker,235,"
				18 July 2016
				11:38 CEST+02:00			 
					11:38 CEST+02:00				", The Local,Asylum seeker arrested for raping teen in Denmark,"A 24-year-old asylum seeker from Iran made an initial court appearance on Monday to face charges of having raped a 19-year-old woman over the weekend.
The assault took place in the southern Jutland town of Haderslev, where local Danish women earlier this year reported that they had been sexually harassed by asylum seekers.
Police confirmed that the man has sought asylum in Denmark and currently resides in Beredskabscenter Haderslev, one of the 80 asylum centres across the country.
The man’s Monday court appearance was held behind closed doors and a police spokesman told broadcaster TV2 that the suspect would neither speak to police or the court.
South Jutland Police said that the rape occurred at a school building in Haderslev at 3.30am on Saturday.
“We received a report from a concerned resident who had heard yelling and screaming from the school. We therefore quickly dispatched officers to the scene, where a shocked woman was seen coming out from Sønder Otting Skole,” spokesman Anders Hansen told Jydske Vestkysten.
Police said the man was still on the scene when officers arrived.
“He was nearly caught in the act because he stood there practically zipping his pants up when we found him,” Hansen said.
The 19-year-old victim was taking to a nearby hospital where personnel confirmed that she had been raped.
The 24-year-old asylum seeker will be held in detention until August 11th as police continue their investigation."
https://www.thelocal.dk/20180806/syrian-asylum-seeker-remains-detained-in-denmark-over-terror-case,asylum seeker,290,"
				6 August 2018
				16:29 CEST+02:00			 
					16:29 CEST+02:00				",Ritzau/The Local,Syrian asylum seeker remains detained in Denmark over terror case,"A judge at Copenhagen City Court on Monday extended the custody of a Syrian citizen suspected of being involved in plans to commit terrorism.
There is reason to believe that the 31-year-old from Syria intended to commit an act of terror in Copenhagen in November 2016, the judge found, and thereby extended the man’s custody by a further four weeks.
The man, who is an asylum seeker in Sweden, was arrested on December 21st 2017.
Police believe he was working together with a 21-year-old compatriot who was given a prison sentence in Germany in 2017 in connection with the same case. The 21-year-old was sentenced to six and a half years in jail.
According to charges raised by Copenhagen Police against the 31-year-old, the pair planned to attack members of the public in Copenhagen with knives before then detonating one or more bombs.
The plans were foiled when the 21-year-old was stopped at the border with Denmark and later arrested by police in Germany.
During his trial in Germany, it was revealed that the Islamic State (Isis) terror group put the two individuals in contact with each other.
Evidence showed that the 21-year-old had declared himself prepared to kill in the name of Isis, the court in the German case heard.
“We must assume that there was an intention to detonate several bombs,” the judge in that court case said.
Prosecution lawyer Sonja Hedegaard declined on Monday to confirm when a decision would be made over whether the man will be indicted in the case.
Court proceedings in the case have thus far taken place behind closed doors. As such, the nature of evidence against him is unclear.
READ ALSO: Denmark extends detention of Syrian who 'planned terror' in Copenhagen"
https://www.thelocal.dk/20180118/one-week-after-minister-admitted-mistakes-ill-asylum-seeker-returns-to-denmark,asylum seeker,413,"
				18 January 2018
				14:50 CET+01:00			 
					14:50 CET+01:00				", The Local,"One week after minister admitted mistakes, ill asylum seeker returns to Denmark","A refugee from Afghanistan who is suffering from heart disease has returned to Denmark, where he was previously refused asylum, a week after immigration minister Inger Støjberg admitted incorrect practise by her ministry.
During a parliamentary consultation last week, Støjberg said that her ministry had acted incorrectly in taking more than a year to adjust its processes to comply with a European Court of Human Rights (ECHR) ruling over the deportation of seriously ill asylum seekers.
Broadcaster DR reported on Thursday that Afghan national Naser Hosseini, who has a heart condition, has returned to Denmark despite having previously been refused humanitarian asylum.
Hosseini is unable to obtain the necessary medicine for his condition in Kabul, according to DR’s report.
The ECHR ruling, known as the Paposhvili ruling, is based on a Belgian case involving a man from Georgia. The EU court found that Belgium could not deport the man given his seriously, although not terminally ill condition.
According to the ruling, generally available treatment for the relevant condition in the country to which rejected asylum seekers are returned is not sufficient on its own for expulsion of seriously ill individuals.
The Ministry of Immigration and Integration, which determines cases related to the granting of humanitarian residence, did not become aware of the December 2016 ECHR ruling until March 2017, when it was notified by the Ministry of Justice, reports Ritzau.
Denmark’s Scandinavian neighbours Norway and Sweden had both already implemented the ruling into their practices by that time, according to previous reports. It was not until January this year that the Danish immigration ministry announced a four-week freeze on forced expulsions of rejected asylum seekers who are seriously ill while it further assesses the issue.
“In this instance, there was a regrettable course of events, which I as minister am obviously not satisfied with,” Støjberg said at last week’s hearing, adding that a heavy workload in her ministry was one of the reasons for the breakdown in correct practice.
The ECHR ruling has been reported to have been overlooked in 11 Danish cases, in which seven have already resulted in persons leaving Denmark or being deported.
Støjberg would not confirm whether Hosseini was one of those seven deportations, citing confidentiality in individual cases.
At last week’s parliamentary hearing, the minister confirmed that her department would seek to find out where the relevant persons are with a view to reviewing their cases.
READ ALSO: Immigration minister panned by opposition over ill refugee deportation scandal"
https://www.thelocal.dk/20170203/a-record-number-of-asylum-seekers-left-denmark-voluntarily-last-year,asylum seeker,287,"
				3 February 2017
				07:00 CET+01:00			 
					07:00 CET+01:00				", The Local,A record number of asylum seekers left Denmark voluntarily last year,"Throughout the course of 2016, 532 asylum seekers voluntarily left Denmark, numbers from the International Organization for Migration (IOM) released this week revealed.
According to broadcaster DR, which first reported on the statistics, that is the highest number ever and also the first time that asylum seekers leaving Denmark on their own accord outnumber those whose applications were rejected.
Three out of four of those who left did so before their cases had been processed. According to Jacob Jørgensen, an IOM spokesman in Copenhagen, most of those who left returned to Iran, Iraq or Afghanistan. There were also a significant number of voluntary returns among nationals of Russia and Ukraine.
Many cited long waiting times in Danish asylum centres, ill family members in their home countries and false expectations as the primary reasons for leaving.
“There are probably just as many reasons as there are people. We often hear about illness in the family causing people to want to quickly return home. Others are disappointed because their expectations, which may have been built up by human smugglers, did not match reality,” Jørgensen told news agency Ritzau.
The Danish Refugee Council cautioned against drawing the conclusion that those who left Denmark didn’t need help to begin with.
“Some of them may have travelled back and then left their home countries again to seek asylum again. But beyond that I would say that if people don’t want to seek asylum in Denmark then it is fine that they go back [home] again,” the council’s head of asylum, Eva Singer, told DR.
Denmark, with its population of 5.7 million, accepted 6,072 asylum seekers in 2016, a sharp drop-off from the roughly 21,000 who came to the Nordic nation in 2015."
https://www.thelocal.dk/20160216/danish-police-taking-mobile-phones-from-underage-asylum-seekers,asylum seeker,427,"
				16 February 2016
				13:03 CET+01:00			 
					13:03 CET+01:00				", The Local,Danish police taking asylum seekers' phones,"Danish police have taken the mobile phones of at least 55 unaccompanied minor asylum seekers in recent months, according to a report from Politiken.
Police officers are taking the phones in an attempt to verify the identity and home country of the asylum seekers, a Danish National Police spokesman confirmed.
“If you come to the country and say that you are from Syria but don’t have anything but your blank expression to prove it, then mobile phones are the best way to ensure that you’re telling the truth or whether all of your calls turn out to be to Ghana,” Richard Østerlund la Cour told Politiken.
He said that all of the minors get their phones back after police have confirmed their identities, but Politiken reported that some minors have been without their phones for months and left unable to contact their family members.
After the publication of Politiken’s report on Tuesday morning, a number of politicians called on police to speed up the process. La Cour later told broadcaster DR that police are also sometimes taking the phones of adult asylum seekers as well and there is therefore a backlog causing delays in returning them.
“Everyone is aware of the situation in the second half of 2015, when we received more asylum seekers than ever before and that has challenged us in terms of both resources and capacity,” he said.
Over 2,000 unaccompanied minors sought asylum in Denmark last year, compared to the historic yearly average of 250.
La Cour said the Danish National Police were “aware” of the problem and working on getting the phones back to asylum seekers “faster than we have thus far”.
According to Politiken's report, many of the minors have been without their phones for upwards of one month. In one case, the phone of an underage asylum seeker was held for six months but police found evidence on the phone to tie him to a human smuggling case.
Save the Children Denmark (Red Barnet) criticized the police for holding on to the phones of minors for so long.
“One makes the youths, who are already so vulnerable, even more marginalized by taking their phones. They lose their photos, emails, and the numbers for their family and friends and are suddenly left alone,” the organization’s senior consultant Gitte Jakobsen said.
The phone confiscations are not directly tied to Denmark’s recently-passed – and much-discussed – ‘jewellery law’ but rather under existing rules that allow police to take the phones if they are “assumed to be of importance for establishing a foreigner’s identity”."
https://www.thelocal.dk/20160810/man-threatens-to-blow-himself-up-at-danish-asylum-centre,asylum seeker,126,"
				10 August 2016
				12:47 CEST+02:00			 
					12:47 CEST+02:00				", The Local,Asylum seeker arrested after threatening to blow himself up,"A 22-year-old man who threatened to blow himself up at an asylum centre on the island of Funen has been arrested, police have announced.
The man was arrested without incident at 1.30pm following discussions with police mediators.
Initial questioning suggested ""love worries"" may have underpinned the man's threats, police said.
The 22-year-old Iranian resident climbed onto the asylum centre's roof shortly after 11am. Police and rescue personnel arrived at the scene and residents at the centre were evacuated.
The incident took place at Asylcentre Nyborg, which has room for up to 500 occupants.
Aircraft are now once again permitted to fly over the asylum centre after Funen Police earlier established a no-fly zone.
Police said they would not be making any additional comments for the time-being."
