href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.it/20180614/we-need-to-listen-to-italy-un-refugee-chief,refugee,527,"
				14 June 2018
				08:34 CEST+02:00			 
					08:34 CEST+02:00				",AFP,'We need to listen to Italy': UN refugee chief,"The UN refugee chief said on Wednesday Italy alone could not be blamed for a stand-off that has left hundreds of migrants stranded for days in the Mediterranean and Europe should do more to share the burden.
Italy's new populist government – which under the leadership of nationalist Interior Minister Matteo Salvini has taken a hardline stance on immigration – came under fire from its EU neighbours after refusing to let a foreign charity boat carrying 629 migrants dock in Italy.
The migrants aboard the Aquarius, run by French charity SOS Mediterranean, were stuck on the overloaded ship for over 30 hours as Italy and Malta bickered over who should take them. Spain then stepped in and offered the port of Valencia, where the Aquarius is heading.
""As a European I feel ashamed that there is a boat roaming around the sea,"" UN High Commissioner for Refugees Filippo Grandi told reporters in Geneva. ""I think that closing ports, whoever does it, threatens rescue at sea, as we have seen in the case of the Aquarius, and therefore is not the right solution,"" he said.
But he stressed that ""the reason why Italy said it had closed ports is something we need to listen to"".
Grandi, an Italian national himself, pointed out that Italy had taken the brunt of the massive numbers of migrants crossing the Mediterranean from Libya towards Europe in recent years.
READ ALSO:
Italy demands apology for France's 'hypocritical' criticism on migrants
What will Italy's new government mean for migrants?
Italy calls for tougher reforms of EU's asylum rules
Salvini has repeatedly vowed to stem the flow of migrants to Italy, which has seen more than 700,000 arrive on its shores since 2013. Under EU rules, migrants must apply for asylum in the European country where they first arrive. That has put pressure on Italy and Greece, the entry points for hundreds of thousands of people fleeing war and poverty.
""I think that Italy is right to say that they cannot all go to Italy,"" Grandi said.
EU states adopted a temporary quota system in 2015 as a form of solidarity with Greece and Italy during the height of Europe's migrant crisis. Under that plan, 160,000 refugees were supposed to be relocated to other members of the bloc, but so far only around 30,000 relocations have taken place.
""The relocation programme for Greece [and] Italy, sorry, was a failure,"" Grandi said. ""Unless Europe goes back to this notion of sharing the burden, we will not get out of this situation,"" he said.
The UN refugee chief said there was an urgent need to clarify states' responsibility when it comes to allowing disembarkation in the cases of large-scale rescues.
""We have to have predictable arrangements, so that rescue boats know where to go,"" Grandi said, warning that ""otherwise, this [could be] a disincentive to rescue, [and] people may lose their lives if this doesn't happen.""
Unless there is some clear division of responsibilities, ""you will have more Aquarius' happening in the next few weeks, and this is profoundly shameful,"" he said.
READ ALSO: Italian ship brings more than 900 rescued migrants to Sicily
Photo: Giovanni Isolino/AFP"
https://www.thelocal.it/20140827/refugees-protest-against-monotonous-italian-food,refugee,422,"
				27 August 2014
				12:24 CEST+02:00			 
					12:24 CEST+02:00				",The Local,Refugees protest against 'monotonous' Italian food,"A protest held by refugees against “monotonous” Italian food was “excessive”, especially at a time when thousands of Italians go hungry, the president of a police organization told The Local.
For two days, a group of about 40 asylum-seekers staying at a refugee centre in the Veneto province of Belluno refused to eat the “pasta with tomato sauce, bread and eggs” meals they were given and called to be fed food from their own countries, Libero Quotidiano reported.
To reinforce their point, they blocked a street with a wooden bench, put their lunch on the ground along with bags of clothes and threatened to leave the centre in La Secca, a hamlet in Ponte nelle Alpi.
They reportedly said “we do not eat this stuff”.
The refugees, said to have been staying at the centre for the past four months, also reportedly slashed the tyres of cars belonging to staff working there in protest against living conditions.
The protest, which follows similar ones at centres in Pozzallo in Sicily and Rome, was also partly sparked by “boredom”, the newspaper said, as they “do not know what to do with themselves”.
Police soon broke up the protest and the refugees resumed eating, but Antonio De Lieto, the president of Libero Sindicato di Polizia, a non-profit organization that represents staff of the state police force, told The Local that the action was “excessive”.
“There are thousands of Italians living in poverty and who aren’t even eating one meal a day, let alone two or three,” he said.
“They’re not complaining that the food isn’t good, but that it is not the food of their countries. But when you’re hosted in someone’s home, for example, you eat their food, right? It’s like on the many occasions I’ve been hosted in England, I don’t expect to eat spaghetti.”
Sam, a migrant from Gambia who has been staying at a centre on the outskirts of Rome for almost a year, told The Local that the food, which mainly consists of pasta, “is not good” and that some have started making their own meals.
“We need the diet from our country,” he said.
Sam, who paid a people smuggler €4,000 to travel to Italy, said he passes the days by travelling on buses throughout the capital.
“I don’t want to hang around the centre all day. I can’t work and even if I could, too many Italians are also looking for jobs. Once I get my documents I want to go somewhere else, maybe Germany or The Netherlands.”"
https://www.thelocal.it/20180604/salvini-in-sicily-to-push-new-tough-migration-line,refugee,784,"
				4 June 2018
				09:03 CEST+02:00			 
					09:03 CEST+02:00				",AFP,Italy cannot be 'Europe's refugee camp': Matteo Salvini,"Italy's new hardline interior minister Matteo Salvini said on Sunday that ""common sense"" was needed to stop the country from being ""Europe's refugee camp"" as he visited a migrant centre in the south.
The newly minted deputy prime minister in Italy's populist coalition government travelled to Sicily, one of the country's main refugee landing points, to push the anti-immigration platform that propelled him to power.
""Italy and Sicily cannot be Europe's refugee camp,"" he told a crowd of supporters under the blazing sun in the southern Sicilian town of Pozzallo, a migration hotspot.
""Nobody will take away my certainty that illegal immigration is a business... and seeing people make money on children who go on to die makes me furious,"" he added.
His comments came as more than 50 migrants drowned in the Mediterranean on Sunday, with 48 bodies found off Tunisia's southern coast and nine Syrians – including seven children – killed when their vessel sank off the coast of Turkey.
The port town of Pozzallo is also on the migration front line as one of the main landing points for refugees fleeing war, persecution and famine across North Africa and the Middle East.
A crowd of enthusiastic supporters and a smaller group of protesters had earlier gathered in front of the gates of the town's migrant centre, where Salvini would give his speech, trading insults and nearly coming to blows.
One protester brandished a sign saying ""refugees welcome"", while a supporter said ""we don't want any more pests"" and others simply chanted: ""Matteo, Matteo"".
READ ALSO:
'In a refugee home, right and wrong don't always go hand in hand with the law'
Migrants sue Italy for 'moral reparations' over abuses by Libya
Immigration in Italy: Fact-checking 5 common myths and assumptions
Photo: Carmelo Lenzo/AFP
After delivering his speech, Salvini went inside the centre to meet some of the 158 people who had landed in Pozzallo when they were rescued by a humanitarian boat on Friday.
The rescue operation, which was coordinated by the Italian coast guard, happened just hours after Salvini took his oath of office, and said he would ask his ministry's experts ""how to reduce the number of arriving migrants and increase the number of expulsions"".
""The good times for illegals is over – get ready to pack your bags,"" he said on Saturday.
However, while he retained the fighting tone that helped spur his rise to power, he did temper his words when it came to NGOs organising rescues at sea, which he has previously called ""smugglers"" and accused of complicity with people traffickers.
""I think it's better to spend money in the countries of origin, and now if there are NGOs that want to work for free, that's fine,"" Salvini said. The leader of the far-right League party also said the new government would ""not take a hard line on immigration but one of common sense"".
His fellow deputy prime minister, head of the anti-establishment Five Star Movement Luigi Di Maio, has also called rescue NGOs ""taxis on the sea"", although his rhetoric on immigration is more measured than that of the League.
Salvini is on the road seeking to rally support for his party's candidates in municipal elections later this month, as part of a broader effort to boost the traditionally northern party's profile in the country's poorer south.
READ ALSO: Here are the key proposals from the M5S-League government programme
M5S leader Luigi Di Maio and League leader Matteo Salvini. Photo: Tiziana Fabi/AFP
European Union interior ministers will meet on Tuesday to discuss possible reforms of the EU's controversial Dublin rule, whereby would-be refugees must file for asylum in the first bloc member-state they enter. However, Salvini said he would not be attending, as he will be in Italy's parliament for a confidence vote on the new coalition with Five Star.
Salvini has condemned the Dublin rule as unfairly burdening Mediterranean countries and leading to ""an obvious imbalance in management, numbers and costs"".
The accord does heavily penalize Italy, which has seen more than 700,000 migrants arrive since 2013. Previously, the vast majority would continue their journeys to northern Europe, but the introduction of EU-backed processing centres to ensure migrants are identified at their first European entry point and tighter border controls installed by France, Switzerland and Austria are now creating roadblocks along this well-worn route.
A controversial agreement between Italy's former centre-left government and authorities and militias in Libya has triggered a decline in overall arrivals of some 75 percent since the summer of 2017. But so far this year Italian authorities have still registered more than 13,500 arrivals.
READ ALSO: What will Italy's new government mean for migrants?
Photo: Louisa Gouliamaki/AFP
By Fanny Carrier"
https://www.thelocal.it/20160725/only-a-quarter-of-italian-municipalities-host-migrants-study,refugee,467,"
				25 July 2016
				13:50 CEST+02:00			 
					13:50 CEST+02:00				",The Local,Only a quarter of Italian towns host refugees: study ,"In spite of Italy's position on the front line of the Mediterranean refugee crisis, just one in four of the country's municipalities has housed refugees and asylum seekers, according to a report in Italian newspaper La Stampa.
According to the report, just 2,026 of the country's 8,000 municipalities currently host migrants on humanitarian grounds, meaning the refugee burden is being unfairly shared across the country.
Since the start of 2015, more than 220,000 refugees have landed in Italy, with more than 80,000 arriving since January 2016.
Huge arrival numbers and slow processing times mean there are currently 101,113 people being housed, fed and in many cases, educated, by a mere quarter of the country's local councils.
A map showing the distribution of asylum seekers as of June 20th this year can be seen below.
Source: La Stampa
As its base, the map used fresh guidelines set by Italy's Interior Ministry last week, which stated that areas involved in the ministry-funded Sprar project (Protection System for Refugees and Asylum Seekers) should limit numbers to two or three migrants for every 1,000 residents, following complaints from overwhelmed local councils.
The green areas of the map represent municipalities in which the number of refugees is less than 2.5 per 1,000 citizens, the yellow areas where refugee numbers average 2.5 per 1,000, and the areas that exceed the new threshold are shown in red.
For example, Sant'Arcangelo, a town of 6250 people in the southern region of Basilicata hosts no refugees whatsoever, but Salemi, a town of 11,000 in Western Sicily, hosts 232.
According to new guidelines, Salemi therefore hosts 760 percent more asylum seekers than it's capable of supporting.
An interactive version of the map can be found here. Clicking on each municipality will bring up the precise number of asylum seekers living there.
Although new guidelines have been established, the rules only affect council's enrolled in the Interior Ministry's Sprar project, of which there are just 800. Some 1226 others are hosting migrants on a voluntary basis, which has in part contributed to the large scale un-evenness of distribution.
Earlier this month, Luca Zaia, The regional governor of Italy's northeastern Veneto province, said he was working to stop councils hosting more migrants after it emerged there were some 10,576 asylum seekers across the region.
“We are no longer prepared to let our territories suffer for the foolish policies of the Italian government and the EU,” said Zaia, who is a member of the anti-immigration Northern League party.
At the same time, the independent mayor of the Calabrian town of Brognaturo, which is home to 712 residents and 146 asylum seekers has said he would like to host even more.
“It hasn't been a problem – in fact it's a pleasure,” the town's independent mayor Giuseppe Iennarella told La Stampa."
https://www.thelocal.it/20150911/cara-mineo-italys-biggest-migrant-centre,refugee,784,"
				11 September 2015
				12:50 CEST+02:00			 
					12:50 CEST+02:00				",AFP,How Italy's Cara Mineo became a refugee ghetto,"Armed guards patrol the perimeter of Italy's biggest migrant centre, the focus of a fierce debate over whether the country should open large ""hotspot"" camps to process new arrivals and stem the flow of people across the continent.
The grisly murder of a local couple and subsequent arrest of an Ivory Coast man from the Sicilian centre sparked an outcry in a country tired of being on the frontline of Europe's largest refugee crisis since World War II.
The vast complex, a former US military base with streets evoking American suburbia, currently shelters just over 3,000 asylum seekers - down from nearly 4,000 in the past, but still too many, critics demanding its closure say.
""How do you control 4,000 migrants? The centre becomes a town in itself, which doesn't help integration,"" said Anna Aloisi, mayor of the nearby town of Mineo, perched high above the centre.
Beyond 10-foot razor wire fences, migrants divided by ethnicity and religion live in 403 yellow and pink houses, sleeping several to a room on foam mattress, eating in the canteen or cooking over small electric stoves in their back gardens.
The community is cut off from the rest of the world: for miles around, there is nothing but fields, orange groves, dust.
""There's talk of prostitution, of drug trafficking, there is certainly a lively black market,"" Angela Lupo, a legal adviser for the Italian Council for Refugees (CIR) told AFP.
""The residents sell clothes, food, cigarettes and phonecards at bazaars dotted around the centre, there's even an illicit restaurant and a migrant-run taxi service. The controls are few and far between,"" she said.
Adawiah, a 23-year-old from Ghana who filed his request for asylum nearly 12 months ago, pleaded to be released from the limbo he lives in: ""We make the life we can, we have a message for Italy, 'You must do more, quickly, please.'""
Fear, jealousy, anger
Revelations that organised crime groups had infiltrated the centre's management left the government red-faced and minister Maria Elena Boschi promised parliament this week the camp was under review and closure was an option.
Countries such as Britain, France and Germany have urged the EU to set up further centres in Italy and Greece to fingerprint migrants and help separate asylum-seekers fleeing war from those motivated by economic reasons.
European Commission President Jean-Claude Juncker this week detailed a plan under which Italy would open five so-called hotspots in its southern regions. But critics say human rights are at risk and the big camp model is not the answer.
""Mineo is a town of 5,000 people, but many of them are elderly and there are few youngsters. So the arrival of coloured migrants, all of them young, who hang around doing nothing, often make the townsfolk afraid,"" said mayor Aloisi, a member of Italy's New Centre Right party.
Elderly men sitting on benches in the town's cobbled square watch silently as Nigerians and Gambians barely out of their teens stroll past to a betting shop. Residents of the centre get 2.50 euro ($2.80) a day pocket money.
Maurizio Nalfo, a local who works for the forestry service but has not been paid in months, said the asylum seekers weren't seen as the problem by residents, ""It's politics which creates the disparity between Italians and migrants.""
It's a familiar tale, echoed across recession-hit Italy. ""The citizens see the migrants are taken care of, have a hot meal, a roof over their heads, when they struggle to have a hot meal themselves, it sparks jealousies, anger,"" Aloisi said.
The centre's director Sebastiano Maccarrone, 51, who previously worked at the infamous reception centre on the island of Lampedusa - closed in 2013 due to the dire conditions inside - insisted he has everything under control.
But CIR says many residents see little of the services which state funding should ensure - Italian lessons, legal help, medical care - and can only play football while waiting for their paperwork to be handled, which can take two years.
As the crisis intensified across Europe, Pope Francis called last week for Christian parishes to take in refugees -- a sentiment applauded by those in favour of doing away with unwieldy centres, as well as the migrants themselves.
""We don't have job, we don't do anything, we stay all day in the camp,"" said Nigerian Bright Aghama, 31, a regular at the centre's church, which has been situated some distance from the site's makeshift mosque.
Bright, who has been in the centre for over a year, said despite the daily struggle with boredom and uncertainty over the future, he was grateful for ""a place where I can lay my head, where I can have peace of mind."""
https://www.thelocal.it/20160107/italys-refugee-rugby-team-tries-for-success,refugee,376,"
				7 January 2016
				09:20 CET+01:00			 
					09:20 CET+01:00				",The Local,Italy's refugee rugby team tries for success,"The first Italian rugby team made almost exclusively of refugees has belatedly begun life at in Italy's lowest league, after receiving special permission from the Italian Rugby Federation to allow it to compete.
The new outfit, Le Tre Rose from Casale Monferrato in Piedmont, was initially forbidden from playing in the Serie C league because federation laws state that each squad can only have one foreign player, Il Fatto Quotidiano reported.
The rules were designed to support the development Italian rugby talent at grassroots level, but they had blocked the team from starting the season as 80 percent of the squad is made of African refugees who have fled wars and persecution to find a better life in Italy.
The squad was therefore forced to spend two months petitioning the Italian Rugby Federation and the Italian Olympic Committee (Coni) in order to get the go-ahead to compete.
The rules were finally waived in December.
The rugby federation said that special dispensation had been granted for Le Tre Rose as the squad represented an important opportunity for social integration.
“Support and solidarity for friends are without doubt characteristics of the sport and so we accepted their request,” the federation's president, Alfredo Gavazzi, said.
“Our primary aim is to promote the game of rugby and through the game teach values typical of the sport.”
Although the team has permission to compete, it will be prevented from advancing to Serie B should it finish in the playoff positions at the end of the season - due to its extreme majority of foreign players.
However, here is little risk of the team finishing anywhere near the top of Serie C.
Most of the refugees playing for Le Tre Rose hadn't seen a rugby ball before setting foot in Italy and had to learn the game from scratch with the help of enthusiastic local players.
In their first game, played at the end of December, the team lost 85-7 to Acqui Terme – one of the league's high flyers. They fared slightly better in their second outing against Novi Ligure going down just 37-0.
But clearly, at this stage at least, results don't matter.
“Above all else it's about playing,” club manager Luca Patrucco said. “Being here is already a miracle.”"
https://www.thelocal.it/20150904/how-to-help-refugees-if-you-live-in-italy,refugee,592,"
				4 September 2015
				13:01 CEST+02:00			 
					13:01 CEST+02:00				",The Local,How to help refugees if you live in Italy,"Thousands of people from Syria, Eritrea and elsewhere are still arriving every month on the country's shores. There are lots of ways you can help these refugees in their hour of need - here are some ideas from The Local.
Over 50,000 people arrived in Italy in the first half of the year - and while much of the world's focus has shifted to Greece, they keep coming. Many who arrive are traumatized - they may have lost loved ones and risked their own lives while crossing the Mediterranean. Many ordinary Italians have been quick to help - and you can contribute too. Here's how.
1. Donate money
One of the quickest ways to help is to get online and donate money. There are a host of organizations operating in Italy, so we’ve picked out just a few.
The UN’s refugee agency, UNHCR, has an Italy-specific page or a general English-language donation website.
There’s also Save the Children, which works with children as soon as they step on shore and in centres across Italy. They also have both a global and national donation page. Don’t miss Italy’s version of the Red Cross, the Croce Rossa.
The International Organization for Migration also has staff helping refugees in Italy.
Doctors Without Borders (MSF, Medici Senza Frontiere in Italian) has medical teams in Italy. They are also operating their own rescue ships and working alongside another organization, the Migrant Offshore Aid Station (MOAS), to help rescue people at sea.
2. Give gifts
Clothes, shoes, shampoo, tents and books are just some of the items people have donated to refugees. To find out where to donate take a look at your local church group, as religious organizations often run centres for refugees.
In Rome there’s the Joel Nafuma Refugee Center (JNRC) and the Centro Astalli, part of the Jesuit Refugee Service, amongst others. Outside of the Italian capital, Caritas is another Catholic charity with centres across the country. Or just contact your local religious leader to find out if there are any schemes in your area.
3. Give your time
A number of the organizations listed above accept volunteers. While some tasks can be done by just about anyone, such as handing out breakfast at a refugee centre, think hard about whether you have any particular skills which could be valuable.
Refugees not only need sustenance, but are also often in need of translators to help them communicate and councillors to help them overcome trauma.
Think long-term and consider whether you have experience in an area which could help refugees set up life in Italy, such as teaching a trade which could help someone get a job.
4. Take care of a child
By 20th July this year, 7,439 unaccompanied minors had arrived in Italy by sea during 2015. Their young age makes children even more vulnerable than adults who have made the journey.
While Save the Children is the most well-known organization focussed on helping underage arrivals, Sicilian group AccoglieRete can help arrange for you to become a legal guardian to a child in need. You could also consider becoming a foster parent.
5. Talk to people in power
If you want Italy to continue to save lives at sea and support refugees arriving in the country, tell the government. You can contact your local MP through the government’s own website, or get in touch with Italy’s political representatives at the EU.
If you’re a citizen of another EU country which you believe should be supporting Italy, you can also contact your own government directly."
https://www.thelocal.it/20160315/puglia-hoteliers-fear-possible-migrant-influx-will-deter-tourists,refugee,518,"
				15 March 2016
				16:48 CET+01:00			 
					16:48 CET+01:00				",Angela Giuffrida,Puglia fears potential refugee influx will deter tourists ,"Hoteliers in Puglia, the sun-kissed region in the heel of Italy's boot, fear the potential surge in refugees after the closure of the so-called ‘Balkans route' will damage the area's vital tourism sector.
Fears were stoked after Puglia's regional president, Michele Emiliano, said last week that as many as 150,000 refugees could arrive this year now that the route between Greece and northern Europe has been blocked.
The route closure could see refugees instead crossing to Puglia over the Strait of Otranto from Albania, which borders Greece.
The region's coastguard has been on high alert since Serbia and Macedonia shut off their borders last week.
Meanwhile, Italian authorities, worried about a repeat of 1991, when thousands of Albanian refugees made the same journey following the collapse of communism, have also despatched police officers to Albania to strengthen border controls.
“The situation is calm right now, but if it does reach significant proportions it will severely hurt tourism,” Francesco Caizzi, the president of Federalberghi, the Italian hotel association, for Bari province, told The Local, adding that hotel owners had voiced their concerns during a recent meeting.
Although hoteliers have not reported an impact on bookings so far, he warned that the region “needs to be prepared”.
“The tourism sector is strongly affected by certain influences – just look at what happened in Lampedusa, where tourism has been hurt since the island became a place for thousands of migrants.”
Interior Minister Angelino Alfano has moved to calm the fears, saying last week that there was no evidence, at least not as yet, of the number of refugee arrivals in Puglia intensifying.
Others in the region have also played down concerns, saying that Puglia, with its coastline stretching over more than 800km, is more than equipped to deal with large numbers of refugees.
“I've said this several times before – this refugee 'upheaval' is not happening,” Mauro Della Valle, the Salento president for Federbalneari, an association for beach-side resorts, told The Local.
“Also, the refugee phenomenon in Puglia is not new – it's been happening for years. We can't compare it to Lampedusa, which is small. Puglia has a long stretch of coastline.”
Della Valle added that town and city mayors are preparing for any increase in arrivals, with shelters being set up across the region.
A so-called 'hotspot' has also been established in the port of Taranto to help facilitate the speedy processing of refugee arrivals.
“This is a humanitarian emergency, and we will react how we've always done – by being welcoming. Besides, refugees don't want to stay here, they want to move on to northern Europe.""
But the route towards the likes of Germany from Italy is also looking increasingly precarious after Austria's Foreign Minister Sebastian Kurz called for further border controls on Sunday, saying that he wants to shut off the Italian Mediterranean route into Austria.
To date, the main route into Italy for refugees has been through Sicily. Eighty percent of the 153,000 who arrived in Italy in 2015 landed in Sicily from Libya and Egypt, according to figures from the International Organization for Migration (IOM)."
https://www.thelocal.it/20170421/working-in-a-refugee-home-right-and-wrong-dont-go-hand-in-hand-with-the-law,refugee,1087,"
				21 April 2017
				14:59 CEST+02:00			 
					14:59 CEST+02:00				",Catherine Edwards,"'In a refugee home, right and wrong don't always go hand in hand with the law'","“There's a huge contrast between the love tourists and so-called ‘expats' like me have for Tuscany, and the shock that asylum seekers have to absorb when they are told that they might have to spend several years in the Tuscan outback,” explains Katja Meier, who spent several years running a refugee centre in the Tuscan hills.
""Where I saw beauty they saw bush; where I saw peace and calm they saw boredom and lack of opportunities.""
The same may apply to young Italians who grow up in rural areas, but Meier says refugees facing additional culture and language barriers were acutely aware that opportunities for work and integration would be easier in northern Europe.
Meier, a trained actress from Switzerland who had moved to Italy to work as an olive picker, found herself running a Tuscan refugee centre in the midst of the migration crisis, and has now written a book about her experiences there.
As growing numbers of people who had risked the oversea journey arrived at Italy's shores, the women's shelter she had been volunteering at began to accommodate refugees. Since her English skills were a rare and valuable commodity in the Tuscan countryside, she was asked to oversee the running of the centre.
But despite being able to communicate with the refugees, Meier says that at the start, ""they were skeptical of anything I said or did"".
""They had learnt the hard way during their trip to Europe that it was best not to trust anybody,"" she explains.
Some of the women had been locked up and abused in Libya before managing to escape on a boat to make the dangerous oversea journey, while one of them, Hope, had been sold by her own aunt to a human trafficking ring.
Meier doesn't know what happened to Hope, whose phone number and Facebook account were deactivated after she had to leave the home.
""The best moments are when you feel you're able to make a difference, and it's hard when you realize that no matter how hard you might have been trying, it didn't change anything,"" she tells The Local.
Some of the time, making a difference could be something as simple as offering a listening ear, or helping arrange translators or doctors' appointments for the refugees - but other times, tasks were more difficult.
One young Gambian women asked for help travelling to join her cousin in Germany.
""This was usually a no go,"" says Meier, but the woman had survived a major shipwreck. More than four hundred people died when the boat she was on capsized, and all four of the family members she had travelled with were among them.
""In a situation like that, right and wrong didn't necessarily go hand in hand with house rules and European law,"" says Meier.
Katja Meier's olive grove. Photo: Private
The home she worked in was one of many opened up in Tuscany's countryside since the Arab Spring, as Italy found itself on the frontline of the migrant crisis.
""Italy really rose to the challenge, especially considering that for many years the EU just chose to look the other way,"" the author says.
But the subtitle of her book, 'Good intentions and hard lessons from an Italian refugee home', sums up her view of the Italian response to the crisis.
She explains: ""While there were good emergency solutions - both the homes on land and the response at sea - have their limitations and shouldn't have to become permanent ones. Now it's time for Italy and Europe to reflect and analyse the response.""
The end result of her own reflection is a book, rather than an article or blog, because she wanted to be able to ""tell the whole story"" and have space to explore intricacies without having them misinterpreted.
""If I say ‘working with refugees can be very challenging' my statement can be instrumentalized very easily in the current political climate - for this reason, the problems aren't always discussed very openly. But life is complex and most things worthwhile will also be challenging and difficult, this doesn't mean we should try to avoid them,"" explains Meier.
Meier doesn't shy away from talking about mismanagement, day-to-day bureaucracy, or the disagreements in the centre, though she notes that many of these were inevitable in a shared living space, with groups of people from vastly different backgrounds thrown together.
""I was relieved to be able to help - but helping always comes with expectations. You may start off as the Good Samaritan, but unless you're a saint, sooner or later some expectations will be kicking in and there will be endless material for disappointments and misunderstandings (on both sides!)"" she says.
""The fact people are at home most of the day with nothing much to do doesn't help. There's endless potential for arguments about cleaning, sharing, and discussions about different moral codes and acceptable behaviour, though interestingly, religion never created any problems at our refuge the few times Christians and Muslims shared the home,"" Meier remembers.
""If anything, discussion about religion would be with me – I'm an atheist – and several refugees insisted I should believe in God or Allah, but didn't really care which one of the ‘two' I'd choose.”
Despite some challenges, she also has very fond memories of her time spent running the centre and made close friends with many of the residents. Limited public transport links in the Tuscan outback meant that every appointment at the nearest immigration or hospital resulted in a few hours in the car with the refugees, and Meier says that driving through Tuscany's famous hills often got people to open up.
""Several important scenes in the book - and some of my own fondest memories - are of our long drives cruising through the hills,"" she says.
Having recently published the book, Meier continues to offer help to many of the refugees she worked with at the home. She is hoping to launch educational courses for newcomers in a Tuscan farm, as well as building links with political organizations working with migrants and sex workers.
Katja Meier was born in Switzerland and has lived in Italy for nearly two decades. Trained as an actress, she worked as an olive picker, wedding planner and life coach before taking on an Italian refugee home. Katja writes for travel publications and lives with her Italian partner and their two children next to an olive grove in the Tuscan countryside. Her book, Across the Big Blue Sea, is out now."
https://www.thelocal.it/20170702/un-refugee-chief-says-italy-needs-support-helping-migrants,refugee,336,"
				2 July 2017
				12:17 CEST+02:00			 
					12:17 CEST+02:00				",AFP,UN refugee chief says Italy needs support helping migrants,"Italy needs more international support to cope with a wave of migrants that has flooded its shores since the start of the year, UN refugee chief Filippo Grandi said on Saturday.
""What is happening in front of our eyes in Italy is an unfolding tragedy,"" Grandi said in a statement.
READ ALSO: The changing face of the Mediterranean migrant crisis
""In the course of last weekend, 12,600 migrants and refugees arrived on its shores, and an estimated 2,030 have lost their lives in the Mediterranean since the beginning of the year.""
He added: ""Italy is playing its part in receiving those rescued and providing asylum to those in need of protection. These efforts must be continued and strengthened. But this cannot be an Italian problem alone.""
Separately, a source in Paris said the interior ministers of France, Germany and Italy will meet in the French capital on Sunday to discuss a ""coordinated approach"" to help Italy.
Faced with rising numbers of migrants risking the perilous sea crossing to reach Europe, Italy last week threatened to close its doors to people arriving on boats with foreign flags.
Europe had to get fully involved through an ""urgent distribution system"" of migrants and should widen legal channels so that migrants can be admitted, Grandi added.
He also called for greater international efforts to tackle the causes of the migration, protect people and fight trafficking.
READ ALSO: 54 dead, some 10,000 migrants rescued between Libya and Italy in 4 days
Since the beginning of the year, 83,650 people have reached Italy by sea, an increase of nearly 20 percent compared to the same period last year, according to UN figures.
Nearly all of Italy's 200,000 places for accommodating migrants have been filled.
Many of the migrants need health care and support, with a large percentage of them non-accompanied children and victims of sexual violence, says the UN.
The number of migrant children arriving on their own rose two-fold between 2015 and 2016, reaching 25,846 at the end of last year."
