href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.no/20170316/asylum-seeker-arrivals-in-norway-lowest-since-1997,asylum seeker,322,"
				16 March 2017
				13:43 CET+01:00			 
					13:43 CET+01:00				",The Local,Asylum seeker arrivals in Norway 'lowest since 1997',"3,051 people – the lowest number since 1997 – applied for asylum in Norway in 2016, according to Directorate of Immigration figures.
Norway’s Directorate of Immigration (Utlendingsdirektoratet, UDI) has also estimated that around 7,000 asylum seekers per year will arrive in Norway in 2017 and 2018.
The agency pointed out that the prognosis is tentative, however.
“The prognosis was completed in February 2017 and the assessments within it are based on developments up to the beginning of February 2017 with the information available at that time,” UDI told broadcaster NRK.
3,460 people applied for asylum in Norway in 2016, according figures provided by UDI to NRK.
The figure represents the lowest total since 1997.
“Our assessment is that border and ID checks in Europe have had a decisive effect on numbers of arrivals in Norway,” UDI wrote.
The low numbers have continued into 2017, reports NRK, with 858 asylum seekers arriving in Norway so far this year.
Of these, 574 came to Norway in accordance with the country’s voluntary participation in the EU’s relocation scheme.
Norway has agreed to take in 1,500 asylum seekers from Greece and Italy during 2016 and 2017 – a quota the UDI expects to have fulfilled by the summer.
The agency also expects to receive 750 unaccompanied minors in 2017, although only 45 have arrived so far.
“The potential for migration is large, and there is no information that suggests that there has been a reduction in motivation for potential asylum seekers to migrate. We therefore assume that the number of migrants trying to reach Europe is as high as before,” UDI wrote to the broadcaster.
The estimation depends on a number of factors, such as the continuation of the current agreement between the EU and Turkey, and asylum seekers arriving in Greece remaining low in number.
Further factors are the continued implementation of border controls in the Balkan countries as well as within the Schengen zone."
https://www.thelocal.no/20151230/norway-to-turn-back-asylum-seekers-on-swedish-border,asylum seeker,313,"
				30 December 2015
				09:38 CET+01:00			 
					09:38 CET+01:00				",AFP,Norway to turn back asylum seekers at border,"Norway said Tuesday it would start turning back refugees without visas arriving from elsewhere in the passport-free Schengen zone, particularly Sweden.
The move is part of a draft law containing a series of immigration measures that the Oslo government says will make its asylum policy ""one of Europe's toughest"".
The conservative minority last month gathered enough parliamentary support from the centre and labour parties to adopt the measures.
Norway does not belong to the EU but it is, like Sweden, a member of the Schengen area which has no passport or immigration controls.
According to Schengen rules, asylum seekers must apply for a visa in the country they first arrive in, mostly Italy and Greece. But many instead move on to the country they want to eventually settle in, often in Europe's richer north.
Most of the 30,000 people asking for asylum in Norway this year have crossed the border from Sweden.
Critics say the Norwegian move would place undue pressure on the southern European arrival countries.
""Norway is choosing an isolated policy, by refusing to see that if every country in the Schengen area blocked refugees the same way, they would all get stuck in Greece and Italy,"" Pal Nesse, senior advisor for the Norwegian Refugee Council, told AFP. But Norway's Immigration Minister Sylvi Listhaug said the new law would actually improve the lives of legal immigrants.
""We will have an asylum policy that will be among the toughest in Europe,""she told the NTB news agency. ""And that is completely necessary so that we can welcome those who come here, settle them in and integrate them.""
The new law also calls for welfare payments for asylum seekers to be below those for Norwegian residents in order to make the country less attractive; the expulsion of unsuccessful applicants; restrictions on long-term residency permits and tougher rules on family members joining successful asylum applicants."
https://www.thelocal.no/20160425/norway-ups-financial-incentive-for-asylum-seekers-to-leave,asylum seeker,276,"
				25 April 2016
				08:52 CEST+02:00			 
					08:52 CEST+02:00				",NTB/The Local,Norway to asylum seekers: We'll pay you extra to leave,"The Norwegian Directorate of Immigration's (Utlendingsdirektoratet - UDI) is offering a 10,000 kroner bonus to asylum seekers to leave voluntarily.
UDI will offer an additional 10,000 kroner to the first 500 asylum seekers who apply for a voluntary return to their home countries. Beginning on Monday, the offer will run for six weeks on a first-come, first-served basis.
“We need to entice more to voluntarily travel back by giving them a bit more money on their way out. This will save us a lot of money because it is expensive to have people in the asylum centres,” Integration Minister Sylvi Listhaug told broadcaster NRK.
The offer entails giving asylum seekers an additional 10,000 kroner in travel expenses on top of the 20,000 kroner already offered.
See also: Asylum seekers want to leave – if Norway pays
UDI reported in December that an increasing number of asylum seekers are interested in taking Norway up on its offer to fund a return trip home due to long family reunification waiting times and barriers to taking work or starting an education.
According to UDI, a family with two children can receive upwards of 80,000 kroner ($9,300 or 8,600 euros) in addition to the travel expense coverage.
To qualify for the additional 10,000 kroner to cover travel costs, asylum seekers must have arrived in Norway prior to April 1st and must not have overstayed their legal length of stay.
UDI said the goal of the bonus was to stimulate a faster voluntary return of those asylum seekers who do not have a legitimate protection claim in Norway. The bonus scheme will be marketed via displays and posters in 31 municipalities."
https://www.thelocal.no/20151207/more-asylum-seekers-want-to-leave-at-norways-expense,asylum seeker,332,"
				7 December 2015
				10:36 CET+01:00			 
					10:36 CET+01:00				",The Local,Asylum seekers want to leave – if Norway pays,"An increasing number of asylum seekers are interested in taking Norway up on its offer to fund a return trip home.
Long family reunification waiting times and barriers to taking work or starting an education are leading more and more asylum seekers to express an interest in leaving Norway.
“They thought that when they came to Norway they would get protection rather quickly. And that they would have the opportunity to work or take an education – and maybe even to get their family to Norway,” Katinka Hartmann, head of the The Norwegian Directorate of Immigration's (Utlendingsdirektoratet - UDI) return unit, told broadcaster NRK.
But with family reunification application processing times taking years, many have decided that they don't want to wait and have applied for financial assistance to return home.
According to UDI, over 900 people have applied to leave Norway with financial support from the state. A family with two children can receive upwards of 80,000 kroner ($9,300 or 8,600 euros) in addition to having their airline tickets bought by the state.
The number of applications is on the rise, according to the Norwegian division of the International Organization for Migration (IOM), which processes the requests.
“Earlier this year, the number was an average of 100 per month. In October, there were 150 and in November there were 230 applications,” IOM spokesman Joost van der Aalst told NRK.
He said that the long family reunification times were a major factor, but many people were also put off by having to live in remote areas where they feel it is difficult to put their work experience to use.
UDI's Hartmann said that it could be necessary to reduce the amount of financial support offered to returning asylum seekers.
“It could be appropriate to cut funding for some groups and it could also be appropriate to temporarily offer more in support to other groups,” she said.
People whose asylum applications have been denied can also apply for economic assistance to return home."
https://www.thelocal.no/20160107/norway-expects-up-to-60000-asylum-seekers-in-2016,asylum seeker,279,"
				7 January 2016
				13:13 CET+01:00			 
					13:13 CET+01:00				",NTB/The Local,"Norway: Up to 60,000 asylum seekers in 2016","Immigration officials anticipate 2016 to end with up to twice as many asylum applications as 2015, which was already a record year by far.
31,145 people applied for asylum in Norway last year, nearly 20,000 more than in 2014. This year, the Norwegian Directorate of Immigration (UDI) thinks the number will reach 50,000 to 60,000.
More than half of last year's asylum applications came in October and November, UDI head Frode Forfang said.
“That sums up some of our challenges. The wave we had in the autumn was extremely high,” he said.
Unaccompanied minors
Forfang also mentioned the challenge of dealing with the many unaccompanied minor asylum seekers, who accounted for around one sixth of all applicants in 2015.
“Growth there was stronger than the overall growth,” he said.
Most asylum seekers in 2015 came from Syria, with the 10,536 applicants constituted more than a four-fold increase over 2014. Next came people from Afghanistan (6,987), Iraq (2,991), Eritrea (2,947) and Iran (1,342).
For Afghanistan, Iraq and Iran, the number of applicants increased by ten to 15 times from 2014 levels.
Downward revisions
UDI has previously estimated that as many as 100,000 asylum seekers might come to Norway in 2016. This figure has now been revised downward, with UDI expecting anywhere between 10,000 and 60,000 asylum seekers. Forfang emphasized that there is considerable uncertainty in the calculations.
Some 24,000 people are currently waiting to have their asylum applications processed.
“This is a very large number. Our capacity is nowhere near what is needed,” the UDI head said.
Over the coming months, the agency will add around 200 new caseworkers but even with that Forfang said that UDI would be understaffed."
https://www.thelocal.no/20130830/georgian-asylum-seeker-thieves-seized,asylum seeker,151,"
				30 August 2013
				09:26 CEST+02:00			 
					09:26 CEST+02:00				",Richard Orange,Georgian asylum seeker gang seized in Norway ,"A trio of Georgian criminals have been arrested on suspicion of carrying out more than 14 robberies in computer and mobile phone shops across southern Norway.
The group, two men and one woman, targetted branches of the Expert, Lefdal and Elkjøp chains across southern Norway, beginning their operation almost as soon as they arrived in the country four months ago and applied for asylum. The group were arrested at Elkjøp in Molde this week, after an analysis of CCTV footage from electronics stores across the country predicted where they were most likely to strike next. The gang had kept moving rapidly between Norwegian police districts, making it more difficult to apprehend them. A fourth male member was arrested in Oslo in July.
Norwegian police estimate that about one in a hundred asylum seekers are connected with organized crime. A group from Belarus was also active in the country over the summer."
https://www.thelocal.no/20170825/norway-pm-solberg-dismisses-controversial-asylum-proposal,asylum seeker,333,"
				25 August 2017
				16:34 CEST+02:00			 
					16:34 CEST+02:00				",The Local,Norway PM Solberg dismisses controversial asylum proposal,"Norway's Prime Minister Erna Solberg has rejected calls by coalition partner the Progress Party to detain rejected asylum seekers in secured facilities.
The proposal by the nationalist Progress Party (Fremskrittspartiet, Frp) had no support from other parliamentary parties, Solberg said.
“Frp has always been of the opinion that people whose asylum applications are rejected should be held in secured facilities. They have not received backing for that, and we agree with this [the lack of backing, ed.],” the PM told NRK.
“This is an old Frp proposal that I heard Sylvi [Listhaug, minister for immigration and Frp MP, ed.] repeat yesterday, but it is not a foundation for this government and is not going to become one,” Solberg continued.
The PM said that detaining rejected asylum seekers was “not government policy”.
READ ALSO: Labour-Green alliance mooted in Norway after latest poll
Listhaug came in for criticism after she said on Thursday that asylum seekers arriving in Norway without definitive identification or papers should be held in secured facilities until their identity could be confirmed.
Asylum seekers whose applications are rejected but do not leave Norway of their own free will should also be detained, she said.
International human rights conventions should not be allowed to take precedence over the necessity of the measure, Listhaug told NRK.
But Solberg dismissed the notion that human rights conventions could be renegotiated following the September 11th election.
“We must use secured facilities more, but we will not broaden the scope of who can be detained in them,” she told NRK.
“Frp has always said this. That they are saying it again during the election campaign cannot come as a surprise to anyone. But it is not the policy of the other conservative parties,” she added.
“We believe that it is possible to ensure the security of Norwegians, fight terror and have a responsible immigration policy within the parameters of the human rights conventions,” Solberg said.
READ MORE: All the news from the build-up to Norway's general election"
https://www.thelocal.no/20150331/five-fold-jump-in-ukrainians-seeking-asylum-in-norway,asylum seeker,614,"
				31 March 2015
				14:49 CEST+02:00			 
					14:49 CEST+02:00				",Emma Anderson ,Norway sees Ukrainian asylum seeker boom,"Norway saw a huge spike in Ukrainians applying for asylum in 2014, according to data released by Eurostat this month and analyzed by The Local.
Five times as many Ukrainians applied for asylum in the country in 2014 compared to 2013, with 130 applicants last year compared to just 25 in 2013.
The rise was part of a leap in asylum applications from Ukraine seen across the 28 EU member states, with the total number of Ukrainian asylum seekers ballooning to 14,040 people in 2014, more than 13 times higher than the 1,060 who applied in 2013.
The number is even greater when compared to 2008, the beginning of the global economic crisis, when just 925 Ukrainians applied for asylum.
“What we have seen from our members working with asylum seekers are those who are fleeing the conflict in the east of Ukraine,” Julia Zelvenska, a senior legal officer at the European Council on Refugees and Exiles, told The Local. “In the past, it has been for political persecution, like in 2013, or for sexual orientation.”
The UN refugee agency UNHCR said last month that an estimated one million Ukrainians were displaced internally, with many people moving west. Some 600,000 people had sought asylum, many of them in non-EU countries such as Russia, Belarus and Moldova.
But many Ukrainians also applied for asylum in the European Union in 2014, a year that started with a revolution in Kiev and the ousting of the pro-Russian president, Viktor Yanukovych.
Russia then annexed Crimea in March, in a move widely condemned around the world, before propping up separatists fighting bloody battles with Ukrainian forces in the east of the country.
Of those who applied for asylum in 2014, 650 Ukrainians received positive outcomes on their first application decision in the EU. Eurostat defines positive outcomes as grants of refugee or subsidiary protection status, or an authorisation to stay for humanitarian reasons.
Still, those who received good news were greatly outnumbered by those who were rejected in their first try - 2,335.
Norway rejected 75 Ukrainian asylum applicants in their first attempt, and had not accepted any applicants in 2014, according to Eurostat data.
Zelvenska explained to The Local that it is generally very hard for Ukrainians to gain asylum in EU member states, or to even reach those countries in the first place.
“One of the main reasons people get rejected may be that many countries are not clear on how the situation developed and won’t issue decisions until it is clear how the Ukrainian situation is going to develop,” she said.
“European countries are also being very formalistic in the criteria for asylum,” Zelvenska added. “For example, they may say that there are options for alternative protection already within Ukraine. For people in the east, they may say that they could relocate to the west.”
Zelvenska noted though that reasons for rejection are not made public so it is difficult to know for certain.
“We think it’s not necessary to apply all the criteria in a strict manner,” she said. “They must consider each case, country and the circumstances.”
Last year, EU countries received the highest number of asylum seekers since 1992 with a total of 626,000 applicants. More than 400,000 people applied in 2013.
Ukrainian asylum seekers generally made Germany their first port of call, with the country receiving 2,705 requests according to Eurostat, 18 times more than in 2013.
Of the Ukrainians who applied, Germany accepted 20 in the first instance, but rejected another 45.
Italy accepted the highest number of Ukrainian applicants compared to all other EU countries, with 165 applicants receiving positive outcomes, followed by the Czech Republic (150) and Finland (145)."
https://www.thelocal.no/20160202/asylum-seekers-as-young-as-11-come-to-norway-married,asylum seeker,279,"
				2 February 2016
				11:04 CET+01:00			 
					11:04 CET+01:00				",NTB/The Local,Asylum seekers as young as 11 come to Norway married,"At least 61 minors were married when they sought asylum in Norway last year, figures from the Norwegian authorities show. The youngest was an eleven year old girl.
Of the 61 married minors who sought asylum in Norway in 2015, at least ten were under the country's sexual age of consent of 16, broadcaster NRK reported based on figures from the Norwegian Immigration Directorate (UDI) and the Norwegian Directorate for Children, Youth and Family Affairs (Bufdir).
At least ten of the girls were under the age of 16, while 49 girls and two boys who are married were 16 or 17 when they arrived in Norway. At least two of the girls under the age of 18 were expecting their second child.
The youngest married asylum seeker was just 11 years old when she arrived in Norway.
Most of the married minors came from Syria, Afghanistan or Iraq.
“We are looking very seriously at children under 18 who are in danger of being subjected to sexual abuse, violence and forced actions. We are committed to helping these children and to preventing forced situations. These could be criminal cases,” Bufdir director Mari Trommald told NRK.
A 14-year-old pregnant girl crossed the Storskog border station in November with her 23-year-old husband and their 18-month-old child. Today, the two live separately and the 23-year-old is under police investigation.
Trommald said that each case must be assessed individually to determine whether the married couples should live separately.
“The age of sexual consent in Norway is 16 and that will often guide how one views these matters. However, other problematic situations like violence and coercion will also be included in the assessments,” she said."
https://www.thelocal.no/20140909/norway-reveals-immigrant-crime-crisis,asylum seeker,242,"
				9 September 2014
				09:02 CEST+02:00			 
					09:02 CEST+02:00				",NTB/The Local,Asylum seekers 'over-represented' in Norway crime stats,"Asylum seekers and visa-less immigrants in Norway are charged with twice as many crimes per head of population as Norwegians, but still account for a very small proportion of overall criminality, a new report has said.
The number of asylum seekers and people living in Norway illegally charged for criminal acts, was twice as high per capita as among the rest of the Norwegian population, according to a new report from the Norwegian Directorate of Immigration (UDI). But Dag Ellingsen and Sigmund Book, producers of the report, maintained that immigrants were not responsible for a crime wave in Norway and that the figures needed to be seen proportionately. They told Aftenposten “This is so little that it has minimal significance to the big picture of crime in Norway.” They also pointed out that there men and young people are overrepresented among asylum seekers:
""If we compare with people of the same age and sex, most of the over-representation disappears,"" the researchers said. The report, conducted by Oxford Research on the UDI's behalf, shows that 1 in 50 cases of crime committed in 2010 involved an asylum seeker or person living in Norway without papers. In total these groups accounted for 2.5 percent of all crime charges in Norway in 2010. Researchers estimated there were 18,000 asylum seekers or people without papers in Norway in 2010, out of a total population of just under 5 million, or about 0.4 percent of the population."
