href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.no/20161215/ngo-norway-should-be-ashamed-of-its-refugee-approach,refugee,285,"
				15 December 2016
				10:55 CET+01:00			 
					10:55 CET+01:00				",NTB/The Local,NGO: Norway ‘should be ashamed’ of its refugee approach,"Through their handling of the refugee crisis, Norwegian politicians are disregarding human rights, the president of the International Federation for Human Rights said in Oslo on Wednesday.
“The cynicism among politicians, both in Norway and the rest of Europe, when it comes to refugees has reached a level we have not seen before. They should be ashamed,” Dimitris Christopoulos said.
Christopoulos was one of the featured speakers at a demonstration organized in protest against the government's asylum and immigration policies.
“It has taken a century and two World Wars to establish human rights. Now they are threatened,” he said to the crowd of nearly 4,000 torch bearers who had formed a sea of light in front of parliament.
“In Europe, with its half a billion inhabitants, a million refugees is called a crisis. But we are not the ones who are in crisis. It is the millions of people who cannot get anywhere. This is shameful,” he said.
On Thursday, Christopoulos, who also is a professor of political science, will meet with the Norwegian Helsinki Committee, a human rights NGO, and representatives of the Norwegian Foreign Ministry.
He has just one message for Norwegian politicians.
“If you really want to achieve respect and moral credibility as a rich and well-developed society, you cannot shut yourselves in. It is impossible,” he said.
“You need to show solidarity with the weak and those who need to escape. If you do not take responsibility, but instead build walls around the country and send signals that people are not welcome, it will undermine respect in the long term,” he said.
Through a number of restrictions, Norway has brought its asylum numbers down to their lowest point in 19 years."
https://www.thelocal.no/20160408/norway-wont-take-any-more-refugees-from-eu,refugee,280,"
				8 April 2016
				14:47 CEST+02:00			 
					14:47 CEST+02:00				",NTB/The Local,Norway won't take any more refugees from EU ,"The Norwegian government will not take any additional refugees from the EU despite the bloc's new agreement with Turkey, Immigration Minister Sylvi Listhaug said on Friday.
Norway has offered to take 1,500 asylum seekers over two years as part of the EU’s refugee relocation scheme. The first of those EU asylum seekers are expected to arrive within a month, but Listhaug said on Friday that the Norway would not expand its offer.
“We have set a quota for refugees from the EU. Increasing it is not of current interest,” Listhaug told NTB.
Listhaug said she was open to some of the previously-agreed 1,500 asylum seekers coming from Turkey as part of the EU deal, but stressed that the total sum of 750 this year and 750 the next is not up for negotiation.
“Norway is among the countries that has contributed the most to the relocation programme when measured per capita,” she said.
The EU and Turkey agreed in March to a deal in which the Turks will take migrants and refugees back from the Greek islands in exchange for the EU taking Syrian refugees directly from Turkey.
The first Syrians were flown from Turkey to Europe this week and EU countries have planned for up to 72,000 similar resettlements.
Listhaug was in Denmark on Friday to visit with her Danish counterpart, Inger Støjberg. The two visited a tent camp for asylum seekers in Næstved. Danish parties have pressured Støjberg to copy a proposed Norwegian provision that would allow the denial of all asylum seekers who do not come directly from countries in conflict in emergency situations but Danish press reported on Friday that she had shot down the suggestion."
https://www.thelocal.no/20160223/norwegian-pm-proposes-stricter-refugee-laws,refugee,409,"
				23 February 2016
				14:32 CET+01:00			 
					14:32 CET+01:00				",The Local,Norway wants to deny all refugees if 'it all breaks down',"In an effort to stem the flow of refugees coming from other Nordic countries and Russia, the Norwegian PM is proposing a law that would allow the nation to prevent asylum-seekers from non-conflict areas entering Norway.
Norwegian Prime Minister Erna Solberg is proposing emergency legislation that would allow Norway to deny entry to all asylum seekers who do not come directly from countries in conflict.
Solberg said that the legislation would only be implemented in an emergency situation and would protect Norway from the deteriorating situation within the Schengen region and the mounting strain the Swedish asylum system is facing from the current refugee crisis in Europe.
Under her plan, asylum seekers entering from Russia or other Nordic countries would be immediately rejected if they are not coming directly from areas of conflict.
The legislation would go against the UN Refugee Convention and has therefore faced strong criticism, but Solberg said it would only be implemented in the face of a complete breakdown of Sweden's asylum system, which took in 163,000 asylum seekers in 2015 and expects an additional 100,000 this year.
""It is a force majeure proposal which we will have in the event that it all breaks down, the influx continues and everyone ends up in Norway because we are at the outer edge of Europe,” Solberg told Danish daily Berlingske.
""Norway is the last stop, isn't it?"" she added.
Even though the PM said her proposal would only be used in emergency situations, it has been slammed by the Norwegian Lawyers' Association as a direct violation of Norway’s international obligations.
""Several of these proposals violate human rights. We see the law as a rushed proposal,"" Bente Mostad Tjugum, the head of the association's asylum and immigration committee, told broadcaster NRK.
Solberg has defended the proposed legislation as a safety net for Norway.
“If the mechanisms in place in Europe do not work, then we have a chance to reject them [asylum seekers, ed.]. It is not a suggestion that we should do such a thing in the future, but it is a legal security measure if other countries fail to live up to their obligations,” Solberg continued.
The legislation will be presented to parliament soon, and is expected to gain broad support as Norway has begun adopting stricter refugee policies. Parties continue to bicker, however, over the government's 40-point asylum plan.
In 2015, around 30,000 people applied for asylum in Norway, a country of 5.2 million."
https://www.thelocal.no/20170516/number-of-asylum-centres-in-norway-drops-sharply,refugee,369,"
				16 May 2017
				17:46 CEST+02:00			 
					17:46 CEST+02:00				",The Local,Number of asylum centres in Norway dropping as refugee flow slows to trickle,"Asylum centres in Norway are closing as the number of refugees reaching the country continues to decrease.
The Hallingdal district in Buskerud County, for example, has seen the number of asylum centres drop from eight to two over the last year, reports broadcaster NRK.
“It is difficult because a close relationship has been forged here... they have contact with the local community. The only safe thing they have is their bed, and now we are taking the beds from them,” Gry Herland, head of the Hemsedal asylum centre, told NRK.
Planned reduction of asylum facilities in Hemsedal means that 15 underage asylum seekers will have to move once school holidays begin.
The number of people living at the centre in Hemsedal is to be reduced to 130 by the summer – down from a peak of 600 at four different facilities in the town at the height of the refugee flow in 2015, reports NRK.
READ ALSO: Asylum seeker arrivals in Norway 'lowest since 1997'
A secondary aspect of the closures is a loss of jobs.
“Everyone that works here has been given their notice. This is a region that has seasonal work, so it is hard to find a new job during the summer,” said Herland.
In Gol, another town in Buskerud, a state-run asylum centre with 59 residents will close on July 15th.
“Such is life in the asylum area, almost no asylum seekers are coming now,” said Gol centre manager Vita Simon to NRK.
Centres for unaccompanied minors also face an uncertain future, reports NRK.
“It is the Norwegian Directorate of Immigration (UDI) that decides how long they can stay here for,” Tore Fauske Haugen, leader of the state asylum centre at Hol, said.
Staff at the centre must be given three months’ notice of redundancy. While no such notice has yet been received, the number of arrivals is considerably lower than in 2015 and 2016, says Haugen.
“On the 1st January 2016, 32,000 asylum seekers lived at asylum centres in Norway. On 1st January 2017 it was 14,500. Today it is 9,924. If that trend continues it will be fewer still by the end of the year which presumably also means fewer centres,” he said."
https://www.thelocal.no/20170915/eu-appeals-to-norway-others-to-increase-quota-refugee-intake,refugee,526,"
				15 September 2017
				09:14 CEST+02:00			 
					09:14 CEST+02:00				",The Local,"EU appeals to Norway, others to increase quota refugee intake","The EU's immigration commissioner Dimitris Avramopoulos has asked Norwegian immigration minister Sylvi Listhaug to be “as ambitious as possible” in regard to accepting EU-designated quota refugees.
Avramopoulos also voiced his approval of stronger control at the EU's outer borders, reports broadcaster NRK.
The UN High Commissioner for Refugees (UNHCR) recently requested help relocating 40,000 of the quota refuges currently temporarily housed by the UNHCR in Libya and other countries in the region.
The quota system enables the UN to relocate refugees whose needs cannot be met in countries that neighbour the conflicts they have fled from.
This might include refugees needing special protection, torture victims, unaccompanied women or children with rare illnesses.
The UN is currently able to relocate one percent of its registered refugees, although as many as ten percent actually need to be relocated, according to a report last week by Danish newspaper Politiken.
Avramopoulos said that he supports the UNHCR initiative fully, writes NRK.
The commissioner has now sent a letter to all EU and Schengen member countries, including Norway, encouraging the individual states to take positive action.
READ ALSO: Norway won't take any more refugees from EU
“I asked them in the letter to be as ambitious as possible, and I asked them in particular to increase their efforts to take in quota refugees from North Africa and the Horn of Africa,” Avramopoulos said according to NRK's report.
The target of the EU is to help refugees in countries such as Libya, Egypt, Niger, Ethiopia and Sudan, through which many migrants travel as they attempt to reach Europe via the Mediterranean Sea.
Avramopoulos stressed the need to take in people from these areas as well as from Syria, calling in his letter for governments to be “as ambitious as possible” in their assessments of how many quota refugees can be relocated to their countries.
The letter from the commissioner was sent to Listhaug on August 25th, reports news agency NTB.
The UN has requested Norway and other countries submit new limits for the numbers they are prepared to accept by September 15th, writes NRK.
Two years ago, the EU ratified an agreement for the relocation of 120,000 refugees.
Only a small fraction of that number is currently living in the various countries, according to the report, with the UN stating that three percent of the agreed number had been rehoused after one year.
Avramopoulos also said that he agreed with the need to strengthen the EU's borders in the wake of a string of terror attacks in cities in member states.
“The commission recognises the new security challenges. That was demonstrated by recent terror attacks in Barcelona and Åbo,” the commissioner told journalists after a meeting with EU foreign ministers, according to NRK's report.
Norway, Denmark, Austria, France and Germany have all have implemented temporary control on their Schengen borders since 2015.
Those countries are now seeking to changes Schengen rules in an effort to enable the controls to be extended.
Avramopoulos said the EU's immigration commission would proposal an update to Schengen later this month, writes NRK.
READ ALSO: 'Good time to take in your share of refugees': UN to Denmark"
https://www.thelocal.no/20151108/norway-launches-anti-refugee-facebook-page,refugee,471,"
				8 November 2015
				08:55 CET+01:00			 
					08:55 CET+01:00				",The Local,Norway launches 'anti-refugee' Facebook page,"Norway's government has taken its campaign to scare away potential asylum seekers onto Facebook, launching a new page, 'Stricter Asylum regulations in Norway', on Friday.
In its first post on Friday afternoon, the page trumpeted the government's plans to:
slash benefits for asylum seekers by 20 percent;
increase the wait for permanent residency from three to five years;
send people home if situations improve in their home countries;
and work with the Iraqi and Eritrean authorities to send asylum seekers back to those countries.
“It's not exactly ‘Welcome to Norway',” admitted Jøran Kallmyr, a state secretary in the Ministry of Justice appointed by the anti-immigration Progress Party. “We want to provide accurate and sober information.”
The Facebook page follows the launch of the country's negative advertising campaign over Twitter the previous Friday. That was done with a warning message sent out by by Norway's Directorate of Immigration (UDI) informing Afghan citizens crossing the country's northern border with Russia that they risked being returned to Kabul.
#Afghani adults without need for asylum coming the #artic_route from #Russia, risk rejection of their application and being sent to #Kabul.
— UDI (@Utlendingsdir) October 30, 2015
The message has been followed up over last week with similar Tweets in English and in Russian.
Афганцы без нужды в убежище прибывающие #Арктическим путем из #России рискуют высылку в #Кабул. 500 высланы из #Норвегии в 2014/15
— UDI (@Utlendingsdir) November 5, 2015
Kallmyr said the information on the Facebook Page would soon be translated into Pashto and Dari.
The tough social media message comes as around 50 to 60 asylum seekers housed at an asylum centre in Sarpsborg, south of Oslo, launched a protest against the 'deplorable conditions' at the centre.
""We do not get enough food, we are going hungry,"" one of the demonstrators told NRK reporter Marianne Løkkevik Ekeberg on Saturday night.
Mazyar Keshvari, the immigration spokesman for the populist Progress Party, said that these ""ungrateful"" asylum seekers should be repatriated.
He said their complaints made a mockery of those fleeing civil war and oppression across the world.
""In this situation, some of the luckiest people, who have been provided in Norway with food, drink, clothing and shelter at taxpayers' expense, are protesting the quality of the food and the internet speed on reception,"" he said.
""These ungrateful people should immediately get out of the country, freeing capacity for those who need security and protection.""
Norway is not the first country in the region to have attempted to reduce numbers of asylum seekers using negative advertising.
Denmark's foreign ministry in September published advertisements in four Lebanese newspapers warning Syrian refugees that the country had recently halved the level of benefits received by refugees.
The strategy appears to have had some success. Of the 13,000 refugees who passed through Denmark in September, only 1,500 applied for asylum."
https://www.thelocal.no/20160311/hell-on-earth-norwegian-teens-play-refugees-for-a-day,refugee,719,"
				11 March 2016
				07:53 CET+01:00			 
					07:53 CET+01:00				",Pierre-Henry Deshayes/AFP/The Local,'Hell on Earth': Norwegian teens play refugees for a day,"In a dark snowy forest, two military vehicles thunder by, the wailing sirens waking those who have just dozed off. Exhausted, the group must quickly pack up camp and resume their night march.
This is not a scene playing in the Balkans but in Norway, one of the richest countries in the world, where a group of teenagers are spending 24 hours on the road, living as refugees.
In a country where teens often walk around with luxury handbags and the latest iPhones, the aim is to raise awareness and give youngsters a bit of insight into the lives of millions of people much less privileged than themselves.
For many, the experience is part of their ""civil confirmation"" -- a secular version of the Christian coming-of-age ceremony which is a rite of passage for 15-year-olds in northern Europe.
""I hate my life,"" groans a young girl in the group, some of whom are still asleep on their feet.
The 'UN camp' where they thought they had found refuge for the night has just been 'attacked'.
In the darkness, with temperatures hovering around zero, they must press on, ignoring their hunger and diving into snowbanks to hide at the first glare of headlights.
Their journey began around 12 hours earlier at a decommissioned military camp near Oslo airport, just a stone's throw from a real detention centre for illegal aliens awaiting deportation.
'It's exhausting'
Their watches and cell phones confiscated, the teens have been grouped into 'families' of 20 who have had to flee unrest in a fictitious Sudan, crossing imaginary borders to reach Norway to seek asylum.
En route, they come up against the red-tape nightmare of a Kafkaesque and corrupt bureaucracy, the bullying of sinister border guards who bark orders at them in poor English, and walk miles on ever-hungry stomachs...
""Netflix in the bath,"" fantasises one 'refugee' aloud. ""Netflix AND a kebab in the bath,"" says another.
In a country where teens often walk around with luxury handbags and the latest iPhones, the aim of the game is to raise awareness and give youngsters a bit of insight into the lives of millions of people much less privileged than themselves. Photo: Fredrik Varfjell/AFP/Scanpix
For dinner that night, they had only a few rice balls. Most of them devoured their meal, though some were put off by label with an apparent expiry date of 1998.
""The power of a label,"" sighs the 'head' of the 'UN camp', Jonas Statsengen, one of the adult volunteers running the session.
As the hours pass, the teens' good-natured laughter gradually fades and swearing takes over.
""Horribly tough,"" says Ebbe Marienborg Schieldrop, a teenager playing the role of a father in his group.
""It's obviously much worse for real refugees, but the hunger, the fatigue, all of it... It's exhausting.""
'A little extra soul'
Although the role play was not created in response to the ongoing migration crisis which has engulfed Europe over the past year, the sudden proximity of the refugees' plight has given it particular resonance.
Since the concept was imported from Denmark in 2004, some 80,000 Norwegian youngsters have gone through the experience of living life as a refugee for a day.
""They leave with a little extra soul,"" says Lasse Moen Sørensen, deputy head of Refugee Norway, a non profit organisation.
And while it only scratches the surface of a much harsher reality, it helps raise awareness of the refugees' plight.
""We're very lucky,"" acknowledges one of the participants, Birgitte Solli, her eyelids heavy from exhaustion.
""This is learning by doing,"" explains Kenneth Johansen, founder of Refugee Norway.
""If you read about refugees, you'll remember about 20 percent. And if you experience it, you'll remember 80 percent. You will learn it for the rest of your life,"" he says.
Unforgettable experience
""If you see a news segment or read about it, you'll remember the feeling you had at Camp Refugee,"" he says.
The experience ends with a review, with Johansen helping the youngsters put things into perspective, using hard-hitting videos to drive the point home.
""Never forget this night you spent outdoors, crossing borders with your backpacks and all the yelling. That's what 60 million real refugees are living through everyday,"" Johansen tells the groggy teens.
""For you, it was a game. For them, it's hell on Earth everyday."""
https://www.thelocal.no/20151126/norway-publishes-anti-refugee-ads-in-afghanistan,refugee,390,"
				26 November 2015
				09:32 CET+01:00			 
					09:32 CET+01:00				",The Local,Norway runs anti-refugee ads in Afghanistan,"Ads from the Norwegian government are in Afghan newspapers this week warning that potential asylum seekers “will be returned by force”.
Following in the footsteps of Scandinavian neighbour Denmark, Norway has published advertisements in foreign newspapers to discourage refugees and asylum seekers.
The Norwegian government placed ads in Afghanistan newspapers warning that “immigration to Norway is strictly regulated”.
“Persons who do not qualify for a permit in Norway and whose applications are denied must return tot heir country of origin or country habitual residence. If you do not leave voluntarily, you will be returned by force,” the ad, placed by the Norwegian Ministry of Justice and Public Security, reads.
The ads appeared on the front page of the English-language Afghanistan Times and the Dari-language Hasht-e-sub. The ad appeared in the Monday through Thursday editions of both newspapers and will also be published in Friday’s edition of the latter.
Here is #Norway's 'anti-refugee' ad in @AfghanistanTime https://t.co/CTozJR0785 #nopol pic.twitter.com/8LsM0Eo0qn
— The Local Norway (@TheLocalNorway) November 26, 2015
The ad makes it clear that Afghans are unlikely to achieve refugee status in Norway.
“People from safe areas of Afghanistan or who have been granted residence in another country will have their application rejected and will be deported. People from areas that are not considered safe may be returned to other parts of Afghanistan,” it reads.
The ad then details recent changes to asylum policy, including the cutting of benefits for people in refugee reception centres, the issuing of temporary residence permits and limits on family reunification.
Justice Minister Anders Anundsen told Aftenposten that the ads were meant to combat “misperceptions”.
“It is often a challenge that people base their travel plans upon misperceptions of a country’s asylum policies. There are many people who believe, for example, that they can travel to Norway and create a new life,” he said.
In addition to the newspaper ads, the Norwegian government also launched a Facebook page earlier this month to convey the country’s “stricter asylum regulations”.
The new campaign is similar to one published by the Danish government in Lebanese newspapers. Those ads received extensive international attention and led to not one but two counter ads from pro-refugee groups.
Germany also recently launched a campaign in Afghanistan to tell its nationals to think carefully before embarking on the tough journey to seek asylum in Europe,"
https://www.thelocal.no/20160301/norway-not-mentally-prepared-for-impact-of-refugee-crisis,refugee,378,"
				1 March 2016
				10:03 CET+01:00			 
					10:03 CET+01:00				",The Local,Memo: Norway 'not mentally prepared' for refugees' impact,"An internal memo from the Ministry of Foreign Affairs warns that the Storskog border crossing is likely to see another wave of arriving refugees within months.
Norway’s Storskog border crossing has been relatively quiet since the Nordic nation announced that it would begin immediately rejecting asylum seekers who had been legally residing in Russia. But the slowdown may just be the calm before the storm, according to an internal memo from the Ministry of Foreign Affairs.
The memo, which was obtained by VG, warns that a “a perfect political storm” is likely to hit Europe within the next six months, bringing with it increased activity at Norway’s Arctic border.
“The dynamics of the continent and the closure of the Balkan routes can quickly result in increased pressure on Storskog or Finland and the Baltics in the coming months,” the confidential memo said.
It goes on to warn that Norwegians may not be fully prepared for the consequences of further breakdowns in European cooperation.
“The Norwegian psyche is likely not mentally prepared for the full gravity of the migration crisis. That also applies to its costs and impacts on other budget and policy areas. It may be difficult to avoid higher unemployment and increased social welfare costs in 2017,” the memo stated.
VG reported that the memo paints a dire picture of the current state of affairs in Europe, referencing “political polarization and a strengthening of extreme forces” as well as “splits between north and south and east and west in the EU [and] nationalistic and anti-EU policies in the government offices of key countries in Eastern Europe”.
The memo also warns that new terror attacks are likely and that the refugee crisis has hit the point where “the limit for what residents and authorities in European countries can absorb is either already reached or imminent”. Germany and Sweden, the two countries that have accepted the most refugees, are “about to hit the wall”, the memo said.
Foreign Minister Børge Brende declined to comment on the contents of the memo, and a ministry official told VG that it was “an internal working document that has neither been reviewed or approved”.
The memo comes to light as the Norwegian parliament begins renewed discussions on a comprehensive asylum and immigration package."
https://www.thelocal.no/20161117/un-asks-norway-not-to-send-refugees-back-to-somalia,refugee,241,"
				17 November 2016
				09:03 CET+01:00			 
					09:03 CET+01:00				",NTB/The Local,UN asks Norway not to send refugees back to Somalia,"Just a few weeks after the Norwegian authorities said they will send refugees back to Somalia, the United Nations High Commissioner for Refugees (UNHCR) has urged Norway to change its mind.
In October, Immigration Minister Sylvi Listhaug said that the Norwegian government had concluded that the situation in Somalia has settled down and that 1,600 Somali refugees living in Norway should have their refugee status revoked.
In a letter dated November 7th, but first reported on Wednesday night, the UNHCR wrote to the Norwegian government and said that the security situation in Mogadishu was far too unstable to warrant Norway’s decision. Just two days before the letter was sent, a car bomb attack near the Somali parliament building in Mogadishu killed at least two police officers, with some reports indicating that up to 20 people were killed.
The agency encouraged the Nordic nation to not take refugee status from Somali citizens, Dagbladet wrote.
Unaccompanied minor and families with small children were among the first 120 Somalians to have receive notification of their repatriation.
Norwegian authorities believe the situation in Mogadishu is safe and that the practise of sending people back is in line with the UN Refugee Convention. The UNHCR, however, said there is continued violence and conflict in the Somali capital, causing high levels of insecurity.
The UNHCR’s letter pointed out that there is a difference between those who choose to go back voluntarily and sending people back by force."
