href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.es/20140422/spain-loses-sahrawi-asylum-seeker-legal-battle,asylum seeker,376,"
				22 April 2014
				17:59 CEST+02:00			 
					17:59 CEST+02:00				",Steve Tallantyre,Spain loses asylum seeker deportation battle,"The European Court of Human Rights ruled on Tuesday that Spain could not go ahead with plans to deport 30 Sahrawi asylum seekers from the Western Sahara because Spanish authorities had failed to properly hear their claims.
The immigrants claim that they fled the Gdeim Izik refugee camp in the territory of Western Sahara, a former Spanish colony annexed by Morocco in 1975, after it was forcibly dismantled by the Moroccan police, according to a Council of Europe press release. They arrived on makeshift boats on the coast of Spain's Canary Islands in 2011 and lodged applications for international protection. These were rejected after being considered twice by the Spanish Minister of the Interior who ordered their deportation. Seeking a stay of execution for their deportation orders, they applied in January 2011 for a judicial review and Spain's National Court ordered a provisional suspension of the procedure for their removal. This would allow the court to thoroughly examine their allegations about the risks they would face if they were returned to Morocco. But the following day, the court rejected the asylum seekers' application for a stay of execution. The asylum seekers then turned to the European Court of Human Rights (EHCR). They claimed that they had been subjected to ill-treatment by the Moroccan authorities because of their Sahrawi origin and that they would feel threatened in the event of their return.
The immigrants alleged they had been physically assaulted and that some of their family members had been sexually assaulted or tortured by police officers. In the findings of the hearing, the court noted that the asylum-seekers' fears ""did not seem irrational"" and noted that ""because of the expedited nature of the proceedings, the applicants had not had the opportunity to provide any further explanations on these points"". The EHCR found unanimously that there had been a violation of Article 13 (right to an effective remedy) and Articles 2 (right to life) and 3 (prohibition of inhuman or degrading treatment). The court held that Spain ""was to ensure that the applicants remained within its territory while their cases were being examined, pending a final decision by the domestic authorities on their applications for international protection"". Don't miss stories about Spain, join us on Facebook and Twitter."
https://www.thelocal.es/20131105/spain-bound-asylum-seeker-kills-three-on-bus,asylum seeker,202,"
				5 November 2013
				15:06 CET+01:00			 
					15:06 CET+01:00				", The Local,Spain-bound asylum seeker kills three on bus,"A man accused of stabbing to death a woman and two men on an express bus in western Norway was an asylum seeker from South Sudan who was due to be deported to Spain on Tuesday.
The 31-year-old, who was living at an asylum reception centre in the Norwegian town of Årdal, was due to be deported to Spain after having his application rejected in June, Norway's VG newspaper reported. ""This person had applied for asylum, and come to Norway in April,"" a spokesman for Norway's immigration directorate said. ""He was rejected in June, and was supposed to be returned to Spain under the so-called Dublin Regulation."" The Dublin Regulation is designed to stop people applying for asylum in multiple European Union member states. Under the system, the country where asylum applicants first arrive in the European Union is responsible for processing their applications. The South Sudanese man is accused of killing the bus driver, Arve Haug Bagn (55) and Margaret Molland Sanden, a 19-year-old biotechnology student at the Oslo and Akerhus University College of Applied Sciences. The third victim, a Swedish man in his 50s, has not been named. To find out more about this story, visit The Local's Norway site."
https://www.thelocal.es/20150527/spain-ordered-to-take-in-more-migrants-under-eu-quota,asylum seeker,537,"
				27 May 2015
				14:07 CEST+02:00			 
					14:07 CEST+02:00				",Fiona Govan,EU tells Spain to take in more asylum seekers,"Spain will have to accept more asylum seekers under controversial quotas issued by the European Commission after its complaints over the plan were ignored.
The EU's executive body dismissed a plea by Spain's foreign minister that Spain's own economic situation and battle to control illegal immigration at its own borders should be further taken into account when determining the quotas.
The quotas were announced by the European Commission in its European Agenda on Migration on Wednesday and will become mandatory once voted in by the Council of Ministers.
Spain will be required to take 4,288 of the 40,000 asylum seekers in Italy and Greece destined to be relocated across EU member-states. The figure represents 10.72 percent of the total, a far cry below Germany at 21.91 percent and France at 16.88 percent.
Spain will also be expected to take in a further 1,549 people over the next two years under the voluntary scheme to settle 20,000 people fleeing conflict who are currently residing outside the EU.
The quota per country is based on a redistribution key that gives population size a weight of 40 percent, with a further 40 percent based on economic growth, 10 percent on unemployment and 10 percent on former engagement with asylum seekers.
But Spain had argued that both unemployment and immigration record be given more weight in the calculation.
Ahead of the proposals, Spain's foreign minister José Manuel Garcia-Margallo had asked that the fixed quota would reflect Spain's high unemployment rate (which stands at 24 percent) as well as the nation's previous efforts to absorb asylum seekers.
""Pledging to take in migrants to whom you cannot provide work would be, in my opinion, providing a bad service,"" he argued at a meeting in Brussels earlier this month.
The plan took no account of the ""huge effort we are making to control migration from Morocco, Mauritania and Senegal which impacts the whole EU"", Margallo added.
The new measure is intended to apply to the 24,000 Syrians and Eritreans who arrived in Italy after April 15th and are deemed to be in need of protection. A further 16,000 migrants who arrived in Greece from the two countries should also be relocated, the EU said.
The European Commission said the chosen number represents approximately 40 percent of asylum seekers in clear need of protection who arrived in Italy and Greece last year.
More than 1,800 migrants have died in the Mediterranean in 2015 - a 20-fold increase on the same period in 2014.
Some 60,000 people have already tried to make the perilous crossing this year, the UN estimates.
The European Agenda on Migration also includes proposals to beef up European border controls, including a military action plan to stop people smugglers and improving ways for qualified immigrant workers to get jobs.
The idea is backed by countries including Sweden, Germany, Austria and Italy, but faces strong opposition from, among others, Hungary and the UK.
The latter has already indicated it would use its legal right to opt out of the scheme so it has not been designated a quota.
Countries which agree to take in the Syrians and Eritreans will be offered €6,000 per person, with the greatest number to be moved to Germany."
https://www.thelocal.es/20160303/police-nab-gang-using-spain-as-gateway-to-uk-for-immigrants,asylum seeker,270,"
				3 March 2016
				08:58 CET+01:00			 
					08:58 CET+01:00				",Emma Anderson ,Gang smuggled asylum seekers into UK through Spain,"Spain's National Police have arrested a group involved in a network that helped people enter the UK illegally through Spain in order to apply for asylum.
Police reported on Wednesday that they had arrested 15 people connected to a criminal organization that brought immigrants into the UK by going through airports in Spain's Canary Islands.
The report said that in December, an Iranian man had been arrested at Tenerife's airport while trying to fly to London with a fake passport and ID card.
This case led police to discover that a criminal organization had been helping Iranian and Albanian immigrants illegally enter the UK, and in particular London, through the Canary Islands in order to later apply for political asylum.
According to police, the gang demanded that immigrants pay large quantities of money to get to their final destinations, normally during high tourist seasons.
Once in the UK, the immigrants would apply for political asylum.
The group acted as ""facilitators"" for the immigrants, saying they were from Iran and guiding small groups of two or three people at a time. They would accompany the travelers to border control and would offer to act as translators if they ran into trouble with authorities.
The 15 suspects were arrested at the Gran Canaria and Tenerife Sur airports, two of whom for being members of the criminal organization.
Police seized a number of documents from the group, including fake Polish and Bulgarian passports, a stolen Israeli passport, Italian ID cards, two authentic Bulgarian passports and two other stolen British passports.
The investigation remains open and is being conducted in collaboration with UK police."
https://www.thelocal.es/20150923/spain-under-investigation-by-eu-for-violations-of-asylum-laws,asylum seeker,321,"
				23 September 2015
				13:04 CEST+02:00			 
					13:04 CEST+02:00				",Emma Anderson ,Brussels launches investigation into asylum law violations by Spain,"The European Commission has opened an investigation into 19 countries for violations of asylum laws, including Germany, France, Italy, Austria and Spain.
The Commission accuses Spain of infringing laws concerning minimum standards for asylum procedures, inadequate conditions for receiving refugees and not clarifying the grounds for granting protection.
A total of 40 violations are being investigated among the 19 countries, which include Germany, France, Italy, Austria, the Netherlands and Hungary, the Commission said on Wednesday.
""The pieces of legislation concerned focus on fairer, quicker and better quality asylum decisions (the Asylum Procedures Directive); ensuring that there are humane physical reception conditions (such as housing) for asylum seekers across the EU (the Reception Conditions Directive); and clarifying the grounds for granting international protection,"" the Commission said in a statement.
""In Europe everyone must uphold the commonly agreed standards, in the way we receive asylum seekers,"" said Migration and Home Affairs Commissioner Dimitris Avramopoulos in a statement.
""These standards need to be fully implemented and respected, while always respecting the dignity and human rights of the applicants.""
The investigation comes as EU leaders are meeting on Wednesday for an emergency summit about the ongoing refugee crisis across the continent, where they will be discussing border security, aid resources and a plan to redistribute 120,000 refugees among member states.
Denmark, Ireland and the United Kingdom will not face an investigation because they do not take part in EU asylum legislation.
The countries under investigation will first receive a letter of formal notice from the Commission and then will have two months to respond.
If they do not properly implement existing EU laws, they will be threatened with an indictment in the European Court.
On Tuesday, EU interior ministers voted on a plan to share responsibility for refugees across Europe through a quota system.
Talks have been divisive on how to handle the crisis - the worst of its kind since the Second World War."
https://www.thelocal.es/20150417/spain-urged-to-allow-migrants-to-present-asylum-requests,asylum seeker,337,"
				17 April 2015
				08:51 CEST+02:00			 
					08:51 CEST+02:00				",AFP,Spain must allow asylum requests at border: EU,"The EU urged Spain on Thursday to allow migrants trying to enter its north African enclaves to present their asylum requests without having to scale border fences.
The appeal from the European Commission, the executive of the 28-nation EU, implicitly urged the Spanish police not to immediately deport the migrants who arrive at the enclaves of Ceuta and Melilla.
Commission spokeswoman Nathalie Bertaud told reporters EU commissioner for migration, Dimitris Avramopoulos, would visit Spain Monday and Tuesday ""to take stock of the situation on the ground"" in light of a new law authorising such deportations.
""The recent establishment of offices at the border for requests for international protection in Ceuta and Melilla is seen by the Commission as a positive development,"" she said.
""However, it is necessary to ensure that the border crossing point is accessible in practice to allow asylum seekers to present their application, without having to scale the border fences,"" Bertaud added.
Bertaud said Avramopoulos would meet Monday in the capital Madrid with Prime Minister Mariano Rajoy following an invitation to the country by Interior Minister Fernandez Diaz.
""The Commission has closely followed the legislative developments concerning the establishment of a special regime for Ceuta and Melilla,"" she added.
""We will continue to monitor the practices implementing this new legislation.""
The law passed by the lower house of the parliament on March 26 authorises the police to immediately deport migrants who arrive at Ceuta and Melilla, which have Europe's only two land borders with Africa.
The deportations have been sharply criticized by the Council of Europe and several human rights associations.
""The Commission recalls that any border surveillance measure must be proportionate to the objectives pursued, and it must be in compliance with the respect of fundamental rights and the principle of non-refoulement,"" she said.
Spain faces growing pressure from migrants coming from Africa, particularly through its two enclaves there. According to the authorities, more than 16,000 people tried to enter them in 2014 and nearly 5,000 succeeded, compared so some 3,000 in 2013."
https://www.thelocal.es/20141106/spain-to-build-asylum-offices-on-african-border,asylum seeker,505,"
				6 November 2014
				10:46 CET+01:00			 
					10:46 CET+01:00				", The Local,Spain to put asylum offices on African border,"In an apparent change of tune on immigration, the government has announced that it will make it easier for refugees to ask for asylum in Spain's North African enclaves.
The Interior Ministry announced on Wednesday that it will create ""centres of attention for asylum seekers"" at border posts in the enclaves of Ceuta and Melilla, the two North African cities where there have been a series of violent incidents in recent months between security forces and migrants as the latter attempt to cross the high fences built to stop illegal immigration. In an apparent softening of its anti-immigration stance, the conservative Popular Party government has decided to carry out this particular recommendation made by the UN’s Refugee Agency (UNHCR) just weeks after announcing that it planned to change Spanish law to allow for instant expulsions at the border, the eldiario.es news site reported. All opposition groups in Congress criticised the plan to insert a clause into the Citizen Security Law which would enable the security forces to escort immigrants who had scaled the triple fence complex back to Moroccan territory, defining such actions as “rejection at the border”. Human rights organisations have distributed films of this practice taking place, in breach of current Spanish rules as well as international law. The video of one sub-Saharan migrant being beaten until he apparently fell unconscious before he was dragged to the Moroccan side of the fence at Melilla sparked criticism of Spain from the European Commission and the United Nations, among others. The Interior Ministry said that the plan to build special asylum posts, to be put into action in the coming months, “will strengthen the system of international protection and meet more fully the requirements of the Common European Asylum System”. Anyone reaching such an office and requesting asylum would then be housed at the respective enclave’s temporary immigrant shelter or be allowed to seek private accommodation in the territory. As well as sub-Saharan migrants, many Syrians and people of other nationalities fleeing turbulence and conflicts in the Middle East have attempted to enter Spain via Ceuta and Melilla. Spain’s leading association in the defence of immigrants’ rights, the Refugees Assistance Commission (CEAR), gave the new measure a cautious welcome. Estrella Galán, CEAR president, said she was still concerned for the welfare of the thousands of sub-Saharan migrants who camp out in the forests beyond the border and who face harassment from Moroccan police. ""We are concerned that access to these [asylum] units is not guaranteed, particularly in the case of sub-Saharans, for whom it would be almost impossible to reach the border posts at Ceuta and Melilla. If the Moroccan Gendarmerie is going to prevent sub-Saharans’ arrivals, the solution will only be a relative one,” Galán said. If the migrant’s asylum request were to be rejected, they would be returned to the country of origin, namely Morocco in this case. Last year Spain received 4,502 asylum requests, of which 22 percent were formally accepted for consideration. The proportion finally granted tends to be even lower."
https://www.thelocal.es/20150513/spain-grants-asylum-to-just-one-percent-of-eu-total,asylum seeker,606,"
				13 May 2015
				16:59 CEST+02:00			 
					16:59 CEST+02:00				",Emma Anderson ,Spain grants asylum to just 1 percent of EU total,"As the European Commission called on Wednesday for all member states to share responsibility for taking in migrants, data showed that the number of people granted asylum in Spain amounted to less than 1 percent of the EU total last year.
Spain granted asylum to 1,600 people last year - less than 1 percent of the EU total of 184,665, according to Eurostat data released on Tuesday.
The low figure reflects the fact that Spain received far fewer asylum applicants in total compared to its counterparts with about 5,600 people applying.
In comparison, France and Italy each received more than 64,000 applications.
Germany received the highest number of asylum seekers at more than 200,000 applicants.
Spain has also been criticized for its border policies by the Council of Europe and several human rights associations. The European Commission called on Spain last month to stop immediately deporting migrants trying to enter its north African territories and allow them to present asylum requests at border crossings.
INFOGRAPHIC Asylum applications in Europe 2014. Germany: 202,815; Sweden 81,325; Italy 64,625; France 64,310 @AFP pic.twitter.com/8oao4Ij25H
— AFPgraphics (@AFPgraphics) May 12, 2015
The data on asylum protection grants was published a day before the European Commission presented its migration action plan on Wednesday. In response to the influx of migrants seeking to reach the continent, the plan includes beefed-up European border protections and quotas for the number of migrants each country should take in, seen as a way to share the responsibility fairly.
""The plight of thousands of migrants putting their lives in peril to cross the Mediterranean has shocked.
""It is clear that no EU country can or should be left alone to address huge migratory pressures,"" the Commission wrote in its report.
The total of 1,600 people granted asylum last year in Spain was less than half of the 3,620 asylum cases that had been decided as of the latest analysis.
Forty-four percent of people were granted protection on their first asylum application attempt while only 15 percent of appeal cases received positive outcomes.
Still, Spain's acceptance rate was not far behind the European Union average. Of the 358,365 cases that had been decided across the EU, about 185,000 people - or slightly more than half - were granted protection status. Forty-five percent of asylum seekers received protection in their first attempt on average in the EU, while 18 percent had positive outcomes in their appeal cases.
The majority of those granted asylum by Spain came from Syria (72.7 percent) followed by the second largest group from Somalia (5.7 percent) and the third largest group from Palestine (5.4 percent).
Germany accepted the greatest share of asylum seekers - more than 47,000 people as of the latest analysis and a quarter of the EU total, though its acceptance rate was similar to Spain's at less than 50 percent.
The Commission plan on Wednesday came amid concerns at the growing numbers of refugees, especially from war-torn countries like Syria, after weeks in which hundreds have died attempting to cross the Mediterranean Sea by boat to reach the continent.
Other proposals within the plan include better targeting of people smugglers, whose unsafe and over-crowded boats have been blamed for recent tragedies, and expanding resources for search and rescue.
It also calls for better methods for identifying migrants, improving ways for qualified immigrant workers to get jobs, and monitoring those whose applications are rejected to ensure they make it home.
Even more ambitious are proposals for finding ways to solve the problems that cause people to flee in the first place. The Commission calls for building ""stronger partnerships with key countries outside the EU""."
https://www.thelocal.es/20140709/fortress-spain-slammed-for-immmigration-policies,asylum seeker,517,"
				9 July 2014
				09:14 CEST+02:00			 
					09:14 CEST+02:00				", The Local,'Fortress' Spain causing 'misery' for migrants,"The human rights group Amnesty International has criticized Spain for spending 30 times more on defending its borders than on improving the situation of asylum seekers and refugees — the biggest difference in the European Union.
Spain spent €289,394,768.35 ($394,346,674.56) on border protection from 2007 to 2013. During the same period, however, it spent just €9,342,834.50 ($12,731,100) on programmes to benefit refugees and asylum seekers. These are the figures cited in a new Amnesty International report on immigration into the EU. The difference between the Spanish two figures was also the largest in the EU, Amnesty International said in its report titled The human cost of Fortress Europe: Human rights violations against migrants and refugees at Europe’s borders. Europe-wide, the spend was nearly €2 billion on border protection and €700 million on improving the situation for would-be immigrants. ""The effectiveness of EU measures to stem the flow of irregular migrants and refugees is, at best, questionable. Meanwhile, the cost in human lives and misery is incalculable and is being paid by some of the world’s most vulnerable people,” said John Dalhuisen, Europe and Central Asia Programme Director at Amnesty International. In June, the EU told Spain — the only EU country with land borders with Africa — it would receive €10 million ($13.6 million) from the European Union to fight illegal immigration in its two north African territories of Ceuta and Melilla. The money would come from the EU's emergency fund and it would be used on ""some of the 26 projects proposed by Spain to face the situation in Ceuta and Melilla"", the EU said in a statement. Part of the funds will be used to strengthen border fences, fund voluntary return programmes for migrants who manage to enter the two territories illegally and make improvements to government-run migrant reception centres. In late May, about 500 African migrants leapt a towering, triple-layer border fence to cross from Morocco into Melilla. A reception centre in Melilla is built to house 480 immigrants but now houses over 2,000 people. Aside from trying to storm the border fence around Melilla, would-be immigrants also try to sail or swim to Melilla and Ceuta which sit on the Mediterranean opposite mainland Spain. On February 6th about 15 migrants drowned in Moroccan waters while trying to swim to Ceuta from a nearby beach. Spain's interior minister on March 4th estimated there were 40,000 migrants waiting to cross from Morocco into Ceuta and Melilla. Another 40,000 were waiting to enter Morocco from Mauritania en route to the two cities, he added.
The Amnesty International report also comes a day after another human rights group called for the closure of Spain's refugee internment camps. ""We want international observers in Melilla, because of a constant and daily violation of human rights,"" said Christian Orgaz of the State Campaign for the Closure of Internment camps (CIE). The group said both Spanish and Moroccan authorities were responsible for these violations which included police violence, a lack of healthcare provision for migrants and the ""absolute abondomment"" of migrants under the age of 18 in the city of Melilla."
https://www.thelocal.es/20141203/church-slams-tough-new-immigration-plans,asylum seeker,340,"
				3 December 2014
				11:30 CET+01:00			 
					11:30 CET+01:00				",George Mills,Church slams tough new immigration plans,"Spain's Conference of Bishops has slammed a government proposal which would allow for the instant deportation of migrants who clamber over border fences into the country's north African enclaves of Melilla and Ceuta.
The secretary of the bishops' commission on migration has joined hands with several other Catholic organizations including the charity Caritas to denounce the proposed change. The Spanish government in October announced that it would include a legal amendment in its planned new Citizen Security Law authorizing police to expel migrants who climb the fence around Melilla and Ceuta, without giving their asylum claims a hearing — a move slammed by opposition parties. But the Catholic groups on Monday expressed their ""energetic rejection"" of the plan saying in a statement that any such changes would effectively make borders ""a human rights-free zone"". They said the new law would only increase people's suffering and would not provide solutions for the people ""who abandoned their countries of origin, to, after an arduous journey, arrival at the borders of Ceuta and Melilla"". The UN's refugee agency has also criticized Spanish government plans saying the country call break international law by doing so.
Spain has since responded by announcing it will create ""centres of attention for asylum seekers"" at border posts in the enclaves of Ceuta and Melilla. The Interior Ministry said that the plan to build special asylum posts, to be put into action in the coming months, “will strengthen the system of international protection and meet more fully the requirements of the Common European Asylum System”. A spokesperson for the UN said in late October that around two thirds of those trying to cross the seven-metre (23-foot), triple-layer border fence into Melilla were from countries torn by war, violence and persecution, including Syria, Central Africa Republic and Mali. In 2013, around 4,200 people entered the enclaves illegally by land and sea, he said. ""So far this year, over 5,000 people have arrived, including 2,000 people fleeing the conflict in Syria, of whom 70 percent are women and children,"" he added."
