href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.se/20160104/why-do-refugees-prefer-sweden-to-denmark,refugee,677,"
				4 January 2016
				13:34 CET+01:00			 
					13:34 CET+01:00				", The Local,Why do refugees prefer Sweden to Denmark?,"Border controls were recently reinstated between Denmark and Sweden. But The Local looks into why so many new arrivals would still rather seek asylum east of the famous Öresund bridge.
1. It's a numbers game
Put simply, Sweden takes in more asylum seekers per capita than any other EU nation, while Denmark has a track record for adopting some of the toughest immigration policies in Europe.
Almost 163,000 refugees sought asylum in Sweden in 2015, according to the country's migration agency, compared to Denmark's 18,000.
Around 9.5 million people live in Sweden while there are 5.6 million in Denmark.
2. Sweden has offered permanent residency to all Syrian arrivals
Refugees fleeing the violence in Syria make up the largest proportion of people seeking asylum across Europe and in 2013 Sweden became the first country in Europe to rule that all refugees from the war-torn nation would be granted permanent residency in the light of the worsening conflict.
However the Swedish government announced plans to tighten the rules again again in November 2015.
Denmark introduced temporary one-year permits for Syrian refugees last year with the stated intention of sending them back home ""as soon as conditions improve"" in the war-ravaged country.
A refugee at Malmö train station in southern Sweden. Photo: Andreas Hillergren/TT
3. Many refugees already have family in Sweden
Given the huge numbers of Syrians who have already been given protection in Sweden (16,785 in 2014 alone), it is unsurprising that many refugees would prefer to set up home close to friends and family.
Sweden has previously offered residency permits to immediate family members of those already granted asylum (husband, wife, partner and children - under the age of 18), but announced stricter time limits in November.
Last year, Denmark said it would only allow for family reunifications if a refugee's initial one-year residency permit was renewed, a move heavily criticized by the United Nations Refugee Agency and others.
4. Sweden offers strong social benefits for refugees
Asylum seekers are offered immediate emergency accommodation on arrival in Sweden before being relocated to temporary housing. Single adults are given a daily benefit of 71 Swedish kronor per day (2,159 kronor or $256 per month), with more available for those with families.
Those granted asylum are then given help finding accommodation, are entitled to free Swedish for Immigrants lessons and may also be offered an 'introduction benefit' from Arbetsförmedlingen, Sweden's Employment Agency, giving them an income of 6,468 Swedish kronor per month ($769) while they search for work.
Denmark also offers social benefits and free language lessons for immigrants. But while it is generally more expensive to live in Denmark than in Sweden, the Danish government has recently slashed the amount of so-called 'integration' money it gives to new arrivals by 45 percent to 5,945 Danish kroner ($891) for a a single adult with no children. This too was subject to criticism from the United Nations and humanitarian organizations.
Temporary accommodation for refugees in Märsta, Sweden. Photo: Maja Suslin/TT
READ ALSO: 'It was a long journey and some of my friends died'
5. Global reputation
Sweden has an international image of openness and tolerance. The current government is a Social Democrat-Green coalition which has spoken out strongly in favour of helping refugees. However it announced in October 2015 that pressure on resources meant that it could no longer guarantee accommodation for everyone. Meanwhile, the anti-immigration Sweden Democrat party is growing in popularity, but is not part of the government or the country's main centre-right opposition Alliance bloc.
By contrast, Denmark's new single-party government is led by the right-of-centre Venstre, which needs the support of the anti-immigration Danish People's Party to push its agendas through parliament.
The Danish government recently launched an information campaign in foreign newspapers to deter refugees from setting foot on Danish soil. Even the country's former centre-left government headed by Helle Thorning-Schmidt touted a hard-line approach to refugees and immigrants, a record that came back to haunt her on Wednesday when she was passed over for for the position of UN High Commissioner for Refugees."
https://www.thelocal.se/20180504/swedish-social-democrats-aim-to-halve-refugee-numbers,refugee,604,"
				4 May 2018
				12:21 CEST+02:00			 
					12:21 CEST+02:00				", The Local,Swedish Social Democrats want to halve refugee numbers ,"Sweden's ruling Social Democrats have announced a bid for new asylum restrictions aimed at halving the number of refugees coming to the country, if they win the election in September.
The new migration policy promises to stop those who have had their applications rejected from receiving any social support in Sweden, and even goes so far as to ban their children from attending schools.
Immigration minister Helene Fritzon said at a press conference that Sweden should be taking in around 14,000 to 15,000 asylum seekers, much fewer than the 27,000 who came to the country in 2017, although she said she did not want to give an exact target.
""Even if the number of asylum seekers has dropped significantly in Sweden, it is significantly higher than [what it should be given] our population share in Europe,"" Fritzon said, according to Expressen. ""Not quite double, but close to it.""
The proposed policy, called ""A Safe Migration Policy for a New Time,"" includes tough new measures to reduce the number of asylum seekers in the country.
It vows to make the current temporary restrictive asylum rules voted through in 2016 permanent until the EU agrees on new rules.
It promises to further strengthen ID controls, increase the number of places in secure asylum facilities, and limit the ability of those given asylum to choose where they live.
It is particularly harsh on those who have had applications rejected, doubling the time they need to wait before making a new application, and banning them from ever returning if they do not leave Sweden voluntarily.
Local municipalities will also be stopped from giving rejected asylum seekers social support. Asked by the TT agency if this included stopping children from attending school Prime Minister Stefan Löfven said:
""No, exactly. First and foremost you are to return. Then exactly what happens in each situation, if it takes a long time to return, that's a different thing. But the principle has to be that yes is yes and no is no. If you have no right to be in Sweden, then you cannot benefit from Swedish welfare,"" TT quoted him as saying.
However, Fritzon later said on Facebook that not allowing children to attend school was not part of the proposal.
Earlier in the day, Löfven said in a press conference that the 2015 refugee crisis, when a record 163,000 people applied for asylum, had shown that Swedish migration policy needed to be reformed.
""It became particularly clear after the autumn of 2015 that Sweden's migration policy was not sustainable,"" he said.
""That only a few EU countries took their part in the responsibility during the refugee crisis was a major blow, and shows clearly the importance of a common system with a functioning regulatory framework.""
The unexpectedly harsh election pledges drew a strong reaction from the Green Party, the Social Democrats' coalition partners in the government.
""It's no secret that it is we who have been standing up for humanism at the negotiating table,"" Maria Ferm, the party's migration spokeswoman told Expressen.
Johan Forssell, immigration spokesman for the opposition Moderate Party, asked how the Social Democrats could claim to have a restrictive policy when they have just announced an amnesty giving temporary residency rights to 9,000 former unaccompanied minors who have had their applications rejected.
pic.twitter.com/wDXL23affd
— Johan Forssell (@JohanForssell) May 4, 2018
The Social Democrats, and other parties, have sharpened their rhetoric on immigration in recent months, in an attempt to claw back votes from the anti-immigration Sweden Democrats ahead of the September election. Last month Löfven vowed to tighten rules for labour immigrants coming to Sweden to work."
https://www.thelocal.se/20180219/suicides-higher-among-refugee-youths-in-sweden,refugee,609,"
				19 February 2018
				16:06 CET+01:00			 
					16:06 CET+01:00				",Louise Nordström ,Suicide rate higher among refugee youths in Sweden,"A new report shows that the number of reported suicides among unaccompanied minors in Sweden is nine times as high as that among their Swedish peers. ""It's atrocious, and very worrying,"" officials say.
Last year, 12 suicides were reported among unaccompanied refugee children and youths in Sweden, compared with fewer than 10 reported cases in 2016, and zero in 2015.
""It's nine times as high if you compare it to children and youths of the same age group who grew up in Sweden,"" Petra Rinman, head of the department for Knowledge-Based Policy of Social Services, Unaccompanied Minors Centre, at the National Board of Health and Welfare, told The Local. ""It's atrocious and very, very worrying.""
The report said that among unaccompanied minors and youths in Sweden between 10 and 21 years of age, the suicide rate in 2017 was 51.2 per 100,000, compared with just 5.2 per 100,000 among their Swedish peers.
""We already knew that the number was high, which is why we commissioned this report, but it's really horrifying,"" Rinman said.
The report, commissioned by the National Board of Health and Welfare and conducted by researchers at the Karolinska Institute, found that all reported cases in 2017 were among males between 10 and 21 years of age, with a majority of them originating from Afghanistan who were waiting for their asylum requests to be processed.
READ ALSO:
24 hours on Stockholm's streets with refugee protesters
Support provided to refugee children in Sweden inadequate: report
Rinman said that multiple factors play into these youths' mental welfare. ""A lot of them have lived through traumatic experiences before even leaving their homeland – they've been child labourers, suffered abuse or have little or no schooling – and then also during their journey to Sweden, and finally when they actually get here.""
She said that for some of them, the long asylum process once they arrive in Sweden means that they turn 18 – and therefore fall under the asylum procedure for adults – while they are still waiting, meaning they no longer have the same rights and security as they did when they were considered children.
""It's an enormous stress,"" she said, adding that while still under 18 and considered a child, they are under the responsibility of a municipality which is obliged to place them in school and a safe place to stay.
""Once they turn 18 they come under the responsibility of the Migration Agency, and have to move (to asylum accommodation run by the agency). It's a big risk factor because it means they are uprooted from the school they go to, the home they're staying in and other social factors that provide them with security.""
Rinman said that to prevent suicides, this particular group needs a safe and secure environment – in particular having a stable home and schooling – as well as having psychological and social support more readily available.
Ellenor Mittendorfer-Rutz, one of the authors of the report, told The Local that although the suicide rate is already very high, the real rate for the period between 2015 and 2017 is most likely even higher due to difficulty of accurately tracking these children and youths because of their lack of Swedish social security numbers (personnummer). ""And what we're talking about here are just cases that have been reported, with most of the information supplied by charity organizations,"" she said.
At the end of 2015, a total of 40,574 asylum-seeking unaccompanied children and youths between 10 and 24 years of age were registered with the Migration Agency, at the end of 2016, some 35,411 and at the end of 2017, the number came to 23,425."
https://www.thelocal.se/20170819/massive-show-of-support-for-refugees-youths-protesting-swedens-afghanistan-deportations,refugee,294,"
				19 August 2017
				18:17 CEST+02:00			 
					18:17 CEST+02:00				",TT/The Local,Massive show of support for refugee youths protesting Sweden's Afghanistan deportations,"Some 1000 people on Saturday joined the Afghan youths who are holding a sit-down protest in Stockholm against Sweden's deportations to Afghanistan.
Participants in the Saturday demonstration formed a human chain in front of the youths in the Medborgarplatsen square in Stockholm, holding up white sheets of paper with red hearts on.
The lone refugee youths have now been protesting for nearly two weeks, demanding Sweden stop deportations to Afghanistan.
In an open letter to the Swedish Migration Agency (Migrationsverket) Director-General Mikael Ribbenvik they ask: ""Is Sweden really a moral country when you say to Swedes not to travel to Afghanistan when it is dangerous, but you think it's safe for us young people to live there? It's not human.""
READ ALSO: 'When you leave your house in the morning you can't be sure you'll come home. That's what Afghanistan is like'
Having originally staged their protest outside the Riksdag (parliament) building, the Afghan youths were forced to move to Medborgarplatsen after they were attacked by right-wing extremists on August 8th.
""It feels as though you can choose between being passive or showing where you stand. And when it comes to children it's an easy choice,"" 41-year-old protester Frida Beckman told TT newswire.
Counter-protesters from the Facebook group ""Stå upp för Sverige."" Photo: Jonas Ekströmer/TT
On the opposite side of Medborgarplatsen around 100 counter-protesters gathered, summoned through a Facebook group called ""Stå upp för Sverige"" (Stand up for Sweden). They chanted ""Out with the scum"" and ""No Afghans on our streets.""
READ ALSO: Sweden rejects 'world's oldest refugee's' asylum application
There were no confrontations between the two sides, the police said, except two of the counter-protesters were taken away by police after they had mixed in with the youths and started chanting amongst them."
https://www.thelocal.se/20170309/how-sweden-handled-the-refugee-crisis-report,refugee,411,"
				9 March 2017
				17:26 CET+01:00			 
					17:26 CET+01:00				",TT/The Local,How Sweden handled the refugee crisis: report,"Swedish authorities were unprepared for the large number of refugees who came to the country in the autumn of 2015, a report on how the situation was handled has determined.
""Government agencies were not prepared, but that's not particularly strange, because they could not know how many were going to come,"" report author Gudrun Antemar told a press conference on Thursday.
Antemar, the head of Stockholm District Court, investigated how the migration situation was handled in the autumn of 2015, the year when Sweden took in an unprecedented 163,000 asylum seekers.
""The Migration Agency prioritized the acquisition of accommodation, and it succeeded in living up to its ambition of organizing a roof over the heads of everyone who came, apart from on one single night,"" reads the report, describing the situation as ""intense"".
It states that Sweden could have been more prepared if authorities had properly analyzed indications that more people than previously thought were likely to come, and taken these predictions more seriously.
""If the early information that was available had been considered and used – despite the fact that it was by no means complete or analyzed – it could have meant better preparedness for the course of events that was to unfold,"" reads the report.
But thanks to the hard work of staff and volunteers, Sweden managed to cope well with the situation on the whole, according to the report.
One of the flaws however was a delay in registering those who arrived, in particular children who came without parents. An effect of this was that an unknown number of refugee children were in the country and were placed in homes that had not been properly investigated.
""It's about the safety of the children,"" Antemar told the press conference.
Gudrun Antemar and Interior Minister Anders Ygeman. Photo: Anders Wiklund/TT
The report states that because of the knowledge gathered at the time, Sweden would today be better prepared to handle a similar situation in the future: ""The experiences that have now been gained of refugee reception mean that better knowledge is available and conditions are better for a good reception system when the numbers of refugees choosing to come to Sweden increases.""
Sweden has since tightened its borders and asylum rules. A review last year by the country's state auditor, Riksrevisionen, criticized the border controls. Thursday's report however finds that the government had good reasons to introduce the temporary controls, without saying whether they should be kept in place."
https://www.thelocal.se/20150906/thousands-to-rally-for-refugees-in-stockholm,refugee,797,"
				6 September 2015
				09:44 CEST+02:00			 
					09:44 CEST+02:00				",Oliver Gee,Swedish PM: 'My Europe takes in refugees',"UPDATED: Swedish Prime Minister Stefan Löfven called on Europe to do more to help refugees as thousands of Stockholmers gathered at a pro-refugee demonstration on Sunday.
Thousands of umbrella-holding Stockholmers braved heavy rain on Sunday afternoon to take part in a rally in support of refugees, an idea inspired by similar demonstrations in Germany and Austria last month.
Prime Minister Stefan Löfven gave a rousing speech in which he urged Swedes and Europeans to do their part to help out.
""We need to decide right now what kind of Europe we are going to be. My Europe takes in refugees. My Europe doesn't build walls,"" he said.
Prime Minister Löfven speaks to the crowd. Photo: TT
Löfven added that Sweden must ""continue to take its responsibility"" and that ""all of Europe needs to do more"".
""Today is not the day to point fingers, it's the time to find solutions. This is the Sweden that I lead, and this is the Sweden I love,"" he concluded.
""It's cold and wet but it's warm inside"" says Anders Lindh, 20, pointing to his heart #refugeeswelcome #Stockholm pic.twitter.com/QEne8Z0xLK
— Maddy Savage (@maddysavage) September 6, 2015
Over 30,000 people registered their support on Facebook for the ‘Refugees Welcome’ demonstration, which took place at Medborgarplatsen, a square in Södermalm.
Media estimates suggested that around half of that figure attended the event, but organisers said they still considered it a triumph given the poor weather.
It's perhaps no surprise that Stockholmers were so keen to show their support - an opinion poll published on Sunday in the Aftonbladet newspaper showed that a majority of Swedes are supportive of refugees.
When 1,200 people were asked on Friday if they were prepared to help out refugees, two in three said yes, with 54 percent responding ""yes, absolutely"". Respondents defined help mostly as donating clothes or money. Less than 15 percent said they didn't want to help at all.
""It's very important to show what the public opinion is,"" one demonstrator at the rally, Arizo, 32, told The Local.
""We are a progressive people, we are tolerant and we don't want to just stand by and watch people dying in the Mediterranean, to protect our borders,"" she added.
Prime Minister Stefan Löfven on hand at the rally. Photo: TT
The event was supported by numerous charities including Rädda Barnens Ungdomsförbund (Save the Children’s youth wing), Ungdom mot rasism Stockholm (Young people against racism in Stockholm) and Röda Korsets Ungdomsförbund (the youth arm of the Red Cross in Sweden).
Elisabeth Dahlin (pictured below), Secretary General of Rädda Barn, was another speaker at the rally.
Elisabeth Dahlin at the rally on Sunday. Photo: The Local
In an interview with The Local just ahead of the demonstration Dahlin said:
""This issue has become much more visible over the past seven or eight days. People realise that this is something happening on our own shores and I really think the wind has changed. This is the top issue that people are discussing at work and around the kitchen table.""
Police and media starting to arrive for #refugeeswelcome rally which starts at 4pm #thelocalsweden #jagdelar pic.twitter.com/cRxm9J8lCq
— Maddy Savage (@maddysavage) September 6, 2015
""I will talk a lot about the fact that Europe has to live up to its standards. It’s supposed to be based on human rights and solidarity. Yet in a place where there are 500 million people the countries can’t agree on how 66,000 people should be given safety.""
The rally was also supported by youth wings of political groups from across the spectrum, with young Feminist Initiative and Left Party supporters joining members of all of Sweden’s major centre-right Alliance parties.
Hanna Cederin, head of the Left's youth movement told The Local that she was at the march to push for action from Sweden's government.
""It can't just stay symbolic...we can't just say the words, we need to act as well,"" she said.
The Stockholm rally was organised before images of a dead Syrian child washed up on a Turkish beach sparked debate around the world on Thursday, but gained momentum in the wake of international discussions about the photos.
READ ALSO: 'Sweden was right, the UK should be ashamed'
Aylan Kurdi, 3, was found dead on a beach in Turkey. Photo: Uncredited/TT
Medborgarplatsen, Stockholm. #flyktingar pic.twitter.com/pma55gF4cO
— Henrik Brors (@henrikbrors) September 6, 2015
Sweden currently takes in more asylum seekers per capita than any other EU nation. But while many Swedes have rushed to show their support for refugees in recent days, the nationalist Sweden Democrat party, which backs slashing immigration, is growing in popularity. Polls suggested last month that it is now supported by at least 18 percent of voters, in contrast to the 12.9 percent it polled a year ago in the last general election."
https://www.thelocal.se/20171127/swedish-government-to-announce-decision-on-refugee-minors,refugee,637,"
				27 November 2017
				15:21 CET+01:00			 
					15:21 CET+01:00				", The Local,Swedish government announces decision on refugee minors,"The Swedish government has reached a compromise which will mean many unaccompanied minors get the chance to stay in Sweden.
Minors who arrived in Sweden before November 24th 2015 – when Sweden's temporary tighter asylum rules came into effect – who waited more than 15 months to get their application processed and turned 18 in the meantime will have the right to have their case reassessed in order to finish school in Sweden, the government said on Monday.
Representatives from the Social Democrats and Green Party made the announcement on Monday afternoon, though they said that parliament would have to approve the proposal before it came into effect. The law is expected to come into effect by summer 2018 if parliament gives it the green light.
""We know that there are many people in many parties who see this problem, so we expect that there will be a desire to solve this in many parties,"" said Gustav Fridolin, Green Party spokesperson.
His colleague Isabella Lövin said that the proposal would apply to ""most people"" who applied for asylum before November 24th 2015, but Migration Minister Heléne Fritzon said it was difficult to give a precise figure as to how many would be affected.
Alexandra Segenstedt, a senior adviser on migration policy at the Swedish Red Cross, told the TT newswire: ""This will hopefully bring more security and the possibility to stay in Sweden, but we can see that there are many people who won't be affected.""
""We had hoped that they would look at the consequences this law has had in a more serious way before taking this decision,"" she added, referring to the temporary asylum law introduced in 2015.
The issue of unaccompanied minors who applied for asylum in Sweden has divided the government. One of the major issues is that slow processing times by the Migration Agency meant that many of those who arrived in Sweden as minors turned 18 during the months spent waiting for an asylum decision.
This means that they were processed as adults rather than minors, who can only be deported if family members or other guardians can give them a home.
The Green Party has said that these people should have the chance of a reassessment, due to the long waiting times, however the Social Democrats have been reluctant to agree to this.
In 2015, around 31,000 unaccompanied minors applied for asylum before the tighter rules were introduced in November, of which 28,400 have received a decision. Of those, a slim majority (13,400) have been allowed to stay in Sweden, while 11,500 have been rejected and the remaining 2,700 have had their cases cancelled, for example if the application was withdrawn.
Of the 11,500 whose applications were rejected, 2,150 were aged under 18 when they received the decision.
In October this year, the Council of Europe's Commissioner for Human Rights called on Sweden to improve its asylum laws and “move beyond emergency mode”, particularly in cases involving unaccompanied minors.
One of the main groups affected are minors from Afghanistan, after Sweden's Migration Agency declared many parts of the country safe enough for people to return to. Several deportation flights have already taken off, returning minors to Afghanistan, despite protests from several groups including Amnesty International, which said the deportations went against international law and should be stopped immediately.
Hundreds of young Afghans staged a weeks-long sit-down protest in central Stockholm earlier this year. They were joined by hundreds of members of the public, and Swedish teachers also protested the planned deportations. The Local spent 24 hours with the protesters.
READ ALSO: 24 hours on Stockholm's streets with refugee protesters
Following the protests, Sweden's parliament debated once again how to respond, with the Social Democrats dismissing the demands, but the Green Party arguing that the refugees should be given a chance."
https://www.thelocal.se/20150903/five-ways-to-help-refugees-if-you-live-in-sweden,refugee,906,"
				3 September 2015
				14:19 CEST+02:00			 
					14:19 CEST+02:00				",Maddy Savage,How to help refugees if you live in Sweden,"The Local looks at some of the ways you can help refugees if you live in Sweden, which is continuing to take in more asylum seekers than any other EU nation.
1. Donate money
You don't need to leave your sofa to help fund emergency humanitarian assistance and support to refugees arriving at Europe's borders. If you have a Swedish mobile it takes seconds to send a text offering a donation that will be added to your next bill.
An emergency package put together by the UN's refugee agency (UNHCR) containing a towel, a blanket, water, food, clothes and shoes costs 225 kronor. Text HAV150 to 72980 to donate 150 kronor or go to www.fnflykting.se where you can donate any amount.
The Red Cross (Röda Korset) provides humanitarian relief including medical care and psychological support for refugees. Text ACUTE 100 to 72900 to donate 100 kronor or log on to www.redcross.se
Meanwhile Save the Children (known as Rädda Barnen in Sweden) is focusing its efforts on helping child refugees to secure new, safe homes in Europe. Text Katastrof100 to 72911 to donate 100 kronor or head to www.raddabarnen.se
Many charities accept donations via text or Swish. Photo: Christine Olsson/TT
2. Pass on unwanted clothes - or buy them
A Swedish group called Vi gor vad vi kan (We do what we can) is coordinating efforts to collect clothes, shoes, blankets and sleeping bags to send to refugees arriving in the Mediterranean.
Alternatively, you can take clothes and toys directly to asylum processing centres in Sweden where refugees have already arrived. Find out where your nearest one is on the Swedish Migration Agency's website (Migrationsverket). Some local branches of the Swedish Church (Svenska Kyrkan) also accept donations, as do Swedish mosques. The charity Islamic Relief welcomes donations at Stockholm's mosque in Medborgarplatsen at fixed times on Mondays, Wednesdays and Fridays, depending on storage space.
Going shopping yourself can also make a difference as proceeds from some second hand stores - such as those run by the Red Cross (Röda Korset) - go directly towards helping vulnerable refugees.
Refugees examining donated clothes. Photo: Marcus Ericsson/TT
3. Offer a spare room
Yes we know Sweden's big cities have a housing crisis, but if you are in a position to offer a spare room to refugees - especially unaccompanied children - some local authorities have launched schemes designed to help facilitate this. Solna, north of Stockholm, for example says it is in desperate need of volunteer foster parents while Götene in west Sweden has put out an appeal for families who are ""open and curious"" about other cultures to help provide support to vulnerable young asylum seekers, by offering them a room in a family home.
Contact your municipality to find out more about the situation in your area.
Have you got a spare room? Photo: Fredrik Sandberg/TT
4. Sign up for a volunteering project
Numerous Swedish charities offer would-be volunteers the chance to meet and help refugees in person. The Red Cross (Röda Korset) for example sends teams into almost 150 asylum accommodation centres across Sweden where they help with language training and organizing sport and social activities.
It's worth noting that while Sweden offers free language classes for immigrants (SFI courses) these are only available for those who have been granted residency and given a personal number. With many refugees facing increasingly long waits to have their paperwork processed, locally-organized initiatives to help new arrivals pick up Swedish are in high demand.
Studiefrämjandet, which organises recreational courses for Swedish residents, is also starting study-circle teams to help refugees engage in ""meaningful activities"" before they can legally start work or formal studies.
Kompis Sverige is a Swedish charity designed to help connect long-term residents with what it calls ""new Swedes"". Each pair is asked to meet up regularly to talk and share their different perspectives on life in Sweden. The buddy scheme is currently running in Stockholm and Lund. Volunteers currently need to be fluent in Swedish in order to participate.
Love cooking? Invitationsdepartementet is a not-for-profit initiative that puts Swedes in touch with immigrants who want to practise their Swedish over dinner.
Or why not organize your own food, sport or arts-based event designed to encourage cross-cultural links in your neighbourhood.
Want to introduce some new arrivals to your favourite Swedish dish? Photo: Janerik Henriksson / TT
READ ALSO: How I got immigrants and Swedes dining together
5. Book a flight to Greece
While some holiday makers - notably Brits - spent the summer complaining about the sight of refugees in Calais or in the Mediterranean, plenty of Swedes and Danes checked in an extra bag of unwanted clothes and took it to the Greek islands or Turkey, to help migrants arriving by boat there.
Nordic tour operators including Ving and Spies even offered the option for free to customers flying out of Stockholm and Copenhagen during the high season.
Other travellers took matters into their own hands and arranged their own trips.
With temperatures still topping 20C in Greece in November and December, heading to the Mediterranean is still an idea worth thinking about as Sweden's dark winter gets under way. We recommend checking with charities first, to find out how you can best get involved with existing projects.
READ ALSO: Eurostar nightmare: 'We can hardly complain'
Ving staff handing out donations in Greece. Photo: Ving
READ ALSO: How to help refugees if you live in Austria"
https://www.thelocal.se/20170818/sweden-rejects-worlds-oldest-refugees-asylum-application,refugee,373,"
				18 August 2017
				07:36 CEST+02:00			 
					07:36 CEST+02:00				",Emma Löfgren,Sweden rejects 'world's oldest refugee's' asylum application,"Bibihal Uzbeki, 106, travelled to Sweden from Afghanistan with her family to seek asylum. She has now been told to leave after her application was rejected, reports Blankspot.
Uzbeki, from Kunduz, Afghanistan, was nicknamed ""the world's oldest refugee"" when international media spoke to her in a Croatian migrant camp in 2015, when around 163,000 people sought asylum in Sweden.
Uzbeki being helped in a refugee camp in Croatia in 2015. Photo: AP Photo/Marjan Vucetic
She and her family had fled from Afghanistan via Iran, Turkey and Greece, and eventually ended up in Skaraborg county, Sweden. Uzbeki's son and grandchildren took turns to carry her on their backs.
“We had problems many times. I suffered a lot,” Uzbeki told The Guardian in 2015. “I fell and injured my head. I have scars on my head.”
“It was a difficult journey for the whole family. We carried her until we reached Germany, there a doctor finally gave us a wheelchair,” her son Mohammadhulla told Skaraborg Läns tidning in 2016.
But in June her application for asylum in Sweden was rejected, reports Swedish crowd-funded journalism site Blankspot.
According to the Migration Agency's decision Uzbeki must now return to Afghanistan, or to any other country willing to take her in.
The decision has been appealed to the Migration Court.
Sweden has been called on to suspend deportations to Afghanistan over the deteriorating security situation in the country. However, it has so far said that it will not, and is monitoring the situation.
“Migrationsverket constantly follows the security situation in Afghanistan, and our assessment is that the situation in the country is serious and has deteriorated in the last year. But there are still big differences between different parts of the country, and our assessment is that the conflict has not reached a level where it impacts all of the country – in other words, the level required for everyone who comes from there to have the right to stay,” the Migration Agency has said in a written statement.
Recommended reading:
Afghan refugee youths protest against deportations: 'When you leave your house in the morning you can't be sure you'll come home. That's what Afghanistan is like'
Uzbeki in the refugee camp in Croatia. Photo: AP Photo/Marjan Vucetic"
https://www.thelocal.se/20160712/most-swedes-think-refugees-make-their-country-stronger-survey,refugee,487,"
				12 July 2016
				15:51 CEST+02:00			 
					15:51 CEST+02:00				", The Local,Most Swedes think refugees make country stronger: poll,"Well over half of Swedes think that refugees make their country stronger, according to the results of a new survey of ten European nations conducted by the Pew Research Center.
Asked whether refugees make their country stronger because of their work and talents, 62 percent of Swedish respondents agreed with the statement, the highest of any nation surveyed.
Germany produced the second highest number of respondents in agreement with that statement, with 59 percent, while both Greece and Hungary had the lowest at nine percent.
Sweden also produced the highest number of respondents (36 percent) who said that having an increasing number of people of different races, groups and nationalities makes their country a better place to live, though more Swedes (38 percent) said it doesn't make much difference either way.
Sweden was one of the EU states that took in the highest number of refugees per capita during the height of the refugee crisis in 2015, receiving a record 163,000 asylum requests that year.
Issues around immigration are a major talking point in the Scandinavian country at the moment, and answers in other parts of the Pew Research Center survey show just how varied and divided Swedish opinions on refugees can be.
When asked whether refugees were more to blame for crime in the country than other groups, for example, 49 percent of Swedes said they were not, compared to 46 percent that said they were.
The 46 percent of Swedes that said refugees were more to blame for crime in the country meant Sweden produced the second highest proportion of respondents of that opinion however, trailing only Italy (47 percent).
Attitudes towards jobs and welfare in relation to refugees were far clearer. Only 32 percent of Swedes said they think refugees are a burden on their country because they take jobs and social benefits – well below the median of 50 percent – and the second lowest behind Germany (31 percent).
And when it came to national identity and traditions, Sweden was also largely unfazed. Sweden produced the highest number of respondents (45 percent) who said that being born in the country was ""not at all important"" to be truly Swedish. There were also more Swedish respondents (34 percent) who said it was ""not very important"" than from any other nations.
Sweden had the lowest number of respondents meanwhile (26 percent) who thought that sharing Swedish customs and traditions is “very important” in order to be truly Swedish.
Perhaps unsurprisingly in famously secular Sweden, adhering to the country's dominant religion also appears to be of little importance for many. The majority (57 percent) said that being Christian is “not at all important” in order to be truly Swedish, the joint highest proportion of respondents from any of the nations surveyed to provide that answer.
The Pew Center's survey was conducted between April 4th and May 12th 2016, and took in the opinions of 11,494 respondents."
