href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.ch/20180511/asylum-seekers-to-be-allocated-to-cantons-using-artificial-intelligence,asylum seeker,377,"
				11 May 2018
				09:51 CEST+02:00			 
					09:51 CEST+02:00				", The Local,Asylum seekers to be allocated to cantons using artificial intelligence,"The government is to launch a pilot project that uses artificial intelligence to decide where to place asylum seekers to improve their chances of finding a job.
From September 1,000 people who have lodged an asylum application will be allocated to different cantons using a computer algorithm developed by researchers at the ETH Zurich and Stanford University in the United States, SRF television’s 10vor10 news programme reported.
Instead of distributing applicants randomly, as at present, the authorities will be able to place them in the cantons where they have the best chances of employment.
At present only 15 percent of asylum seekers have managed to find a job after three years, according to SRF.
It is hoped that using the computer programme the number finding work after three years will increase to 30 percent.
The algorithm calculates the right canton for the individual applicant on the basis of a number of factors including their age, country of origin, language and gender.
It decides which local area provides the best fit, taking into account the language spoken and the presence of ethnic minority networks.
This could mean placing a French speaker in western Switzerland where they can communicate rather than in a German-speaking canton where they cannot.
At the same time legal guidelines stipulating that different nationalities be distributed evenly among the cantons will continue to apply.
Daniel Bach, a spokesman for the State Secretariat for Migration, said the algorithm would take these regulations into account when it made its recommendations.
It could mean, for instance, that young Syrians are more likely to be allocated to rural cantons where agricultural work is available whereas older Syrians would be sent to cantons offering employment in the services sector, the newspaper 20 Minuten reported.
According to Professor Dominik Hangartner, the idea behind the algorithm is to find solutions that improve the asylum process and the level of applicants’ integration, a news release on the ETH website said.
“At the end of the day it eases the burden on government, cantons and communes if migrants can find work,” he said.
Hangartner said other countries were also interested in using the technology.
Only those asylum seekers considered to have the best chances of remaining in Switzerland will be included in the project."
https://www.thelocal.ch/20180528/pwc-eying-share-of-lucrative-swiss-asylum-seeker-industry,asylum seeker,261,"
				28 May 2018
				11:02 CEST+02:00			 
					11:02 CEST+02:00				", The Local,PWC eying share of lucrative Swiss asylum seeker industry,"Global professional services network PricewaterhouseCoopers (PWC) could join forces with the Swiss Red Cross in a bid that would see it providing legal advice to asylum seekers.
""I can confirm that we are following the call for bids with interest and see ourselves as potential participants,"" PWC spokesperson Eva Oberholzer told Swiss weekly NZZ am Sonntag.
Of the potential partnership with the Red Cross, she said: ""We are convinced that our core competencies will complement each other.""
Read also: Eritreans protest in Bern against tough new asylum laws
In the coming months, Swiss migration authorities are set to announce which services will be outsourced as part of sweeping changes to the country's asylum system. Those contracts are expected to worth a total in the hundreds of millions.
Among the reforms is access to free legal advice for asylum seekers, and it is this service that PWC has now said it may bid for.
The contract is thought to be worth 25–35 million francs a year.
The new reforms to the Swiss asylum system are designed to speed up the asylum process by guaranteeing faster deportation for people whose applications are rejected and more rapid integration into the job market for those given permission to stay.
To carry out these tasks the Swiss government has spent around 550 to 600 million francs on building and renovating 20 dedicated reception and processing centres.
Annual running costs are expected to be 150 to 200 million francs with many services going to external suppliers.
Read also: Switzerland's tough stance on immigrants criticised by Amnesty International"
https://www.thelocal.ch/20180206/switzerland-svp-pushes-ahead-with-plans-to-analyse-asylum-seeker-phones,asylum seeker,388,"
				6 February 2018
				15:30 CET+01:00			 
					15:30 CET+01:00				", The Local,SVP pushes ahead with plans to analyse asylum seeker phones,"A Swiss National Council committee has come out in support of a parliamentary initiative put forward by the country's right-wing Swiss People's Party (SVP) that would allow the electronic devices of asylum seekers to be checked for evidence of their identity.
Around 20,000 asylum seekers arrived in Switzerland without passports or other official identity documents in 2016. This makes the task of verifying their identity or country of origin difficult.
The SVP believes accessing the mobile phones, tablets and laptops could aid in this process and it has now won the backing of a lower house parliamentary committee which supported the move with 17 votes in favour and seven against.
“I am relieved. Anyone who is being followed, and is risking life and limb has no legitimate reason not to reveal their identity to the state that is offering them asylum,” said SVP national councillor Gregor Rutz, who initially put forward the proposal.
Explaining how the measure could work, Rutz told Swiss tabloid Blick that anyone who claimed they were Somalian but made a lot of calls to the Ivory Coast was giving probably giving up information about their real origin.
Rutz told Blick that anyone who refused to comply with the measure would be sent home. “With this new possibility we are sending out a clear signal that we don't accept fake asylum seekers. Then fewer people will come here because Switzerland is less attractive,” said the politician.
But Greens national councillor Sibel Arslan was quick to slam the measure, saying it would be an intrusion into the private life of those concerned. She described it as “legally dubious” and “disproportionate.”
Arslan said it was unclear what would be done with any data obtained and who would have access to this. She also noted there was a danger this was the start of a slippery slope with the practice being used for other purposes.
The national councillor went on to note that people who really wanted to hide their identity could use apps where data was deleted instantly or change their SIM cards over. “The proposal is a fake populist solution,” she said.
The SVP proposal is still some way from seeing final approval. It must now be looked at by an upper house committee before a possible vote in the Swiss parliament at a later stage."
https://www.thelocal.ch/20180920/swiss-senate-rejects-call-to-speed-up-deportation-of-failed-eritrean-asylum-seekers,asylum seeker,412,"
				20 September 2018
				09:24 CEST+02:00			 
					09:24 CEST+02:00				", The Local,Swiss senate rejects call to speed up deportation of failed Eritrean asylum seekers,"The upper house of the Swiss parliament on Wednesday came out against a motion pushing for Eritreans who have failed to win asylum in Switzerland to be sent home as soon as possible.
The motion put forward by the right-wing Swiss People's Party (SVP) comes in the wake of successive tightening of Swiss policy regarding Eritreans living in Switzerland on a temporary basis after failing in their bid to be granted asylum.
Those rulings stated that returning to people to Eritrea could not be ruled out in all cases, even when people returning could be forced to do national service.
Read also: UN condemns Switzerland over deportation of Eritrean torture victim
In the motion presented on Wednesday, SVP MP Andrea Geissbühler called for the Swiss government to begin talks with Eritrean President Isayas Afewerki aimed at facilitating the return of Eritreans to the Horn of Africa country. She cited a recent peace agreement between Eritrea and neighbouring Ethiopia as evidence the situation had improved in the region.
Currently, there is no bilateral agreement between Switzerland and Eritrea on the return of people to the African nation.
But Swiss Justice Minister Simonetta Sommaruga stated the Eritrean government had proved unwilling to negotiate on the return of people despite frequent attempts by Switzerland to build relationships and establish a diplomatic presence in the country, according to comments cited by Swiss state broadcaster SRF.
The senate on Wednesday also rejected a motion by a Geneva citizen's group calling for the Swiss government to relax the policy towards Eritreans living in Switzerland on a temporary basis.
However, the senate did end up accepting a motion from Liberals MP Damien Müller calling for Swiss authorities to push ahead as fast as possible of a planned full review of Eritreans living in Switzerland after seeing their bid for asylum turned down.
In comments made to Swiss tabloid Blick, Müller said the State Secretariat of Migration (SEM) was “doing good work” but that the agency needed to “hit the accelerator” to ensure the politicians did not lose their credibility in the eyes of the public.
In April, the SEM said it would conduct a full review of the around 3,400 Eritreans living as temporarily admitted persons in Switzerland following the recent court rulings regarding their status.
A recent pilot review of 250 cases found that around 20 Eritreans could be made to leave Switzerland, a decision criticised by rights group who argue the situation in Eritrea has not improved."
https://www.thelocal.ch/20170228/report-asylum-seekers-in-switzerland-are-too-restricted,asylum seeker,412,"
				28 February 2017
				10:27 CET+01:00			 
					10:27 CET+01:00				", The Local,Report: asylum seekers in Switzerland are too restricted,"Certain measures limiting the freedom of movement of asylum seekers in Switzerland are too restrictive and violate their fundamental rights, according to a new report.
Undertaken by the University of Zurich but commissioned by the Federal Commission against Racism (EKR), the report analyzed the legalities of limiting the freedom of movement of asylum seekers and found that it can only be done if it respects their fundamental rights.
Fundamental rights as laid out in the Swiss constitution “are conceived as human rights; they protect all human beings, and therefore asylum seekers, however precarious their right to stay in Switzerland,” said the report.
Measures restricting movement can only be applied to individuals who threaten security or public order, the EKR said in a statement .
Any such measures “should have a legal basis, be justified by public interest or serve to protect the fundamental rights of others,” it said.
Crucially, restrictions must also be proportionate.
As a result of the report, the EKR has laid out certain recommendations for federal, cantonal and communal authorities to follow, particularly specifying that an individual asylum seeker should only be subjected to a restriction on his movements if he poses “a concrete threat of a certain strength to security or public order”.
The report criticized current policy in federal-run centres for asylum seekers which fixes certain hours during which residents may leave the premises, a measure that, although it has a legal basis, is not proportional, it said.
“It serves to keep the centre running smoothly and helps the effective implementation of asylum procedures... but it goes beyond what is necessary,” it said.
What's more, imposing restrictions en masse that dictate where asylum seekers may or may not go when out in public “has no legal basis” and is not in the public interest, said the report.
The act of telling or showing an asylum seeker that he is not welcome in a certain public area, such as a park, can also be a violation of his fundamental rights, it added.
“Subjective feelings of insecurity and fear are not sufficient to limit the freedom of movement of asylum seekers,” it said.
“The public debate surrounding asylum seekers is too often used politically and to consolidate prejudices and negative stereotypes. ... Fundamental rights must remain at the heart of the country's asylum policy,” the EKR concluded.
In another report last week, human rights group Amnesty International also criticized Switzerland for its restrictions on the movement of asylum seekers."
https://www.thelocal.ch/20171007/swiss-police-kill-sri-lankan-asylum-seeker-brandishing-knives,asylum seeker,148,"
				7 October 2017
				17:52 CEST+02:00			 
					17:52 CEST+02:00				",AFP,Swiss police kill Sri Lankan asylum seeker brandishing knives,"Swiss police said on Saturday that an officer had shot and killed a Sri Lankan man after the man lunged at other asylum seekers wielding two knives.
The 38-year-old asylum seeker was mortally wounded at around 2:00am (0000 GMT) Saturday after he tried to stab two other asylum seekers who were in the company of police officers in the southern Italian-speaking region of Ticino, police said.
Officers had been called in to break up a fight in Brissago, on the shores of Lake Maggiore, and were on the ground floor of a building when the Sri Lankan attacked the other people, police said in a statement.
In a bid to protect those present, an officer had fired at the assailant.
Despite attempts to administer first-aid, the man died on the spot. No one else was injured, police said.
An investigation has been opened into the shooting, they added."
https://www.thelocal.ch/20180604/switzerland-wants-to-use-facebook-to-investigate-asylum-claims,asylum seeker,279,"
				4 June 2018
				08:34 CEST+02:00			 
					08:34 CEST+02:00				", The Local,Switzerland wants to use Facebook to investigate asylum claims,"Swiss authorities are looking into the possibility of using data on Facebook, Twitter and other social media platforms to investigate claims for asylum.
“The details that asylum seekers publish on social media may allow for conclusions to be drawn that are significant in asylum proceedings – indications about family relations, for example,” a spokesperson for the State Secretariat for Migration (SEM) told Swiss weekly NZZ am Sonntag.
The SEM has now set up a working group to look at “if, how and under what conditions” data on social media could be used in reviewing asylum applications, the spokesperson said.
Read also: PWC eyes share of lucrative Swiss asylum industry
The statement comes in the wake of a case of a Nigerian man who applied for asylum in Switzerland in 2016.
During a hearing into his application, the man who had no valid identity papers said he was being persecuted in his home country. However, he made contradictory statements about his background.
When his claims were investigated it emerged the man had not travelled to Switzerland from Nigeria but from Spain. Photos posted by his wife on Facebook showed that he had been living in Mallorca under a different name and had owned a business on the Spanish island.
Immigration authorities rejected the man's asylum claim and an appeal based on the fact the SEM had used Facebook posts as evidence was rejected.
Current Swiss asylum rules only state that authorities may make clarifications regarding an asylum seeker's identity”. NZZ am Sonntag, noted for example, that linguists are often used to investigate the identity of asylum seekers from Eritrea.
Read also: Eritreans protest in Bern against tough new asylum rules"
https://www.thelocal.ch/20130816/asylum-seeker-protests-anger-many-swiss,asylum seeker,665,"
				16 August 2013
				10:49 CEST+02:00			 
					10:49 CEST+02:00				",Nina Larson/AFP,Asylum seeker protests anger many Swiss,"The mayor of the tiny Swiss village of Kestenholz glances sadly around the empty asylum centre, his gaze resting on two massive metal bunks crammed with 12 bare mattresses.
""I really don't understand why this wasn't good enough,"" Arno Buergi says, furrowing his brow. Only two of the 12 male asylum seekers brought to this northwestern village last Friday are still staying at the makeshift centre. The others left shortly after they were ushered down the hard concrete driveway into the underground military shelter, heading to the train station in the nearby town of Solothurn in protest at living conditions they described as ""unworthy of a human being"". ""There's no air, no windows and 30 people sleeping together . . . that's not the way it should be,"" Turkish Kurd Abdullah Ochalan complained to public Swiss radio RTS before the protesters were cleared out of the train station early Tuesday. The protest made international headlines, especially as it came just days after revelations that another Swiss town was restricting access to some public spaces for asylum seekers. The men's quarters of the Kestenholz centre are cramped and the air is stuffy, but the living room, kitchen and bathroom are spacious and well-equipped. ""I think the accommodation is good,"" says Buergi, who took over as mayor just a week before the scandal broke. Walking around the shelter in a tee shirt, shorts and flipflops, he rests a hand on the flat-screen TV and nods towards the fussball table in the next room. ""The shelter is OK.,"" agrees Claudia Haenzi, the head of social affairs in the canton of Solothurn. ""It's completely new and renovated, so it's possible to live there."" The shelter, she says, is only a temporary solution while the village and canton search for more suitable housing. Human rights activists warn though that Switzerland, which in recent years has faced a spike in refugee numbers, is increasingly using its multitude of military shelters to house asylum seekers for ever longer periods. Denise Graf of Amnesty International's Swiss section says she knows of asylum seekers who were holed up for nine months in such shelters, which ""stink, there's no air, no light, and its always noisy."" But in the idyllic town of Solothurn, many people were outraged by the protest of the asylum seekers -- from Syria, Afghanistan and Turkey -- and Haenzi says police ended the demonstration because they feared the men would be attacked. ""Our system is the only one I know of where people are given an apartment, food and even money if they choose to go back home,"" says 50-year-old Maria Lutherbacher. ""Switzerland does too much already,"" she says. ""They shouldn't complain."" Fabio Jeger, also 50 and who heads a logistics company, agrees. ""I did my Swiss military service for several years, and lived in such buildings,"" he says. ""It's not a first class hotel, but you can live there."" The asylum seekers should be grateful for what they are given in Switzerland, he says, pointing out that ""it's surely better than the situation that they have at home"". Others though lament the lack of compassion. ""I think many are too quick to pass a harsh judgement on these people, who most often are really refugees,"" says 58-year-old Solothurn local Brigitta Huegin. ""Lots of people here say that if they're not happy they can just go back to where they came from, but often that is just not possible."" Matthias Schneeberger, 36, who is waiting for a train home to Bern at the end of his workday in Solothurn, meanwhile, says he understands that people might get upset at the protest. But it is wrong to compare housing conditions in the countries asylum seekers come from and the lodgings they are offered in Switzerland, which has been spared war and hardship for centuries, he insists. ""When you come here and see all of the wonderful infrastructure we have here,"" he says, ""it must be difficult to be asked to live (underground)."""
https://www.thelocal.ch/20170221/new-swiss-scheme-offers-apprenticeships-to-asylum-seekers,asylum seeker,277,"
				21 February 2017
				10:11 CET+01:00			 
					10:11 CET+01:00				", The Local,New Swiss scheme offers apprenticeships to asylum seekers,"A centre for asylum seekers in the canton of Bern has launched a new programme to help train its residents for potential jobs in Switzerland.
Over two thirds of the 100 residents at the Büren an der Aare centre have signed up for In Limbo, a voluntary scheme offering training in certain practical skills, such as repairing bicycles, doing laundry, growing vegetables or learning about beekeeping.
Volunteers may work on projects at the asylum centre itself – for example, cooking for residents, running a kiosk or doing the laundry – or in external businesses, such as a carpentry, garden centre or builder's yard.
The aim of the scheme is to give asylum seekers something useful to do while they await a decision on their asylum application, help them learn the local language and equip them with skills they could then use to find a job in Switzerland, if they are granted the right to stay, or to earn a living back in their home country if they return.
Those that take part in the programme will be given a certificate attesting to their new skills, which they can later use to help them find a job.
Participants also receive a small daily stipend for their work.
On a visit to the centre on Monday, justice minister Simonetta Sommaruga hailed the scheme as “very interesting and important”.
“Integration is a good thing both for the asylum seekers and for our country,"" she told news agency ATS.
""If they stay here... if they straight away start to learn our language and our way of life, afterwards it will be quicker for them to integrate in the world of work”."
https://www.thelocal.ch/20160310/policeman-exploits-asylum-seeker-in-sex-for-favours-case,asylum seeker,245,"
				10 March 2016
				10:37 CET+01:00			 
					10:37 CET+01:00				", The Local,Policeman exploits asylum seeker in sex-for-favours case,"An ex-policeman who demanded sexual favours from an asylum seeker in exchange for promising to help him has been found guilty by a Swiss court.
The events took place in 2010 when the now 63-year-old, who was still in the police force at the time, first met the Iraqi man at a police station in Granges-Paccot in the canton of Fribourg, reports news agency ATS.
On three subsequent occasions he demanded fellatio from the asylum seeker, promising to support his asylum application in return, the court heard.
Though the defendant denied the charges, the court found his testimony to be inconsistent and sometimes incoherent, said ATS.
In contrast the court found the Iraqi to be a credible witness, acknowledging that it was not easy – either linguistically or culturally – for him to speak about fellatio and homosexuality.
According to ATS it wasn't the Iraqi who reported the policeman's actions but a third person, a witness in another case that involved the plaintiff.
The Iraqi told a hearing on February 23rd that he had tried to forget about what had happened, because it upset him to talk about it.
In response to the charges, the ex-policeman said the asylum seeker had promised him information about drug trafficking and wanted to take revenge after realizing that he wouldn't get any help in return.
The defendant was found guilty of causing distress and passive corruption and given a suspended sentence of 15 months.
He intends to appeal."
