href,keyword,word_count,info,author,headline,article_text
https://www.aljazeera.com/news/2018/11/migrant-caravan-mexico-city-bus-offer-withdrawn-181104071613172.html,migrant,51,Sun Nov 04 2018 07:16:13 GMT+0000,None,Migrant caravan: Mexico City bus offer withdrawn,"Thousands of Central American migrants are walking north towards Mexico City, after an offer of free bus rides was withdrawn.
President Donald Trump has threatened to use the military to stop them from crossing into the United States, which is their final destination.
Al Jazeera's Manuel Rapalo reports from Mexico City."
https://www.aljazeera.com/news/2018/11/migrant-caravan-parents-sue-trump-proposed-border-policy-181102204344785.html,migrant,622,Fri Nov 02 2018 23:26:33 GMT+0000,Sandra Cuffe,Migrant caravan parents sue Trump over proposed border policy,"Mexico City - Parents travelling in a US-bound caravan of thousands of Central American migrants and refugees are taking legal action on behalf of their children against US President Donald Trump's border detention plans.
The parents of six minors, all currently travelling north through southern Mexico, are the plaintiffs in a civil action filed Thursday in a District of Columbia court against Trump and nine top Trump administration officials.
The suit claims Trump ""continues to abuse the law, including constitutional rights, to deter Central Americans from exercising their lawful right to seek asylum in the United States"".
Thousands of Central American migrants and refugees are collectively fleeing north. The Mexican government is processing more than 2,000 requests for asylum. Thousands more are expected to continue to travel north to request asylum in the United States.
An initial caravan departed from Honduras last month and is now making its way through the southern Mexican state of Oaxaca. Other large groups from Honduras and El Salvador are following behind them up through Guatemala and Mexico.
At a press conference Thursday, Trump reiterated his administration's intentions to take drastic measures in response to the caravans.
Trump suggested that any rocks thrown at US troops will be considered equivalent to rifles, allowing troops to engage with live ammunition. More than 5,000 members of the US military have already been deployed to the border, and their total number could surpass 15,000, according to Trump.
In the same press conference, Trump also made said his administration is finalising plans that would include potentially denying asylum claims if migrants and refugees cross in between ports of entry. He said the government is also working to build ""massive"" tent facilities to hold members of the caravan and no one will be released while their asylum cases are being processed.
""Trump's professed and enacted policy towards thousands of caravanners seeking asylum in the United States is shockingly unconstitutional,"" according to the class complaint, Pineda v Trump, filed Thursday in the District Court of the District of Columbia.
The civil action on behalf of children in the caravan was filed against Trump, Immigration and Customs Enforcement (ICE), the Department of Homeland Security (DHS), Customs and Border Protection (CBP), US Citizenship and Immigration Services (USCIS), top officials for all of those agencies, and US Attorney General Jeff Sessions.
The civil action is based on the Flores Agreement, a 1997 court settlement agreement that mandated certain conditions for the detention of minors by immigration authorities and their treatment in custody.
The legally binding agreement requires facilities housing detained minors to be run by licensed programmes and provide toilets, drinking water, contact with family, and adequate temperature control and ventilation, among other conditions.
The impossibility of adequate temperature control and ventilation in tent camp facilities - and their potential administration as unlicensed programmes - in the desert southwest are just two of the issues raised in the Thursday's complaint, which seeks an immediate injunction and class certification.
Trump's announcements of extreme measures planned in response to the thousands of migrants and refugees fleeing north has drawn widespread condemnation from human rights groups.
""Right now, mothers, fathers, and children are enduring a terrible and arduous journey because they urgently need to find safe haven from violence and persecution,"" Amnesty International Secretary-General Kumi Naidoo said in a statement Friday.
""Seeking asylum is a fundamental human right. I would like to remind President Trump that US law states very clearly that it does not matter where or how people seeking safe haven enter the country - they are allowed to apply for asylum. His intentions to limit the rights of those seeking asylum are against those laws and the USA's international obligations,"" said Naidoo.
SOURCE:
Al Jazeera News"
https://www.aljazeera.com/news/2018/11/migrant-caravan-migrants-sick-181102103952915.html,migrant,103,Fri Nov 02 2018 10:39:52 GMT+0000,John Holman,Migrant caravan: Many migrants are becoming sick,"According to reports, there are four different caravans travelling through Mexico with up to 6,000 people.
The Central American migrant seeks US resident status largely under the auspices of economic asylum.
The trek has left children dehydrated, faint and sick, according to advocates and paediatricians. The group is so exhausted that on Wednesday they paused for the day in in southern Mexico, to rest and in hopes that buses would take them to Mexico City.
Aljazeera's John Holman joined a family of four as they travel through Mexico to the US We look at the challenges they face as continue on their journey."
https://www.aljazeera.com/news/2018/11/anti-immigrant-trump-campaign-ad-stokes-outrage-181101162845044.html,migrant,711,Thu Nov 01 2018 18:47:23 GMT+0000,None,'Sickening': New anti-immigrant Trump campaign ad stokes outrage,"Just five days before the midterm elections, President Donald Trump tweeted an anti-immigrant online campaign video blaming Democrats and suggesting, without evidence, that a US-bound caravan of Central American refugees and migrants includes murderers.
""Illegal immigrant, Luis Bracamontes, killed our people!"" reads the opening line of the 53-second video, referring to a Mexican citizen who was sentenced to death over the 2014 killing of two police deputies in California.
""Democrats let him stay,"" continues the video, which had more than 2.7 million views by midday on Thursday.
The video weaves back and forth between images of Bracamontes and footage showing the Central American migrant caravan.
""Who else would Democrats let in?"" the ad concludes rhetorically, adding: ""President Donald J Trump and Republicans are making America safe again.""
Trump, who has sought to drum up fear of immigrants before the November 6 vote, tweeted the video with the text: ""It is outrageous what the Democrats are doing to our Country. Vote Republican now!""
He tweeted the video on the same day that he announced that up to 15,000 US troops could be deployed to the US-Mexico border in response to the caravan, which is still deep inside Mexican territory and far from the frontier. More than 5,000 troops are already headed there.
Many of the migrants and refugees on the initial wave caravan, which left Honduras more than two weeks ago, have told Al Jazeera they are fleeing violence, poverty and poor healthcare. Those who do eventually make it to the US border plan to apply for asylum at an official port of entry.
Throughout the midterm season, several Republican campaigns and right-wing Super PACs have run controversial anti-immigrant and anti-Muslim ads.
But Wednesday's ad was among the most blatantly racist and drew comparisons to an infamous right-wing PAC commercial for former President George HW Bush's successful 1988 campaign against Democrat Michael Dukakis.
That ad focused on William Horton, a man convicted murderer who committed kidnapping and rape after running away while out of prison on furlough. Civil rights groups later lambasted the ad as a racist appeal to white voters.
In 1988, the controversial Horton ad was produced and broadcast by an outside Super PAC, but unlike the Bush campaign, President Trump endorsed and promoted Wednesday's anti-immigrant video.
Critics lashed out at Trump over the video.
Response of @JeffFlake to this new Trump ad: “This is just a new low in campaigning. It’s sickening.” https://t.co/f6oyjId6O7
According to CNN's Jake Tapper, Jeff Flake, a Republican Senator from Arizona, decried the video as ""a new low in campaigning"" and ""sickening"".
University of California Berkeley professor Robert Reich, who served as US Secretary of Labor from 1993 to 1997, called the ad ""fearmongering"" on Twitter. ""This may be the most desperate and vile ad since Willie Horton,"" he wrote.
This may be the most desperate and vile ad since Willie Horton. Trump and Republicans don't want to talk about the fact that they plan to repeal the ACA, gut Social Security, Medicare, & Medicaid, and cut taxes even further for their donors, so they've resorted to fearmongering. https://t.co/xaXNThEOfb
Critics have accused Trump of employing rhetoric that incites violence, threats and hatred.
In recent weeks, the president baselessly claimed that the US-bound caravan included ""unknown Middle Easterners"" and ""criminals"".
On Saturday, a gunman stormed a synagogue in Pittsburgh, Pennsylvania, where he shot dead 11 Jewish worshipers.
Trump denounced the violence. But the alleged attacker cited as motivation the caravan and recycled far-right conspiracy theories which claim that Jews are behind immigration.
On the Monday before the massacre, Trump addressed a campaign rally in Texas by claiming he is a ""nationalist"" fighting against ""power-hungry globalists"".
Speaking to Al Jazeera at the time, experts pointed out that the term ""globalist"" has roots in far-right conspiracy theories that carry thinly-veiled anti-Semitic undertones.
In an interview with Axios, which aired on Tuesday, Trump vowed to do away with birthright citizenship, falsely claiming that he could abolish the constitutional right through executive order.
He also inaccurately claimed that the US is the only country in the world that grants automatic citizenship to people born on its soil.
President Trump is framing asylum seekers in the migrant caravan as invaders. Here’s why that’s an outright lie. pic.twitter.com/V0ziwBz3N2
SOURCE:
Al Jazeera News"
https://www.aljazeera.com/news/2018/10/honduran-mother-holds-husband-death-papers-border-181031220410604.html,migrant,879,Thu Nov 01 2018 15:19:00 GMT+0000,Sandra Cuffe,Honduran mother holds husband's death papers on way to US border,"Tonala, Chiapas, Mexico - Resting in the shade of a row of trees, Orvelina Lizeth Melendez reached into her purse, pulled out a small, clear plastic bag and carefully removed her husband's death certificate. The tattered paper travelled nearly 1,400km with her from her hometown of Tegucigalpa, Honduras to Tonala in Chiapas, Mexico.
""They killed him right in front of me,"" Melendez said, recalling the moment gang members burst into her family's home more than three years ago.
Melendez was pregnant and she and her four children were at home asleep at the time.
The death certificate includes very little information. Fredis de Jesus Ferrera Lemus. Age 31. National identification number. Parent's names. Date and location of death. The cause of death is listed as ""violent"", and underneath it, the document briefly expands on the cause, stating that it was craniofacial trauma from a gunshot wound.
But the document could become vitally important as she makes her way to the US border to apply for asylum.
Melendez is one of thousands of Honduran and other Central American migrants and refugees on a US-bound caravan currently in southern Mexico.
She has no idea why her husband, a rubbish truck worker, was killed, and she does not expect to ever know. Ninety percent of homicides in Honduras go unsolved. ""It was left at that. When you're poor, deaths remain in impunity. It is a very dangerous neighbourhood,"" Melendez said.
Many Hondurans are fleeing violence, whether it is gang-related, political, or for other reasons. Many are also looking to leave a life of poverty and unemployment. And some migrants and refugees are fleeing because they or their children suffer from disabilities or health conditions that require attention they are unable to obtain in Honduras.
Melendez left for all three of those reasons. Her brother Jimy, who is also travelling with the group, suffers from speech and hearing problems. The cause is unknown and gang members have been trying to recruit the 28-year-old.
One of Melendez's sons also has special needs due to a primary immunodeficiency health condition, diagnosed two years ago. Now six years old, Joshua Eliel Ferrera Melendez has juvenile onset Still's disease. A form of systemic arthritis with no known cause, the disease affects the entire body, sometimes including internal organs.
Along with her husband's death certificate, Melendez also carries a clinical summary of Joshua's condition and treatment.
Orvelina Lizeth Melendez, Honduran asylum seeker
There is no known cure for Still's disease, but managing the condition requires ongoing treatment. Joshua requires several medications, but the main treatment is human immunoglobulins administered intravenously every month at the hospital. Manufactured from blood plasma, immunoglobulins contain antibodies Joshua lacks.
""My son is very special and I do not have the means to give him the medications. The medicines are very expensive,"" Melendez said, her voice slightly cracking.
Melendez was forced to leave Joshua, along with three of her other children, with her mother. She said there's no chance he would have survived the journey.
For Melendez, finding work in the US is the best option for making enough money to support her family and provide for Joshua's care.
Hospital Escuela, the public hospital where Joshua receives his treatment, has been chronically understaffed and under-equipped for years. The building leaks, it is nearly always over capacity and patients and their relatives often have to go elsewhere to buy medications and basic supplies for procedures, including syringes.
Sometime Hospital Escuela has the human immunoglobulins Joshua needs, but sometimes it does not. Each monthly treatment is $830 and the hospital asks Melendez to pay for a quarter of the cost.
Although doctors and social workers sometimes help with the cost, Melendez questioned how a single mother of five was supposed to earn $200 for treatment, in addition to providing for her family.
""That's the main reason I am travelling today: to give my children a better life and to better feed my family in Honduras,"" she said.
Melendez, along with her other family members in the caravan, including Jimy, have heard bits and pieces of US President Donald Trump administration's characterisation of the migrant caravan, as well as the measures the US government is taking to stop them from crossing the border from Mexico.
Earlier this week, the administration announced more than 5,000 US military troops are being sent to the border in preparation of the caravan. Trump said on Wednesday that number could grow to more than 15,000.
Those troops will likely meet a fraction of the caravan participants, most of whom are only carrying a small bag on their backs. Melendez brought a small bag and now also has a few things stashed in the back of a stroller donated along the way. Most of her belongings, including the stroller, are to clothe and care for her four-year-old daughter she brought with her.
The caravan is also still more than 1,000km away. And those who do make it, plan on applying for asylum at an official port of entry.
Despite the threat, Melendez and most of the others are undeterred.
""We are not criminals. We are not going to commit crimes. We just want to go work,"" she said.
""We are going to continue. We are going to head north.""
SOURCE:
Al Jazeera News"
https://www.aljazeera.com/news/2018/10/migrant-caravan-people-enter-mexico-join-march-181031110627199.html,migrant,89,Wed Oct 31 2018 11:06:27 GMT+0000,John Holman,Migrant caravan: More people enter Mexico to join march to US,"A group of more than 4,000 Central American migrants heading for the United States has arrived in southern Mexico.
The so-called caravan is not the only one of its kind in the country. At least two smaller groups are following behind.
Mexican authorities are under pressure from the US to make them stay in Mexico, offering shelter and a temporary work programme, instead of pressing on.
But many refuse, afraid the aim is to send them back.
Al Jazeera's John Holman reports from Tapachula, Mexico on the Guatemala border."
https://www.aljazeera.com/news/2018/10/indonesia-protests-saudi-execution-domestic-worker-181031094812124.html,migrant,378,Wed Oct 31 2018 10:41:51 GMT+0000,None,Indonesia protests Saudi execution of domestic worker,"Indonesia has filed an official protest with Saudi Arabia after the kingdom executed an Indonesian domestic worker without notifying her family or consular staff. Tuti Tursilawati was executed on Monday in the city of Taif, Indonesia's foreign ministry said, seven years after she was sentenced to death for killing her employer in an act she claimed was self-defence from sexual abuse. President Joko Widodo criticised the decision on Wednesday, saying the government has officially protested to Riyadh and demanded better protection of Indonesian workers in the country. Lalu Muhammad Iqbal, director at the foreign ministry's Indonesian citizens protection department, told reporters on Tuesday the move was ""regrettable"". ""The execution of Tuti Tursilawati was done without notification to our representatives, either in Riyadh or Jeddah,"" he said at a news conference. Tursilawati claimed she was acting in self-defence when she killed her employer in 2010 after he tried to rape her. Migrant Care, an NGO advocating for the rights of Indonesian workers abroad, condemned the execution and urged the government to take serious diplomatic steps. It said Indonesia should reverse its recent decision to allow a limited number of Indonesian migrant workers to Saudi Arabia despite a 2015 moratorium banning new domestic workers from entering 21 Middle Eastern countries.
Indonesia introduced the ban following the execution of two other Indonesian maids by Saudi Arabia the same year. Drug trafficking, rape, murder, apostasy and armed robbery are all punishable by death under Saudi Arabia's strict version of Islamic law. As well as the Middle East, Indonesia also sends domestic workers to many parts of Asia, including Singapore, Hong Kong and Malaysia, and has often complained about the treatment of its workers abroad.
GCC countries have come under fire over its controversial Kafala system of sponsorship for migrant workers, which is used to varying extents in different countries across the region.
It restricts most workers from moving to a new job before their contracts end unless they obtain their employer's consent, trapping many workers in abusive situations.
International rights and labour groups have called for comprehensive laws to protect migrant labourers and reforming the kafala system.
And according to Human Rights Watch several Gulf countries have slowly improved the labour protections for migrant domestic workers.
SOURCE:
Al Jazeera and news agencies"
https://www.aljazeera.com/news/2018/10/fifa-hints-expanding-qatar-2022-world-cup-wider-gulf-region-181031151713337.html,migrant,751,Wed Oct 31 2018 19:32:48 GMT+0000,None,FIFA hints at expanding Qatar 2022 World Cup to wider Gulf region,"FIFA, football's governing body, is considering expanding the Qatar 2022 World Cup from 32 teams to 48, with the possibility of Doha sharing the tournament with other countries in the Gulf region.
FIFA President Gianni Infantino said on Wednesday that the expansion, which is slated for the 2026 World Cup in the United States, Canada and Mexico, could come early at the next event.
""We have decided as well to increase the number of teams participating in the World Cup final tournaments, from 32 to 48. This will happen in 2026. Will it happen already in 2022? We are looking into it. If it is possible, why not?"", said Infantino, speaking at the Asian Football Confederation (AFC) Congress in the Malaysian capital, Kuala Lumpur.
Qatar beat bid rivals Australia, Japan, South Korea and the US in 2010 to claim the hosting rights, becoming the first Arab country to do so.
One of its stated aims was to create a legacy for the Middle East, but last year, its Gulf neighbours Saudi Arabia, the United Arab Emirates (UAE) and Bahrain severed political and economic ties with Qatar, imposing a land, sea and air embargo on the peninsula.
""We have to see if it is possible, if it is feasible,"" said Infantino about the potential expansion in four year's time.
""We are discussing with our Qatari friends, we are discussing with our many other friends in the region and we hope that this can happen,"" he added.
""And, if not, we will have tried. We will have tried because we always have to try to do things in a better way.""
Infantino's favoured plan of adding 16 extra teams - with 16 three-team groups - to football's mega event was unanimously approved by the FIFA Council last year.
The 2026 tournament in North America is set to be the first World Cup hosted by three nations.
Preparations are under way in Qatar, which is breaking with tradition with a winter kick-off, as it looks to avoid the scorching summer heat.
Seven new state-of-the-art stadiums with advanced open-air cooling technology are being built for the 2022 event.
The eighth one, Khalifa International Stadium, was inaugurated in May last year, after undergoing renovations and upgrades.
Qatar's Emir Sheikh Tamim bin Hamad Al Thani has said that Qatar 2022 is ""very important for the whole region"" and hopes that the football tournament will help the Arab nations ""overcome difficulties"".
Earlier this year, South American countries had formally asked FIFA to make Qatar 2022 a 48-team event.
But Nasser al-Khater, assistant secretary-general of the Supreme Committee for Delivery and Legacy (SC), which is overseeing the 2022 World Cup, said Qatar is still planning and working towards a 32-team tournament.
""Technically speaking, everything is possible,"" he told Al Jazeera. ""It's just that we need to understand the format, how it's going to change, how many days would be increased for the 48-team World Cup and we take it from there.""
""We are going to keep an open-door policy as we have been,"" al-Khater added. ""We welcome everybody to come to Qatar and we still remain a Middle Eastern World Cup.""
Analysts have warned that the expansion of Qatar's tournament would present a fresh batch of problems to a host nation that has already been the subject of much condemnation over migrant workers' rights and its winter schedule.
""How would Qatar - already working around the clock to cater for the needs of 32 nations, 64 games and the hundreds of thousands of fans eager to support their teams - allow for another 16 teams, not forgetting, of course the extra games and extra fans it would have to host in the allotted schedule?,"" wrote Ross Griffin, assistant professor of Postcolonial Literature at Qatar University.
Al Jazeera's sports correspondent Lee Wellings, reporting from London, said Infantino's latest remarks are driven more by FIFA's internal politics than anything else.
""He [Infantino] is standing in Kuala Lumpur and talking to people who want to hear that there's a chance for more teams in a tournament which is happening in their continent, so he knows he's preaching to the converted,"" he said.
""What he also believes, somewhere at the back of his mind, is that he can actually make a political difference, rather like Sepp Blatter [ex-FIFA president] before him,"" Wellings said.
""But when it comes to trying to sort out situations in the Middle East ... to actually make this happen is way beyond Infantino and FIFA.""
SOURCE:
Al Jazeera News"
https://www.aljazeera.com/news/2018/10/hate-critics-slam-trump-anti-caravan-troop-surge-181029233810416.html,migrant,1109,Tue Oct 30 2018 01:34:59 GMT+0000,None,'Fear and hate': Critics slam Trump's anti-caravan troop surge,"A week out from the US midterm elections, the Pentagon said on Monday it is sending 5,200 troops, some armed, to the Southwest border to respond to a caravan of mostly Honduran migrants and refugees, prompting sharp rebuke from immigrant and human rights groups.
The move comes amid President Donald Trump's repeated threats against the caravan, including cutting off aid to Central American countries and Mexico if they do not block the refugees and migrants.
""Sending active military forces to our southern border is not only a huge waste of taxpayer money, but an unnecessary course of action that will further terrorise and militarise our border communities,"" said Shaw Drake of the American Civil Liberties Union's border rights centre at El Paso, Texas.
Now around 1,200km from the US border, the initial wave of refugees and migrants left Honduras more than two weeks ago. Estimates vary, but anywhere from 3,500 to more than 7,000 people are now part of the first group heading north through Mexico. Smaller groups have since left Honduras and El Salvador and hundreds of migrants and refugees crossed the Suchiate River between Guatemala and Mexico on foot Monday after being pushed back by Mexican authorites the day before.
Many of the participants told Al Jazeera they are fleeing violence and economic instability, including unemployment.
Critics say the Trump administration has drummed up fear around the caravan in order to rally voters behind his anti-immigration agenda ahead of the November 6 midterm elections.
""The migrant caravan is full of women and children fleeing violence, poverty and government repression,"" tweeted Democratic Senator Ed Markey from Massachusetts. ""Sending thousands of troops to turn them away as if they are foreign invaders reflects the profound paranoia, fear and hate fueling this administration's immigration policies.""
Trump has called the caravan an ""invasion"" and without evidence, said ""Middle Easterners"" and ""gang members"" are among its participants.
On Monday, Air Force General Terrence O'Shaughnessy, the Northern Command leader, told reporters that that 800 troops were already on their way to southern Texas. Explaining that the number will reach 5,200 by the end of the week, he said “Operation Faithful Patriot” will focus on Texas first, then Arizona and California.
There are already about 2,000 National Guardsmen on the US's southern border, but now advanced helicopters will enable border protection agents to swoop down on migrants, O’Shaughnessy said. The military troops are intended to assist the border patrol, not engage directly with migrants, he added.
The caravan's goal is to seek asylum at an official port of entry, however.
Migrants are entitled under both US and international law to apply for asylum, but it may take while to make a claim.
Caravans coming from Central America have made their way to the US border for years without much fanfare. Migrants and refugees often leave in groups for safety purposes. This month's caravan is unusual for its large size, however, and those travelling north seem to be so far undeterred by the president's threats.
In April, a caravan that had about 1,500 people at its peak also caught Trump’s ire. Many of its participants attempted to stay in Mexico and only a few hundred people continued to the US border, seeking asylum at an official port of entry, rights groups said.
According to the New York Times, about 400 were referred to the US for ""credible fear"" interviews. Many who passed that step are still awaiting further immigration hearings.
Rights groups also argue that there is little evidence to suggest that increasing border restrictions has an effect on individuals decision to flee their country.
""In many cases we are talking about people who have no choice but to leave their homes, and people who will continue to keep trying to find a safe place to live, despite the policies of Mexico, the USA, or any other country that may be safer than theirs,"" Amnesty said in a statement last week.
""The hardline border controls used by a series of US governments over the last 30 years have been shown to be ineffective at reducing migration and only condemn people to more precarious and dangerous routes that put human lives at risk and fuel smuggling network,"" the international rights organisation added.
Michelle Mittelstadt, director of communications of the Migration Policy Institute, said ""there is no crisis at the border"".
""We believe that the US is capable of dealing with the caravan without such extraordinary measures, and that is well within the capacity of the government to determine among those arriving at the border who has a legitimate protection claim and who does not,"" she told Al Jazeera, adding that overall activity at the border is a ""mere fraction"" of what it was in the 1990s and early 2000s.
The White House is also weighing additional border security measures, including blocking those travelling in the caravan from seeking legal asylum and keeping them from entering the US.
The escalating rhetoric and expected deployments come as the president has been trying to turn the caravan into a key election issue with just days to go before the midterm elections that will determine whether Republicans maintain control of Congress.
""This will be the election of the caravans, the Kavanaughs, law and order, tax cuts, and you know what else? It's going to be the election of common sense,"" Trump said at a rally in Illinois on Saturday night.
Trump, attempting to fulfill a number of campaign promises to crackdown on immigration, has implemented a ""zero tolerance"" policy at the border, drawing strong criticism from rights groups. Earlier this year, Trump was forced to end his administration's practice of separating children from their families at the border after public outcry. Hundreds of families remain separated.
The president's dark description of the caravan belied the fact that any migrants who complete the long trek to the southern US border already face major hurdles, both physical and bureaucratic, to being allowed into the United States.
The Mexican, Guatemalan and Honduran governments also fortified their respective borders and increased security, attempting to turn back the migrants and refugees or keep them within from moving further north.
Rights groups said the responses may violate international law.
On Sunday, a Honduran man was killed when Mexico federal police used rubber bullets and tear gas on a large group of migrants and refugees attempting to force their way across the Guatemala's border with Mexico. Mexican officials denied using rubber bullets, but refugees and migrants, as well as the media, including Al Jazeera witnessed federal police shooting rubber bullets during Sunday's confrontation.
Additional reporting by Sandra Cuffe in Tapachula, Mexico.
SOURCE:
Al Jazeera and news agencies"
https://www.aljazeera.com/news/2018/10/midterms-marred-violence-experts-point-finger-trump-181030150744871.html,migrant,964,Tue Oct 30 2018 20:23:10 GMT+0000,Patrick Strickland,"As midterms marred by violence, experts point finger at Trump","Washington, DC - Eleven people shot dead in a synagogue. Two African Americans killed at a supermarket. More than a dozen pipe bombs mailed to prominent Democrats and CNN.
As President Donald Trump and Republicans escalated campaign rhetoric, much of it anti-migrant and anti-Muslim, deadly attacks and threats of violence marred the lead-up to the midterm elections.
Experts say it is one of the most violent election campaigns in living memory, and critics lay much of the blame on the president.
Heidi Beirich heads the Intelligence Project at the Southern Poverty Law Center (SPLC), an Alabama-based hate monitor. In her decades of experience, she cannot recall a pre-election tide of violence as worrisome as the one pouring over the US right now.
""This is three major attacks, the last being the most devastating, in just a few days right before an election,"" she told Al Jazeera, explaining that uptick in hate crimes and far-right violence have traditionally followed elections rather than preceded them.
On Saturday, a gunman stormed the Tree of Life Synagogue in Pittsburg, Pennsylvania, and perpetrated what has been described as the deadliest assault on the American Jewish community in the country's history. ""All Jews must die!"" he reportedly screamed, while unloading a barrage of bullets that killed 11 worshippers during prayer time.
Police quickly arrested 46-year-old Robert Bowers, a frequent poster on the Gab social media platform, where he reportedly announced his intent to carry out the massacre just hours earlier.
Although Bowers criticised Trump, he shared the president's anger over a US-bound caravan of Latin American migrants and refugees.
The massacre came just a day after police arrested Cesar Sayoc, who they believe mailed more than a dozen pipe bombs to outspoken critics of Trump.
The recipients were frequent targets of far-right ire: former President Barack Obama, former Secretary of State Hillary Clinton, Hungarian-American billionaire George Soros and US Congresswoman Maxine Waters, among others.
Sayoc's now-suspended Twitter accounts teemed with pro-Trump posts, conspiracy theory memes and often violent threats to journalists and others.
And as authorities intercepted explosive packages across the nation, a murder occurred in Louisville, Kentucky on Wednesday. A white man allegedly shot and killed two black shoppers at a Kroger supermarket after failing to break into a predominantly African American church. ""Whites don't kill whites,"" the suspect reportedly told a bystander.
From the earliest days of his presidential campaign, Trump faced accusations that his rhetoric fueled racism, xenophobia and violence.
Although hate crimes were nothing new, Trump's ascent to power sent them soaring as far-right groups rallied behind his message. During the 10 days following his election, the SPLC documented nearly 900 reports of ""harassment and intimidation"" across the US, with many of the assailants declaring their support for Trump.
A steady stream of violence, clashes between far-rightists and anti-fascists, and a deadly white supremacist rally in Virginia punctuated Trump's first year in office.
White supremacists killed at least 18 people in 2017, according to the Anti-Defamation League.
Daryle Lamont Jenkins, One People's Project
Even with last year's string of hate crimes, confrontations and brawls across the nation, the current spate of violence shocks Daryle Lamont Jenkins, who has monitored white nationalists, racist skinheads and neo-Nazi groups for more than three decades.
""Attempted assassination of elected officials past and present, a synagogue being attacked and people being killed in a grocery store in Kentucky - none of these folks engaged in any kind of violence,"" he told Al Jazeera, adding: ""It has never really been this [violent] during elections.""
Jenkins, who founded the One People's Project hate watchdog in 2000, added, ""These [the far right] are the people who are supposed to be in power right now, and yet they still feel they're threatened.""
Although he expected similar far-right violence had Hillary Clinton bested Trump during the 2016 presidential elections, he says that the stakes are especially high now. ""You're talking about people who are predicting civil war if Trump is impeached … this is what they are looking for.""
Critics point to Trump's rhetoric, arguing that president's words have contributed to the spike in incitement, surge in hate crimes and mushrooming of hate groups.
In early October, members of the far-right, pro-Trump Proud Boys group attacked anti-fascist protesters outside the Metropolitan Republican Club in New York City. Gavin McInnes, the group's founder, had been invited to speak at the club, where his supporters assaulted the protesters and yelled homophobic slurs.
Last week, when Trump addressed a campaign event in Texas for Senator Ted Cruz, he deemed himself a ""nationalist"" gripped in a battle against ""power-hungry globalists"".
Condemnation followed soon after, and Trump's opponents pointed out that the term globalist is often employed in the service of far-right conspiracy theories and carries thinly-veiled anti-Semitic undertones.
With little success, Trump and his supporters have sought to distance the president's rhetoric from the violence unravelling on the ground.
After the deadly synagogue shooting in Pittsburgh, Trump took to Twitter to blame ""fake news"" for ""great anger"" in the country. His comments echoed similar ones made a few days earlier in response to the spate of attempted bombings.
Steven Rogers, a former law enforcement officer who sits on the Trump for President advisory board, defended Trump against allegations of incitement and fearmongering.
""Hate is embedded in one's heart,"" he told Al Jazeera, arguing that films, music and video games have cultivated a culture of violence.
""It is not caused by a person's political speech. The president is not responsible for the terrible acts of… deranged people.""
But the SPLC's Beirich says there is ""no question"" that Trump's rhetoric has tilled the soil for would-be attackers. ""We have been tracking domestic terrorism incidents for more than 20 years, and I don't really remember seeing something like this.""
SOURCE:
Al Jazeera News"
