href,keyword,info,author,headline,article_text
https://www.bbc.co.uk/news/uk-scotland-highlands-islands-45941264,refugee,22 October 2018,None,Refugee film shooting in North and South Uist,"A feature film about refugees waiting to be granted asylum on a fictional remote Scottish island is being made in the Western Isles.
Limbo involves a five-week shoot at locations in North and South Uist.
Real-life refugees who have been resettled in communities across Scotland will appear as extras.
The cast is led by Amir El-Masry, who has previously appeared in Jack Ryan, The State, The Night Manager. He plays the character Omar in Limbo.
Other cast members include Vikash Bhai, Ola Orebiyi and Kwabena Ansah.
Sidse Babett Knudsen, who has appeared in Duke of Burgundy and Borgen, and Kais Nashif, who won an award at this year's Venice Film Festival, have supporting roles.
Directed by award-winning film-maker Ben Sharrock, it is being financed by Film4, Screen Scotland and the BFI. 
Limbo's plot focuses on Omar, a young Syrian musician who is burdened by the weight of his grandfather's oud, a traditional stringed instrument, which he has carried all the way from his homeland. 
The Western Isles is among places in Scotland where families fleeing conflict in Syria have been resettle under an initiative supported by Cosla and the Scottish government.
"
https://www.bbc.co.uk/news/uk-wales-46084970,refugee,3 November 2018,None,Hedd Wyn: Yr Ysgwrn house wins RICS conservation award,"The former home of one of Wales' most famous poets has beaten buildings such as Canterbury Cathedral to win a conservation award. 
Yr Ysgwrn, near Trawsfynydd, Gwynedd, was home to Ellis Humphrey Evans, aka Hedd Wyn, in the early 20th Century. 
The farmstead, which celebrates his life and achievements, has been named the best building conservation project in the UK.
The award was given by the Royal Institute of Chartered Surveyors. 
The £3m project, which was completed in May 2017, saw the farmhouse renovated along with the black chair awarded at the National Eisteddfod a few weeks after the bard's death in July 1917, which was originally carved by a Belgian World War One refugee called Eugeen Vanfleteren. 
An exhibition and visitors' centre was also built to mark the impact of the war on the community.
Wyn was killed on the first day of the Battle of Passchendaele in Belgium.
Judges said of the scheme: ""The conservation of this humble dwelling in such a remote area with its view across Snowdonia provides a much more powerful understanding of its significance in cultural and literary contexts as well as the historical juxtaposition with the horrors of the Great War that might otherwise have been lost.""
The house was one of 12 regional winners in the conservation category, which also included Canterbury Cathedral, Delapre Abbey in Northampton and Belfast's Tropical Ravine. 
"
https://www.bbc.co.uk/news/world-europe-isle-of-man-45559879,refugee,19 September 2018,None,Isle of Man maintains Syrian refugee stance,"The Isle of Man will not change its stance on housing Syrian refugees despite a politician's call for island to ""step up on the world stage.""
Garff MHK Daphne Caine had asked Chief Minister Howard Quayle to reconsider the island's position.
Mr Quayle responded by saying the island had ""no plans to accept Syrian Refugees"".
However, he said it would continue to support refugees through the provision of humanitarian aid.
In his written response, Mr Quayle revealed the island had pledged £1.5m to ""life-saving humanitarian aid"" since the conflict began.
Mrs Caine said it was ""heartening"" to know the island had helped thousands of refugees, but that she was ""disappointed"" it would not accept any as residents.
Since committing to help those displaced by the Syria conflict in 2014, the UK's Syrian Vulnerable Persons Resettlement Scheme has resettled over 11,000 refugees.
In February 2017, a petition signed by more than 1,000 people called for the Isle of Man to take its ""fair share"" and help up to 25 refugees.
Mrs Caine said the Isle of Man was a ""really wealthy place in world terms."" 
She said: ""I appreciate there are people here struggling and I care about the island's social issues, but the island needs to step up.
""There is a lot of support for the island to help, like other communities in Cumbria, the Scottish islands and Northern Ireland.""
Mr Quayle said the Isle of Man remained ""committed to continuing to play its part in the international response"".
But he said: ""The island does not have the legal authority or mechanisms to unilaterally accept refugees."" 
The Chief Minister said the Council of Ministers still felt the island was ""not in a position to offer the specialist support required"" in line with the views of the previous administration.
""We will continue to look for ways to support Syrian, and other refugees in the future through the provision of humanitarian aid.""
"
https://www.bbc.co.uk/news/world-europe-isle-of-man-45526312,refugee,18 September 2018,None,Call for Isle of Man to change Syria refugee stance,"The Isle of Man should reconsider its stance on offering Syrian refugees a home, an MHK has said.
In 2017, Chief Minister Howard Quayle refused a call to take refugees and said the government could ""offer more effective support"" by providing funds to help the UN mission in the country.
Garff MHK Daphne Caine will table a Tynwald question later, asking for that decision to be reconsidered.
She will also ask how much support had been given to charities in Syria.
Mrs Caine told the Local Democracy Reporter Service that the island needed to ""step up on the world stage and do its part"".
She said the island had a ""history of being very welcoming to all people"" and any refugees would ""benefit the Isle of Man in so many ways"".
""This is an unresolved issue. The Isle of Man gave a very generous donation, but I would hope that it could be reconsidered, and where there's a will, there's a way,"" she added.
Since committing to help those displaced by the Syria conflict in 2014, the UK's Syrian Vulnerable Persons Resettlement Scheme has resettled over 11,000 refugees and plans to help a further 9,000 by 2020.
In February 2017, a petition signed by more than 1,000 people called for the island to take its ""fair share"" and help up to 25 refugees.
However, Mr Quayle said no refugees would be taken. Instead, he pledged £973,000 to help ""provide life-saving humanitarian aid"".
He added that the Council of Ministers believed the Isle of Man could offer ""more effective support to a greater number of people by directing funds to the UN High Commission for Refugees"".
"
https://www.bbc.co.uk/news/uk-england-merseyside-45458665,refugee,8 September 2018,None,'Invaders' daubed on Liverpool List refugee memorial,"The mayor of Liverpool has said it is ""despicable"" that the word ""invaders"" has been written across a memorial to dead refugees and migrants.
It was daubed on The List, which displays the names of 34,361 asylum seekers, refugees and migrants who have died within or on the borders of Europe since 1993.
Joe Anderson said the offenders ""had their brains invaded by hatred"".
Merseyside Police said it had not received any reports of damage.
The installation on Great George Street is part of a festival of contemporary art running until October. 
Liverpool Biennial, which commissioned the project, is yet to comment.
Designed by artist Banu Cennetoğlu, the memorial has been torn down twice this summer.
In August, she issued a joint statement with Liverpool Biennial saying the work had been ""repeatedly damaged, removed and targeted since it was installed"" on 12 July.
They said The List has not been attacked in any of the other places it has been installed, such as Berlin, Istanbul, Basel and Athens.
The names of those who have died are compiled and updated each year by the anti-discrimination network United for Intercultural Action.
Liverpool Mayor Mr Anderson said: ""To smear them and call them invaders quite frankly is despicable.""
In a tweet, he added: ""Those responsible for this defacement of a memorial to innocent dead people fleeing for their lives, have had their brains invaded by hatred. 
""We will not be beaten by fascist thugs and we will pay for another memorial. I want volunteers to help me protect it.""
Ms Cennetoğlu has translated versions of The List using public spaces such as billboards, transport networks and newspapers since 2007.
"
https://www.bbc.co.uk/news/world-europe-45271194,refugee,28 August 2018,By Catrin Nye,Children 'attempting suicide' at Greek refugee camp,"At Moria camp on the Greek island of Lesbos, there is deadly violence, overcrowding, appalling sanitary conditions and now a charity says children as young as 10 are attempting suicide. The Victoria Derbyshire programme has been given rare access inside.
""We are always ready to escape, 24 hours a day we have our children ready,"" says Sara Khan, originally from Afghanistan.
""The violence means our little ones don't get to sleep."" 
Sara explains that her family spend all day queuing for food at the camp and all night ready to run - in fear of the fights that break out constantly.
Conditions are so appalling that charities have actually left in protest. 
The place smells of raw sewage, and there are around 70 people per toilet, according to medical charity Medecins Sans Frontieres (MSF).
Some people live in mobile cabins, but rammed in-between them all are tents and tarpaulin sheets - homes for those who cannot obtain any official living space.
The camp is also now sprawling into surrounding countryside. One tent houses 17 people - four families under one canvas.
There are currently more than 8,000 people crammed into Moria camp, which was supposed to house around 2,000.
A mum describes faeces on the floor of the shelter that she lives in with her tiny 12-day-old baby.
The violence in the camp is extreme. In May, hundreds of Kurdish people fled because of a huge battle largely between Arab and Kurdish men. 
Ali, who has now left the camp, says when he got to Moria with his family ""we found that there was already existing sectarianism and racism, whether it was between Sunnis and Shias, or Kurds, Arabs and Afghans"".
He adds that conflict between rebel groups in Syria has also landed inside the gates of the refugee camp. 
""It's like the war in Syria and even uglier. We heard about rape cases in there, sexual harassment,"" he says.
Watch Catrin's film in full here.
On the day we are filming at Moria, yet another fight breaks out in the lunch queue for food. Two people are stabbed - others suffer panic attacks witnessing it. 
Nearby medical workers are put on standby at MSF.
The charity initially left the island in protest at conditions, but has now opened a clinic just outside the gates because the need was so great. 
The children they are treating have skin conditions caused by the poor hygiene inside, and respiratory diseases from tear gas fired into the camp by police to quell fights. Mental health problems are rife. 
The workers say they have had to deal with children as young as 10 attempting suicide. 
""It's something we're seeing constantly,"" says Luca Fontana, Lesbos co-ordinator for MSF, adding that they are reporting the conditions to the UN refugee agency UNHCR and Greece's ministry of health.
""Despite the fact that we push to move these children to Athens, as soon as possible, it's not happening. Those children are still here.""
The camp opened in 2015 and was initially designed as a transit post for people to stay for a matter of days - but some have been here for years. 
It is controlled by the Greek government, and the overcrowding is because Greece is enforcing the EU's ""containment"" policy, keeping people on the island rather than transferring them to the Greek mainland.
It is part of the EU-Turkey deal which aims to return thousands of refugees to Turkey, and it has been in force since March 2016. 
From then to July 2018, according to EU figures, 71,645 new refugees arrived in Greece by sea and only 2,224 have been returned to Turkey.
George Matthaiou, a Greek government press representative on Moria, concedes conditions are terrible, but blames the EU rather than Greece. 
""We don't have the money. You know the situation of Greece, economically,"" he says.
""I want to help but I can do nothing, because the European Union closed the borders.""
Back at the MSF tent, Luca Fontana, who has worked all over the world in conflict zones, says the camp is the worst place he has seen in his life. 
He worked during the Ebola outbreaks in West Africa but says, ""I've never seen the level of suffering we are witnessing here every day"".
""Even those affected by Ebola still have the hope to survive or they have the support of their family, their society, their village, their relatives.
""Here, the hope is taken away by the system.""
Additional reporting by Leo Sands.
Watch the BBC's Victoria Derbyshire programme on weekdays between 09:00 and 11:00 BST on BBC Two and the BBC News Channel in the UK and on iPlayer afterwards.
"
https://www.bbc.co.uk/news/uk-scotland-scotland-politics-46065716,refugee,1 November 2018,None,Tory MSPs urge UK government to let asylum seekers work,"Scottish Conservative MSPs have joined other parties in urging the UK government to let asylum seekers work.
At present, asylum seekers are not normally allowed to work while waiting for their applications to be decided.
MSPs called on ministers to relax the rules and allow them to take jobs.
Tory member Michelle Ballantyne said she had written to the home secretary arguing that those seeking refuge should have the opportunity to make a ""meaningful contribution"".
The UK government has said it is ""listening carefully"" to the ""complex arguments"" on the subject.
Under present rules, asylum seekers are only allowed to work if they have waited more than a year for a decision on their application, and are able to fill a role on the official ""shortage occupation"" list.
MSPs were debating a motion which called for changes to asylum policy to create a ""long term sustainable solution that does not leave people destitute or homeless at the end of the asylum process"".
The Scottish Conservatives said they had appealed to the Conservative-run UK government to relax rules to let asylum seekers work.
Ms Ballantyne told MSPs: ""During the time that it takes to go through the process of seeking asylum, which can be years, we need to ensure that we don't put people's lives on hold, and we don't waste the skills that people have, or prevent them from developing as people.
""If we don't ensure that asylum seekers have the opportunity to make a meaningful contribution to their own lives, as well as their host nation, we do everyone a disservice.
""While I appreciate that asylum seekers can currently engage in voluntary work, if we really want to ensure that individuals are able to prosper both here, and should they ever wish to return to their countries, the prospect of employment is essential.""
The move was welcomed by MSPs from other parties, who were critical of the UK's asylum policy during the Holyrood debate.
Communities Secretary Aileen Campbell said the Scottish government's key principle was one of ""integration from day one"".
She said: ""This means that people should be welcomed and supported to integrate from day one, not just when refugee status and leave to remain have been granted.
""People seeking asylum have to navigate a complex and often frustrating system sometimes over many years before they receive refugee status and are able to get on with their lives.
""That is often at great cost to their mental health and future prospects.""
In a debate at Westminster in October, Immigration Minister Caroline Nokes said she was ""listening carefully to the complex arguments about permitting asylum seekers to work"".
She said there was a ""balance to be struck"", and that current policy ""seeks to protect the resident labour market and ensure that any employment meets our needs for skilled labour"".
But she said there was ""much merit"" in the argument that asylum seekers should be allowed to work, saying she was ""receptive to the views and evidence presented to me on the right to work"".
"
https://www.bbc.co.uk/news/world-us-canada-45377336,refugee,1 September 2018,None,US ends aid to Palestinian refugee agency Unrwa,"The United States is ending all funding for the UN's Palestinian refugee agency, the US State Department says.
It described the organisation, the United Nations Relief and Works Agency (Unrwa), as ""irredeemably flawed"".
The US administration has ""carefully reviewed"" the issue and ""will not make additional contributions to Unrwa,"" spokeswoman Heather Nauert said.
A spokesman for Palestinian President Mahmoud Abbas later said the move was an ""assault"" against his people. 
""Such a punishment will not succeed to change the fact that the United States no longer has a role in the region and that it is not a part of the solution,"" Nabil Abu Rudeina told Reuters news agency.
He added that the decision was ""a defiance of UN resolutions"".
A spokesman for Unrwa, Chris Gunness, defended the agency in a series of tweets. 
""We reject in the strongest possible terms the criticism that Unrwa's schools, health centres, and emergency assistance programs are 'irredeemably flawed',"" he wrote.
The latest move comes after the US announced back in January that it would withhold more than half of a tranche of funding for the agency.
Unrwa was originally set up to take care of hundreds of thousands of Palestinians displaced by the 1948 Arab-Israeli war.
The agency says it currently supports more than five million Palestinians in Gaza, the West Bank, Jordan, Syria and Lebanon, including providing health care, education and social services.
The US has been the largest single donor to Unrwa, providing $364m (£283m) in 2017 and funding almost 30% of its operations in the region.
The Trump administration had pledged $60m to Unrwa in January, but withheld another $65m. 
The remaining payment of $65m is now expected to be cancelled.
The US disagrees with Unrwa, and Palestinian officials, on a number of issues.
US President Donald Trump has previously complained that the US received ""no appreciation or respect"" for the large sums of aid it provided to the region.
Earlier this year, he threatened to cut aid to the Palestinians over what he called their unwillingness to negotiate with Israel.
The US and Israel also disagree with Unrwa on which Palestinians are refugees with a right to return to the homes they fled following the 1948 war.
Nikki Haley, the US ambassador to the UN, said earlier this week that Unrwa exaggerated the number of Palestinian refugees, and needed to reform. 
""You're looking at the fact that, yes, there's an endless number of refugees that continue to get assistance, but more importantly, the Palestinians continue to bash America,"" she said.
The state department says the US is contributing a ""very disproportionate share of the burden of Unrwa's costs"". 
It complains of a business model and fiscal practices, linked to an ""exponentially expanding community of entitled beneficiaries"", which is ""unsustainable and has been in crisis mode for many years"".  
On Friday, the Palestinian representative in Washington, Hossam Zomlot, accused the US of ""endorsing the most extreme Israeli narrative on all issues including the rights of more than five million Palestinian refugees"". 
The US ""is damaging not only an already volatile situation but the prospects for future peace"", he told AFP. 
Palestinian officials have already accused the Trump administration of worsening tensions due to its pro-Israel stance.
In December, Mr Trump controversially recognised Jerusalem as Israel's capital, despite it being claimed by both sides.
His move overturned decades of US neutrality on the issue, attracted international criticism, and led to the Palestinian Authority cutting off dialogue in Washington. 
In May, the US also opened an embassy in Jerusalem, a move described by Palestinian officials as a ""blatant provocation"".  
Israeli Prime Minister Benjamin Netanyahu has previously called for Unrwa's funding to be cut gradually and its responsibilities transferred to the UN's global refugee agency, the UNHCR, arguing that it ""perpetuates the Palestinian problem"".
However, he said that ""every step taken also contains some risk"".
Some Israelis have raised concerns that weakening Unrwa could cause regional instability and create more extremism in the region.
Earlier on Friday, German Foreign Minister Heiko Maas said his country would increase its contributions to the agency because its funding crisis was fuelling uncertainty. 
""The loss of this organisation could unleash an uncontrollable chain reaction,"" Mr Maas said.
Meanwhile, the UN's secretary general, Antonio Guterres, has said he has ""full confidence"" in Unrwa, and called on other countries ""to help fill the remaining financial gap"".
"
https://www.bbc.co.uk/news/uk-england-merseyside-45200666,refugee,15 August 2018,None,Liverpool refugee memorial torn down again,"A public display paying tribute to dead refugees and migrants in Liverpool has been torn down for a second time.
'The List' documents all 34,361 asylum seekers, refugees and migrants known to have died in Europe since 1993.
It has been partially torn from its hoardings in Great George Street days after it was reinstalled following its mysterious removal last month.
Artist Banu Cennetoğlu said it will be left as a reminder of ""this systematic violence exercised against people"". 
A joint statement from the Turkish artist and Liverpool Biennial, the arts event behind the project, said the work has been ""repeatedly damaged, removed and targeted since it was installed"" on 12 July.
It said The List has not been attacked in any of the other places it has been installed, such as Berlin, Istanbul, Basel, and Athens.
Liverpool City Council said it is ""saddened by this mindless act of vandalism"" and stands ""shoulder to shoulder"" with Liverpool Biennial. 
The names of those who have died are compiled and updated each year by United for Intercultural Action - an anti-discrimination network of 550 organisations in 48 countries.
Ms Cennetoğlu has translated versions of The List using public spaces such as billboards, transport networks and newspapers since 2007.
"
https://www.bbc.co.uk/news/uk-england-cambridgeshire-45510752,refugee,13 September 2018,None,Kate Milner's My Name is Not Refugee wins Klaus Flugge Prize,"A former librarian has scooped a prize for a book that presents the refugee crisis through a child's eyes.
Kate Milner, from Leighton Buzzard, Bedfordshire, wrote and illustrated My Name is Not Refugee as a mature student in Cambridge.
The story follows a young boy and his mother facing an uncertain future as they embark on life in a refugee camp.
Author and Klaus Flugge Prize judge Lauren Child said the book gave readers ""a chance to imagine and to empathise"".
Mother-of-three Mrs Milner, who is in her fifties and spent much of her career as a librarian, graduated from the MA in Children's Book Illustration at Anglia Ruskin University in 2016, and began working on the book in the final months of her course.
She said she wanted My Name is Not Refugee to make children from a comfortable background think about what it would be like to have to leave home.
""There had been a lot in the tabloids about Syrian refugees and so much of it was negative,"" she said. ""I wanted to do something to help the situation.
""I knew it would be a book for teachers, librarians and parents, to explain, not to be propaganda, this is what being a refugee means and this is what the children are going through.""
On Wednesday, Mrs Milner was announced as the winner of this year's £5,000 Klaus Flugge Prize, presented to the most exciting newcomer in children's picture book illustration. The book had previously earned Mrs Milner the V&A Student Illustrator of the Year award in 2016. 
Martin Salisbury, Professor of Illustration at Anglia Ruskin, described the book as a ""stand-out project"". 
""Kate was one of the first authorial picture book-makers to address the issue of migration in her work - and the book's publication success and receipt of this prestigious award marks her out as one of the most exciting new talents in the field,"" he said.
"
