href,keyword,word_count,info,author,headline,article_text
https://www.pbs.org/newshour/politics/u-s-tries-to-target-asylum-seeker-backlog-by-reviewing-newer-cases-first,asylum seeker,772,2018-01-31T18:42:07-05:00,"Amy Taxin, Associated Press",U.S. tries to target asylum-seeker backlog by reviewing newer cases first,"LOS ANGELES — The U.S. government will start reviewing more recent asylum applications ahead of older ones in a bid to stem a growing backlog of hundreds of thousands of cases, officials said Wednesday.
The move aims to prevent immigrants from applying for asylum to bide their time and obtain work permits when they don’t qualify for the protection as well as enable those genuinely fleeing persecution in their home countries to settle here, U.S. Citizenship and Immigration Services said.
More than 300,000 people are waiting for their asylum applications to be reviewed by government officers, compared with 16,000 in July 2012.
Many have been waiting three or four years for an interview, let alone a decision on their cases. While they can obtain work permits during that time, they can’t bring relatives to join them — meaning they may be separated for years from their spouses and children, who can be in danger overseas.
Immigration attorneys said the new plan was absurd and would only result in even longer delays for those in line the longest. They say the government handled cases similarly some years ago before a surge in arrivals on the U.S.-Mexico border, but many applicants didn’t get timely interviews and it didn’t deter people from seeking asylum.
“It is going to create a mess,” said Jason Dzubow, an immigration attorney in Washington. “Whatever number of cases they get per week, they can’t handle it.”
More staffers have been assigned to review asylum requests since the Trump administration scaled back the country’s refugee program, said L. Francis Cissna, director of U.S. Citizenship and Immigration Services.
“You have many frivolous cases, you have people who aren’t eligible at all, you have people who filed fraudulent cases, but you also have people with absolutely legitimate claims,” he said in an interview late last year in Los Angeles. “The fact that the backlog is so huge hurts them.”
There are two ways to seek asylum in the United States. Those who arrive on travel, student or other visas can file applications and be interviewed at a government office.
Those whose cases aren’t approved — as well as other immigrants facing deportation — can seek asylum before a judge in immigration court. But the court delays are as long or longer than those in the asylum offices.
The waits create stress and uncertainty for asylum seekers already are coping with learning to live in a new country and separation from family overseas.
A 34-year-old asylum seeker from Syria said he had a hard time getting an engineering job because employers could not tell how long he would be allowed to stay. He was torn about buying a house.
“There is uncertainty all over the place, and you literally are going to die if you go back,” said the man, who came on a student visa and asked not to be named out of fear of reprisals from the Trump administration and the Syrian regime. “You have to figure out all the legal ways, and you have to knock on all the doors.”
The delays may induce some immigrants to apply despite knowing they don’t qualify. They can work legally for several years before facing deportation proceedings and then wait years more for a hearing. Those in the country more than a decade may be able to seek approval for a special green card.
The backlog grew several years ago after tens of thousands of Central American children arrived on the border seeking asylum. Children are entitled to interviews at asylum offices, and the U.S. bumped their cases to the front of the line.
At the end of 2017, asylum officers were interviewing applicants in Southern California who filed their cases almost four years earlier.
The agency is receiving more asylum applications than it wraps up each month. In September, about 8,800 applications were filed and about 5,500 were completed, according to government data.
Immigration lawyers said they have seen asylum seekers divorce after years of separation or become homeless as their money was depleted while waiting for a work permit. The long waits also can weaken their cases if conditions change in their countries or witnesses die.
In some instances, asylum cases get stronger with time. Houman Varzandeh, an immigration attorney in Los Angeles, said his clients who fled religious persecution may have more evidence once they establish themselves in a church community than when they first arrived. But it can come at a tremendous personal price.
“I have people who are now getting divorced — the husband and wife don’t see each other,” he said. “How many years can you spend apart?”"
https://www.pbs.org/newshour/world/asylum-seekers,asylum seeker,105,2012-08-16T16:35:59-04:00,None,5 Notable Asylum-Seekers,"Julian Assange, granted asylum from Ecuador on Thursday, is not the only famous asylum-seeker. We look at four more in the above slide show.
Sweden is seeking Assange’s extradition to answer for accusations of sexual assault. Assange angered U.S. officials when his WikiLeaks website released thousands of classified documents related to the Afghanistan war and diplomatic memorandums about other foreign leaders.
In September 2011, NewsHour senior correspondent Ray Suarez looked at the fallout of the WikiLeaks document dump of more than 250,000 diplomatic cables with Wired’s Kim Zetter:
EmbedVideo(1412, 482, 304);
On Thursday’s NewsHour, we’ll have more on Julian Assange’s case from Independent Television News."
https://www.pbs.org/newshour/world/canada-minister-asylum-seekers-us,asylum seeker,354,2017-03-04T16:04:03-05:00,Associated Press,Canada minister addresses influx of asylum-seekers from U.S.,"EMERSON, Manitoba — Canada is enforcing border laws and is willing to put more resources in place to deal with the influx of asylum-seekers from the United States, federal Public Safety Minister Ralph Goodale said Saturday.
Goodale visited Emerson, Manitoba, a small border town that has seen some 200 illicit crossings so far this year.
“We all need to work together. We have to have good communication with one another. This is a set of issues that span national, provincial and local responsibilities,” Goodale told reporters at a conference Saturday.
Goodale announced US$22,000 (CA$30,000) to cover extra costs borne by Emerson-Franklin’s volunteer fire department and other agencies in the community, saying more resources will become available.
The Royal Canadian Mounted Police and the Canada Border Services Agency have shifted some resources in southern Manitoba to the Emerson area. The border services agency recently set up a trailer to help process the border-crossers.
READ NEXT: Refugees already settled in U.S. concerned over Trump order
The number of illicit border-crossings has jumped in recent months, following the U.S. government’s plans to limit immigration and step up deportations. The Manitoba government has said the influx has created more demand for housing and other support services.
Migrants have been crossing through fields and ditches because, under the Canada-United States Safe Third Country Agreement, they are turned back at official border crossings if they have already made refugee claims in the U.S.
If they get onto Canadian soil before being apprehended, they are allowed to stay in Canada and go through the normal refugee-claim process.
Conservative immigration critic Michelle Rempel has called on the government to ensure migrants who sneak across the border are charged with crossing illegally, but Goodale said they cannot be charged if they make a refugee claim, at least until the claim is dealt with.
“Charges in relation to the crossing of the border cannot be laid until after the case of the particular individual under immigration rules has been finally disposed of,” Goodale said.
He also said the government is examining requests for more aid from refugee support agencies, but did not provide specifics."
https://www.pbs.org/newshour/world/multimedia-asylum0816,asylum seeker,5,2012-08-16T16:43:00-04:00,Larisa Epatko,5 Famous Asylum Seekers,[ngg_images gallery_ids=”249″ display_type=”photocrati-nextgen_basic_thumbnails” gallery_width=”600″ gallery_height=”400″]
https://www.pbs.org/newshour/politics/aclu-says-less-than-half-of-child-reunions-will-meet-deadline,asylum seeker,397,2018-07-09T09:52:07-04:00,"Elliot Spagat, Associated Press",ACLU says less than half of child reunions will meet deadline,"SAN DIEGO — The American Civil Liberties Union said it appears the Trump administration will miss a court-ordered deadline to reunite young children who were separated at the border with their parents in more than half of the cases.
The ACLU said late Sunday the administration provided it with a list of 102 children under 5 years old and that “appears likely that less than half will be reunited” by Tuesday’s deadline.
READ MORE: 5 numbers to watch on family separations
The Justice Department asked U.S. District Judge Dana Sabraw for more time last week but the judge on Friday did not grant a blanket extension, saying only that he would consider certain exceptions. He told the two sides to discuss possible exceptions and report to him Monday. The Justice Department was working through the weekend on a path toward unification and was preparing a progress report for the court.
Children were increasingly separated from their parents after Attorney General Jeff Sessions announced in May that a zero-tolerance policy on illegally entering the country was in full effect. While parents were criminally prosecuted, children were placed in custody of the Health and Human Services Department.
Trump reversed course on June 20 amid an international outcry and said families should remain together.
On June 26, Sabraw set deadlines of Tuesday to reunite children under 5 with their families and July 26 for older children. Sabraw, who was appointed by President George W. Bush, wrote that the “situation has reached a crisis level” and that the “chaotic circumstances” were of the government’s own making.
Health and Human Services Secretary Alex Azar said Thursday there were “under 3,000” children separated from their parents. Previously, he said 2,047.
“It’s extremely disappointing that the Trump administration looks like it will fail to reunite even half the children under 5 with their parent,” said ACLU attorney Lee Gelernt. “These kids have already suffered so much because of this policy, and every extra day apart just adds to that pain.”
The ACLU sued in March on behalf of a Congolese woman who was separated from her daughter for five months after seeking asylum at a San Diego border crossing and a Brazilian asylum-seeker who was separated from her son after an arrest for illegal entry in August near the Texas-New Mexico border.
READ MORE: How Trump’s family separation policy became what it is today"
https://www.pbs.org/newshour/politics/trump-administration-asks-for-more-time-to-reunite-families-separated-at-the-border,asylum seeker,819,2018-07-06T14:52:02-04:00,"Elliot Spagat, Associated Press",Trump administration asks for more time to reunite families separated at the border,"SAN DIEGO (AP) — The Trump administration asked a judge Friday for more time to reunite families who were separated at the border under its “zero-tolerance” policy to prosecute every person who enters the country illegally.
Hours before a hearing in San Diego, the Justice Department filed papers seeking an extension of the deadline, which is July 10 for parents with children under 5 and July 26 to reunite everyone else.
The administration says federal law requires it to ensure that children are safe and that requires more time. Officials also say that they won’t be able to confirm a child’s parentage by the deadline if DNA testing is inconclusive. They will need more time to collect DNA samples or other evidence from parents who have been released from government custody.
U.S. District Judge Dana Sabraw said he was considering giving the administration until Monday morning to provide the status of the children under 5 who were separated from their parents before he decides whether to extend the deadline.
Of the 101 children under 5, about half are in the custody of Immigration and Customs Enforcement. The others have left the country or were released, according to Justice Department attorney Sarah Fabian. She said it has been more difficult to reunite children when parents are outside government custody.
The judge, who was appointed by President George W. Bush, set the deadline last week, writing that the “situation has reached a crisis level” and that the “chaotic circumstances” were of the government’s own making.
More than 2,000 children were separated from their parents after Attorney General Jeff Sessions announced in May that the zero tolerance policy was in full effect, even if it meant splitting families. While parents were criminally prosecuted, children were placed in custody of the Health and Human Services Department. Trump reversed course on June 20 amid an international outcry, saying families should remain together.
READ MORE: ‘My son is not the same’: New testimony paints bleak picture of family separation
On Thursday, Health and Human Services Secretary Alex Azar said less than 3,000 children are believed to have been separated, but that includes kids who may have lost parents along the journey, not just parents who were detained at the border.
About 40 parents of children in the under-5 age group are in Homeland Security custody and another nine are in the custody of the U.S. Marshals Service, the government said in court papers.
Jonathan White, a Health and Human Services official, filed a declaration with the court that gives what is perhaps the most detailed account yet of what the government is doing and the hurdles it faces. Its database has some information about the children’s parents but wasn’t designed to reunify families under the court’s deadline.
The department has manually reviewed the cases of all 11,800 children in its custody by working nights and weekends, White said. The results of that review are being validated.
DNA cheek swab tests on parent and child take nearly a week to complete, said White, who called the risk of placing children with adults who aren’t their parents “a real and significant child welfare concern.”
“The Government does not wish to unnecessarily delay reunifications or burden class members,” the Justice Department filing reads. “At the same time, however, the Government has a strong interest in ensuring that any release of a child from Government custody occurs in a manner that ensures the safety of that child.”
READ MORE: Under Trump, higher immigration bonds mean longer family separations
Sabraw’s order in the class-action lawsuit filed by the American Civil Liberties Union applies to all families who have been separated and includes a halt to any future separations.
The ACLU sued in March on behalf of a Congolese woman who was separated from her daughter for five months after seeking asylum at a San Diego border crossing and a Brazilian asylum-seeker who has been separated from her son since an arrest for illegal entry in August near the Texas-New Mexico border.
The Congolese woman, identified in court documents as Mrs. L, claimed asylum on Nov. 1, 2017, and four days later was separated from her daughter. The girl, then 6, was sent to a Chicago shelter contracted by Health and Human Services, while the mother was held at a San Diego immigration detention facility until March 6.
The administration says the Congolese woman had no documents and was unable to prove she was the girl’s mother when she claimed asylum. U.S. authorities confirmed through DNA testing on March 12 that the woman was the girl’s mother and the two were reunited.
The Brazilian woman, identified as Mrs. C, served nearly a month in jail after her Aug. 26, 2017, arrest for illegal entry near Santa Teresa, New Mexico, and then spent about six months in immigration detention. Her son was also sent to a Chicago shelter the two recently reunited."
https://www.pbs.org/newshour/nation/no-clear-plan-yet-on-how-to-reunite-parents-with-children,asylum seeker,803,2018-06-20T10:15:20-04:00,"Nomaan Merchant, Associated Press",No clear plan yet on how to reunite parents with children,"MCALLEN, Texas — Trump administration officials say they have no clear plan yet on how to reunite the thousands of children separated from their families at the border since the implementation of a zero-tolerance policy in which anyone caught entering the U.S. illegally is criminally prosecuted.
“This policy is relatively new,” said Steven Wagner, an acting assistant secretary at the Department of Health and Human Services “We’re still working through the experience of reunifying kids with their parents after adjudication.”
Federal officials say there are some methods parents can use to try to find their children: hotlines to call and an email address for those seeking information. But advocates say it’s not that simple.
READ NEXT: 5 things we know, 5 things we don’t know about family separation
In a courtroom near the Rio Grande, lawyer Efren Olivares and his team with the Texas Civil Rights Project frantically scribble down children’s names, birthdates and other details from handcuffed men and women waiting for court to begin. There are sometimes 80 of them in the same hearing.
The Texas Civil Rights Project works to document the separations in the hopes of helping them reunite with the children.
They have one hour to collect as much information as they can before the hearing begins. The immigrants plead guilty to illegally entering the U.S., and they are typically sent either to jail or directly to an immigration detention center. At this point, lawyers with the civil rights group often lose access to the detainees.
“If we don’t get that information, then there’s no way of knowing that child was separated,” Olivares said. “No one else but the government will know that the separation happened if we don’t document it there.”
Olivares has documented more than 300 cases of adults who have been separated from a child. Most are parents, but some are older siblings, aunts, uncles or grandparents. Some are illiterate and don’t know how to spell the children’s names.
More than 2,000 minors have been separated from their families since early May. The children are put into the custody of the U.S. Department of Health and Human Services with the aim of keeping them as close to their parents as possible and reuniting the family after the case goes through the courts, said Wagner.
But it’s not clear that’s working.
According to Olivares, the agency is generally “very willing to help,” often helping to find a child even if there’s a misspelling in the group’s records. But if a child has been transferred out of a government shelter — including if the child has been deported — agency representatives won’t give any information.
“Sometimes the parent gives us contact information for a relative,” Olivares said. “If they have the phone number right and the phone number is working … we call that number and sometimes we’re able to locate that relative and ask them what they know.”
In May, the Department of Justice adopted the zero-tolerance policy in which anyone caught entering the U.S. illegally is criminally prosecuted. Children can’t be jailed with their parents. Instead, after the adult is charged, children are held briefly by Homeland Security officials before being transferred to Health and Human Services, which operates more than 100 shelters for minors in 17 states.
The department has set up new facilities to manage the influx of children, and Wagner said they were prepared to expand as more children come into custody.
READ NEXT: ‘Free our children now’ — On the U.S.-Mexico border, activists protest separation of immigrant families
The children are classified as unaccompanied minors, a legal term generally used for children who cross the border alone and have a possible sponsor in the U.S. willing to care for them. Most of the more than 10,000 children in shelters under HHS care came to the U.S. alone and are waiting to be placed with family members living in the U.S.
But these children are different — they arrived with their families.
“They should just give the kids back to their parents. This isn’t difficult,” said Lee Gelernt of the American Civil Liberties Union.
Gelernt represents a Brazilian asylum seeker in a closely watched lawsuit that seeks a nationwide halt to family separation. The woman, identified as Mrs. C in court documents, was split from her son for nearly a year after entering the country illegally in August near Santa Teresa, New Mexico.
On Tuesday, Olivares’ team had seven people left to interview with five minutes left. They took down just the names, dates of birth, and countries of origin of the children.
“One woman (said), ‘What about me, what about me?'” Olivares said a few hours later. “She wanted to give us information because she realized what we were trying to do.”
Associated Press writer Elliot Spagat contributed to this report."
https://www.pbs.org/newshour/politics/watch-sessions-says-zero-tolerance-policy-may-split-families-at-border,asylum seeker,719,2018-05-08T12:18:24-04:00,"Elliot Spagat, Associated Press",WATCH: Sessions says ‘zero-tolerance’ policy may split families at border,"SAN DIEGO — A “zero-tolerance” policy toward people who enter the United States illegally may cause families to be separated while parents are prosecuted, U.S. Attorney General Jeff Sessions said Monday.
The U.S. Department of Homeland Security said it would refer all arrests for illegal entry to federal prosecutors, throwing its weight behind Sessions’ policy announced last month to vastly expand criminal prosecutions of people with few or no previous offenses. A conviction for illegal entry carries a maximum penalty of six months in custody for first-time crossers, though they usually do far less time, and two years for repeat offenses.
“If you cross the border unlawfully, then we will prosecute you. It’s that simple,” Sessions told reporters on a mesa overlooking the Pacific Ocean, where a border barrier separating San Diego and Tijuana, Mexico juts out into the ocean.
Nearly one of every four Border Patrol arrests on the Mexican border from October through April was someone who came in a family, meaning any large increase in prosecutions is likely to cause parents to be separated from their children while they face charges and do time in jail.
Children who are separated from their parents would be put under supervision of the U.S. Health and Human Services Department, Sessions said. The department’s Office of Refugee Resettlement releases children traveling alone to family and places them in shelters.
“We don’t want to separate families, but we don’t want families to come to the border illegally and attempt to enter into this country improperly,” Sessions said. “The parents are subject to prosecution while children may not be. So, if we do our duty and prosecute those cases, then children inevitably for a period of time might be in different conditions.”
A heckler interrupted Sessions on a megaphone, shouting, “Why are you doing this? Do you have a heart?”
Attorney General Jeff Sessions speaks during a visit to the U.S. Mexico border wall for a press conference with Immigration and Customs Enforcement Deputy Director Thomas D. Homan, discussing immigration enforcement actions of the Trump Administration near San Diego, California. Photo by Mike Blake/Reuters
Thomas Homan, U.S. Immigration and Customs Enforcement’s acting director, said there is no “blanket policy” to separate families as a way to deter others, echoing recent comments by Homeland Security Secretary Kirstjen Nielsen. But he said immigration authorities have long separated families if they have reason to doubt the relationship or if parent is prosecuted.
“Every law enforcement agency in this country separates parents from children when they’re arrested for a crime,” Homan said alongside Sessions. “There is no new policy. This has always been the policy. Now, you will see more prosecutions because of the attorney general’s commitment to zero tolerance.”
Advocacy groups blasted the moves as cruel and heartless, especially in cases where the family is seeking asylum in the United States.
“Criminalizing and stigmatizing parents who are only trying to keep their children from harm and give them a safe upbringing will cause untold damage to thousands of traumatized families who have already given up everything to flee terrible circumstances in their home countries,” said Erika Guevara-Rosas, Amnesty International’s Americas director.
U.S. Rep. Bennie Thompson of Mississippi, the top Democrat on the House Homeland Security Committee, said, “Criminalizing parents seeking protection for themselves and their children is inhumane, excessively punitive, and can deliberately interfere with their ability to seek asylum.”
The American Civil Liberties Union is challenging the practice in a case involving a Congolese asylum seeker who was separated from her 7-year-old daughter for five months and a Brazilian woman who was separated from her 14-year-old son after being arrested and serving nearly a month in jail for illegal entry. At a hearing in San Diego last week, a Trump administration lawyer did not dispute a report in The New York Times that more than 700 children had been taken from their families since October. The attorney, Sarah Fabian, said she couldn’t say whether there was a shift since Trump took office because officials didn’t have historical data.
A sharp increase in prosecutions will strain the court system. Sessions said he has assigned an additional 35 prosecutors and 18 immigration judges to the border regions.
Amy Taxin in Santa Ana, California, contributed to this report.
READ MORE: Seeking asylum in the U.S. under Trump"
https://www.pbs.org/newshour/nation/supreme-court-bond-hearings-immigrants,asylum seeker,449,2016-11-30T13:05:51-05:00,"Mark Sherman, Associated Press",Supreme Court weighs bond hearings for detained immigrants,"WASHINGTON — A seemingly divided Supreme Court on Wednesday tried to figure out whether the government can detain immigrants indefinitely without providing hearings in which they could argue for their release.
The justices heard argument in a class-action lawsuit brought by immigrants who spent long periods behind bars, including many who are legal residents of the United States or are seeking asylum.
The issue for the court is whether people the government has detained while it is considering deporting them can make their case to a judge that they should be released.
The case pits the Obama administration against immigration advocates, and the court hearing comes as President-elect Donald Trump has said he will step up deportations.
The San Francisco-based 9th U.S. Circuit Court of Appeals ruled for the immigrants, including Mexican immigrant Alejandro Rodriguez, who was detained for more than three years without a bond hearing.
Rodriguez is a legal U.S. resident who was brought to the country as an infant. The Homeland Security Department detained him when it began deportation proceedings because Rodriguez had been convicted of possession of a controlled substance and driving a stolen vehicle, according to the appeals court. He spent no time in jail for the criminal convictions.
In another case, an Ethiopian asylum-seeker was kept in detention partly because a DHS officer wrongly labeled him a Somali, according to the American Civil Liberties Union, which is representing the immigrants.
The 9th Circuit ruled that immigrants generally should get bond hearings after six months in detention, and then every six months if they continue to be held. The government must show why they should remain locked up, the court said.
Justice Stephen Breyer, voicing a sentiment that appeared to be shared by other liberal justices, expressed astonishment that the provisions of immigration law at issue would allow someone released after a hypothetical four-year prison term to be held the same amount of time by U.S. immigration authorities. “How can they be punished for four more years?” Breyer asked.
Acting Solicitor General Ian Gershengorn defended the law, saying Congress clearly gave DHS considerable power to hold people in custody while determining whether to deport them.
Ahilan Arulanantham, the ACLU lawyer representing the immigrants, told the justices the ultimate decision about whether to hold or release people was not at issue before the court. “We’re just talking about the need for an inquiry, the need for a hearing,” Arulanantham said.
But the court’s conservative justices sounded skeptical of Arulanantham’s and the appeals court’s reading of immigration law. “The problem is, that looks an awful lot like drafting a statute or a regulation. … We can’t just write a different statute,” Chief Justice John Roberts said."
https://www.pbs.org/newshour/economy/how-gamblers-fallacy-affects-your-decision-making,asylum seeker,705,2016-07-06T13:50:23-04:00,Making Sen$e Editor,How ‘gambler’s fallacy’ affects your decision-making,"Editor’s Note: For 31 years now, Paul Solman’s reports on the NewsHour have aimed to make sense of economic news and research for a general audience. Since 2007, our Making Sen$e page has vowed to do the same, turning to leading academics and thinkers in the fields of business and economics to help explain what’s interesting and relevant about their work. That includes reports and interviews with economists affiliated with the National Bureau of Economic Research.
Each month, the NBER Digest summarizes several recent NBER working papers. These papers have not been peer-reviewed, but are circulated by their authors for comment and discussion. With the NBER’s blessing, Making Sen$e is pleased to feature these summaries regularly on our page.
The following summary was written by the NBER and doesn’t necessarily reflect the views of Making Sen$e.
A coin flip lands heads three times in a row. What are the odds that it will be heads on the next toss?
A rational decision-maker knows that they are 50-50. But it’s easy to succumb to the belief that streaks don’t occur by chance. This common misperception is known as the gambler’s fallacy. In “Decision-Making under the Gambler’s Fallacy: Evidence from Asylum Judges, Loan Officers, and Baseball Umpires,” Daniel Chen, Tobias J. Moskowitz and Kelly Shue found that in a number of different settings, individuals have a slight bias against deciding the same way in successive cases.
The researchers found, for example, that the odds that a judge rejects an asylum seeker are 3.3 percentage points higher if the judge has approved the previous case, all else being equal. They also noted that the likelihood that judges are influenced by a prior decision increases with the length of the sequence of positive or negative rulings and the similarity of the previous cases.
The researchers also studied loan officers in India. The officers were asked to review loan application files that had already been processed and to make recommendations about whether to approve the loan. They faced different incentive schemes, which placed different degrees of emphasis on an accurate assessment. Because the files had been reviewed previously, the authors could evaluate the quality of the officers’ decisions by examining the actual performance of the loan and exploring whether recommended loans on average were performing better.
Under a flat incentive scheme which rewarded approvals regardless of loan quality, officers — who rejected many loans despite the incentive, perhaps out of intrinsic or reputational motivation — were 8 percentage points less likely to approve the loan currently under review if they had approved the previous loan. This bias became much less significant under plans with stronger incentives for accuracy.
READ MORE: Does being paid hourly vs. yearly change how you save?
Turning to baseball, the researchers analyzed major league umpires. They examined 1.5 million called pitches when the batter did not swing between 2008 and 2012. They controlled for a wide array of factors, such as pitch count, pitch spin and acceleration, the relative importance of the at bat to the outcome of the game and whether the batter was on the home team. They relied on data compiled by the PITCHf/x system, which tracks the speed and trajectories of pitches in every major league stadium.
They found that umpires were 1.5 percentage points less likely to call a strike if the previous pitch was a called strike. The bias toward an opposite call was also significantly more pronounced when the previous two calls were the same.
Do umpires use subsequent calls to make up for calls they regret? The researchers found that, if anything, umpires were less likely to make an opposite call following an incorrect call than after a correct one. They concluded that, “[F]airness concerns and a desire to be equally nice to two opposing teams are unlikely to explain our results.”
READ MORE: The science behind why power corrupts and what can be done to mitigate it
The researchers discovered that the gambler’s fallacy tends to be more evident following longer streaks of decisions in the same direction and when the previous cases have similar characteristics and occur closer in time. It was less evident among more experienced decision-makers.
— Steve Maas, National Bureau of Economic Research"
