href,keyword,info,author,headline,article_text
https://www.thelocal.es/20160407/refugees-welcome-in-spain-but-where-are-they,refugee,"
				7 April 2016
				11:00 CEST+02:00			 
					11:00 CEST+02:00				",Emma Anderson ,'Refugees welcome' in Spain: So where are they?,"
Spaniards across the country have organized groups to welcome refugees into the culture, but the actual number of people Spain has taken in is strikingly low - just 18 in the past six months. 

	Spain agreed to take in roughly 15,000 refugees from overwhelmed Greece and Italy under an EU redistribution plan, but over the last six months, the country has fulfilled just 0.1 percent of this promise - bringing in 18 people, according to Spanish NGOs.

	The first 18 refugees under the EU agreement from September arrived in Spain at the end of last year. But even when the first group of a dozen stepped foot onto Spanish soil in November, NGOs questioned then why it had taken so long and why there were so few.

	Since December, there have been no further groups coming to Spain under the redistribution plan, according to El Pais.

	Big cities like Barcelona and Madrid planned a network across the country for citizens to register to have refugees stay in their homes in anticipation of the thousands who would arrive.

	But instead, Barcelona has been disappointed and ""filled with rage"" by the low number of arrivals, the city’s left-wing mayor Ada Colau said earlier this year.

	Spanish politicians have blamed the slow movement on the ""complexity"" of coordination and acting Prime Minister Mariano Rajoy said last weekend that the EU plan was not going ""as fast as [he’d] like"".

	""There are things that could be done better. Things are moving slowly,"" he said, according to El Pais.

	Rajoy was confronted by opponents about his ""passivity"" on the issue on Wednesday in Congress, with Ciudadanos leader Albert Rivera saying that ""it is not worth having quotas if you do not carry them through.""

	NGO Save the Children Spain also shipped to the acting Prime Minister a pair of shoes from a five-year-old Syrian refugee girl who is among the thousands waiting in camps in Idomeni, Greece, hoping the border with Macedonia will open.

	The NGO said the girl, Hala, is not able to ""take another step further"" with the shoes, but Rajoy can.


(function(d, s, id) {  var js, fjs = d.getElementsByTagName(s)[0];  if (d.getElementById(id)) return;  js = d.createElement(s); js.id = id;  js.src = ""//connect.facebook.net/en_US/sdk.js#xfbml=1&version=v2.3"";  fjs.parentNode.insertBefore(js, fjs);}(document, 'script', 'facebook-jssdk'));	 



					Hemos mandado a Mariano Rajoy Brey los zapatos de Hala*, una niña refugiada de 5 años que conocimos en el campo de...
				Posted by Save the Children on Wednesday, April 6, 2016




	The Interior Ministry announced last month that a second group of 450 refugees would be brought to the country, but this has not yet happened.

	The government also reportedly informed both the UN commissioner for refugees as well as the European Commission that it was willing to take in more people from Greece and Italy.

	But when asked why these groups had not yet arrived in Spain, the interior ministry said that there were ""procedural implications"" under the EU quota plan that have delayed their arrival, including ""the need to provide information about the country of relocation to the potential beneficiaries, security-related issues, and issues that are not completely resolved"".

	""Spain cannot act alone,"" the interior ministry told El Pais.

	Spain received a total 14,600 first time asylum applicants in 2015, according to Eurostat, but has continued to face pressure from its own citizenship to take in more asylum seekers and criticism for its initial reluctance to adopt the EU quota agreement.

	NGOs and Barcelona blame Spanish as well as European leaders for dragging their feet on the matter.

	""Here there is not a problem of lack of money or infrastructure, but a lack of political will,"" explained Estrella Galán, secretary general of the Spanish Commission for Helping Refugees (CEAR), referring to the more than €200 million budgeted for refugee care.

	The Red Cross of Spain said that in contrast, the EU has been quick to send back immigrants in Greece to Turkey under a controversial agreement where European countries take in one recognized Syrian refugee from Turkey for every Syrian Turkey takes back from having gone illegally to Europe.

	""The government says that there’s a problem with red tape at the European level, especially with the identification of refugees in Greece,"" said Cristina Domínguez of the Spanish Red Cross to El Pais.

	""They cast blame on one another. But I suppose that the refugees who are now being deported to Turkey also will have to register and this is being done much more quickly.""
"
https://www.thelocal.es/20170313/spain-welcomed-more-refugees-than-ever-before-in-2016,refugee,"
				13 March 2017
				18:02 CET+01:00			 
					18:02 CET+01:00				", The Local,Spain welcomed more refugees than ever before in 2016,"
Close to 16,000 people sought asylum in Spain during 2016, more than six times the figure of a year earlier.

 

	But less than half of those who applied for asylum in Spain were successful in their application.

	Of the 15,755 people who applied, only 6,855 (43.5 percent) were granted asylum and 3,395 refugees (21.6 percent) had their applications denied outright.



	The remaining 5,505 are still waiting for their applications to be processed.

	The figures released by the Spanish Refugee Council (CEAR) reveal that those fleeing the civil war in Syria have had the most success with asylum applications.

	Some 90 percent of all those applications accepted – amounting to 6,215 – were from Syrians. However, only 355 have actually been awarded full refugee status with the remaining 6,500 applicants given a form of “subsidiary” protection which is open to review.

	While the figures reveal that Spain is welcoming more refugees than ever before, the number of asylum seekers who make their home here is just a tiny percentage of those accepted into Europe as a whole.

	According to figures from Eurostat, EU nations received a total of 1.26 million asylum requests during 2016 with Spain receiving just 1.3 percent of that figure.

	Germany recieved by far the greatest number of asylum seekers in Europe, with close to three-quarter of a million applications.



	Of those asylum seekers who arrived in Spain, four in every ten people were female. The figures for how many children were among them were not released.

	Spain's refugee council insisted that more should be done to help asylum seekers and said that Spain was failing on its legal obligation to process applications rapidly as some 20,370 applications were pending by the end of 2016.

	“We need more human and financial resources to reduce the agonising wait for these poor people, many of whose lives depend upon the ultimate decision,” said Paloma Favieres. Legal services coordinator at CEAR.

	“Countries are legally obliged to complete applications in six months, but this rarely happens.”

	The human rights group also slammed Spain for limiting successful applications in the majority of cases to those from Syria.

	“Spain has limited to the maximum level the right to asylum for those who are fleeing countries other than Syria,” said CEAR in their report.

	 

	 

	 
"
https://www.thelocal.es/20180612/pep-guardiola-paid-150k-to-free-impounded-refugee-rescue-boat,refugee,"
				12 June 2018
				13:42 CEST+02:00			 
					13:42 CEST+02:00				", The Local,Pep Guardiola paid €150K to free impounded refugee rescue boat,"
The Manchester City coach reached deep into his own pockets to pay the fees to release Spanish NGO Proactive Open Arms rescue boat after it was impounded by Italian authorities, it has emerged. 

	Óscar Camps, the founder of the Spanish charity told Catalan broadcaster Rac1 that the former Barça coach had come to their aid.



			📌 Guardiola va pagar el cost de la reparació del vaixell d' @openarms_fund retingut a Itàlia -> @campsoscar a @elmonarac1 https://t.co/yI2GEykQoV
		— RAC1 (@rac1) June 12, 2018



	""Pep came to see us, he even talked about coming to the boat to help, and not only him, other athletes also showed interest in helping out.""

	""Guardiola helped us but there are other athletes who have also wanted to collaborate,” Camps revealed in an interview on Tuesday.

	Italian authorities held the Open Arms migrant-rescue boat for almost a month and investigated two of its crew on suspicion of enabling illegal immigration in connection with a rescue operation that it carried out in international waters off the northern Libyan coast. 

	It was finally released in April.

READ MORE: Judge orders release of Spanish NGO boat seized in Sicily

	Proacruve Open Arms revealed its benefactor a day after the new Spanish government headed by Socialist Prime Minister Pedro Sanchez offered to take in  629 migrants that had been turned away from both Malta and Italy.

READ ALSO: Spain will take in stranded migrants 'to avoid a catastrophe'


"
https://www.thelocal.es/20160916/spain-slammed-for-refugee-crisis-failure,refugee,"
				16 September 2016
				11:08 CEST+02:00			 
					11:08 CEST+02:00				", The Local,Spain slammed for refugee crisis 'failure',"
A new report has slammed Spain has for not keeping its promises on helping with the refugee crisis. 

	The paper from NGO Oxfam Intermón, entitled “Spain has failed in response to the global refugee crisis” has been released ahead of the first Leaders' Summit on the Global Refugee Crisis in New York.

	The report points out that Spain has so far taken in only one percent of the roughly 15,000 refugees it agreed to house in an EU redistribution plan which was designed to take some of the load away from overwhelmed Greece and Italy.

	“Spain is very far away from fulfilling its promises,” the Oxfam Intermón paper states. “The Spanish Government has only followed through with one percent of the amount it committed to: 201 of the 15,888 people it promised to take have arrived.”

	Oxfam Intermón highlights Spain's position as one of the top 20 economies in the world, and claims that resources are not lacking, but rather the “political will” to respond to the refugee crisis.

	As evidence, the NGO points out that according to government figures, Spain spends around €40 million annually in repairing and reinforcing border fences at North African territories Cueta and Melilla alone. In 2016 meanwhile the budget it allocated to the CETI refugee centres was less than half of that, €16.3 million.

	The paper concludes that Spain should use the forthcoming Leaders' Summit on the Global Refugee Crisis to “make a radical change to its migration policy and start down a new path on its displacement agenda where human rights prevail over any other politics,"" instead of its present “more than dubious role as an example in the EU for being efficient at the infringement of human rights"".
"
https://www.thelocal.es/20150903/six-ways-to-help-refugees-if-you-live-in-spain,refugee,"
				3 September 2015
				17:08 CEST+02:00			 
					17:08 CEST+02:00				", The Local,Six simple ways to do your bit and help refugees if you live in Spain,"
While Spain faces pressure to take a bigger share of the hundreds of thousands of migrants arriving at Europe's borders, The Local takes a look at ways that individuals can make a difference. 

Provide accommodation


Photo: Pedro Armestre/AFP.

	Cities across Spain are in the process of setting up a register so that residents that volunteer to put up refugees in their homes. Barcelona was first to announce the scheme, swiftly followed by Madrid and a dozen other cities. No clear guidelines have yet been drawn up but the scheme should be in place within weeks so if you are keen to give up your spare room for a very good cause ask your local council. 

Volunteer


A Spanish Red Cross volunteer comforts a refugee after the death of his friend in at Tarifa's harbour. Photo: Marcos Moreno /AFP.

	One of the big challenges of arriving in a new country is inevitably the language. Various organizations offer services to help refugees navigate jumping through the daily hoops of legal documents, work applications, healthcare systems and more, like the Service of Translators and Interpreters (SETI) in Madrid. 

	SETI is recruits volunteers who can translate Spanish for refugees for various legal documents and other everyday tasks.

	If you have other skills to offer, or just some free time to help out groups working with migrants, then there are lots of opprtunities. For example, the Bienvenidos Refugiados movement is also looking for volunteers to help them research further ways to help refugees and join a team to help direct those interested in getting involved.

	Other groups are looking for drivers to help migrant families get around if they have to make a journey from one part of the country to another. 

Donate money


Photo: Daniel Roland/AFP.

	There are many non-profit organisations that are involved in various aspects of the influx of refugees, from rescuing people on the Mediterranean, to giving medical treatment to those who arrive to providing resources to those who are able to stay. 

	One of the main agencies is the United Nations Refugee Agency, known as ACNUR in Spain. You can choose to make a one-time donation or regular donations over a certain period of time.

	But there are also lots of smaller charities to choose from.

Donate new or used items

	 



Photo: Anwar Amro/AFP.

	 

	Groups like Spain Solidarity for Calais Refugees and CalAid organize drop-off points around Europe to bring donations to refugee hotspots.   

	 

	The most important items as the weather starts to get colder are clothing like jackets, woolly hats, shoes, socks, as well as blankets, but people regularly post a list of the essentials on the group's Facebook page.

	 

Sign a petition or support a campaign

	 



Photo: STR/AFP.

	If you are feeling like you want to do something more political, consider some of the petitions currently circulating to help refugees. 

	The Spanish Commission for Aid to Refugees (CEAR) launched a petition with the hashtag #UErfanos to eliminate the need for a transit visa for people to enter from countries in conflict and implement safer ways for people to travel to the European Union, among other things.

Get on social media


Photo: Mark Ralston/AFP.

	New groups and movements to help refugees are being formed all the time and the best way to keep up to date with the latest information is to follow charity and community groups on the social media.

	To start with join the Bienvenidos Refugiados - Spain group on Facebook where you will find information about neighbourhood groups as well as national movements.

	‎On Twitter, messages posted with #BienvenidosRefugiados‬ will also keep you informed. 
"
https://www.thelocal.es/20160622/spanish-artist-shocks-berlin-with-bloody-refugee-mural,refugee,"
				22 June 2016
				13:05 CEST+02:00			 
					13:05 CEST+02:00				", The Local,Spanish artist shocks Berlin with 'bloody refugee' mural,"
A Spanish artist has riled residents with his massive politically powerful mural daubed across an apartment building in Berlin. 

	The mural depicts a girl in a nightgown, bloodied from the head down and posed as if she were leaning against the building on which she is drawn, perhaps peering into the distance. Below her also appears to be a floor covered in blood.

	Across from her in a forest is a naked, handcuffed body, pierced by arrows.

	The work is that of Gonzalo Borondo, an artist born in the Spanish city of Valladolid who started getting serious about street art when he moved to Madrid at the age of 14 to attend the Academy of Fine Arts. He left his tags all around the city, using different materials like charcoal, oil and tempera.

	His father was a restorer and he grew up around classical paintings, from which he draws his inspiration. He particularly loves Goya, whose dark influence is immediately apparent in his work. 

	His latest piece is one of many larger-than-life painted political statements that add to Berlin's charm as an avant-garde city, and which draw tourists each year to walking tours of its street art.

	But the 42-metre-high mural on a wall in the Tegel neighbourhood of north Berlin has left residents feeling anything but charmed.

	 


		Something new from Borondo for PM9 in Germany with Urban Nation Berlin. #StreetArt #Graffiti #Mural pic.twitter.com/zzl63FL3f0
	— Christian Peters (@thx2111) June 15, 2016

	 

	“It's very, very frightening,” one mother of a five-year-old boy who attends a nearby Kindergarten told Berlin daily Tagesspiegel on Wednesday.

	“The worst is the impaled man… There is so much suffering in the world, but you don't have to also present it to us in such a big way.”

	The mother isn't alone: other residents in the neighbourhood have started to collect signatures to petition for the painting to be removed.

	The mural is supposed to be related to the refugee crisis, according to a spokesman from the housing association Gewobag, which commissioned the art.

	It is part of a series called Artpark Tegel which so far consists of five murals by the street art network Urban Nation.

	There is also sensitivity to the graphic work because several people have killed themselves by jumping off the building next door, Felix Schönebeck, a spokesman for the neighbourhood initiative I Love Tegel told Tagesspiegel. 

	Then there is the refugee home being planned for the area.

	""There will be people living there who fled from wars and lived through horrible things. For this reason I also find the image inappropriate,"" said 26-year-old law student.

	But the spokesman from Gewobag said the picture depicts hope as well as pain.

	“The child sees a person who despite being hit with arrows can stand upright and is strong.”

	 
"
https://www.thelocal.es/20150908/its-time-spain-learnt-some-lessons-from-its-own-refugee-past,refugee,"
				8 September 2015
				11:44 CEST+02:00			 
					11:44 CEST+02:00				", The Local,It's time Spain learnt some lessons from its own Civil War refugees,"
When Alberto Letona sees images of Syrian refugees he can't help think of his own family, who 80 years ago fled the Spanish civil war and sought refuge with strangers.   

	My mother was only a little Basque girl of seven when General Franco and his troops rebelled against the democratically elected government of the Spanish Republic.  It was 1936 and the Spanish Civil War would go on for almost three years with a death toll of half million and further 450,000 fleeing into exile.


Thousands of children fled Spain duirng the 1936-39 Civil War. Photo: Culture Ministry archive 

	My mother, along with her family, who at the time lived in Bilbao, escaped to the family farm in Bakio, as Bilbao was  becoming increasingly more dangerous because of Franco’s bombings.  

	In Bakio they thought they were safe, and they also had food, which was scarce in Bilbao.  Bakio is  only 13 kms from Gernika, and my mother always remembered how on April 26th 1937, dozens of planes  passed over their heads with a deafening noise.  They all ran for a place to hide.

	After the Gernika massacre, my grandmother, my mother, her eldest sister and some siblings were sent by the Basque government to the city of Pau in the south of France, far from their beloved, but insecure farm.


		4,000 refugees (Basque children) are welcomed in Southampton May 1937. Would we have let them drown? #refugeecrisis pic.twitter.com/OrWECGOkGH
	— Sir William Davenant (@SirWilliamD) September 3, 2015

	Some time later four thousand Basque children, aged between five and 12 were sent to the UK, this time without their parents. They set off from Santurtzi and docked in Southampton 48 hours later. The Conservative party was not very convinced by the idea, but people in England and Wales welcomed the children with open arms.

	For eight months my mother and her sister went to school in France, they learnt French, took piano lessons, played with the local children and most of all tried to put all the suffering they had gone through behind them.


		Susana Sabín “The 'niños vascos': Basque refugee children...” PDF: 2,71 Mb http://t.co/KoVZ7iJK6c #basquechildren37 pic.twitter.com/jNjlFe47Kn
	— Ruaille-Buaille (@ruaille_buaille) May 7, 2015

	Eventually they chose to return home. They did not want to leave their father, and decided to share the coming difficulties together. Even though it had been a short stay of eight months those days were very much treasured in my mother and her sister’s hearts.  France was the best country in the world and its citizens the nicest. Nobody could dispute that.

	Now I see the Syrian refugees in the media, and can’t help thinking of my family; tired, scared, hungry with a look of incredulity in their eyes, as though they were not able to grasp their new reality from a year earlier. They had families, jobs, houses, schools, and dreams. Now very little of those remain.


Syrian childen fleeing Syria and crossing the Turkish border Photo: Bulent Kilic /AFP 

	Some of the European governments have been extremely intolerant of the refugees. Callous and lacking in empathy, they have seen the refugees as a problem rather than human beings with problems. Fortunately more and more people are reacting and trying to give them back the dignity they deserve. The same happened 80 years ago.

	Despite all the hardships she had to face in life, my mother never lost faith in her fellow human beings. Perhaps that was the supreme lesson she learnt when she was still a child.  It is time for us to learn it too.

Alberto Letona is a Basque journalist living in Bilbao. He is the author of Hijos e Hijas de la Gran Bretaña - Sons and Daughters of Great Britain – in which he delves into the psyche of the British in an attempt to explain them to his own countrymen. 
"
https://www.thelocal.es/20150824/i-should-be-so-lucky-the-syrian-refugee-living-out-his-dream-in-madrid,refugee,"
				24 August 2015
				14:59 CEST+02:00			 
					14:59 CEST+02:00				", The Local,‘I should be so lucky': The Syrian refugee chasing his dream in Spain,"
Jalal Maher, 32, is an English teacher in Madrid.  He's an avid language learner, an animal lover and, above all, a massive Kylie fan.  Oh, and another thing – he's a Syrian refugee.  
 


Syrian refugee Jalal Maher poses with Kylie. Photo: Jalal Maher

	The photograph shows a man in his early thirties with a smile lighting up his face as he poses next to pop icon Kylie Minogue.

	For any fan to come face to face with their musical hero it can be an emotional moment, but for Jalal Maher it was an impossible dream come true.

	At the time he was living in an over-crowded refugee camp on the outskirts of Madrid having fled war torn Syria.

	The star pulled him up on stage during a concert in Madrid after seeing him brandishing a sign stating that he was from Syria and rewarding him for the weeks it took him to save up for the ticket.

Watch the video:



	Now, ten months later and having just been granted residency in Spain, Maher reflects on how for those willing to embrace Spanish culture and work hard, the country is nothing but welcoming.

	The Syrian conflict has brought to Europe's doorstep the greatest refugee crisis since the Second World War. Around 45 percent of its population has been displaced with 4 million having fled the country to find safety, and Maher is one of them.

	He considers himself lucky; as an only son he wasn't obliged to fight in the Syrian Army, and with an uncle already living in Spain, he was able to get a visa to visit him.  Then, in July 2014, he applied for asylum and was placed in the Vallecas refugee center in the southeast of Madrid.

	Maher wants to give ""inspiration and hope"" to Syrians in Europe, encouraging them to study hard and prove to Europeans that they are an asset to society.

	""We are ambitious people, we are intelligent people, and we do not want to survive on government handouts,"" he explained over coffee at a central Madrid café. ""We want to build up the reputation of Syrians and to be held in high esteem.""  

	Jalal proudly tells The Local that on his first day at the refugee center, he asked about the Spanish lessons on offer. ""But they said to me 'Wait!' You've only just arrived!'"" 

	But he was adamant.  He joined all of the classes he could and months later, ended up getting the top marks of all those to take the Official School of Spanish exam.


Jalal Maher next to the board congratulating him on his exam results. Photo: J. Maher

	Since leaving the camp he has secured a job teaching English, which he learnt in Syria, and just last week received the news that he had been given Spanish residency.

	Spain has seen a surge in illegal immigration with 68 percent more attempting to cross its borders in 2014 from the year before, among them some 3,300 Syrians.

	But since rejecting the EU quota plan Spain has faced criticism for not pulling its weight and shouldering its share of the burden when it comes to asylum seekers.

	It said it would relocate just 1,300 migrants as part of the scheme, a figure representing less than a third of the commission's original proposal, but as far as Maher is concerned, Spain has been nothing but welcoming.

	""I've been here for a year and a half and I can't think of a single incident of being treated badly. I am in love with the Spanish people and the Spanish culture.  If you offered me any other nationality now I would say no, I want to be Spanish.""

	He is, however, willing to admit that Spain isn't top of the list for most of his fellow refugees who dream of ending up in Germany or Sweden.

Read more: Syrian asylum seeker hosts Swedish start-ups

	""Everyone wants to go to Germany or Sweden and many of them try and reach there from Spain but if they are caught they are sent back to Spain. But people talk and they know that if they reach those countries from Greece they are likely to be granted asylum.""

	He points out that the help offered to refugees in Spain - €100 a month, as well as food, accommodation and money towards training to help get a job - is generous but is limited to six months.

	""I think that especially for families in need, this help for a limited time only is really not enough.  But what can we do?  Spain is going through a big crisis and can't even help its own people.""

	Maher says that every penny he can spare goes towards his family back in Syria. “My next step is to try and save my sister and her family who are still stuck in Syria. She worries about me being in a strange land but I say ‘Honey, it is you who is living in the strange land. You don't have the basic human rights. I'm not even talking politics but water, electricity, safety,'"" he explains.

	Sending money into Syria is near impossible but he tries to send what he can through a network of friends and family. Each week he buys lottery tickets in the hope that his dreams will be answered with a big win.

	""I want to send for my family to bring them here but I can't sponsor them officially because I don't yet have the assets,"" he said, adding that there are alternative illegal routes to be considered.

	""But such methods are expensive and very risky,"" he admitted. 

	""If I should be so lucky why can't they?""

Interview by Sophia Smith Galer
"
https://www.thelocal.es/20150909/citizens-pressure-spanish-government-to-act-on-refugees,refugee,"
				9 September 2015
				08:49 CEST+02:00			 
					08:49 CEST+02:00				",AFP,Citizens pressure the government of Spain to welcome in more refugees,"
Spain poised to accept EU quota of 15,000 refugees after citizens urge the government to be more welcoming to those risking their lives to reach Europe. 

	Europe's refugee crisis has become a popular cause for Spain's left-wing leaders, who are channelling public sentiment to pressure the government into a more generous stance.

	Despite lingering hardship from Spain's economic crisis, many families have offered to receive refugees in their homes, and cities like Madrid are putting forward millions of euros to help.

	City halls, charities and impromptu Facebook groups are marshalling offers of aid and urging the government to open Spain up to refugees who are risking their lives to reach Europe from trouble spots such as Syria.san

	""I am proud of the expressions and initiatives of solidarity by so many Spanish people in response to these tragedies,"" wrote Prime Minister Mariano Rajoy, responding to an open letter from Barcelona mayor Ada Colau.

	Accused by the left of dragging its feet as Europe faces its worst refugee crisis since World War II, the government on Tuesday agreed to take in however many the European Commission demands - a figure likely to be around 15,000.

	The apparent change in policy comes after months of action by city councils and concerned citizens, many organised by groups linked to Spain's anti-austerity ""Indignado"" movement.

	On August 29th, Colau called for the establishment of a ""network of cities of refuge to give a home to thousands of civilians fleeing from war"".

READ MORE: SIx simple ways to help refugees if you live in Spain

	Since then, more than 100 cities have taken up the call, among them Madrid, Valencia and Zaragoza, the mayor said, adding: ""While states look for excuses, the cities have got organised.""

	In Madrid, a huge white banner reading ""Refugees welcome"" was hung outside city hall this week, and Mayor Manuela Carmena has pledged €10 million ($11 million) to receive migrants in the city.


		.@MADRID city hall hangs banner welcoming #refugees to the city #refugeeswelcome pic.twitter.com/4Tr7w39g9M
	— Jessica Jones (@jessicajones590) September 7, 2015

	Across Spain, countless citizen groups have also sprung up to support the refugees.

	One in the northern region of Asturias says it has received thousands of messages of support since launching on Facebook last week.

	'Tired of just crying'

	""It's incredible,"" said one of the organisers, Betty Menendez, a 35-year-old housewife.

	""We have 350 families that are ready to host and another 400 offers of help of all kinds: lawyers, dentists, doctors, translators, carers, Spanish teachers, everything.""

	Menendez said she was ""tired of just crying at the news on television"".

	She and her husband are now offering to put up a refugee in their 54-square-metre (80-square-foot) apartment in the bedroom normally occupied by their 18-month-old toddler.

	""The house is very small, but we would give them food, a bed and a shower, and the freedom to come and go,"" she said.

	European Commission chief Jean-Claude Juncker will on Wednesday unveil a plan for urgently resettling 120,000 migrants across EU member states, with Germany likely to take in more than 31,000, France some 24,000, and Spain almost 15,000, a source told AFP.

	Until Tuesday, Rajoy's conservative government, which is to contest a general election in December, and insisted it would only take in 2,739 refugees this year.

	In response, more than 245,000 people signed a petition on the website change.org calling on the Spanish government to ""immediately open the doors to refugees"".

	In an apparent U-turn, Deputy Prime Minister Soraya Sáenz de Santamaría on Tuesday said that ""Spain will accept the number of refugees that the European Union asks us to take"".

	With a population of nearly 47 million, Spain accounts for 9.1 percent of the EU's population, but last year it took in less than one percent of the bloc's asylum applications, UN figures showed. In all, it granted refugee status to just 384 people.

	Monica Oltra Jarque, deputy leader of the Valencia region and a member of the left-wing party Compromis, said there was room in Spain for plenty more.   

	""If each Spanish town took just one family, we could host 20,000 families,"" she said.

	By Linh-Lan Dao
"
https://www.thelocal.es/20150205/amnesty-slams-spain-overcrowded-refugee-centres,refugee,"
				5 February 2015
				09:10 CET+01:00			 
					09:10 CET+01:00				",AFP,Refugee centres 'too overcrowded': Amnesty ,"
Amnesty International slammed Spain on Wednesday over conditions in overcrowded refugee centres where it says hundreds of Syrians fleeing war are awaiting asylum. 
  The international human rights watchdog cited one of Spain's key reception centres for undocumented immigrants, in the Spanish territory of Melilla which borders Morocco.   That centre is designed for 480 residents but Amnesty said it houses some 1,900, including 400 minors.   Of that total, 1,500 are refugees who have fled the civil war in Syria, it said. Many others come from sub-Saharan Africa.   About 600 Syrians who had been granted asylum in Spain were waiting to be transferred to mainland Spain, Amnesty added.   It said Spain had so far failed in its commitments to permanently resettle them on its territory.   Out of the millions of refugees who have fled the fighting in Syria, it said Spain had only permanently resettled 130 in 2013 and 2014 and planned for another 130 in 2015.   ""Spain can and must do better, not only by setting up a decent resettlement programme but also by increasing the numbers,"" said Virginia Alvarez, a spokeswoman for Amnesty in Spain.   Amnesty said the immigrants had difficulty applying for asylum and suffered poor living conditions in the Melilla centre.   When it visited the Melilla centre in October, it said residents were sleeping in crammed dormitories without bedsheets, or in tents, and had to form long queues for showers and meals, it said.   Spanish government officials in Melilla said that since Amnesty's visit, a new office for processing asylum claims had been opened.   More than three million Syrians have fled their country in the past four years of civil war, most of them to neighbouring countries such as Turkey and Lebanon.   Amnesty said in December that only about 1.7 percent of them had been resettled in rich countries. "
