href,keyword,info,author,headline,article_text
https://www.thelocal.ch/20180405/refugee-policy-switzerland-may-send-up-to-3200-eritreans-home,refugee,"
				5 April 2018
				10:07 CEST+02:00			 
					10:07 CEST+02:00				", The Local,"Refugee policy: Switzerland may send up to 3,200 Eritreans home","
				Hundreds of Eritreans granted temporary residence in Switzerland after seeing their bid for asylum rejected have received letters in recent days telling them their status is now under review.			

	The move comes after the Federal Administrative Court ruled in August last year that it was reasonable to return Eritrean citizens who had already previously performed military service to the African country as they were unlikely either to be required to re-join the military or to face other punishment.

	Following legal requirements, the State Secretariat for Migration (SEM) is now reviewing the files of 3,200 Eritreans granted temporary residence in Switzerland with authorities stressing that people affected would have the right to a judicial hearing and that all cases would be dealt with on an individual basis.

Read also: Refugees in Switzerland lack the psychological care they need

	People who deserted during military service are not affected by the review process.

	Responding to questions from Switzerland's SDA/ATS news agency, an SEM spokesperson on Wednesday said the review did not mean that Eritreans no longer had a right to temporary residence in Switzerland.

	“Those who need protection should receive that protection in Switzerland,” the spokesperson said.

	The Federal Administrative Court initially toughened its stance against Eritrean asylum seekers in February 2017 when it slammed shut an open-door policy toward Eritreans which had automatically granted them refugee status.

	Previously, Switzerland had given Eritreans refugee status if they said they had left their country ""illegally"". But the St Gallen-based court ruled that the policy was not justified particularly given exit visas are rarely given out in the autocratic country which enforces universal military conscription.

	The Swiss Refugee Council criticized the decision to review the files of just over a third of the 9,400 Eritreans who currently hold temporary resident permits in Switzerland saying there was no indication conditions on the ground had improved in the Horn of Africa country.

	But as Swiss daily Tages Anzeiger reported on Wednesday, Switzerland cannot at this time forcibly return people to Eritrea. The country has no wish to take back citizens who have fled and there is no bilateral treaty on the matter.

	Eritreans were the largest group of asylum seekers in Switzerland with 3,375 applications coming from this group. However, that number was done 35 percent on a year earlier.
"
https://www.thelocal.ch/20180517/un-palestinian-refugee-agency-part-of-the-problem-swiss-foreign-minister,refugee,"
				17 May 2018
				16:18 CEST+02:00			 
					16:18 CEST+02:00				", The Local,UN Palestinian refugee agency 'part of the problem': Swiss foreign minister,"
				The UN agency for Palestinian refugees is fuelling ""unrealistic"" hopes of return after 70 years of exodus and is therefore helping keep the Mideast conflict alive, Switzerland's foreign minister has said.			

	The United Nations Relief and Works Agency (UNRWA) was established after the war surrounding Israel's creation in 1948, when around 700,000 Palestinians fled or were expelled.

	But Swiss Foreign Minister Ignazio Cassis pointed out that the number of Palestinian refugees living in Lebanon, Jordan, Syria, the West Bank and Gaza has swelled to more than five million.

Swiss Foreign Minister Ignazio Cassis. Photo: AFP

	""It is unrealistic that this dream (of return) will be fulfilled for all,"" he said in an interview given to several German-language papers owned by the Swiss NZZ group and published on Thursday.

	""But UNRWA maintains this hope. For me, the question is whether UNRWA is part of the solution or part of the problem,"" he said, concluding that ""it is both"".

	The UN agency, he said, ""worked as a solution for a long time, but today it has become part of the problem.""

Fuelling the conflict?

	""It provides ammunition to continue the conflict. For as long as Palestinians live in refugee camps, they will want to return to their homeland,"" he said.

	""By supporting UNRWA, we are keeping the conflict alive.""

	His comments came after a month and a half of mass protests and clashes along the Gaza border, calling for Palestinian refugees to be able to return to their homes now inside Israel.

	The largest demonstrations coincided with the move of the US embassy in Israel from Tel Aviv to Jerusalem on Monday, which saw Israeli forces kill some 60 Palestinians, pushing the overall toll well over 100. 

	UNRWA is meanwhile struggling to cover a massive budget shortfall, after major donor Washington slashed its 2018 funding.

	The administration of US President Donald Trump has opted to cut the $360 million offered in 2017 to a commitment of just $60 million this year, leaving UNRWA scrambling to raise nearly half a billion dollars to guarantee services until the end of the year.

	Switzerland is among a group of countries who together pledged about $100 million in March to help fill the shortfall.

	Despite his scepticism of the role UNRWA is playing in the Middle East, Cassis warned the sudden funding cut facing the agency posed ""a big risk"".

	""Millions of Palestinians could take to the streets,"" he said, cautioning that lacking funds could cause the breakdown of a ""machinery that provides stability"".

	""This is a risk that Switzerland cannot afford,"" he said.

	Cassis said his country would continue funding UNRWA, but he also called for a heavier focus on integrating Palestinian refugees into their host communities.

	He said for instance that ""instead of supporting UNRWA schools and hospitals, we could help the Jordanian institutions promote integration of Palestinian refugees.""
"
https://www.thelocal.ch/20170124/switzerland-must-make-it-easier-for-refugees-to-go-to-university,refugee,"
				24 January 2017
				09:46 CET+01:00			 
					09:46 CET+01:00				", The Local,Switzerland 'must make it easier' for refugees to go to university,"
				The Swiss Students' Union (VSS) is calling on the federal and cantonal authorities to change the rules to make it easier for refugees to access the Swiss university system.			

	“The right to education is a human right,” Gabriela Lüthi, a director of VSS, told the media in a press conference. “That's why study should be available to everyone who has the interest and the capabilities”.

	 

	Many refugees have pursued or finished tertiary studies in their home country before arriving in Switzerland but slip through the net when they arrive here, said project coordinator Martina von Arx.

	 

	Their foreign qualifications do not qualify them to access the Swiss job market; rather, they must pursue a recognized Swiss university course or training, she said.

	 

	However currently numerous obstacles make it difficult for young refugees to study in Switzerland. 

	 

	Universities demand that refugees speak the local language to C1 level, even though Swiss students from a different linguistic region are only required to speak the local language to the lower B1 or B2 level, said VSS in a press conference. 

	 

	Often, refugees' linguistic knowledge is not taken account when they are allocated to a canton, added von Arx – meaning a French speaker could be sent to live in a German-speaking canton. 

	 

	“That leads to problems that could have been avoided. It is crucial to change that,” she said.

	 

	What's more, social services will only fund refugees for language courses up to A2 or B1 level, and most refugees do not have the money to fund further study.

	 

	That also applies to the Swiss university entrance exam, added the VSS. If a person without the Swiss maturité (the high school diploma) wants to study here they must either have a Bachelor's or Master's degree that is recognised in Switzerland or they must pass an entrance exam equivalent to the Swiss high school diploma.

	 

	Until 2011 preparatory courses for this entrance examination were paid for by a foundation. Since its dissolution students must now take private courses which can cost up to 20,000 francs for a year's study, a sum impossible for most refugees – and many other foreign students – to pay. 

	 

	VSS is calling for publicly-funded courses to be reintroduced, saying that economics should not dictate access to education.

	 

	“Using this type of selection process in a society that needs qualified personnel and wants above all to promote lasting integration makes no sense,” said VSS project coordinator Martina von Arx.

	 

	The organization is also calling for grants to be made available for refugees to cover the costs of living whilst studying – and that those grants should be available not just to recognized refugees but to those who have provisional refugee status. 

	 

	“If our integration system isn't prepared to support refugees having already studied or having an interest in studying, we are wasting potential and missing a chance to train much needed qualified workers,” she added. 

	 

	The organization's stance was welcomed by Swiss universities, with Michael Hengartner, the rector of Zurich University and president of Swissuniversities, saying higher education institutions were currently offering different measures for potential refugee students.

	 

	Indeed, since 2015 universities have agreed in principle to accept refugees and several are offering schemes where refugees can sit in on classes, for free.

	 

	The University of Geneva's ‘Horizon Academique' scheme welcomed 35 refugee students in this way last September.

	 

	But this does not go far enough, feels VSS.

	 

	“These projects are good and especially promote linguistic education,” Lüthi told the media. “But they are not enough”.
"
https://www.thelocal.ch/20170412/afghan-refugee-faces-deportation-after-25-years-in-switzerland,refugee,"
				12 April 2017
				09:16 CEST+02:00			 
					09:16 CEST+02:00				", The Local,Afghan refugee faces deportation after 25 years in Switzerland,"
				A Swiss court has ruled that a 27-year-old Afghan man who came to Switzerland as a refugee at the age of two should be deported to Afghanistan after committing a number of crimes. 			

	Under Swiss law a refugee can be deported even after many years in Switzerland if he is deemed a threat to security or public order. 

	 

	In this case the Fribourg resident, who has spent 25 years in Switzerland and does not know his country of origin, appealed to the cantonal court after the authorities revoked his residency permit in 2015 following a number of convictions for violent behaviour. 

	 

	But last month the court rejected his appeal, Swiss media reported on Tuesday.

	 

	The man arrived in Switzerland with his family in 1992. They were granted asylum and set up home in the canton of Fribourg, according to news agencies.

	 

	As a minor, the young man was three times convicted of violent offences, behaviour that continued into adulthood and led to a three-year prison sentence in 2010.

	 

	A year after being released he reoffended and was handed another two-year sentence.

	 

	Ruling on the man's appeal against his deportation, the cantonal court said there was a high risk that he would reoffend, based on the speed of his previous reoffending, his aggressive behaviour in prison and the opinion of a psychiatrist.

	 

	The defendant said he had no relationship with Afghanistan, that he didn't know the language or the country's customs. 

	 

	The current fragile situation in Afghanistan and the fact he was from an ethnic minority also formed part of his argument against his deportation. 

	 

	However the court drew on the opinion of the Swiss migration office (SEM) which in 2015 said it found no reason to think the man would be treated inhumanely if he returned to Afghanistan, mainly because so much time had passed since the events that led to him and his family fleeing the country as refugees.

	 

	The public interest in deporting him outweighed his private interest in staying here, concluded the judges.

	 

Foreign criminals

	 

	It's not only refugees who can be deported from Switzerland for committing crimes.

	 

	This year a new law came into force which allows the deportation of any foreigner who commits a serious crime warranting at least a three-year sentence, such as murder, rape, violent acts, armed robbery and drug trafficking. 

	 

	The new measures, applicable to crimes committed after October 1st 2016, were introduced after the Swiss public approved a popular initiative on the subject in a 2010 referendum. 

	 

	However in an amendment to the text of the original initiative, the government deemed that the courts should have the power to make exceptions, if the expulsion puts the foreigner in a dangerous situation or if a reason for the person to stay outweighs the public interest for expelling them.

	 

	The amendment – heavily criticized by the anti-immigration Swiss People's Party (SVP) – aimed to protect the interests of 'secondos', those born in Switzerland but without Swiss citizenship.

	 

	In February 2016 Swiss voters rejected another SVP-led initiative that called for the automatic deportation of foreigners guilty of even minor crimes. 

	 

	If passed, the controversial proposal would have dramatically increased the number of offences that can get foreign nationals automatically kicked out of Switzerland, including crimes usually punishable with short prison sentences or fines.

	 

	It would also have removed a judge's right to make exceptions.

	 

	Opponents had warned that if the text passed, ‘secondos' risked being deported to countries they have never lived in, just for petty offences.

	 

READ MORE: Ten things you need to know about the Swiss political system

	 

READ MORE: Eight things you should know about applying for Swiss citizenship

	 
"
https://www.thelocal.ch/20161003/switzerland-opens-doors-to-syrian-refugees-from-greece,refugee,"
				3 October 2016
				09:14 CEST+02:00			 
					09:14 CEST+02:00				", The Local,Switzerland opens doors to refugees from Greece,"
				For the first time Syrian asylum seekers from Greece are to be admitted to Switzerland under the European Union Relocation Programme.			

	The 30 Syrians are mainly people affected by the long-running conflict in their homeland, the Swiss news agency SDA reported.

	The Swiss government took a decision in autumn 2015 to voluntarily join the EU programme that distributes refugees from Italy and Greece to other European countries.

	Switzerland has now said it is willing to accept the first contingent of Syrians from Greece, the State Secretariat for Migration (SEM) told the agency.

	Switzerland has agreed to accept 900 asylum seekers from Italy and 600 from Greece under the programme. So far applications for 460 people have been accepted, said SEM head of information, Giery Cavelty.

	Cavelty said 120 people had already arrived in Switzerland, and more would be arriving in the coming weeks and months.

	The new arrivals have to go through the standard asylum application process once they are in Switzerland.

	The arrival of the asylum seekers from Greece was delayed because the EU had refused to pay the relocation costs, Cavelty said. Switzerland is now covering these itself.

	In spring 2015 the Swiss government agreed to take in 3,000 people from the Syrian conflict areas. The 1,500 asylum seekers covered by the EU Relocation Programme comprise half of that total.

	 
"
https://www.thelocal.ch/20180314/refugee-claims-by-venezuelans-surging-united-nations,refugee,"
				14 March 2018
				08:20 CET+01:00			 
					08:20 CET+01:00				",AFP,Refugee claims by Venezuelans surging: United Nations,"
				Nearly 100,000 people who fled Venezuela have claimed refugee status since the start of 2017, the UN said Tuesday, as it ramped up response plans for a displacement crisis likely to worsen.			

The UN refugee agency based in Geneva said the number of Venezuelans who have sought asylum has shot up 2,000 percent since 2014, but the most dramatic increases have ocurred over the last 14 months.

With the country's economic and political crisis intensifying, UNHCR has drawn up a ""regional response plan that covers eight (surrounding) countries"", spokesperson Aikatarina Kitidi said.

""In view of the situation in Venezuela, it is crucial that people are not deported or forcibly returned there,"" she added.

Asked if the UN had received reports of deportations or forced returns, Kitidi did not answer directly, saying only the  agency was calling for ""solidarity"" among nations in the region in responding to Venezuelans in need.

An influx of Venezuelans has reportedly stirred tensions in Brazil, notably in the city of Boa Vista which has received 40,000 people, raising its population by more than 10 percent.

Hundreds of Venezuelans there have been sleeping on the ground for months, while using restrooms in gas or bus stations.

UNHCR warned that an increasing number of Venezuelans, especially those living abroad without legal protection, are ""vulnerable to exploitation, trafficking, violence, sexual abuse, discrimination and xenophobia"".

The UN agency does not have a precise figure for those who have fled the crisis in Venezuela.

Regarding only those who have filed refugee claims, UNHCR said the figure stood at 145,000 since 2014 – but 94 percent of those claims have been recorded since the start of 2017.

	 
"
https://www.thelocal.ch/20171010/refugee-chefs-take-over-geneva-restaurants,refugee,"
				10 October 2017
				11:04 CEST+02:00			 
					11:04 CEST+02:00				",Caroline Bishop,Refugee chefs take over Geneva restaurants: ‘I am convinced it can help change people's perceptions' ,"
				On Sunday October 15th Sri Lankan chef Thambithurai Sritharan, an asylum seeker in Switzerland, will take over the kitchen of the Brasserie des Halles de l'Ile in Geneva as part of the first Swiss edition of the Refugee Food Festival. 			

	Created by the Food Sweet Food association and co-organized by the UN's refugee agency, the Refugee Food Festival is a citizens' initiative offering talented refugee, asylum-seeking and provisionally admitted chefs the chance to showcase their skills and culinary heritage. 

	 

	Already staged in cities around Europe, this first Swiss edition (October 11th-15th) sees five restaurants in Geneva open their kitchens to chefs from Syria, Eritrea, Sri Lanka, Tibet and Nigeria, who will present a special menu of their own dishes for one brunch, lunch or dinner only. 

	 

	In doing so, the festival aims to change perceptions of refugees and asylum seekers and boost their chances of finding work, as well as offering local people the chance to discover cuisines from all over the world.

	 

	Sri Lankan chef Thambithurai Sritharan has worked in the food industry for 15 years and arrived in Switzerland in January 2016. 

	 

	Here, he tells The Local what taking part in the festival means to him. 

	 

Why did you want to take part in the Refugee Food Festival? 

	 

	I have been cooking for decades in various capacities. Since I arrived in Switzerland, I also like cooking for my fellows at the [asylum seeker residence] Foyer Frank-Thomas, where I am currently living – sometimes for 200 people at a time! The idea of feeding people has always driven me forward. Also during the war in Sri Lanka, where food was scarce and people were missing a lot of things. It is a way for me to make people happy, to share what I can offer.

	 

	Sri Lankan cuisine is rather complex: it involves a lot of different spices and ingredients. I am therefore very proud to be able to introduce this cooking to new people here in Geneva. They might find it a little bit too spicy at first, but all those who tasted it before ended up asking for it again!

	 

What do you hope to achieve by sharing your cooking with people in Geneva?

	 

	I am motivated by the idea of meeting new people and of making them happy by sharing my cooking. The festival also offers me a chance to demonstrate my professional skills. I always thought that people will respect you for your own behaviour – through your acts rather than your fine words. That's also the reason why I am very active at the Foyer Frank-Thomas, always trying to help others – children and elders, as well as people from other communities.

	 



John Griffin of the Brasserie des Halles de l'Ile and guest chef Thambithurai Sritharan. Photo: UNHCR/Mark Henley

	 

Do you think the event can help change negative perceptions of refugees?

	 

	Yes, I am convinced that it can help change people's perceptions of refugees and asylum seekers. Many people here know very little about Sri Lanka. I think one can learn a lot from others and from other communities, simply by sharing one's knowledge and by exchanging with one another. The festival therefore provides me with an opportunity to build understanding for my culture and to let people realize that we might not be that different from each other. I also want to meet the guests that will come to the Brasserie des Halles de L'Ile and answer their questions, give them information on the dishes I prepared and the country they come from.

	 

Do you hope the festival could lead to a job for you here?

	 

	Of course, I would love to find a job thanks to the festival. I'm a hard worker and cannot stay idle for very long. I've already been looking for a job in Geneva, but my N-permit and my asylum-seeker status make it rather difficult to engage in a conversation with employers. However, that's not my main motivation for participating in the festival: I'm not here for the benefits, rather for the opportunity to bring joy to other people and to share something with them.

	 

Do you like it in Switzerland?

	 

	Yes, I haven't encountered any negativity here, I feel welcome and safe in Switzerland. The strength of human rights in Swiss culture and institutions act as a guarantee for the future, notably for protecting people like me.

	 

The Refugee Food Festival is held from October 11th-15th and the programme also includes: Syrian chef Nadeem Khadem Al Jamie at the Hôtel d'Angleterre, Nigerian Timothy Desmond Eze at the Bains des Pâquis, the Eritrean street food of Fieruz Tafla at FOOUND, and Tibetan chef Dekhi Dolkar at L'Olivier de Provence. For more details and to book, visit the festival website.

	 

	 
"
https://www.thelocal.ch/20180705/swiss-ngos-refugee-rescue-missions-in-med-grounded,refugee,"
				5 July 2018
				09:05 CEST+02:00			 
					09:05 CEST+02:00				", The Local,Swiss NGO's refugee rescue missions in Med grounded,"
				Maltese authorities have grounded flights by a Swiss NGO which aimed to save the lives of refugees in the Mediterranean.			

	German NGO Sea-Watch said the Moonbird aircraft has been blocked from taking part in refugee rescue missions.

	The Moonbird aircraft is jointly operated by Sea-Watch and the Swiss Humanitarian Pilots Initiative (HPI) with support from the Evangelical Church of Germany.

Read also: Refugee policy - Switzerland may send up to 3,200 Eritreans home

	Together with the Sea-Watch 3 ship, Moonbird participated in the rescue of some 20,000 people last year, the German NGO said in a media release.



			About 1000 would have drowned for sure, if our #Moonbird would not have found their sinking boats at the last second. Now this life saving asset is blocked as well by #EU authorities, even if we face the deadliest days since records started. Witnesses are obviously not welcome. pic.twitter.com/6VHbFgTKHf
		— Sea-Watch (@seawatchcrew) July 4, 2018



	But with Sea-Watch ships impounded and the Moonbird grounded, rescue missions were no longer possible, the NGO said.

	""The consequences of this ban on flights should be clear to those politically responsible. The people on those boats won’t be rescued but will instead drown out of sight,"" said HBI pilot and founder Fabio Zgraggen, who is from the eastern Swiss region of Appenzell.

	The Moonbird operated in the area north of the Libyan coast for two years without problems before missions were grounded, according to Zgraggen.

	He told Swiss news site Watson that Maltese authorities had blocked HPI rescue flights because there had been no request from Malta or Italy for those operations to go ahead.

	But the 33-year-old said no permit was required to operate private rescue flights.

	Zgraggen said a lawyer had been taken on and the plan was to get flights back in the air as soon as possible.

	The Moonbird ban comes as Italy and Malta ramp up efforts to stop NGOs from using the island nation of Malta as a base of operations for the rescue of refugees off the Libyan coast. Italy's interior minister has also said that Italian ports will be closed ""all summer"" to NGO migrant rescue boats.

	After a recent EU summit on immigration, the European Council appeared to back Italy and “other frontline Member States” in the fight against people smuggling.

	“All vessels operating in the Mediterranean must respect the applicable laws and not obstruct operations of the Libyan Coastguard,” said the European Council in a statement.

Read also: Homeless man given asylum in Switzerland told to 'buy a tent'
"
https://www.thelocal.ch/20151117/swiss-experts-help-refugee-crisis-in-europe,refugee,"
				17 November 2015
				11:40 CET+01:00			 
					11:40 CET+01:00				",Caroline Bishop,Swiss aid experts help refugee crisis in Europe,"
				Switzerland has sent five experts from Swiss Humanitarian Aid (SHA) to Slovenia and Croatia to help local organizations deal with the refugee crisis, the federal government has announced.			

	In a statement published on Monday, the Swiss foreign office said the SHA personnel were despatched to the region on November 12th after Slovenia and Croatia applied to Switzerland for help at the end of October.

	Comprising some 700 people, the SHA is a humanitarian aid corps which is available for direct actions and secondments to international organizations.

	The Swiss team will aim to share their expertise and help adapt the existing infrastructure in Slovenia and Croatia to the winter conditions.

	The most pressing needs identified by the SHA in the region are better winter infrastructure and sanitation facilities, more translators and support services for volunteers.

	The SHA is currently working in the Šentilj transit centre on the Austrian-Slovenian border and will extend their activities to Croatia in the coming days, said the statement.   

	Between 4,000 and 7,000 people are crossing into Croatia and Slovenia every day, fleeing war in Syria, Iraq and elsewhere.

	Switzerland has already provided 1.5 million francs to countries including Serbia and Macedonia in response to calls from the UN's refugee agency, UNHCR.

	However the country's main efforts regarding the refugee crisis have been in the conflict zone itself, with a total of 203 million francs given to projects in Syria, Lebanon, Jordan and Iraq since March 2011, said the statement.

	As for the situation in Switzerland itself, while it is now expecting to exceed the figure of 29,000 refugees initially predicted to arrive here in 2015, the country is still receiving far fewer migrants than the rest of Europe.

	According to the UNHCR more than 800,000 people have arrived in Europe during the crisis and 15 million have fled across the Middle East.

	The Geneva-based agency has launched  a winter crisis appeal to help refugee families facing the cold months ahead.

	After mild weather across much of Europe during November, temperatures are set to drop this coming weekend.

	On Tuesday the United Nations called on states not to ""backtrack"" on pledges made to host migrants and refugees, including from Syria, in the wake of the attacks in Paris on Friday, reported agency AFP.
	   
	""We are concerned about the reactions from some states to end programmes being put in place, backtracking from commitments made to manage the refugee crisis,"" said UN refugee agency spokeswoman Melissa Fleming.
	   
	""Refugees should not be turned into scapegoats and must not become the secondary victims of these most tragic events,"" Fleming added, after some EU states indicated they would take a hardline on the migrant crisis following the attacks.
"
https://www.thelocal.ch/20170203/switzerland-toughens-up-rules-for-eritrean-asylum-seekers,refugee,"
				3 February 2017
				08:34 CET+01:00			 
					08:34 CET+01:00				",AFP/The Local,Switzerland toughens up rules for Eritrean asylum seekers,"
				Switzerland has slammed shut its open-door policy toward Eritreans which had automatically granted them refugee status.			

	In announcing its decision on Thursday, the Swiss federal administrative court in St Gallen said the lax policy was unjustified. It had also been criticized by several Swiss politicians who claimed it was being abused.

	 

	To qualify as a refugee upon arrival in Switzerland, Eritreans simply needed to say that they had left their country ""illegally"".

	 

	That description could feasibly apply to anyone who flees the Horn of Africa nation, where an autocratic government enforces universal military conscription and requires citizens to secure exit visas before travel, which are rarely given out.

	 

	After a review of the policy, the court ruled that ""the illegal exit from (Eritrea) cannot in itself justify recognition as a refugee"".

	 

	The court cited several cases where Eritreans had been granted asylum in Switzerland but later returned to Eritrea for short visits.

	 

	According to the court, those cases proved that Eritreans who left their country illegally were not necessarily subject to mistreatment upon their return, undermining their claim to asylum.

	 

	In June, a UN-backed investigation said the Asmara regime led by president Isaias Afwerki's had ""enslaved"" 400,000 people.

	 

	The United Nations had also previously reported that 5,000 Eritreans risk their lives each month to flee the nation where army conscription can last decades.

	 

	Eritreans topped the list of asylum seekers in Switzerland last year, with 5,178 requests lodged, according to the Swiss migration office. More than 42 percent of them were granted asylum. 

	 

	Eritreans are the largest diaspora of refugees in Switzerland, at around 34,500.

	 

	The federal court ruling, which was made on Monday but publicly released on Thursday, cannot be appealed.
"
