href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.at/20160824/austrias-refugee-crisis-one-year-on-refugees-welcome-solidarity-elections-far-right,refugee,1005,"
				24 August 2016
				12:26 CEST+02:00			 
					12:26 CEST+02:00				", The Local,Austria's refugee crisis: One year on,"A year ago this week, 71 refugees and migrants were discovered in the back of a truck in Austria’s A4 road having suffocated to death while being smuggled into central Europe.
The incident was the first time the refugee crisis had really reached Austria’s doorstep and it put the country under the spotlight of international media. A few days later hundreds of frustrated refugees started walking from Budapest to Vienna and were met with a wave of solidarity in Austria, with some politicians even philosophising about a new welcoming culture.
Fast forward a year and Austria has seen significant changes in its refugee policy, eventually introducing one of Europe’s strictest asylum laws. The Local looks back at some of the key moments in a year that changed Austria.
Austrians show solidarity as numbers peak
As the refugee crisis reaches Austria’s doorstep in September, authorities begin ferrying refugees from the Hungarian border to Vienna and then onto Germany via Salzburg. In September around 170,000 refugees and migrants pass through this way. The initial compassionate management of people by Austrian police, railway bosses and politicians meant the country was seen in a favourable light internationally - particularly compared to the rough treatment refugees received from Hungarian authorities. At this peak time, many Austrians step up to the plate and donate in their thousands to help the new arrivals, with between 20,000 and 60,000 attending huge pro-refugee rallies in September and October.
Elections, elections
Although the ‘refugees welcome’ movement flourished in Austria in September, there were also many who did not feel as comfortable with the new arrivals. Fears over immigration lead to a surge in support for the far-right Freedom Party (FPÖ), who gain 15 percentage points in Upper Austria elections in September and then gain 31% of the vote in Vienna elections in October. Although not the only reason behind the growing support for the FPÖ, fears over migration numbers also contribute to the party coming ahead in the first presidential election in April 2016, before losing by just 0.6% in the run-off election in May.
Fences raised
After Hungary closed its border with Serbia and Croatia, the influx of refugees into Austria shifts from Nickelsdorf in Burgenland to Spielfeld in Styria towards the end of 2015. As thousands become trapped at Austria’s Slovenian border, Austria’s conservative Interior Minister Johanna Mikl-Leitner announces they will build a fence to help control the flow. The same day Austria’s leader - Social Democrat Werner Faymann - reiterates that fences “have no place” in Austria, a fight he is to lose. Divisions over whether to take a soft or hardline approach to the refugees begin to rise to the surface. By 2016 the fence in Slovenia is followed by a barrier at the Brenner border with Italy and preparations are made to raise a fence if necessary along the border with Hungary.
Closure of the so-called West Balkan route
After Hungary closes its border, other countries in the West Balkans begin taking similar action. Refugees arriving in Greece try to make their way to central Europe through Macedonia but are turned back. In March 2016 Macedonia, Croatia and Slovenia all announce that they have shut their borders, a move supported by Austria but met with concern from EU officials. After the closure of that route and the strengthening of controls at Austria’s Italian border, the pressure of managing new arrivals is taken off Austria as refugees and migrants seek new routes into central Europe.
Tightening of asylum laws
Around that time, Austria declares it took on almost 90,000 asylum applications in 2015 - one of the highest figures per population in Europe. The government decide they cannot let the same thing happen again this year and announce an upper limit on asylum applications of 37,500. Just days after the far-right take the lead in the presidential polls in April, the Austrian parliament adopt one of Europe’s toughest asylum laws. The hotly-disputed bill allows the government to declare a ""state of emergency"" if the migrant numbers suddenly rise and reject most asylum-seekers directly at the border, including from war-torn countries like Syria. It is a move heavily criticised by the UN and asylum experts, who say Austria is flouting international human rights law.
Change of guards
Spring also saw a significant change of guards in Austrian politics. Following the presidential election results in May - and growing discontent among his party - Austria’s social democratic leader Chancellor Werner Faymann steps down and is replaced by former railways boss Christian Kern who managed the transportation of refugees through Austria the previous year. Meanwhile, the police chief who managed the eastern Austrian refugee operations has become Defence Minister and the hardline Interior Minister swaps jobs with Lower Austria deputy governor, who quickly reveals he is just as tough on asylum seekers as his predecessor. Although the new Chancellor initially challenges the tough Interior Ministry on the ‘upper limit’ for asylum applications, months later Kern says he is ready to implement the controversial emergency measures by September.
Crisis dissipates in Austria
The number of asylum applications fell dramatically in Austria in 2016 compared to the previous year. The solidarity movement has also become less conspicuous. Politicians who helped to care for and manage the movement of refugees last year are now preparing to implement some of Europe’s toughest asylum measures. How might the country react today if another group of 71 refugees was found in the back of a van having suffocated? No doubt with sadness, but it would be unlikely to elicit the same powerful solidarity movement. At the other end of the scale, the earlier rise in anti-Muslim extremist protests this year has also somewhat calmed in the summer. Is there less fire in the belly of the anti-refugee movement now the crisis is less acute? The far-right’s presidential candidate Norbert Hofer is tipped to win the presidential election re-run in October but the question remains whether he'll be able to secure the same support without a refugee crisis to talk about."
https://www.thelocal.at/20170323/austria-will-double-the-amount-it-pays-refugees-who-volunteer-to-leave,refugee,284,"
				23 March 2017
				10:54 CET+01:00			 
					10:54 CET+01:00				",AFP,Austria will double the amount it pays refugees who volunteer to leave,"Austria said on Wednesday it would double the amount of money paid to migrants who voluntarily return home, as part of a campaign to speed up the repatriation of around 50,000 asylum seekers.
They would be offered $1,000 ($1,080) instead of 500 euros, Interior Minister Wolfgang Sobotka said.
The scheme, run in collaboration with pro-refugee groups, is primarily aimed at ""those who are not likely to be granted the right to long-term residence"", he told a press conference in Vienna.
Austria, a nation of 8.7 million people, has received more than 130,000 asylum applications since 2015 following the onset of the European Union's worst migration crisis since World War II.
Of the new arrivals, about 10,700 left Austria again last year, including 5,800 by choice, according to official data.
""The advantage of voluntary returns is that they are less traumatic,"" said Bernd Wachter of Caritas Austria, the Catholic Church's humanitarian organisation which works closely with refugees.
""They allow you to better organise the reintegration in the country of origin,"" he said.
However, the payment offer is currently only available to the first 1,000 people who register their interest and who have already filed an asylum application.
It is primarily aimed at nationals from Iraq, Iran, Afghanistan and sub-Saharan countries, but excludes people from neighbouring Balkan states.
The record number of arrivals in Austria -- one of the highest per capita in Europe -- fuelled anti-immigration sentiment and gave a boost to the far-right.
In response, the ruling centrist coalition announced plans in January to beef up surveillance and security measures, ban full-face veils in public and oblige migrants to sign an ""integration contract"".
The government has also capped asylum applications at 35,000 for 2017."
https://www.thelocal.at/20160311/refugee-jumps-to-death-from-moving-train-near-munich,refugee,242,"
				11 March 2016
				17:21 CET+01:00			 
					17:21 CET+01:00				", The Local,Refugee jumps to his death from moving train,"A 17-year-old refugee from Egypt leapt to his death from a train outside Munich on Friday morning after police found him carrying an Austrian deportation order.
The tragic death came about when police moved through the train checking passengers’ identity documents, Bayerischer Rundfunk reports.
Officers found the young Egyptian hiding under a bench in an empty compartment. When they asked him to show his identity papers, he provided documents that he had been given in Austria.
While the one document recognized the teenager’s status as a refugee in Austria, the other ordered his deportation to Italy.
The officers ordered the young man to leave the compartment and wait in the corridor.
But according to eyewitnesses, he used the opportunity to escape into another compartment where he opened the window and jumped out.
The train was still travelling at a high speed through a town called Haar.
The young man landed on an adjacent set of tracks and was killed by the impact.
Police in Munich said the teenager had recently been caught by officers illegally entering Germany and had been sent back to Austria at the time.
It seems that once in Austria, he was ordered to leave the country and go to Italy.
Hundreds of thousands of people have entered Germany over the past six months seeking asylum.
Under the European Union’s so-called Dublin rules, refugees are supposed to apply for asylum in the country where they first entered the continent."
https://www.thelocal.at/20150806/four-ways-to-help-refugees-in-austria,refugee,466,"
				6 August 2015
				13:21 CEST+02:00			 
					13:21 CEST+02:00				", The Local,Four ways to help refugees in Austria,"The European Union is struggling to cope with a huge influx of refugees, many risking their lives to flee violence in Syria, Iraq and Afghanistan. If you want to help refugees arriving in Austria, here's how.
Austria had over 20,000 asylum applications in the first five months of 2015 alone - and officials expect the total to reach 80,000 this year.
Reception centres are packed, and some hostels for asylum seekers have been accused of inadequate care. The situation is pretty desperate. Many people feel powerless to help when they read the newspaper headlines, but here are four things you can do to help:
Volunteer
There are several charitable organisations in Austria dedicated to helping refugees. Volunteering at one of these is one of the best ways to make a difference, as you will have the chance to make personal contact with asylum seekers and help provide them with clothes, food and water. In return, you will get a new perspective, meet different kinds of people, and gain the eternal gratitude of those in need.
To sign up go to: https://freiwilligfuerwien.echonet.at/home/fluechtlingshilfe/54 or contact organisations such as Caritas, Diakonie, Volkshilfe and Don Bosco Flüchtlingswerk.
Provide accommodation
Instead of letting piles of junk accumulate in your spare room why not change a refugee's life by providing them with long-term accommodation. Finding accommodation is always one of the main challenges for a refugee, and providing them with a safe, secure roof over their head which is not in a mass accommodation centre will make a huge difference.
To sign up, fill out the form at: https://freiwilligfuerwien.echonet.at/home/wohnraum/54.
Alternatively, if you live in a flat share, the organisation Flüchtlinge Willkommen (Refugees Welcome) will match you up with a suitable refugee house mate, and assist with paying the rent. More information here: http://www.fluechtlinge-willkommen.at/
Donate your unwanted possessions
There are numerous organisations which will donate your unwanted possessions to refugees who will really appreciate them. Alternatively, you can donate new hygiene products to charities such as Caritas, who will create packages for refugees. They are currently seeking items such as razors, deodorant, shampoo, toothpaste, toothbrushes, sun cream, face cream, bandages and nappies. The retail firm ‘dm' is working with Diakonie and Caritas and has set up a new initiative across Austria to help provide refugees with these items. Customers can pay €5, €10 or €20 at the tills of any dm store and donate a ‘Welcome Package' of the same value to refugees.
Donate money
Donating €20 will buy a waterproof sleeping bag for a refugee. €21 will provide safe accommodation for the night. €50 will buy a mattress, and a further €45 will give a refugee a duvet and pillows. To donate to Caritas, follow this link: https://www.caritas-wien.at/spenden-helfen/aktuelle-spendenaufrufe/hilfe-fuer-fluechtlinge/.
The bank details of the organisation are listed under ‘3. Geldspenden'.
By Claire Caruth."
https://www.thelocal.at/20160406/refugee-job-platform-launches-in-austria,refugee,501,"
				6 April 2016
				11:35 CEST+02:00			 
					11:35 CEST+02:00				", The Local,Refugee job platform launches in Austria,"A job platform connecting refugees and asylum seekers to employers has launched in Austria.
Refugees Work was founded last November after a not-for-profit platform connecting NGOs to pro-bono work was contacted by a business wanting to hire refugees but not knowing how to go about it.
This week, the Refugees Work website opened for registration, with 140 companies and 1000 refugees already signed up in just the first few days.
“It’s going well so far,” one of the founders Dominik Beron told The Local Austria. “We’re seeing different industries with different motivations. Many accept there is a social responsibility to do this but there is also the recruiting motivation. Employers want to hire new people and they know that many refugees are trained and were even leading companies in their home countries.”
Last year around 90,000 asylum applications were registered in Austria and the topic has been a hotly debated issue, with the government erecting border fences and setting a cap of 35,700 asylum applications for 2015.
Public opinion on the issue is divided, although the charity Caritas say they are still seeing high numbers of volunteers in Vienna looking to donate their time to support refugees. Initiatives such as Refugees Welcome, where Austrians offer their spare rooms to refugees, and the refugee-run magdas Hotel, have also both been warmly received.
Refugees Work is the latest charitable project to launch in this area, helping businesses needing a highly-skilled and diverse workforce as well as asylum seeker and refugees looking for work.
Having tried and failed to find an NGO with the time and resources to take on the idea, Beron and his colleague Jacob Wagner decided to crowd-fund and do it themselves instead.
Difficulties finding work
The law in Austria states that people going through the asylum process are legally not allowed to be in paid employment. Those who do receive refugee status - which can take years, even decades - do have the same access to the labour market as everybody else, although the perception of some employers that it is complicated or sometimes unattractive to hire refugees can make it more difficult to get work.
Refugees Work aims to help both groups, by matching asylum seekers with volunteer opportunities and refugees with work suitable to their experience - but Beron emphasises there is also a strong business case as well.
“Employers can see there is a benefit of hiring people with different backgrounds,” says Beron. “For example a luxury hotel might want someone who can speak to Arabic to guests rather than German or English.”
Still in its soft launch stage, the website will continue to register companies and refugees in the next two weeks before the job platform opens and begins matching them.
“We wanted to give the refugees a chance to get help from NGOs to create good profiles, with information about themselves and good photos,” explains Beron. “This way, we also hope to make some matches on the first day.”
Refugee job platform launches in Austria"
https://www.thelocal.at/20161007/viennas-benefits-system-like-magnet-for-refugees,refugee,411,"
				7 October 2016
				11:58 CEST+02:00			 
					11:58 CEST+02:00				", The Local,Vienna's benefits system acts as a 'magnet for refugees',"Refugees in Austria are increasingly moving to Vienna because other Austrian states have reduced the amount of social security benefits asylum seekers can receive, which is designed to cover their basic living costs.
People granted asylum in Austria are typically awarded up to €914 a month to cover their basic living costs (Mindestsicherung) but many areas - including the states of Lower and Upper Austria have reduced this to €520.
Critics of the Vienna government - a coalition of Social Democrats and Greens - say it has vastly underestimated the cost of providing basic benefits to asylum seekers.
Figures show that the budget for social benefits has had to be increased to around €130m. The government of Vienna says that the number of recipients of social benefits has “risen sharply because of the inflow from other federal states”.
From 2011 to 2013 the number of benefits claimants who relocated to Vienna was around four percent. That figure doubled in 2015 and is now around eight percent (14,414 people).
The opposition ÖVP party claims that Vienna has a “budget crisis"" because of the increase in spending on social welfare and wants a special meeting of the city council to discuss record unemployment and debt levels and a refusal to reform the system.
Sonja Wehsely, the city councillor responsible for social affairs, says that only a small percentage of people are totally reliant on the Mindestsicherung, and that the number of “large refugee families” is few.
But she admitted that poor economic growth, a lack of employment opportunities and a rise in the number of people being granted asylum has led to increased costs, and that this has become political fodder for the ÖVP and right-wing Freedom Party (FPÖ).
She argues that if the Mindestsicherung benefit is cut then vulnerable people risk falling into homelessness, poverty and crime, and that the benefit exists to create social equality and peace in the city.
Reinhold Lopatka, political leader of the ÖVP parliamentary group recently said the social system is especially unfair in Vienna and that refugees who have been granted asylum status in Austria get more money from the authorities than farmers receive in pension benefits.
""A farmer who has been working hard his whole life has spoken with me. He now receives pension benefits of €620 and his son has to subsidise him so that he can feed himself. Currently migrants in Vienna receive €837.60, although they have never contributed to our benefits system""."
https://www.thelocal.at/20161013/almost-8000-refugees-left-austria-in-2016,refugee,232,"
				13 October 2016
				11:39 CEST+02:00			 
					11:39 CEST+02:00				", The Local,"Almost 8,000 refugees left Austria in 2016","Almost 8,000 refugees have left Austria so far this year, according to a report released by the Interior Ministry.
Austria has set a limit of 37,500 on the number of refugees it is willing to accept this year - as part of new government measures to ensure a tougher stance in Europe's refugee crisis.
The latest figures show that by the end of September, 75 percent of the total limit had been reached - with 34,657 asylum applications made.
Of those refugees who left Austria this year, most went voluntarily (4,515), and a further 3,311 were deported. Half of those deportations took place according to the EU’s so-called Dublin Regulation, which states that the first EU country in which an asylum seeker arrives is responsible for processing their asylum application.
Interior Minister Wolfgang Sobotka (ÖVP) has said controversial emergency measures planned for when the limit of 37,500 is reached will most likely only be in force for a few days this year, if at all.
A new law will allow the government to declare a ""state of emergency"" over the migrant crisis and reject most asylum-seekers, including from war-torn countries like Syria, directly at the border.
Austria, a small nation of 8.5 million people, became a key transit country for hundreds of thousands of migrants and refugees entering the European Union last year, with some 90,000 people requesting asylum here in 2015."
https://www.thelocal.at/20151215/asylum-seekers-return-home-as-austria-fails-to-meet-expectations,refugee,446,"
				15 December 2015
				11:25 CET+01:00			 
					11:25 CET+01:00				", The Local,Refugees: 'Austria isn't what we expected',"An increasing number of asylum seekers from Afghanistan, Iraq and Kosovo are returning to their countries, saying that they had expected better care and a shorter asylum process in Austria.
Figures from the Interior Ministry show that between January and November this year over 1,100 Kosovans left Austria voluntarily. Kosovo is considered to be a safe country of origin and migrants have little chance of obtaining asylum in Austria.
Migrants from Iraq and Afghanistan have a good chance of being registered as asylum seekers but so far 530 people from Iraq have returned home, and 120 from Afghanistan. ""This trend has become more noticeable since mid-September,"" Interior Ministry spokesman Karl-Heinz Grundböck said.
The Caritas charity confirmed that between September 1st and December 14th 257 Iraqis, 35 Afghans and 53 Iranians flew home - most of whom had been resident in Vienna. In 2014 only two Iraqis, nine Afghans and one Iranian chose to return to their own countries.
""Many are afraid of being deported and the humiliation of that,"" Caritas spokesman Martin Gantner said. He added that others are returning because they miss their families, and some had different expectations of what Austria and Europe would be like. “There are so many uncertainties for them here in Austria, many refugees are traumatized and need a sense of security,” he said.
Three Iraqi men in their 20s who spoke to the Kurier newspaper say they plan to fly home on Wednesday after three months in Austria. They are all computer engineers and had hoped to build a better life here. ""We wanted peace, freedom and a future,"" 23-year-old Muqdad said. He and his friends have been living in emergency refugee accommodation in Vienna's 3rd district.
""We've just been humiliated here,"" said Omer. ""It was a mistake to come. People look at us here as if we were terrorists, and all we want is peace. Dogs are treated better than refugees in Austria - at least they have something good to eat, and are even given something to wear.""
The Afghan and Iraqi embassies in Vienna have also confirmed that increasing numbers of their citizens are choosing to return to their countries and said that they are issuing travel documents to dozens of people every day. The flights are mainly financed by the Interior Ministry and the EU.
Günter Ecker, the head of Vienna's human rights association (VMÖ), expects the trend to continue. ""Many Iraqis say that they expected better social care here, and many also had a misleading idea of how long the asylum process might take. They didn't realise that they might have to wait a year or more until their families could join them here.”"
http://www.thelocal.at/20160504/italians-plan-third-refugee-demo-at-austrian-border,refugee,376,"
				4 May 2016
				11:03 CEST+02:00			 
					11:03 CEST+02:00				", The Local,Italians plan third refugee demo at Austrian border,"A third protest against border controls is set to take place this Saturday at the Brenner border between Italy and Austria.
Left-wing Italian demonstrators are planning a day of action at Brenner, although they have not applied for official permission to protest either from the Italian or Austrian authorities.
One organiser - under the name Massimo - spoke about the planned action on an internet radio site.
He said: “We will hold the event on the Italian and Austrian side at the time same. If the democratic totalitarians want to erect fences, we will as enemies not accept the borders and make it impossible.”
Four hundred participants are expected to take part at the upcoming weekend demonstration. It will be the third such demonstration to take place at the Brenner border.
At previous protests, which had been registered with authorities prior to the event, several hundred demonstrators turned up and around the same number of police.
At the first protest estimates of between 500 and 800 people from Italy, Austria and Germany marched to the border in what began as a peaceful event but descended into violence between 50 participants and police. Five officers were injured in the clashes.
The second protest, which took place two weeks ago, saw hundreds of mostly Italian protesters push up against a line of Austrian riot police.
The demonstrators are angry about the measures being taken at the border checkpoint, including preparations for a 400-metre-long fence that Austria says it will erect if Italy does not cooperate with controlling the number of migrants and refugees crossing the border.
From the end of May, Austria will also introduce border checks in the area, similar to those already in place along the country’s southern and eastern borders.
South Tyrol police say they are taking the latest activity from the protesters seriously and authorities on both the Austrian and Italian side of the border are in contact with each other in relation to the event.
“This group are being observed and, following the announcement that reached us, there will be an appropriate police presence,” said South Tyrol’s provincial head Arno Kompatscher.
Police - who at the last protest deployed 300 officers - say they are preparing for a possible large operation on Saturday."
https://www.thelocal.at/20151106/majority-of-austrians-fear-consequences-of-refugee-crisis,refugee,281,"
				6 November 2015
				12:14 CET+01:00			 
					12:14 CET+01:00				", The Local,'Majority' fear effects of refugee crisis,"Concern about the impact of the refugee crisis on Austria is growing, with 60 percent of people saying that the arrival of thousands of refugees and migrants is a cause for fear and worry, according to a new survey.
35 percent of respondents to a survey by Unique Research said they thought the government should not allow any more refugees or migrants into Austria, and 21 percent said they believed Foreign Minister Sebastian Kurz offers the best solutions for dealing with the crisis.
The survey, commissioned by the Heute tabloid, showed that only eight percent of those asked thought the government should allow more refugees and migrants in.
Sixteen percent were in favour of Freedom Party leader Heinz Christian Strache’s solutions to the crisis, which include constructing border fences anywhere where refugees and illegal migrants are trying to enter Austria. Chancellor Werner Faymann (SPÖ), who has rejected the idea of fences, only got a seven percent approval. 34 percent of respondents said they didn’t trust any of the politicians to come up with a good solution.
Strache has been vocal in his criticism of the government’s approach to the crisis - saying that Austria had become “almost a Banana republic”, with the government providing a “catering service” for passing illegal migrants.
84 percent of those questioned felt that the most appropriate action would be to have more controls on the EU's external borders. 77 percent were in favour of a rapid repatriation process for refugees.
36 percent of survey respondents felt that the number of people claiming asylum in Austria would have a negative impact on the labour market, with 30 percent saying that state finances would be dealt a blow."
