href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.dk/20180626/italys-salvini-in-libya-as-migrants-disembark-danish-cargo-ship,migrant,886,"
				26 June 2018
				08:32 CEST+02:00			 
					08:32 CEST+02:00				",AFP,Italy's Salvini in Libya as migrants disembark Danish cargo ship,"Italy's new government took its fight to block migrants to Libya on Monday as a new boat with hundreds on board remained stranded at sea, deepening a crisis shaking Europe.
With European leaders at each other's throats over the large number of migrants arriving from North Africa, Italy's far-right Interior Minister Matteo Salvini paid a surprise visit to Tripoli.
There, he called for the establishment of processing centres in various unnamed African countries to deal with potential migrants in a move ""to help Libya as well as Italy block migration"".
Libya is a key departure point for thousands of migrants hoping to reach Europe, although hundreds drown each year attempting the crossing.
Salvini's unexpected trip came a day after emergency talks between 16 European Union leaders in a bid to break a longstanding deadlock over who should take in the migrants, the bulk of whom have been landing in Italy and Greece.
The crisis came to a head earlier this month when Italy's new populist government turned away a rescue boat carrying 630 people, which was also rejected by Malta, forcing the vessel to remain at sea until Spain offered them safe haven.
But the relief was short-lived, with Italy and Malta refusing a second vessel carrying 234 migrants who were rescued on Thursday.
The move left Germany-operated rescue boat Lifeline stranded in international waters near Malta.
""Let's see if Europe remembers that it actually exists because there is still a boat loaded with migrants in Maltese waters waiting for a port to welcome it and we can tell you again, it won't be in an Italian port,"" Salvini said.
However a Danish cargo ship owned by Maersk, the world's leading container shipping company, with 108 migrants on board was allowed to dock at the southern Sicilian port of Pozzalo after waiting offshore for three days for instructions from the Italian authorities.
A tugboat pulled the ship into the harbour at around 11pm, an AFP reporter said.
It had changed course early Friday to help 113 people off of Libya, of whom five including four children and a pregnant woman disembarked in Sicily.
Danish Immigration Minister Inger Støjberg, herself a hardliner on immigration, said earlier she would send a letter to Salvini to ask him to act on their situation.
READ ALSO: Italy's refusal of Maersk migrants 'unreasonable': Denmark's immigration minister
Ramping up the rhetoric, Salvini earlier warned foreign charities to stop rescuing migrants off Libya, accusing them of ""causing trouble"" and saying Italian ports ""are and will be closed to those who aid human traffickers.""
His remarks came as Libya's coastguard said it had rescued nearly a 1,000 people on Sunday, and Spanish authorities said they had picked up more than 600 others off their coast on Monday.
Salvini has insisted Italy will not take in ""one more"" refugee, vowing to close its ports to all foreign-flagged rescue ships and demanding that Europe shoulder the burden, warning the migration crisis could threaten the bloc's future.
""We will jointly support, with Libyan authorities, the setting up of reception and identification centres south of Libya, on the external border of Libya, to help Libya as well as Italy block migration,"" Salvini told a news conference in Tripoli.
Ahmed Maiteeq, deputy head of the Government of National Accord (GNA), said Libya would host a migration summit in September.
Earlier, he told Italy's La Repubblica daily that Europe ""must think of structural measures to take in African countries to stop migrants.""
On his return to Rome, Salvini said a technical team would be set up this week with representatives from Italy, Niger, Chad and Mali.
He dismissed calls by France and Spain for asylum-seekers to be kept in closed centres until their claims are processed -- a proposal Rome fears would turn Italy into ""a refugee camp for all of Europe"".
""Welcome hotspots in Italy? It would be a problem for us and for Libya itself because it would not stop these deadly waves (of migration). We have proposed reception centres south of Libya to avoid Tripoli becoming a funnel, like Italy,"" he wrote on Twitter.
""The only way to really counteract the traffickers' criminal interests and avoid these voyages of death is to stop these boats putting out to sea,"" he added in a separate statement.
The crisis has seen France's Emmanuel Macron accusing Rome of ""irresponsibility"" for turning away the boats, and Italy denouncing Paris for its hypocrisy in pushing migrants back across their shared border.
In Germany, Chancellor Angela Merkel is facing an ultimatum from her hardline interior minister who has given her until the end of June to find a European deal to curb new arrivals.
Sunday's emergency EU leaders meeting had aimed to clear the air between member states ahead of a scheduled full summit on Thursday and Friday.
Both Macron and Merkel have vowed to forge ahead with like-minded leaders on ways to reduce migrant flows, but the EU's top migration official warned that Europe would solve the crisis only by working together.
""We must find a way to adopt a shared policy and a shared strategy to face this situation, otherwise the European project is in danger,"" Dimitris Avramopoulos told AFP on a visit to Tehran.
READ ALSO: Is a single German province more of a 'front line' on migration than Italy?"
https://www.thelocal.dk/20160126/danish-parliament-to-vote-on-controversial-migrant-bill,migrant,1065,"
				26 January 2016
				08:15 CET+01:00			 
					08:15 CET+01:00				",Sören Billing/AFP,Denmark passes controversial bill to take migrants' valuables,"Despite widespread condemnation, Denmark's parliament on Tuesday approved drastic reforms curbing asylum seekers' rights, including delaying family reunifications and confiscating migrants' valuables.
The bill presented by the right-wing minority government of Prime Minister Lars Løkke Rasmussen was approved by a huge majority of 81 of the 109 lawmakers present, as members of the opposition Social Democrats backed the measures.
The bill was watered down significantly since it was originally proposed, with wedding rings and low-value items explicitly excluded from threat of confiscation in the final draft.
Approval had been widely expected, as the main opposition party, the Social Democrats, backed the measures as did government support parties the Danish People's Party, the Conservatives and Liberal Alliance.
""There's no simple answer for a single country, but until the world comes together on a joint solution (to the migrant crisis), Denmark needs to act,"" MP Jakob Ellemann-Jensen of Rasmussen's Venstre party said during the debate.
The Danish government has insisted the new law is needed to stem the flow of refugees even though Denmark and Sweden recently tightened their borders, a move that prompted Germany and Austria to turn back new arrivals heading for Scandinavia.
While international outrage has focused on a proposal allowing police to seize cash and valuables from refugees to help pay for their stay in asylum centres, rights activists have blasted a proposed three-year delay for family reunifications which they say breaches international conventions.
See also: Here's what Denmark's new immigration bill means for you
'What is the alternative?'
Prime Minister Lars Løkke Rasmussen of the right-wing Venstre party has shrugged off criticism by calling it ""the most misunderstood bill in Denmark's history"", seemingly more concerned with opinion polls that show 70 percent of Danes rank immigration as their top political concern.
Social Democrat Dan Jørgensen addressed opponents of the bill, demanding: ""To those saying what we are doing is wrong, my question is: What is your alternative?
""The alternative is that we continue to be (one of) the most attractive countries in Europe to come to, and then we end up like Sweden.""
Copenhagen has often referred to neighbouring Sweden as a bad example, where 163,000 asylum applications were submitted last year -- five times more than in Denmark relative to their population size.
Denmark's minority government eventually backtracked on parts of the plan to confiscate migrants' valuables in order to secure wider backing.
Asylum-seekers will now have to hand over cash exceeding 10,000 kroner (€1,340, $1,450) and any individual items valued at more than that amount, up from the initial 3,000 kroner proposed.
After thorny negotiations with the other parties, Integration Minister Inger Støjberg agreed to exempt wedding rings and other items of sentimental value.
The government points out that Danes seeking to qualify for social benefits sometimes also have to sell their valuables. However, they are not subjected to the kind of searches proposed in the new asylum law.
Some have likened the Danish proposals to the confiscation of gold and other valuables from Jews by the Nazis during the Holocaust.
The plan has ""a particularly bitter connotation in Europe, where the Nazis confiscated large amounts of gold and other valuables from Jews and others,"" The Washington Post wrote.
See also: Has Denmark's plan to seize goods been misunderstood?
'Just plain wrong'
Once a champion of refugee rights, the Scandinavian country's goal is now to become ""significantly less attractive for asylum-seekers"", Støjberg said.
""The tone in the public debate about refugees and immigrants has undoubtedly become tougher,"" Kashif Ahmad, the leader of the National Party (Nationalpartiet), which hopes to enter parliament by targeting the immigrant vote, told AFP.
John Dalhuisen, Europe and Central Asia director at Amnesty International, said the law was ""plain wrong"" and ""a sad reflection of how far Denmark has strayed"" from its historic support of international norms in the Refugee Convention.
""European states must stop this dismal race to the bottom and begin to meet their international obligations, by upholding refugees' human rights and dignity,"" said Dalhuisen. ""Anything less is a betrayal of our common humanity.""
But Marcus Knuth, Venstre's spokesman on integration issues, said such criticism was unfair.
""Denmark continues to be one of the most welcoming and caring places that you can seek asylum in. So the criticism that all of a sudden we were doing something wrong we find highly, highly unfair,"" he told AFP.
""We simply wish to be put more at par with other European countries so that we are not one of the countries that receive by far the most asylum-seekers.""
International criticism
Home to 5.6 million people, Denmark registered 21,000 asylum applications in 2015, making it one of the top EU destinations per capita for migrants but putting it far behind the 163,000 registered in neighbouring Sweden.
International criticism had mounted in the run-up to Tuesday's vote, with refugee agency UNHCR claiming it violates the European Convention on Human Rights, the UN Convention on the Rights of the Child, and the UN Refugee Convention.
But Rasmussen, whose Venstre party won a June 2015 election after promising an ""immediate slowdown"" of Denmark's refugee influx, has been unfazed, arguing that the UN Refugee Convention may need to be changed if refugees keep pouring into Europe.
Foreign Minister Kristian Jensen defended the new law last week as he appeared before the United Nations for a review of Denmark's human rights policies.
""The Danish welfare state is based upon the very simple principle that the state will provide and pay for those unable to take care of themselves, not for those who are able,"" he told the Human Rights Council.
He and Støjberg reiterated the same line as they faced questioning from European MPs in the civil liberties committee on Monday.
Twenty-seven MPs voted against the bill in the one-chamber parliament, including three dissenting Social Democrats. A legislator for Greenland, a Danish territory, abstained and 70 MPs did not take part.
The bill is scheduled to be signed into law by Queen Margrethe within a few days.
Danish lawmakers last week also passed a resolution pushing the government to look into the consequences of building temporary housing complexes outside cities for refugees, like the country did during the Balkans war in the 1990s.
The move is backed by the anti-immigration Danish People's Party, which sees it as a first step towards building state-run camps where refugees would stay without integrating into Danish society."
https://www.thelocal.dk/20180625/italys-refusal-of-maersk-migrants-unreasonable-denmarks-immigration-minister,migrant,308,"
				25 June 2018
				08:53 CEST+02:00			 
					08:53 CEST+02:00				",Ritzau/The Local,Italy’s refusal of Maersk migrants 'unreasonable': Denmark’s immigration minister,"Danish minister for immigration Inger Støjberg says that Italy must accept migrants rescued by shipping company Maersk.
The Italian government has refused to accept migrants rescued from the Mediterranean Sea but reportedly asked a ship belonging to Danish freight company Maersk to rescue 113 people on Saturday.
Støjberg, herself an immigration hardliner, told broadcaster DR that the position of the Italian government was “unsustainable” and “unreasonable”.
“It is unreasonable towards Maersk to put them in a situation in which they have a ship full of migrants, not least migrants whom they have been asked to help by the authorities, and this is therefore a question in which the Italians certainly should allow them to be brought to an Italian harbour,” she said.
The Alexander Maersk rescued 113 people on Saturday. Five were subsequently brought to land at the request of the Italian coastguard, Ritzau reports.
But the ship has not been granted permission to dock in Italy and therefore has nowhere to take the rescued migrants.
Denmark’s prime minister Lars Løkke Rasmussen has previously stated that Italy must comply with its international obligations.
Støjberg will write to Italy’s deputy PM Matteo Salvini, leader of the League, one of two populist parties now dominating Italy’s parliament, on Monday, according to DR.
“We cannot take in any more, not one. On the contrary. We want to have fewer,” Salvini said to German news magazine Der Spiegel on Friday.
Until it is given a place to dock, the Maersk ship is incurring costs for as long as it is unable to follow its intended sailing route.
“This is costing Maersk a lot of money with every hour their ship is off the coast without being able to unload the migrants, so this must [be resolved] quickly,” Støjberg told DR.
READ ALSO: Danish Maersk Line ship rescues 113 migrants in southern Italy"
https://www.thelocal.dk/20160823/danish-lawmakers-to-visit-australias-nauru-migrant-camp,migrant,342,"
				23 August 2016
				20:06 CEST+02:00			 
					20:06 CEST+02:00				",AFP/The Local,Danish MPs to visit Australia's Nauru migrant camp,"Danish lawmakers will travel to the Pacific island of Nauru to visit a controversial Australian immigration centre and study the use of offshore settlements for asylum-seekers, one of the MPs said on Tuesday.
Six members of the Danish parliament's Immigration and Integration Affairs Committee will leave on Saturday for Australia and Nauru, Johanne Schmidt-Nielsen of the leftist Red-Green Alliance (Enhedslisten) told AFP, confirming reports in Danish media.
Schmidt-Nielsen said that although she found the Australian system ""grotesque"", the trip -- planned for several months -- was a chance for her to ""ask some of the questions that the Australian government is preventing journalists from asking.""
The release of more than 2,000 leaked reports of incidents on Nauru detailing allegations of widespread abuse and self-harm, including children wanting to kill themselves, have renewed calls for a parliamentary inquiry in Australia.
But the Nauruan government said last week that asylum-seekers had made up most of the claims in hope of being relocated to Australia.
Under Canberra's immigration policy, asylum-seekers who try to reach Australia by boat are turned back or sent to detention centres in other countries, Nauru and Papua New Guinea
The chairman of the Danish parliamentary committee, Martin Henriksen of the anti-immigration Danish People's Party (DF), has previously described the Australian policy as being ""very sensible"".
The ruling Venstre party's hardline integration minister, Inger Støjberg, is not on the committee, but has said that the Australian system ""apparently works in an Australian context"" and that her government would ""continually consider... experiences from other countries.""
The Australian government said on August 17th that it had agreed to close the Papua New Guinea camp.
The Guardian, which published the Nauru reports, said that only two Australian journalists had been granted access to the Nauru detention centre in the past three years.
The Danish government rules with the help of the anti-immigration DF in parliament and has passed tough legislation to deter migrants from coming to the country, including allowing police to confiscate some of the asylum seekers' valuables to help pay for their accommodation."
https://www.thelocal.dk/20160830/danish-lawmakers-denied-access-to-nauru-migrant-camp,migrant,341,"
				30 August 2016
				14:23 CEST+02:00			 
					14:23 CEST+02:00				",AFP/The Local,Danish lawmakers denied access to Nauru migrant camp,"Danish lawmakers have dropped a planned visit to a controversial Australian immigration centre on the Pacific island of Nauru after two politicians who criticised the centre were denied access, a delegation member said on Tuesday.
Johanne Schmidt-Nielsen of the leftist Red-Green Alliance (Enhedslisten) and Jacob Mark of the Socialist People's Party (SF) had both criticised Canberra's use of offshore settlements for asylum seekers and conditions at the Nauru camp before travelling to Australia last week.
""After the Danish foreign ministry got involved in the case, Nauru authorities said on Tuesday that the decision (to deny access) remained in force,"" Schmidt-Nielsen wrote on Facebook.
A Danish foreign ministry spokesman confirmed the information to AFP.
The entire delegation then decided to cancel its visit to the island, even though lawmakers from the Social Democrats, the centre-right Venstre party and the anti-immigration Danish People's Party would have been able to go.
""It is absolutely unacceptable and anti-democratic and says everything about the situation in Nauru that critics are denied access,"" Schmidt-Nielsen added.
A third lawmaker who had not voiced any criticism against the Nauru immigration centre -- Naser Khader of the Conservative People's Party -- was also denied access.
While Danish media speculated that his application to join the tour may have come too late, Schmidt Nielsen suggested that his Arab name may have played a part in the decision.
Under Canberra's immigration policy, asylum seekers who try to reach Australia by boat are turned back or sent to detention centres in the Pacific island states of Nauru and Papua New Guinea.
The release of more than 2,000 leaked reports of incidents on Nauru earlier this month revealed allegations of widespread abuse and self-harm, including children wanting to kill themselves, and renewed calls by rights groups for refugees to be resettled elsewhere.
Britain's Guardian newspaper, which published the Nauru reports, said that only two Australian journalists had been granted access to the Nauru detention centre in the past three years, and Schmidt-Nielsen had said that she would use the trip to ask ""critical questions""."
https://www.thelocal.dk/20141112/denmark-very-satisfied-with-eu-migrant-ruling,migrant,374,"
				12 November 2014
				08:24 CET+01:00			 
					08:24 CET+01:00				", The Local,Denmark ‘very satisfied’ with EU migrant ruling,"The employment minister and Danish MEPs praise the European Court of Justice's ruling that immigrants from other EU nations can be refused unemployment benefits.
Denmark’s employment minister, Henrik Dam Kristensen, said he was happy to see the European Court of Justice rule on Tuesday that EU member states have the right to refuse social benefits to unemployed migrants. The ruling was prompted after a Romanian woman living in Germany was denied unemployment benefits when she didn't take up jobs suggested by her local job centre. The woman, 25-year-old Elisabeta Dano, appealed her case all the way to the European Court. The court ruled on Tuesday that states must have the right to refuse social benefits to unemployed migrants, a position that has been held by Denmark. See also: Court: EU migrants can be denied local benefits Kristensen said that the ruling supports what Denmark has said all along: that EU residents should not be allowed to travel from country to country looking for social benefits. “Denmark supported Germany in the case because we don’t believe that one should have the right to move from one EU country to the other with the sole intention of being taken care of. Therefore we weren’t surprised by the outcome,” Kristensen said in a statement. “Even though experts will now closely inspect and asses the scope of the EU ruling, I am basically very satisfied with it,” he added. Danish MEPs also praised the court’s decision. “I think this is an expression of a new understanding within the EU system that a country’s concerns need to be met and that we must clearly say no to welfare tourism,” the Social Democrats’ Jeppe Kofod said in a statement. Morten Messerschmidt, who represents the EU-sceptic Danish People's Party in Brussels, prodded the Danish government to act domestically. “I’m happy to see that the EU court has set a limit for which social benefits can be covered by EU law. It is therefore essential that the government do everything it can to ensure that all Danish benefits are also defended - just like the German ones,” Messerschmidt said in a statement. Denmark provided a submission to the European Court of Justice in support of the German authorities in the Dano case."
https://www.thelocal.dk/20170510/racism-plays-a-key-role-in-migrants-exclusion-in-denmark-report,migrant,644,"
				10 May 2017
				16:20 CEST+02:00			 
					16:20 CEST+02:00				",Michael Barrett,Racism plays a role in migrants’ exclusion in Denmark: report,"Anti-migrant political discourses and exclusionary migration policies are having a disproportionate and harmful impact on migrants, including in Denmark, according to a new report by NGO European Network Against Racism (ENAR).
The report, which covers 26 EU countries, says that migrants across the block are increasingly the targets of racist violence and speech and face discriminatory policies and attitudes hindering their access to the labour market.
Racist attacks against migrants, barriers in the labour market and ethnic profiling and discriminatory policing of migrants are all mentioned by the report as being part of the increasingly difficult situation faced by newcomers to EU countries.
Danish incidents cited as evidence of the trend include nationalist Danish People’s Party MP Martin Henriksen telling an 18-year-old high school student, who was born in Denmark to a Danish mother and Iranian father, during a TV debate that he did not automatically consider him to be Danish.
""You can't jump to the conclusion that you are Danish, just because you are born and raised in Denmark, speak Danish, and study at a Danish school. That is just absurd,"" Henriksen said during the debate.
By making such a statement, Henriksen excluded Danish citizens with a foreign background from the Danish national identity, concluded the report, stating that “the typical markers of what would traditionally be one’s national identity such as birth place, language, education were not enough and racial and cultural heritage was the defining factor used for exclusion in this instance.”
READ ALSO: Danes once again discuss who is a Dane
A second example taken from Danish cultural and political life is the advertisements placed by immigration minister Inger Støjberg in Lebanese newspapers telling refugees not to come to Denmark.
Significant cuts to social benefits for refugees have also been made since Støjberg’s Venstre (Liberal) party returned to government following the 2015 election.
“Since the election in June 2015, the new Danish government cut benefits to asylum seekers and migrants by up to 50%, with the purpose of making Denmark less attractive for refugees. Foreigners' retirement pension and child benefits have also been changed. This means that access to social benefits is now dependent on the length of residence in Denmark,” says the report.
The report also cites the case of an asylum seeker who was severely assaulted by a three masked men, an arson attack on a bus used by the inhabitants of an asylum centre, and three incidents in which threatening graffiti was sprayed on asylum centres’ walls.
Using results from the last two general elections, the increased percentage of the popular vote gained by the Danish People’s Party was cited by the report as an example of what it calls “Electoral success for political parties using xenophobic/racist ideas and policies”.
Graphic: European Network Against Racism
“The European Union and political leaders must stop the vicious circle of exclusion and hate and focus on long-term solutions to address hate crime and discrimination targeting migrants. At a deeper level, we need to question the racial biases underpinning European and national migration policies in order to ensure the real inclusion and participation of migrants in European society,” ENAR Chair Amel Yacef said in a press statement.
Georgina Siklossy, senior communications officer with ENAR, told The Local there is a risk of toughening policies against migration and xenophobia feeding off each other, including in Denmark.
READ ALSO: 'Report pizzerias where Danish isn’t spoken': integration minister
“Restrictive policies and anti-migrant discourses contribute to an overall negative climate of hostility towards migrants, which can then legitimise discrimination, racist abuse or, in some cases, attacks targeting migrants,” Siklossy said via email.
“Policies and discourses portraying migrants as a 'problem' have an impact on public perceptions of migrants and also on people who have lived in Denmark or Europe for two, three or more generations and continue to be regarded as ‘alien elements',"" she added."
https://www.thelocal.dk/20160121/under-fire-denmark-stands-firm-on-migrant-bill,migrant,850,"
				21 January 2016
				09:18 CET+01:00			 
					09:18 CET+01:00				",Sören Billing/AFP,"Under fire, Denmark moves ahead on hard-line migrant bill","Spurning scathing international criticism, Danish lawmakers will on Thursday give a final nod to drastic reforms curbing asylum rights as legal and human rights experts castigate Copenhagen for turning its back on its international commitments.
A new law to delay family reunifications, confiscate migrants' valuables and make already stringent permanent residency requirements even tougher went through its final reading in parliament on Thursday.
Danish Foreign Minister Kristian Jensen was coincidentally to appear before the UN in Geneva later on Thursday for a review of Denmark's human rights policies, a routine procedure for UN member states but where the migrant bill was expected to arise.
In Copenhagen, the Danish speaker of parliament presented the bill Thursday in its final form to the assembly for its second reading, and was a last chance for lawmakers to demand changes.
Just one request was presented and swiftly rejected by legislators, as a majority have already agreed to back the bill in its existing form following thorny negotiations.
""The big legislative work... has already been done,"" said University of Copenhagen political science professor Kasper Moller Hansen said of Thursday's expeditious procedure.
As a result, Prime Minister Lars Løkke Rasmussen's minority right-wing government, supported in parliament by an anti-immigration far-right party that has for 15 years dictated increasingly restrictive immigration policies, is assured of winning a January 26 parliamentary vote.
Fearing a domino effect across Europe, the UN refugee agency UNHCR has decried the bill, saying it ""could fuel fear (and) xenophobia"".
Once a champion of refugees' rights, Denmark would be in violation of the European Convention on Human Rights, the UN Convention on the Rights of the Child, and the UN Refugee Convention, the UNHCR concluded in a January report.
Unfazed, Copenhagen maintains it is not able to finance more migrants nor integrate them into society.
""Denmark's immigration policy is decided in Denmark, not in Brussels,"" Integration Minister Inger Støjberg has repeatedly said.
Seizing valuables
The confiscation of migrants' valuables has been the reform that has dominated international headlines.
The bill allows Danish authorities to seize asylum seekers' cash exceeding 10,000 kroner (1,340 euros, $1,450), as well as any individual items valued at more than 10,000 kroner. Wedding rings and other items of sentimental value are exempt.
Legal experts have however voiced more alarm over the measures making it harder to obtain family reunifications and residency permits.
Copenhagen wants to increase from one year to three years the waiting period for war refugees before they can apply to bring over their family members.
""According to the European Court of Human Rights, the processing of family reunification cases must be expeditious, flexible and efficient with special attention and care,"" the director of the Danish Institute for Human Rights, Jonas Christoffersen, told AFP.
""This is not consistent with a three-year waiting period.""
Amnesty International's deputy director for Europe, Gauri van Gulik, denounced a ""discriminatory practice"" in singling out refugees already traumatised by war.
Undeterred, Rasmussen has suggested Denmark may seek a revision of the UN Refugee Convention if the migrant crisis ""continues or gets worse"".
A foreign affairs spokesman for his Venstre party, Michael Aastrup Jensen, said ""the conventions that Denmark and many other countries signed many years ago, we signed based on a global situation that was not the global situation of today.""
Violating conventions
In a January 15 letter to Støjberg, the Council of Europe's commissioner for human rights, Nils Muiznieks, said the issue of family reunifications raises ""issues of compatibility with Article 8 of the European Convention on Human Rights which protects the right to respect for one's family life.""
The bill ""could also infringe on the rights of children to live within their family environment, as prescribed by the United Nations' Convention on the Rights of the Child,"" he added.
""Those are his personal views,"" Venstre's Jensen retorted.
""The Council of Europe, as an organisation, has not started any type of case against Denmark,"" he told AFP.
Home to 5.6 million people, Denmark registered 21,000 asylum applications in 2015, making it one of the top EU destinations per capita for migrants after Finland, Austria, Germany and Sweden.
As elsewhere in Europe, tensions have begun to emerge between locals and migrants as the continent struggles to cope with its largest migration flow since 1945.
Young women have filed police reports against migrants for inappropriate behaviour, while one nightclub in Sønderborg bars entry to those who do not speak English, Danish or German and other establishments are now considering following its lead.
Critics believe the bill could hurt Denmark's international standing.
""There will be very significant diplomatic, political and legal criticism of Denmark,"" human rights lawyer Poul Hauch Fenger told AFP.
""Another consequence will be that Denmark loses respect abroad and within international organisations in terms of morals, ethics and values,"" he added.
Støjberg has acknowledged the reforms could fall foul of international conventions.
""We have gone to the limits of the conventions and it is true that there is a (risk) in relation to the issue of family reunifications. But it's a risk I'm willing to take,"" she told news agency Ritzau in December."
https://www.thelocal.dk/20160127/ai-weiwei-pulls-works-out-of-denmark-to-protest-migrant-bill,migrant,507,"
				27 January 2016
				11:17 CET+01:00			 
					11:17 CET+01:00				", The Local,Ai Weiwei boycotts Denmark over 'shameless' migrant bill,"Chinese artist Ai Weiwei has pulled his works out of Denmark in protest against the Danish government’s controversial bill that allows authorities to seize valuables from refugees.
Ai, China's most prominent contemporary artist, went on social media to decry Denmark’s “shameless” bill that among other things allows authorities to confiscate valuables from migrants and delays family reunifications for refugees for up to three years.
The artist announced that as a direct result of the bill he will pull his exhibitions from ARoS Aarhus Art Museum and the Copenhagen gallery Faurschou Foundation.
尊敬的策展人冯博一先生，丹麦奥胡斯艺术馆馆长Erlend Høyersten 先生， 从昨日的新闻中，得知丹麦政府关于冻结难民私人财产的法律决定，我感到非常的震惊。此决定致使我不得不从您的“A New Dynasty.Created In China ""艺术展中撤出，以表达我对丹麦政府的这个无耻决定的抗议。 我在此向您表达我的遗憾，感谢你对我的长久的支持。我对此行将带来的种种不便表示歉意。 艾未未 2016.1.27
A photo posted by Ai Weiwei (@aiww) on Jan 26, 2016 at 8:16pm PST
Ai shared the text of a letter sent to the leadership of ARoS explaining his decision.
“I am very shocked about yesterday's [Tuesday’s, ed.] news that the Danish government has decided to seize refugees' private property. As a result of this regrettable decision, I must withdraw from your exhibition ‘A New Dynasty.Created In China’ to express my protest of the Danish governments' decision. Please accept my regrets and thank you for your long-term support. I apologize for the inconvenience caused,” the artist wrote.
See also: Denmark passes controversial bill to take migrants' valuables
In a later post, he announced that he would close his exhibition ‘Ruptures’ at the Faurschou Foundation. He wrote that the gallery’s owner supported the decision.
Ai Weiwei has decided to close his exhibition ”Ruptures” at Faurschou Foundation Copenhagen, Denmark. This decision follows the Danish parliament’s approval of the law proposal that allows seizing valuables and delaying family reunions for asylum seekers. Jens Faurschou backs the artist’s decision and regrets that the Danish parliament choses to be in the forefront of symbolic and inhuman politics of todays biggest humanitarian crisis in Europe and the Middle East, instead of being in the forefront of a respectful European solution to solve the acute humanitarian crisis.
A photo posted by Ai Weiwei (@aiww) on Jan 27, 2016 at 1:47am PST
“Jens Faurschou backs the artist’s decision and regrets that the Danish parliament chose to be in the forefront of symbolic and inhuman politics of todays biggest humanitarian crisis in Europe and the Middle East, instead of being in the forefront of a respectful European solution to solve the acute humanitarian crisis,” Ai wrote on Instagram.
On Twitter, the artist posted news about the passing of Denmark’s controversial bill and called it “shameless”.
Shameless https://t.co/A1zQhq2X5p
— 艾未未 Ai Weiwei (@aiww) January 27, 2016
This is not the first Denmark-related controversy for Ai, who helped design the Bird's Nest stadium for the Beijing Olympics and his work has been exhibited worldwide.
Danish toy giant Lego refused a bulk order from Ai in October, saying it would not sell directly to users with ""political"" intentions. The decision set off a firestorm of criticism and ultimately led Lego to change its policy.
Ai is currently on the Greek island of Lesbos and is flooding his social media accounts with images of arriving asylum seekers."
https://www.thelocal.dk/20160121/danish-migrant-bill-blasted-at-un,migrant,557,"
				21 January 2016
				15:32 CET+01:00			 
					15:32 CET+01:00				",Nina Larson/AFP,Danish migrant bill blasted at UN,"The UN's top human rights body took Denmark to task on Thursday over its treatment of asylum seekers, with diplomats voicing alarm over rising xenophobia and a plan to seize valuables from migrants.
In the UN Human Rights Council's first review of Denmark's rights record since 2011, a number of the 87 country representatives who took the floor decried the Scandinavian country's recent tightening of its migration policies as it struggles to deal with record numbers of asylum seekers.
US representative Keith Harper was among those who voiced alarm over a bill expected to pass through the Danish parliament allowing the confiscation of migrants' valuables, among other measures.
""We note with concern the bill pending in the Danish parliament that would permit the Danish authorities to search the belongings of asylum seekers and seize cash and certain objects of value,"" he told the council.
Egyptian representative Mohamed Elmolla also blasted the bill, stressing that ""confiscating valuable belongings to cover refugees' expenses (is) in clear violation of their rights under the Universal Declaration of Human Rights.""
Gross misunderstandings
But Danish Foreign Minister Kristian Jensen insisted the international outcry over the bill was due to ""gross misunderstandings.""
""The Danish welfare state is based upon the very simple principle that the state will provide and pay for those unable to take care of themselves, not for those who are able,"" he told the council.
""This simple principle applies for Danes seeking unemployment benefits, as well as to asylum seekers,"" he said, explaining the reasoning behind the plan to seize asylum seekers' cash exceeding 10,000 kroner (1,340 euros, $1,450), as well as any individual items valued at more than 10,000 kroner to help pay for their housing and benefits during the asylum process.
Wedding rings and other items of sentimental value are exempt, he stressed.
In Copenhagen on Thursday, the Danish lawmakers gave a final nod to the bill, guaranteeing that Prime Minister Lars Løkke Rasmussen's minority right-wing government will win a January 26 parliamentary vote.
In Geneva, diplomats also raised concerns about other aspects of the bill, including measures making it harder for some asylum seekers to obtain family reunifications and residency permits.
And many decried a perceived increase in xenophobic and racist discourse in Denmark.
Veronika Bard, representing neighbouring Sweden voiced understanding over the challenges Denmark was facing, but said her country was ""concerned about the tendency of public discourse in Denmark to be prejudiced towards migrants, sometimes even amounting to hate speech.""
Jensen insisted that Denmark was a champion of human rights both at home and abroad, but acknowledged that with the large influx of refugees, his country needed ""to do better"" in the area of integration.
""Imbalances need to be addressed. They break down societal cohesion, foster the feeling of being excluded and create the fertile ground for radicalisation, hate crimes and discrimination,"" Jensen said.
""This vicious circle needs to be broken, and it will be a priority for my government to do so.""
Jensen is also expected to soon travel to Brussels to explain the bill to the European Parliament, which on Wednesday called on Denmark to address the body over its concerns about the legislation.
Home to 5.6 million people, Denmark registered 21,000 asylum applications in 2015, making it one of the top EU destinations per capita for migrants after Finland, Austria, Germany and Sweden."
