href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.dk/20160104/why-do-refugees-prefer-sweden-to-denmark,refugee,677,"
				4 January 2016
				13:34 CET+01:00			 
					13:34 CET+01:00				", The Local,Why do refugees prefer Sweden to Denmark?,"Border controls were recently reinstated between Denmark and Sweden. But The Local looks into why so many new arrivals would still rather seek asylum east of the famous Öresund bridge.
1. It's a numbers game
Put simply, Sweden takes in more asylum seekers per capita than any other EU nation, while Denmark has a track record for adopting some of the toughest immigration policies in Europe.
Almost 163,000 refugees sought asylum in Sweden in 2015, according to the country's migration agency, compared to Denmark's 18,000.
Around 9.5 million people live in Sweden while there are 5.6 million in Denmark.
2. Sweden has offered permanent residency to all Syrian arrivals
Refugees fleeing the violence in Syria make up the largest proportion of people seeking asylum across Europe and in 2013 Sweden became the first country in Europe to rule that all refugees from the war-torn nation would be granted permanent residency in the light of the worsening conflict.
However the Swedish government announced plans to tighten the rules again again in November 2015.
Denmark introduced temporary one-year permits for Syrian refugees last year with the stated intention of sending them back home ""as soon as conditions improve"" in the war-ravaged country.
A refugee at Malmö train station in southern Sweden. Photo: Andreas Hillergren/TT
3. Many refugees already have family in Sweden
Given the huge numbers of Syrians who have already been given protection in Sweden (16,785 in 2014 alone), it is unsurprising that many refugees would prefer to set up home close to friends and family.
Sweden has previously offered residency permits to immediate family members of those already granted asylum (husband, wife, partner and children - under the age of 18), but announced stricter time limits in November.
Last year, Denmark said it would only allow for family reunifications if a refugee's initial one-year residency permit was renewed, a move heavily criticized by the United Nations Refugee Agency and others.
4. Sweden offers strong social benefits for refugees
Asylum seekers are offered immediate emergency accommodation on arrival in Sweden before being relocated to temporary housing. Single adults are given a daily benefit of 71 Swedish kronor per day (2,159 kronor or $256 per month), with more available for those with families.
Those granted asylum are then given help finding accommodation, are entitled to free Swedish for Immigrants lessons and may also be offered an 'introduction benefit' from Arbetsförmedlingen, Sweden's Employment Agency, giving them an income of 6,468 Swedish kronor per month ($769) while they search for work.
Denmark also offers social benefits and free language lessons for immigrants. But while it is generally more expensive to live in Denmark than in Sweden, the Danish government has recently slashed the amount of so-called 'integration' money it gives to new arrivals by 45 percent to 5,945 Danish kroner ($891) for a a single adult with no children. This too was subject to criticism from the United Nations and humanitarian organizations.
Temporary accommodation for refugees in Märsta, Sweden. Photo: Maja Suslin/TT
READ ALSO: 'It was a long journey and some of my friends died'
5. Global reputation
Sweden has an international image of openness and tolerance. The current government is a Social Democrat-Green coalition which has spoken out strongly in favour of helping refugees. However it announced in October 2015 that pressure on resources meant that it could no longer guarantee accommodation for everyone. Meanwhile, the anti-immigration Sweden Democrat party is growing in popularity, but is not part of the government or the country's main centre-right opposition Alliance bloc.
By contrast, Denmark's new single-party government is led by the right-of-centre Venstre, which needs the support of the anti-immigration Danish People's Party to push its agendas through parliament.
The Danish government recently launched an information campaign in foreign newspapers to deter refugees from setting foot on Danish soil. Even the country's former centre-left government headed by Helle Thorning-Schmidt touted a hard-line approach to refugees and immigrants, a record that came back to haunt her on Wednesday when she was passed over for for the position of UN High Commissioner for Refugees."
https://www.thelocal.dk/20181004/denmark-refuses-to-take-in-un-quota-refugees-in-2018,refugee,224,"
				4 October 2018
				17:09 CEST+02:00			 
					17:09 CEST+02:00				",AFP/The Local,Denmark refuses to take in UN quota refugees in 2018,"Denmark said Thursday it would not take in any refugees under the UN's quota system in 2018, focusing instead on integrating those recently arrived in the country.
In 2016, the Scandinavian country suspended its participation in the UN refugee quota system, and has yet to resume it.
""We're still in a situation where we're struggling to integrate the many refugees who have come to Denmark in recent years,"" Immigration Minister Inger Støjberg said in a statement.
So-called UN ""quota refugees"" are offered resettlement in a third country if the country where they first register as refugees cannot accommodate them.
A member of the liberal Venstre party in Prime Minister Lars Løkke Rasmussen's conservative coalition government, Støjberg has orchestrated Denmark's immigration policy since 2015.
""While an increasing number of refugees have entered the labour market, there are still too many who cannot support themselves,"" she said.
The country registered 3,500 asylum seekers in 2017, according to the ministry, the lowest number since 2008.
For the first 10 months of 2018, some 2,600 applications have been received.
A new immigration law adopted at the end of 2017 stipulates that the number of refugees received is to be decided by the immigration ministry.
READ ALSO:
Denmark's immigration minister wants to continue apprenticeship scheme for refugees
'Good time to take in your share of refugees': UN to Denmark"
https://www.thelocal.dk/20180606/pione-sisto-flying-danish-winger-who-outgrew-role-of-refugee-turned-matchwinner,refugee,846,"
				6 June 2018
				10:00 CEST+02:00			 
					10:00 CEST+02:00				",Michael Barrett,Pione Sisto: Danish World Cup hope who outgrew role of refugee-turned-matchwinner,"Celta Vigo winger Pione Sisto's lively pace and skill could be a ket asset for Denmark at this summer's World Cup. Sisto’s breakthrough was an exciting side plot in qualification as the country reached only its third major finals since 2004.
On June 17th, 2015, then-20-year-old Pione Sisto, a youth product with Danish Superliga side FC Midtjylland, scored the decisive goal in a 2-1 win for Denmark’s Under-21 side against the Czech Republic in Prague.
The victory in the opening match of the U21 European Championships was hardly front page news, even in Denmark. But it made the front of one newspaper, and in some style.
“Today I’m a Danish Matchwinner: Once, I was a Refugee”: proclaimed the sports section of tabloid Ekstra Bladet, which was, up to that point, not known as a champion of positive stories about refugees.
The second clause of the headline was written as a hashtag, reading as #EngangVarJegFlygtning in Danish. The hashtag had been trending on social media in the run-up to that year's general election.
With immigration, as it often is, a key topic in election campaigning, many people were using the tag to highlight their personal success stories since arriving in Denmark as refugees.
After the youngster's winning goal for the under-21s, Ekstra Bladet’s headline shot the hashtag – and the catchphrase – into the stratosphere, making Sisto a household name in the process.
Årets forside @EkstraBladet #EnGangVarJegFlygtning #u21dk pic.twitter.com/jfsqRLlKjD
— Malte Abildgaard Christensen (@Malteac) June 18, 2015
“It is not a political statement, merely two factual statements. The matchwinner and his background as a refugee along with his family. If some people interpret it politically, well, let them. Sport and politics are and always will be inseparable. It’s bloody naïve to think anything else,” Ekstra Bladet’s sports editor Allan Olsen wrote subsequently.
Sisto was indeed once a refugee. Born to South Sudanese parents in Uganda, he arrived in Denmark at the age of two months. He received Danish citizenship in 2014 – just a year before his goal in Prague.
But the winger’s career arc and performances since Ekstra Bladet’s inspired 2015 headline have ensured that his sporting reputation is no longer defined by his former political status.
A tricky dribbler blessed with lightning pace, he became a regular in the FC Midtjylland first team in the 2012-13 season. Sisto moved – 112 appearances and 28 goals later – to La Liga side Celta in July 2016.
The move to Spain came at the end of a campaign in which he scored twice for Midtjylland against Manchester United in the Europa League, including a memorable dribble and strike from the edge of the box in the home match.
Sisto playing for FC Midtjylland against Manchester United in 2016. Photo: Henning Bagger/Ritzau Scanpix
He had already graduated from the U21 to the full national side, having made his debut under former manager Morten Olsen the previous year. Olsen’s successor, Norwegian coach Åge Hareide, then put his faith in Pione at international level as the nitty gritty of qualifying for the 2018 World Cup got underway.
He has now started every game for the Danish national team since October 2016. The Red and Whites successfully qualified for the finals in Russia after hammering Ireland in a play-off match. Sisto scored his first goal for his country in a friendly against Panama at Brøndby Stadium in March.
READ ALSO: Norwegian outsider Hareide leads Danes to World Cup
Meanwhile, his assists statistics for Celta reached such high levels that, at one point earlier this season, he trailed only one player – Manchester City’s David Silva – in the charts for the whole of Europe, earning himself the nickname ‘Pione Asisto’.
“I have always known I have an eye for my teammates, even though I also like dribbling. I’ve been good at assisting recently,” he told broadcaster DR at the time.
Hareide has said that the player has improved dramatically since his move to Spain and has the ability to be the difference at the World Cup.
Denmark's first match in Russia is against Peru in Saransk on June 16th before a clash with Australia in Samara five days later. They travel to Moscow to face France in their final group game on June 26th.
“Sisto has developed his play incredibly at Celta Vigo. Especially in his defensive work, where he has been fantastic for us in recent games,” the coach said to DR during the qualifying campaign.
But the young attacker seems to trust his attacking ability as much as anyone.
“There’s a big difference between dribbling when you have confidence and when you don’t. I have much more self-confidence now than I have last season. That makes a big difference as to whether the things I try come off,” he said in October last year.
Danish fans will be hoping that confidence is one of the features of this year’s World Cup finals. If it is, Sisto could well be on front pages again, this time for his matchwinning ability alone.
READ ALSO: King Christian: Denmark's unassuming World Cup royalty"
https://www.thelocal.dk/20150907/denmarks-anti-refugee-ads-published-in-foreign-papers,refugee,640,"
				7 September 2015
				08:50 CEST+02:00			 
					08:50 CEST+02:00				",AFP/The Local,Denmark publishes anti-refugee ad campaign,"UPDATED: The Danish government’s much-discussed advertising campaign publicising recent welfare cuts made their debut in Lebanese newspapers on Monday.
Just as the first wave of refugees began arriving in Denmark from Austria and Germany over the weekend, the Danish government has kicked off an advertising campaign meant to keep them away.
See also: Refugees flee from police in Danish port town
Shortly after the government announced in July that it would significantly cut benefits to asylum seekers, Integration Minister Inger Støjberg said that she would make sure that asylum seekers and human smugglers were directly informed of the policy change through advertising and social media campaigns.
On Monday, the first adverts from the Danish government were published in four Lebanese newspapers.
An English-language version, published in Lebanon's The Daily Star, informs readers that “Denmark has decided to tighten the regulations concerning refugees in a number of areas.”
See the English ad in full here:
#Denmark’s advertising campaign to deter refugees out today in ten languages. Here is the English version. #dkpol pic.twitter.com/7pk7dvo1aA
— Justin Cremer (@justinCPH) September 7, 2015
Støjberg’s ‘scare campaign’ has been highly controversial, even leading to criticism from within her own Venstre party. On Monday, Venstre MEP Jens Rohde accused his party cohort of making a political show for the gallery.
See also: Critics slam Danish anti-refugee ad plans
“One wishes that our minister – before she sets a bunch of things in action and appears on TV thumping her chest about how strong she is – would do some field studies so she could actually see what the conditions are like in Syria, Libya, Greece and the refugee camps,” he told Jyllands-Posten.
Migration experts have also cast doubt on the effectiveness of the ads, which cost the Ministry for Immigration, Integration and Housing some 252,000 kroner ($37,650).
""As the refugee pressure looks in Europe right now, I don't think one will redirect many by giving out this kind of information,"" Ninna Nyberg Sørensen, a migration researchers at the Danish Institute for International Studies, told Jyllands-Posten.
See also: Danish group publishes pro-refugee advertisement
Støjberg took to Facebook to defend the ads.
""Today I have, as promised, published advertisements in four Lebanese newspapers informing about the changed conditions for people who apply for asylum in Denmark,"" she wrote.
She said the text would also be placed in asylum centres in Denmark in ten different languages and spread on social media.
""The aim is to inform objectively and soberly about [Danish rules], which the government is in the process of tightening,"" she added. ""In light of the huge influx to Europe these days, there is good reason for us to tighten rules and get that effectively communicated.""
Her Facebook post garnered over 5,000 likes, though some left critical comments.
""You should be ashamed,"" wrote user Dorthe Agertoug from the southeastern town of Køge.
""One of the greatest humanitarian catastrophes in recent times and our government's answer is to publish advertisements. It's a parody,"" added Vivi Ravnskjaer Terp in the southwestern town of Vojens.
A spokeswoman for Denmark's integration ministry denied a report that five major newspapers in Turkey had refused to carry the adverts.
A privately-funded campaign purchased advertisements in the UK paper The Guardian and a Germany newspaper last month to counter the government’s own ads. Those ads told refugees that “we welcome you to Denmark” and accused Støjberg of acting on “the ill-conceived and erroneous logic that families calculate where they may profit the most from settling as refugees”.
The government’s campaign has been published in ten different languages on DIS’s website and according to Jyllands-Posten, flyers in all ten languages have also been posted in asylum centres across Denmark. The Arabic text is also reportedly being circulated widely through social media.
Sådan ser den ud, Støjbergs flygtningeannonce #dkpol pic.twitter.com/E64Br5DFHE
— Hans Redder (@hansersej) September 7, 2015"
https://www.thelocal.dk/20180907/refugee-apprentice-scheme-a-success-danish-immigration-minister-says,refugee,443,"
				7 September 2018
				03:06 CEST+02:00			 
					03:06 CEST+02:00				",Ritzau/The Local,"Refugee apprentice scheme a success, Danish immigration minister says","Immigration Minister Inger Støjberg on Thursday defended the success of a programme that allows refugees to take short-term jobs at an apprentice salary level and vowed that the scheme would continue despite the misgivings of the Danish People’s Party.
Støjberg spent part of Thursday at the Aarhus software company CloudPartners, where two refugees have become the first to have successfully completed the two-year ‘basic integration education programme' (integrationsgrunduddannelse, IGU).
Launched in 2016 as an effort “to bring more refugees close to the labour market”, those on the IGU scheme are paid a salary of 50 to 120 kroner (€6.70 to €16) an hour for up to two years. The refugees also take part in skill development or education courses of up to 20 weeks.
The IGU programme is currently scheduled to expire next summer, but Støjberg said she wants to see it extended.
READ ALSO: 1,500 refugees have signed up for apprentice scheme: ministry
“I’m of the opinion that as long as refugees are in Denmark, they should provide for themselves,” she said. “And when we have some very strict demands on those refugees who come here, we must also give them the opportunity to actually enter the labour market. IGU is a very good option.”
Over 1,500 refugees have signed up for the programme and the two CloudPartners employees are the first of many who are expected to complete it in the coming weeks and months. But the anti-immigration Danish People’s Party (DF) is not impressed and believes that IGU should be abolished or restricted.
""We don’t think it works. It has been a stunt meant to show that integration will succeed, just like 20-plus other integration plans,” DF spokesman Martin Henriksen said.
READ ALSO: Scrapping refugee apprenticeships could cost councils millions: report
Støjberg disagreed, saying that the programme has been effective.
""We can see that all the actions we have taken have resulted in far more refugees and their family members being a part of the labour market than they were before. Thus I believe that IGU and the other schemes have been successful in getting more refugees to support themselves,"" she said.
Støjberg stressed however that completing the IGU programme does not guarantee refugees or their families the right to permanently remain in Denmark.
“The refugees must return home when there is no longer any need for our protection. But as long as they are here, they must support themselves and not burden society,” she said.
There are currently 1,616 IGU participants spread across 999 companies in 94 municipalities. Just over half of the participants are from Syria. The courses are mainly in public administration, retail, transport and freight management."
https://www.thelocal.dk/20171019/no-to-eu-refugee-demands-danish-peoples-party,refugee,304,"
				19 October 2017
				15:50 CEST+02:00			 
					15:50 CEST+02:00				",Ritzau/The Local,'Denmark should not accept EU's 'mandatory' refugees': Danish People’s Party,"Denmark’s anti-immigration Danish People’s party says the country should cancel its cooperation with the European Union’s Dublin asylum agreement if it is forced to accept relocated refugees.
The party’s deputy chairperson Anders Vistisen said that he supported leaving the arrangement if it obliged Denmark to accept refugees.
“If the Dublin Regulation stipulates taking in quota refugees then there is no longer rationale for Denmark to take part,” Vistisen said.
Mandatory quota refugees are included in a proposal to update the regulation accepted by the EU Parliament’s citizens’ rights committee, reports Ritzau.
Due to an opt-out clause between itself and the EU, Denmark is not currently covered by the union's quota for relocation of refugees.
But the Scandinavian country is a part of the Dublin Regulation, which states that refugees must be processed in the first EU country they reach.
The EU Commission has proposed that refugees are redistributed automatically between EU countries if some member states receive significantly more than their quota stipulates.
Having voted in favour of the proposal European Parliament must now agree on a compromise with the EU’s council of ministers over an exact procedure to be adopted by member states.
“If the Dublin Regulation is to be changed, Denmark must decide whether we take the new Regulation or withdraw,” Vistisen said.
“The Dublin system doesn’t work anyway. We cannot return refugees to countries the treat them badly,” he added.
“We can only deport 800-900 people under the Dublin system, according to new government figures. If we are also to take part in the EU’s relocation circus then there is no reason to take part,” Vistisen continued.
The Czech Republic, Slovakia, Hungary and Poland also want to opt out of accepting a mandatory minimum number of refugees.
READ ALSO: 'Good time to take in your share of refugees': UN to Denmark"
https://www.thelocal.dk/20171129/denmark-continues-block-on-un-quota-refugees,refugee,534,"
				29 November 2017
				13:36 CET+01:00			 
					13:36 CET+01:00				",Ritzau/The Local,Denmark extends block on UN quota refugees,"Denmark’s minister for immigration Inger Støjberg has announced a continuation of the government’s policy not to accommodate UN-stipulated quota refugees.
A parliamentary majority including the opposition Social Democrats – but without the populist Danish People’s Party – supports Støjberg’s law proposal, which would see Denmark refuse 500 UN quota refugees in 2018, a continuation of the country’s policy in 2016 and 2017.
Lawmakers in Denmark's parliament began on Tuesday the process of passing a law which would continue the policy of not accepting UN quota refugees.
The proposal has been criticised for adding pressure on countries bordering conflict areas, including Turkey, Jordan and Lebanon, which already accommodate large numbers of refugees.
The UN has encouraged EU countries, including Denmark, to ease the burden on countries such as these by accepting its quota for relocation.
The quota system enables the UN to relocate refugees whose needs cannot be met in countries that neighbour the conflicts they have fled from.
This might include refugees needing special protection, torture victims, unaccompanied women or children with rare illnesses.
Denmark is currently the only UN country currently refusing to accept quota refugees, according to the United Nations High Commissioner for Refugees (UNHCR).
“We have paused [the UN quota refugee programme] because we need to be able to keep up. We simply need breathing space,” Støjberg said on Tuesday.
The minister denied that asylum seeker figures in Denmark, which are now at their lowest lever for nine years, constituted that ‘breathing space’.
“We have a very, very low refugee flow to Denmark. We have not seen a lower number in the last nine years, so there is no doubt that the [immigration] curbs we have introduced have worked,” she said.
“But there are still too few providing for themselves. So that is one of the relevant factors,” she added.
The minister added that the issue of taking in UN quota refugees would be reassessed by the government “year by year”.
She also said that a successor to her post in any future left-wing government would not be able change Denmark’s position on quota refugees without first “asking parliament”.
That aspect of the proposal was the basis for the lack of support for the motion from anti-immigration Danish People’s Party, said Martin Henriksen, the immigration spokesperson for that party.
“The proposed law leaves a number of interpretations possible,” Henriksen said.
Henriksen’s opposite number in the Social Democrats – who voted in favour of Støjberg’s proposal not to accommodate quota refugees – said that a future government led by his party could consider reversing the decision.
“A Social Democrat government could well take in quota refugees. That also forms part of the proposal: that any minister can assess it,” Mattias Tesfaye told newspaper Politiken.
Tesfaye added that the extended refusal to take in quota refugees was a “temporary measure, that we have supported this year and next year.”
The MP also told the newspaper that his position was not in conflict with party leader Mette Fredriksen’s previous statements confirming that her party would not seek to relax immigration laws should it lead the government after the next election.
READ ALSO: 'Good time to take in your share of refugees': UN to Denmark"
https://www.thelocal.dk/20180627/we-can-do-it-alone-pm-on-denmark-foreign-based-refugee-expulsion-centre,refugee,358,"
				27 June 2018
				19:34 CEST+02:00			 
					19:34 CEST+02:00				", The Local,'We can do it alone': Danish PM on foreign-based refugee expulsion centre,"Danish prime minister Lars Løkke Rasmussen is set to bring up a mooted new form of expulsion centre for rejected asylum seekers when the subject of migrants and refugees is discussed at this week's EU summit in Brussels.
The issue is one of a number to be discussed by government leaders in meetings in the Belgian capital on Thursday and Friday.
Rasmussen is set to speak about a project, already discussed by Denmark and Austria, to establish an expulsion centre for rejected asylum seekers in an “unattractive location outside of the EU”.
The PM wants more countries to support his idea, which has so-far only received the backing of Austria's nationalist populist government, but said it could become a reality regardless.
“What is needed is for someone to take a new path, and Denmark has always done that in foreign policy,” he said to Ritzau.
“I will not hide that I would like to have more (governments) on board. But it is not something that will prevent us from being able to do it alone,” he added.
After announcing the idea in a Constitution Day speech earlier this month, Rasmussen said that Germany and the Netherlands, as well as Austria, were amongst the countries discussing the plan with Denmark.
But Dutch prime minister Mark Rutte and the German interior ministry both said they were not aware of any specific proposal, Jyllands-Posten reported.
Albania's prime minister Edi Rama told German newspaper Bild that his country would “never accept this kind of EU refugee camp”.
Rama added that he was against the idea of ""offloading desperate people some place or other, like toxic waste no-one wants"".
Rasmussen said on Thursday that the proposed expulsion centre, which could potentially replace facilities in Denmark such as the controversial Departure Centre Kærshovedgård, would aim to “stop some migrants from showing up in the first place.”
“This is about managing a situation in which someone arrives in an EU country but has no right to asylum and must therefore be sent home.
“They would then be transferred to such a centre,” he said.
READ ALSO: The middle of nowhere: Inside Denmark's Kærshovedgård deportation camp"
https://www.thelocal.dk/20161122/denmark-suspends-quota-refugee-programme,refugee,259,"
				22 November 2016
				21:35 CET+01:00			 
					21:35 CET+01:00				",AFP/The Local,Denmark suspends quota refugee programme,"The Danish government said on Tuesday that it had suspended a programme to receive around 500 refugees per year through the United Nations refugee agency (UNHCR) indefinitely.
""It will give the municipalities a little breathing space and room to better take care of those who have already come here,"" Integration Minister Inger Støjberg told a meeting in the Danish parliament.
Støjberg, an immigration hardliner, said in August that the reception of 491 refugees through the programme this year had been postponed.
The decision to suspend the programme indefinitely had been taken so that Denmark could cope ""economically, socially and culturally,"" she said.
The centre-right minority government's move was backed by the anti-immigration Danish People's Party as well as the biggest opposition party, the Social Democrats.
Denmark, which has a population of around 5.7 million, has received around 5,700 asylum seekers so far this year, and expects the annual number to be less than half of the 21,000 applications it received last year.
In 2015 an influx of migrants led to chaotic scenes with hundreds of people marching on Danish motorways -- most trying to reach neighbouring Sweden, which has more generous asylum rules.
Copenhagen enacted a host of measures to deter migrants from coming to the country earlier this year, including a controversial rule allowing police to confiscate their valuables to help pay for their accommodation.
It has also introduced legislation to allow it to turn back asylum seekers at its borders if the number of migrants spikes, and has made it harder for migrants to obtain permanent residency."
https://www.thelocal.dk/20160926/danish-nationalists-hand-out-cans-of-refugee-spray,refugee,491,"
				26 September 2016
				13:09 CEST+02:00			 
					13:09 CEST+02:00				", The Local,Danish nationalists hand out cans of 'refugee spray',"The nationalist Danes’ Party elicited strong reactions went it took to the streets of Haderslev to hand out cans of what it called ‘refugee spray’.
The party, which was founded by a former Neo-Nazi and wants to see all non-Western immigrants kicked out of Denmark, put labels on cans of hair spray reading ‘Refugee Spray: Legal [and] effective’.
The party’s chairman, Daniel Carlsen, said the spray is a necessary legal alternative to pepper spray, which is illegal in Denmark.
See also: Danish teen fought off attacker – now she'll face fine
He said that Haderslev was the perfect location to hand out the cans, given the reports of local women being harassed by refugees and asylum seekers.
“I don’t think it is provocative. We are tackling an actual problem in our society, where many Danes feel unsafe. Partially because there are so many migrants in the country and partly because one isn’t allowed to defend one’s self,” he told TV Syd.
The cans of ‘refugee spray’ brought out strong feelings.
One woman interviewed by TV Syd said she “can’t even find the words to describe how outraged” she was by the spray.
“I think it is disgusting. I’m simply so offended,” local resident Helle Byg said.
Another woman, Charlotte Bech, was overcome by emotion and gave a tearful interview to the TV station.
“They've been through so much and then they're told that they are so undesirable that we had to make a spray to use on them. One thing is the opinion that we don’t have the capacity [for refugees] or an opinion that some of them might not fit in to our culture. But to make a joke out of it is not okay,” Charlotte Bech of Silkeborg said.
Others were happy to accept the spray cans.
“It’s great. It matches bloody well with my attitudes and opinions. It is after all them [refugees] who we are protecting ourselves against at the moment,” Diana Nielsen told TV Syd.
Carlsen said in a video posted to Twitter that 137 people took the spray and that the party plans to distribute them again next week.
Lige en lille kommentar til asylspray-balladen. pic.twitter.com/vqOS0qpx14
— Daniel Carlsen (@DanielCarlsen) September 25, 2016
The nationalist Danes’ Party is no stranger to controversy.
Earlier this year it was behind an advertising campaign featuring the white silhouettes of playing children with the slogan “Your children deserve a Danish Denmark.""
A few months later, it tried to piggyback on the popularity of the Icelandic football team by posting a racist image to Facebook insinuating that France’s national team should not be allowed in the Euro 2016 tournament because of the African heritage of its players.
The Football Association of Iceland released a statement slamming the ad, which cautioned that “Europe and Denmark [will] be transformed into an African backyard”.
The party is currently trying to gather the 20,000 verified signatures necessary to qualify for the next parliamentary election."
