href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.fr/20180814/man-injures-four-one-seriously-in-knife-rampage-in-dordogne-france,asylum seeker,216,"
				14 August 2018
				14:21 CEST+02:00			 
					14:21 CEST+02:00				",AFP,Four people injured in knife rampage in Dordogne,"An Afghan asylum-seeker was arrested after launching a drunken and frenzied knife attack in the sleepy southwestern French town of Perigueux, injuring four people including one seriously, police said Tuesday.
The incident began Monday evening with the 19-year-old man, who was known to have psychological problems according to local authorities, lashing out at cars outside his home.
The head of the ambulance service for the area, Jean-Jacques Girard, told the regional Sud-Ouest daily that he was seen “kicking and banging a first vehicle with his feet and fists, then a second” and also “rounding on female motorists.”
Two paramedics who witnessed the incident tried to calm the man down but after disappearing inside his home he returned with a knife and attacked them, leaving them with injuries to the head and neck.
He then turned on two brothers aged 64 and 68 living next door, leaving one with a perforated lung and the other with stab wounds to the back.
The man was eventually overpowered by one of the brothers and a man of Cameroonian origin, who stepped in to help wrestle his knife away.
Police arrested the man and placed him in custody on charges of aggravated violence.
They ruled out any terrorist motive.
READ ALSO: Which parts of France are safest to live in?"
https://www.thelocal.fr/20141004/chadian-asylum-seeker-tries-to-self-immolate-in-france,asylum seeker,386,"
				4 October 2014
				06:56 CEST+02:00			 
					06:56 CEST+02:00				",AFP,Asylum-seeker sets fire to himself in France,"A Chadian suffered serious burns after setting himself alight on Friday inside a French courthouse when his final chance at obtaining asylum was thrown out, the court said.
The 38-year-old man, who was carrying a bottle, doused himself with petrol before setting himself on fire and suffered serious burns to his scalp and torso. Pascale Girault, the secretary general of the National Court of Asylum, said the man's first demand for asylum was rejected by the Office for the Protection of Refugees and Stateless People (OFPRA) a few months ago. ""He filed an appeal which was rejected"" by the court, Girault said. On Friday the man returned to the asylum court in the eastern Parisian suburb of Montreuil ""for information on how his situation could be re-examined."" When staff at the front desk explained the decision he ""doused himself in fuel and set fire to his clothes,"" said Girault. Security guards used a fire extinguisher to put out the flames, said a police source. In theory a request for asylum cannot be examined a second time unless the person furnishes new information, said a spokesman for OFPRA. A police source said the man had arrived in France via Syria. ""He was two metres from the front desk, looked at the notice board and doused himself with a large bottle filled with a transparent liquid,"" said Maya Lino, who witnessed the scene. ""His eyes were glazed. He pulled out a lighter, tried a first time, it didn't work and everyone screamed,"" she added. ""He tried again a second time and burst into flames all the way to his head. He began running."" Every year some 40,000 asylum seekers appeal to the court after their cases are denied by OFPRA. If the court rejects an appeal, the asylum seeker is usually expelled from France. ""Often the decisions of the court are perceived as dramatic and I understand that because they can end someone's life plans,"" said Pierre Henry, director of an organisation which supports asylum seekers. ""But this was a desperate act, which fortunately is an exception. We should put our feelings aside and not exploit this tragedy to challenge an entire process,"" he said.
Of the 38,540 decisions taken by the court last year, 108 concerned Chadians. It found in favour of only 17 of these applicants."
https://www.thelocal.fr/20180416/whats-wrong-frances-new-immigration-law-according-to-rights-groups,asylum seeker,528,"
				16 April 2018
				17:42 CEST+02:00			 
					17:42 CEST+02:00				",The Local,Here's what's wrong with France’s new immigration law - according to rights groups,"As parliament begins debating France’s controversial immigration bill, hundreds protested outside the Assemblée Nationale in Paris, while a major human rights group warned the proposed laws could ""punish"" asylum seekers by reducing their rights.
Critics say the bill is repressive, but the centrist government insists it is creating a more efficient system to sift out genuine refugees from those simply seeking a better life in France.
“Under the guise of providing a more effective asylum system, the bill includes a series of measures that would diminish access to protection,” said Bénédicte Jeannerod, France director at Human Rights Watch (HRW).
“If France intends to improve the efficiency of its asylum system, it should start by allocating sufficient resources to the existing system, and not punish asylum seekers for these deficiencies by truncating their rights,” she concluded in a statement from the group.
The concerns raised by rights groups such as HRW include the following:
Reduced period to apply for asylum means many migrants could miss the deadline
The bill would reduce the period for filing an asylum application from 120 days after entering French territory to 90 days. But asylum seekers already face major obstacles to filing their applications, and making the period shorter means more will likely miss the deadline.
Applications would still be able to be made after the 90 days, but these would likely be not examined thoroughly as the officials handling them would be inundated with cases, according to HRW.
Shortened deadline for asylum seekers to appeal rejection means many will lose out
The bill would reduce from one month to 15 days the time for asylum seekers to appeal if their request has been turned down. But many may lose out because that short time-frame is not sufficient to prepare for what can be a technical and complex procedure, often requiring legal support.
Deportation of rejected asylum seekers would no longer be suspended pending appeal
Asylum seekers can currently remain in France while their appeal of their rejected request is being examined. The new law would let the government deport them - if they are from what are deemed to be safe countries - while the appeal is being heard.
HRW says that removing the automatic suspension of deportation during an appeal means asylum seekers could be sent back to their country even if their claims of persecution have not been fully adjudicated.
Increased maximum detention period
The bill would increase the maximum administrative detention period for those awaiting deportation from 45 to 90 days. But HRW points out that data it has viewed shows that foreigners in mainland France in 2016 were expelled on average after 12 days of detention.
“The justification for this provision, much less the necessity, is therefore very much in doubt,” the rights group said.
Migrant children in detention
HRW laments that the draft law does not address the issue of the detention of migrant children, “when it could have been an opportunity for France to abolish this practice.” It noted that in six cases between 2012 and 2016 the European Court for Human Rights ruled hat France’s detention of children violated the prohibition on inhuman treatment or punishment."
https://www.thelocal.fr/20151020/france-deports-just-four-percent-of-asylum-seekers,asylum seeker,375,"
				20 October 2015
				17:02 CEST+02:00			 
					17:02 CEST+02:00				",The Local,France: 96 percent of asylum rejects stay,"France's asylum procedures have been slammed as too long and inefficient, with as many as 96 percent of refugees who are refused asylum not being deported, an official report found.
The damning report was made public on Tuesday by the top national auditing body, the Accounting Court (Cour des Comptes), and showed France's asylum system to be a sorry sight.
The court noted that France performed poorly compared to its European neighbours when it came to processing times for asylum seekers, who are forced to wait two years on average. The process in Germany, on the other hand, only takes one year.
French authorities have previously said they aim to reduce this waiting time to nine months, a move noted and welcomed by the court, which said that such long waiting times make it difficult to accurately assess the situations of those seeking asylum.
The documents also pointed out that a whopping 96 percent of refugees whose request for asylum is rejected aren't deported. It noted that of the 40,206 people whose request was rejected, only 1,432 people were actually deported.
The report didn't specify what became of those who stayed, though it's likely that many would have stayed to appeal the decision, or headed abroad of their own accord, or perhaps just ended up living on the streets, with authorities losing track of them.
The report also drew attention to France's considerably high rate of application rejections for asylum seekers at 74 percent.
Other points of contention included the high expenditure in social assistance and accommodation for asylum seekers, which was said to be €690 million in 2013, and which is estimated to have increased from 2009 to 2014 by 52 percent.
Prime Minister Manuel Valls was less than impressed with the report, writing in a response published on Tuesday that the authors' reasoning had been ""simplistic"".
He noted, for example, that the deportation figures didn't take into account voluntary departures by the asylum seekers or the fact that some succeeded in legally acquiring residency permits after appeal.
But, he added that the efficient treatment of asylum seekers was a priority for the government.
There were around 65,000 asylum seekers in France in 2014, a figure that is expected to remain stable in 2015."
https://www.thelocal.fr/20150512/france-welcomes-27-percent-more-asylum-seekers,asylum seeker,197,"
				12 May 2015
				13:30 CEST+02:00			 
					13:30 CEST+02:00				",The Local,Lots more asylum seekers call France home,"France was Europe’s third-biggest recipient of asylum seekers last year as the country took in thousands more applicants than previously.
With wars and conflicts raging worldwide, France granted asylum to 20,640 people last year, a rise of 27 percent year on year, new figures from Eurostat show.
Russians made up the largest group awarded protection status with 2,080 positive decisions, or 10.1 percent of the total. France also welcomed 2,015 Syrians and 1,685 people from Sri Lanka.
France rejected 78 percent of applicants in the first instance, with just 14,815 people out of a total 68,500 given protection status. A further 5,825 people were granted asylum on appeal.
More than 750,000 people have received asylum in the European Union since 2008, with Germany and Sweden consistently taking in more asylum seekers than any other countries.
Germany took in 47,555 asylum seekers last year, 82 percent more than the year before. Sweden accepted 33,000 applicants, up 25 percent on 2013.
Italy approved just ten fewer applicants than France.
Syrians accounted for 37 percent of the beneficiaries of asylum protection, followed by Eritreans (eight percent) and Afghans (eight percent).
READ MORE: France rejects four out of five asylum seekers"
https://www.thelocal.fr/20170622/france-to-convert-hotels-into-lodging-for-asylum-seekers,asylum seeker,361,"
				22 June 2017
				17:48 CEST+02:00			 
					17:48 CEST+02:00				",The Local,France converts hotels into lodging for asylum seekers as Calais migrants crisis rumbles on,"France is being forced to convert former low-cost hotels around the country into accommodation for migrants seeking asylum due to the growing pressure on existing structures.
The scheme has been developed to deal with the huge shortage of housing for asylum seekers in France that has been exposed after authorities closed several refugee camps, in particular the notorious Calais ‘Jungle’ camp in October 2016.
The plan has been called “Prahda” (Program for reception and accommodation of asylum seekers), and is an initiative set up by the housing ministry which issued a call to authorities for an extra 5,351 emergency places back in September.
The centres will be temporary accommodation but with the aim of getting asylum seekers into more permanent accommodation.
Some of the accommodation converted for asylum seekers will be the budget Formule1 hotels. According to L'Express newspaper it will cost authorities €5,000 to covert each hotel room to suitable accommodation.
The state bought 62 Formule1 hotels earlier this year, but some will also be used to lodge vulnerable people.
Some 86,000 applications for asylum were recorded in France last year, but dedicated reception centres offer only 40,000 places.
But some are against the scheme of rehousing asylum seekers in small towns.
Stéphane Dupont-Ferrier, mayor of Fontanile (Isère) told L’Express newspaper: “96 people is an enormous number for our town of 2,800 inhabitants. It risks bringing trafficking and prostitution”.
Thierry Cozic, the socialist mayor of Arnage (Sarthe) said he is not against the welcome centers but said that “contrary to common sense” a center will be built near a tourist complex.
The desperate need for accommodation for migrants and asylum seekers in France comes after the Human Rights Chief, Jacques Toubon, expressed concern over the treatment of migrants still living in and around Calais.
Toubon was quoted in Le Monde saying that he was worried about the ""infringements of fundamental rights"" of about 600 migrants in the region of Calais who are waiting for their asylum application to be processed.
He denounced the ""inhuman living conditions” because migrants have a lack of access to food, water and shelter.
He visited migrants on 12th June and called the situation “incredibly serious”."
https://www.thelocal.fr/20180108/france-sees-number-of-asylum-requests-hit-record-high,asylum seeker,408,"
				8 January 2018
				10:57 CET+01:00			 
					10:57 CET+01:00				",The Local,France sees number of asylum requests hit record high,"A record number of requests for asylum were made in France in 2017, new stats reveal, with the country receiving more than 100,000 applications for the first time.
The historic rise in applications was revealed by figures released by the French Office for the Protection of Refugees (OFPRA).
France registered 100,412 applications in 2017 which came mostly from Albanians, Afghans and Africans.
This number represents a jump of 17 percent compared to 2016, which was already up 6.5 percent on the number of applications in the previous year.
On top of that, in 2015 applications increased by 22 percent during a year which saw an unprecedented number of people coming to Europe to claim asylum, according to a report in Le Parisien.
However Pascal Brice, director general of OFPRA told Le Parisien that this ""sustained"" increase is ""not representative of an inundation"".
Although Brice said the figures confirm that ""France is one of the top countries for asylum applications in Europe"" while noting that France has a way to go before it hits the number of requests seen by Germany which expects just short of 200,000 cases this year.
READ ALSO:
French government under fire for new crackdown on migrants
Photo: AFP
Of these applications received by France in 2017, 36 percent resulted in the applicant receiving refugee status compared to 38 percent in 2016.
The rise in asylum requests filed by Albanian and West African nationals has seen a particularly sharp rise.
Although Albania is on the list of ""safe countries of origin"", in 2016 Albanians accounted for the largest proportion of applications, making 7,630 requests (excluding accompanying minors).
This represented an increase of 66 percent.
The second largest number of requests came from Afghans, with 5,987 requests (up 6 percent) followed by Haitian nationals whose requests remained stable at 4,934.
Sudanese applications decreased by 24 percent to 4,486 in 2017, while Guinean applications numbered 3,780 (up 62 percent).
Meanwhile the average waiting time for the requests to be processed ""fell to almost three months,"" according to Brice.
OFPRA, he assured, ""continues its efforts to achieve in 2018 the goal of two months"" set by French President Emmanuel Macron in July, ""in strict compliance with the rights of each applicant.""
In December, Macron's government prompted fury among rights groups for saying it wanted to expel more failed asylum seekers and do it at a faster pace as a tough new bill on immigration is being thrashed out."
https://www.thelocal.fr/20140321/asylum-mum-stranded-in-paris-with-8-kids,asylum seeker,378,"
				21 March 2014
				12:01 CET+01:00			 
					12:01 CET+01:00				",The Local,Asylum family stranded in Paris airport for a week,"An Eritrean woman and her eight children have been trapped at Paris's Charles de Gaulle airport for more than a week after being deported by the Norwegian government.
Norway's immigration services deported Simreth Wolbgeber and her family on March 12 to France, the European country responsible for processing their asylum claim under European Union rules. The family arrived in France early last year, after fleeing the repressive government in Eritrea, and it was there that they were first fingerprinted and registered as asylum seekers. The French authorities claim to be unable to find temporary accommodation for such a large family, and as a result have left Wolbgeber and her children stranded, sleeping on uncomfortable plastic seats in the airport lounge and depending on charity from the Red Cross as they wait for a place. ""To sit for so many days at an airport with eight children is inhuman. It is outrageous,"" Ranveig Kaldhol, a church social worker in Ulsteinvik, where Wolbgeber had been living, told The Local. ""It's terrible,"" Kaldhol added. ""They are innocent children and they haven't had one decent meal. They have been living on drinks, cup cakes and yoghurt given to them by the Red Cross, and they haven't had beds, or even a shower. The youngest is only five months old."" She argued that when children are involved the Norwegian authorities had a duty to liaise with a receiving country's immigration agencies. ""The Norwegian government, before they send children, they should know that there is someone to take care of them to give them at least the minimal protection,"" she said. ""They haven't done anything criminal, they have just asked for protection from Eritrea. That's their sin."" Geir Bang Danielsen, the deputy director of Norway's immigration police, told NRK that the responsibility for the family now lay with France's authorities. ""France is responsible for the family according to their duties under the Dublin cooperation,"" he said. ""The aim is to ensure that an asylum seeker get his application processed, but at the same time to ensure that no one travels from country to country and applies for asylum in several Schengen countries."" Here is a picture a friend of Simreth Wolbgeber's took of her in the airport: Here are her children trying to sleep:"
https://www.thelocal.fr/20171219/french-government-comes-under-fire-for-tough-approach-to-refugees,asylum seeker,1108,"
				19 December 2017
				15:11 CET+01:00			 
					15:11 CET+01:00				",Evie Burrows-Taylor,French government under fire for new crackdown on migrants,"Emmanuel Macron's French government wants to expel more failed asylum seekers and do it at a faster pace, which has prompted fury among rights groups and could cause a split in the president's own party as a tough new bill on immigration is being thrashed out.
France's Interior Minister Gerard Collomb has been criticised for taking a hard line on asylum seekers, with rights groups saying his actions represent a worrying shift in policy from the French government as it prepares its controversial ""asylum and immigration"" bill.
Collomb has come under fire for sending circulars to immigration authorities urging them ""to act quickly"" to expel migrants in an ""irregular situation"" and to create a census of the people living in France's emergency shelters.
Another recent circular urged checks to be carried on migrants who were being housed in emergency lodgings to evaluate their right to stay in France. Rights groups believe these checks are just a way of speeding up the process of kicking out asylum seekers.
""No previous government has gone as far as this, not even under Nicolas Sarkozy,"" said Clemence Richard from La Cimade, an association that supports migrants.
These instructions have come to light as the government prepares its bill on ""asylum and immigration"" which, although not yet published, has caused a backlash among rights groups in France.
According to reports; one of the aims of the bill is to reduce the average processing time of applications from fourteen months to six months.
But one of the major points of contention is the plan to extend the maximum period of detention for foreigners who have been expelled from 45 to 90 days. This, the government believes, will improve the effectiveness of evictions by giving the authorities more time.
Another controversial measure is the idea of ""safe third countries"". The government wants to be able to send migrants back to countries they have already passed through on their way to France.
The moves have shocked the left wing press who have been quick to point out the discrepancy between what Macron has said in the past and what he is doing on the issue.
In June, the French president told the Council of Europe: ""We have to welcome refugees, it's our duty and our honor.""
Macron however has made it clear on various occasion that those who don't have the right to stay in France cannot.
He provoked anger in November when he was approached by an undocumented Moroccan woman.
""If you are not in danger in your country then you must return home,"" he said.
READ ALSO:
France vows 'no new refugee centre in Calais' as migrants say conditions are worse than ever
French police blasted for 'routinely' using pepper spray on migrants
The tents of undocumented migrants where they have been camping outside the prefecture of the Bouches-du-Rhone department in Marseille. Photo: AFP
Interior Minister Collomb defended what he calls a ""reasonable line"" on the matter in an interview with RTL on Monday.
""If we welcomed everyone, we could not welcome them in good conditions,"" he said. ""Today in France, we have 95,000 requests a year, that means the equivalent of a big city every year.""
The latest figures from the Ministry of the Interior on asylum applications show that 85,700 were issued in 2016.
""Today, we do not know who is in these emergency shelters,"" Collomb told RTL. ""It is estimated that about one third of the people are refugees who could be entitled to housing and have the right to a normal life, one third are asylum seekers who should be able to leave France, and another third are people whose situation must be evaluated.""
Collomb said that the government ""has decided to welcome those who are refugees from theatres of war, who are political prisoners"" but that it would also try to pursue ""a policy that allows economic migration to be managed differently"", referring to the government's ""asylum and immigration"" bill which has not yet been finalized.
He also confirmed the harder stance towards illegal immigration. ""Of course, I think that those who are denied the right to asylum must be expelled,"" he said, adding that more than 14 percent of those would be asked to leave France during the first eleven months of next year.
Photo: Collomb speaks to journalists during a visit to Calais in June.
Rights groups are worried
Meanwhile rights groups are openly worried about what they see as a definite political shift from the government, with several associations including Cimade, Emmaus and Fondation Abbé Pierre calling on human rights defender Jacques Toubon to take a stance against the still unpublished bill.
Toubon said on Monday that Collomb's words represented ""a complete change in our policy"".
""What the government wants is more deportations: that people who do not have a title can be removed more effectively and quickly. The situation of vulnerable people is not [taken into account],"" he said.
Florent Gueguen from FAS (Federation des acteurs de la solidarité) says thousands of migrants will simply return to living on the streets if they feel the accommodation centres are like traps"".
And caution was recommended by another member of President Emmanuel Macron's La Republique en Marche! party.
""We must strengthen the measures with regard to illegal immigration and at the same time we must maintain this tradition of the right of asylum. But if we want it to work, we must welcome these people, which is not the case today,"" said Richard Ferrand, MP for Finistère in Brittany in an interview with BFMTV.
""We need to speed up the processing of asylum issues, and be firmer and give clear signals of illegal immigration,"" he said.
People and members of various associations take part in a demonstration in support of migrants in Menton. Photo: AFP
But this isn't the first time the Interior Minister has courted controversy for his approach to France's migrant situation.
In June, Collomb warned that Calais risked developing a ""migrant abscess"" and had previously argued that the provision of services could have a pull effect on migrants who trek across Europe to Calais in the hope of hiding away on a truck crossing the Channel to the UK.
The government later softened its tone, with Macron promising in August to find temporary shelter for all those on the streets by the end of the year.
In July, Human Rights Watch published a report called ""Like Living Hell"" which described the use of pepper spray against migrants massed in the northern coastal city as ""routine"".
In June, Macron told the Council of Europe: ""We have to welcome refugees, it's our duty and our honor."""
https://www.thelocal.fr/20180419/frances-new-immigration-sparks-rebellion-in-macrons-party,asylum seeker,738,"
				19 April 2018
				09:14 CEST+02:00			 
					09:14 CEST+02:00				",AFP,France's new immigration law sows seeds of rebellion in Macron's party,"The French parliament votes Friday on a tough immigration bill that has sparked rumblings of revolt within President Emmanuel Macron's party, with several MPs openly challenging his plans to speed up deportations of failed asylum-seekers.
The government argues that tighter controls are needed to check the rise of anti-immigration populists, who are on the march across Europe from Berlin to
Budapest after suffering a setback in last year's French elections.
""I fear that if we do not resolve the problem facing us... others will do it without any humanity,"" Interior Minister Gerard Collomb said earlier this
month.
The bill aims to both cut waiting times for asylum applications -- from around a year currently to six months -- and make it easier to deport those
turned down as ""economic"" migrants.
The right-wing opposition say the bill is too soft but left-wing parties and NGOs have branded it repressive.
""We cannot take on the misery of the world,"" Macron, who campaigned as a champion of open borders but has adopted a tough line on migration since
taking office, said in an interview with BFMTV on Sunday.
READ ALSO:
Here's what's wrong with France's new immigration law - according to rights groups
Protest outside the French parliament against the new immigration bill. Photo: AFP
Macron pointed to the ""ticking bomb"" of population growth in Africa, wars and climate change among factors that would continue driving migration to
Europe in the years to come.
Faced with an ""unprecedented"" wave of arrivals the government would focus on welcoming those whose lives were at risk in their country of origin, he
said firmly.
France received a record 100,000 asylum applications last year, bucking the general trend in Europe, where the number of asylum seekers halved between
2016 and 2017.
A shortage of accommodation means many wind up on the streets of Paris, or the northern port of Calais, a gateway to Britain, where a squalid camp
housing thousands of migrants was razed by the state in late 2016.
A February survey by pollsters BVA showed 63 percent of voters felt there were too many immigrants in France, home to around six million people who were
born in another country.
'Unworthy of France'
On Monday, France's human rights ombudsman Jacques Toubon slammed the ""unacceptable conditions"" facing around 1,000 migrants packed into a new
tented camp along a canal in northeast Paris.
""We cannot remain on this path which is unworthy of France's welcoming tradition and increasingly difficult for some of our fellow citizens,"" Collomb, one of the more hawkish figures in Macron's left-right administration, argued in parliament this week.
The bill doubles the time that failed asylum seekers can be detained to 90 days, making it easier to deport them.
It also reduces the time they have to lodge their application from 120 to 90 days and gives them just two weeks to appeal if unsuccessful, a period slammed by NGOs as far too short to gather more evidence in support of their claim.
Once accepted, however, refugees will be given more help to integrate, by, for instance, gaining the right to work and being given more French classes.
The tents of undocumented migrants where they have been camping outside the prefecture of the Bouches-du-Rhone department in Marseille. Photo: AFP
The government has defended the legislation as balanced but several members of Macron's usually compliant Republic on the Move (LREM) party have vowed to reject the bill or abstain when it is put to a vote Friday.
""This bill stigmatises foreigners,"" Francois-Michel Lambert, a LREM lawmaker representing the southern Bouches-du-Rhone region, told BFMTV.
Delphine Bagarry, an MP representing Alpes-de-Haute-Provence, told France Inter radio that while she supports the need to shorten the agonising wait for
asylum, ""it cannot be at the expense of their right to a defence"".
Fearing that any sign of weakness could embolden dissidents to break ranks on other issues, party leader Richard Ferrand has threatened LREM naysayers
with expulsion.
But the bill is expected to pass, despite strong opposition from far-right leader Marine Le Pen -- the runner-up to Macron in last year's election -- and
the conservative opposition Republicans.
The Republicans' hardline leader Laurent Wauquiez charged that Macron's presidency was on course to legalise ""a million more immigrants"" by 2022.
Right-wingers have also argued that provisions allowing underage refugees to bring siblings to live with them in France will have a ""pull effect"" on migration.
by AFP's Clare Byrne"
