href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.de/20180822/majority-in-favour-of-change-in-asylum-law-finds-survey,asylum seeker,289,"
				22 August 2018
				09:04 CEST+02:00			 
					09:04 CEST+02:00				", The Local,Majority support law change to allow rejected asylum seekers to stay: survey,"A majority of Germans are in favour of a proposed rule change which would allow rejected asylum seekers to stay in the country if they were in work or education. Only 31 percent were against the proposals.
A survey carried out by Insa shows that 58 percent of Germans said they supported the idea of allowing rejected asylum seekers to remain in the country if they were integrating well, Bild reported on Tuesday evening.
Only 31 percent said that they were against the proposals, and would prefer that all those whose asylum claims had been rejected were deported.
The survey comes after weeks of political debate over a rule change suggested by CDU politician Daniel Günther.
Willingness to integrate the decisive factor
Günther, an ally of Chancellor Angela Merkel, had argued that those asylum seekers who were already in work or education should be allowed to stay, even if they had their claims rejected. He pointed to complaints from employers who had spent time and money on hard-working employees, only to later see them deported.
The proposals were quickly backed by the Greens and the social democratic SPD, but were met with resistance from within Günther’s own party.
The new survey, which covered over 3,000 respondents over a five-day period in the last week, appears to show that the German public are broadly behind Günther’s suggestions.
“The willingness to integrate on the part of asylum seekers is the decisive factor for most Germans when deciding whether or not they are for or against deportations,” said Insa chief executive Hermann Binkert.
Only four percent of the respondents said that they were fundamentally opposed to deportations, while 89 percent said that rejected asylum seekers who do not integrate should be deported."
https://www.thelocal.de/20180814/give-rejected-asylum-seekers-chance-to-work-merkel-ally-says,asylum seeker,381,"
				14 August 2018
				11:16 CEST+02:00			 
					11:16 CEST+02:00				", The Local,"Give rejected asylum seekers chance to work, Merkel ally says","Daniel Günther, the Christian Democrat (CDU) Minister-President of Schleswig-Holstein, has said that people who have their asylum case rejected should have the chance to stay in Germany via a new immigration law.
“It is important that people who are integrated and already have completed a training course also have the chance to work,” Günther told broadcaster ARD on Monday. “For this we need to enable a change of track whereby asylum law is no longer applicable but rather a new immigration law.”
Germany’s coalition government agreed in July that it would start work on a new immigration law by the end of the year. The intention of any new law would be to make it easier for qualified workers to obtain a visa to live and work in Germany.
Coalition partners SPD welcomed Günter's proposals on Tuesday, saying that they represented a shift in tone in the CDU.
""This change of track is something that the CDU/CSU were firmly against in the coalition negotiations, so this is good,"" said SPD deputy chairman Ralf Stegner.
Günther’s proposal met immediate resistance from the Christian Social Union (CSU), the most conservative party in the coalition government.
A spokesman for the CSU-controlled Interior Ministry told ARD that “we wouldn’t allow a ‘track change’.”
“We want want an immigration law that puts people into employment not into the employment centre,” he said.
Germany currently has significant problems with filling open positions in a wide range of skilled professions. A study by the Institute for Employment Research (IAB) found that a record high 1.2 million jobs remained unfilled at the end of last year.
While there is wide consensus in the Bundestag that Germany needs a new immigration law, there is also furious debate about how to deal with the asylum seekers who arrived in the country in 2015 and 2016.
The far-right Alternative for Germany have demanded that the government step up deportations of failed asylum seekers, while politicians from the SPD and the Green Party have argued that asylum seekers must be given better access to the job market.
The Green Party's Manfred Lucha proposed a draft for a new immigration law earlier this month, but Günther is the first high profile CDU politician to call for a right to work for rejected asylum seekers."
https://www.thelocal.de/20160922/550000-rejected-asylum-seekers-living-in-germany,asylum seeker,670,"
				22 September 2016
				12:00 CEST+02:00			 
					12:00 CEST+02:00				",Emma Anderson ,"Over 500,000 rejected asylum seekers still live in Germany","A new report shows that more than half a million people who had their asylum applications rejected are still living in Germany, three-quarters of whom have been in the country for more than six years.
In a parliamentary inquiry from Die Linke (the Left Party), the federal government revealed that as of the end of June, there were 549,209 people living in Germany who had had their asylum application rejected, Bild reported on Thursday.
About three quarters of them had been living in Germany at least six years.
The largest group came from Turkey (about 77,600), followed by Kosovo (68,549) and Serbia (50,817). Serbia and Kosovo were declared safe countries of origin by the German government in 2014 and 2015, respectively.
About half of the total number had an unlimited permit to stay, and another third had a temporary permit to stay.
Bild also reported that there were 168,212 people living as “tolerated” immigrants - 100,000 of whom had had their asylum applications rejected. And another 37,020 “tolerated” immigrants were allowed to stay because they lacked travel documents.
What happens when asylum is rejected
Even if someone has their asylum application rejected, the government may still recognize that there is another reason to protect them inside the country.
Asylum seekers who have their applications rejected may appeal their decisions, all the way up to the European Court of Human Rights, which can take months.
Another option if someone has their asylum application turned down is that they may receive “subsidiary protection” from deportation if they do not meet the requirements for gaining refugee or asylum status, according to the Federal Office for Migration and Refugees (BAMF).
“There may be reasons that prevent him or her from being deported. These include the threat of the death penalty, torture, inhumane or degrading treatment or other existential threats - meaning that the foreign national is to be regarded as vulnerable,” the BAMF website states.
If someone is not granted refugee protection, asylum or subsidiary protection, they may also be granted a ban on deportation. This is issued in the case where a “foreigner faces a substantial concrete danger or an extreme general danger on return to the destination state,” including poor health care if they are ill, BAMF states.
“Protection against deportation... is asserted in particular (but not exhaustively) if for instance the danger of a considerable worsening of an existing illness is likely because of inadequate medical treatment in the destination state, or if such treatment is not available at all.”
If someone is not granted any of these protections, BAMF then issues a request for the person to leave Germany with a deportation notice. They are then given a week to 30 days to leave, depending on the reason for deportation. BAMF also notifies the country of origin and it then becomes the responsibility of the German state where the asylum applicant resides to enforce the deportation.
But Germany has struggled with getting people to leave voluntarily and for countries to take them back.
In February, Interior Minister Thomas de Maizière urged Morocco, Algeria and Tunisia to speed up their process of taking back their citizens whose asylum applications had been rejected in Germany. These countries had been refusing or delaying the processing of taking people back because they were missing identification documents.
It was also reported in February that Germany was paying refugees to go back home, covering travel costs and even sometimes giving them cash for when they return.
Push for swifter deportations
Conservative politicians from Chancellor Angela Merkel’s Christian Democratic Union (CDU) and sister party CSU (Christian Social Union) have continued to push for swifter deportation processes for rejected asylum seekers.
In response to Bild’s report, chair of the CDU/CSU Union in German parliament Hans-Peter Friedrich called for a reform of the deportation laws.
“Whoever allows rejected asylum seekers to dance circles around the state is destroying the people’s trust in the capabilities of the government,” Friedrich told Bild.
“The laws urgently need to be changed.”
With DPA."
https://www.thelocal.de/20180806/bavarian-authorities-deport-man-to-china-before-his-asylum-case-is-heard,asylum seeker,469,"
				6 August 2018
				11:54 CEST+02:00			 
					11:54 CEST+02:00				",AFP,'No sign of life': Germany deports asylum seeker to China by mistake,"German authorities wrongfully deported an Uighur man to China due to an administrative error, local media reported Monday, in a fresh scandal as the country seeks to step up expulsions of failed asylum seekers.
Officials were due to hold a hearing with the 22-year-old Uighur, who was not named, on April 3rd over his asylum application, said regional public broadcaster Bayerischer Rundfunk (BR).
But a fax announcing the hearing from the Federal Office for Migration and Refugees (BAMF) apparently failed to reach local authorities in Bavaria, who, in the early hours of April 3, put the Uighur man on a plane to Beijing.
""We were unable to find the fax despite an intensive search,"" Munich authorities told BR.
""We regret greatly that the deportation took place even though a valid asylum application had been made. It was never the intention of the immigration authorities of Munich to infringe on the rights of the foreigner affected by the expulsion.""
The BAMF would not give details on individual cases but told the broadcaster that expulsion would be ""inadmissible"" under such circumstances.
The Uighur asylum seeker's lawyer Leo Borgmann said he has had no news from his client since the deportation.
""There is no sign of life. We fear that he has been detained,"" Borgmann told BR.
Secretive network
Many of China's mostly Muslim Uighur minority say they face cultural and religious repression.
Members of the Uighur diaspora say relatives have been arrested for seemingly innocuous acts such as sending Ramadan greetings to friends or downloading popular music.
Chinese authorities are also believed to have detained hundreds of thousands of Muslims in a secretive network of extra-judicial political re-education centres, where inmates are given language and ideological
training and forced to participate in military-style drills.
The case surfaced after a series of administrative errors that led to illegal deportations by German authorities.
In a further controversial case, a German court in July ordered that a man who allegedly worked as a bodyguard for Osama bin Laden be returned to Germany only hours after his deportation to Tunisia, saying the expulsion was illegal as he risks torture there.
The 42-year-old, identified by German authorities only as Sami A. and by Tunis as Sami Idoudi, had lived in Germany for more than two decades, but outrage over his presence grew in recent months.
Although he had won a court ruling against his deportation, the decision reached federal authorities by fax a day later - hours after his flight to Tunisia had taken off.
Also in July, the interior ministry was forced to repatriate an asylum seeker who had been deported to Afghanistan even though his legal appeal against expulsion was ongoing.
In June, another Afghan man who was allowed back into Germany after he was illegally deported from the country was officially granted asylum."
https://www.thelocal.de/20180618/merkel-faces-ultimatum-from-ally-over-migrants,asylum seeker,701,"
				18 June 2018
				08:54 CEST+02:00			 
					08:54 CEST+02:00				",AFP,Merkel gets ultimatum from ally over asylum seekers,"Hardliners in Chancellor Angela
Merkel's conservative bloc on Monday gave her a two-week ultimatum to tighten asylum rules or risk pitching Germany into a political crisis that would also rattle Europe.
Interior Minister Horst Seehofer's CSU party at a meeting unanimously backed his call to give Merkel a fortnight to find a European deal on the burning issue by a June 28th-29th EU summit, failing which he would order border police to turn back migrants.
Three years after her decision to open Germany's borders to migrants fleeing war in Syria and Iraq and misery elsewhere, Merkel is still struggling to find a sustainable response to complaints from the CSU, her Bavarian allies, over her refugee policy.
SEE ALSO: Why Merkel's coalition could be about to collapse
Merkel's woes come as European Union countries are once again at loggerheads over immigration, triggered by Italy's refusal this month to allow a rescue ship carrying 630 migrants to dock.
Malta also turned the vessel away, sparking a major EU row until Spain agreed to take in the new arrivals.
Seehofer has been one of the fiercest critics of Merkel's liberal stance, under which over one million asylum seekers have been admitted into the country since 2015.
He wants to turn away at the border new arrivals who have previously been registered in another EU country -- often their first port of call, Italy or Greece.
But Merkel says that would leave countries at the EU's southern periphery alone to deal with the migrant influx. Instead, she wants to find a common European solution at the EU summit in Brussels.
""How Germany acts will decide whether Europe stays together or not,"" Merkel told her CDU party's leadership at a meeting in Berlin, according to participants.
Anti-immigrant boost
Popular misgivings over the migrant influx have given populist and anti-immigration forces a boost across several European nations, including Italy and Austria where far-right parties are now sharing power.
In Germany, voters in September's election handed Merkel her poorest score ever, giving seats for the first time to the far-right anti-Islam AfD.
Several high profile crimes by migrants have also fuelled public anger. They include a deadly 2016 Christmas market attack by a failed Tunisian asylum seeker and the rape-murder in May of a teenage girl, allegedly by an Iraqi.
With an eye on October's Bavaria state election, the CSU is anxious to assure voters that it has a roadmap to curb the migrant influx.
""We must send a signal to the world: it's no longer possible to just set foot on European soil in order to get to Germany,"" a leading CSU figure, Alexander Dobrindt, told the party meeting.
Seehofer had struck a more conciliatory tone, telling Bild on Sunday: ""It is not in the CSU's interest to topple the chancellor, to dissolve the CDU-CSU union or to break up the coalition.
""We just want to finally have a sustainable solution to send refugees back to the borders.""
'Almost a miracle'
Merkel now faces the challenge of persuading EU governments to sign up to a common plan on the migrants.
Central and eastern EU nations such as Hungary and Poland have either refused outright or resisted taking in refugees under an EU quota system.
A populist-far right government in Italy and the conservative-far right cabinet in neighbouring Austria have also taken an uncompromising stance.
Merkel's talks later Monday with Italian Prime Minister Giuseppe Conte in Germany could prove crucial if she is to have any chance of forging an agreement in Brussels.
On Tuesday, she will also meet French President Emmanuel Macron in Germany.
Berlin is also reportedly preparing to call a meeting between Merkel and the leaders of several EU frontline nations in the migrant crisis ahead of the EU summit.
""It would be almost a miracle if she emerges a winner from the next EU summit,"" Welt daily said.
But the chancellor may have no choice, as Seehofer could still launch the nuclear option of shutting Germany's borders in defiance of her -- an act of rebellion which would force her to sack him.
That ""would be the end of the government and the alliance between CDU and CSU,"" an unnamed CDU source told Bild."
https://www.thelocal.de/20180903/failed-asylum-seeker-sentenced-to-eight-and-a-half-years-in-prison-for-murder-amid-far-right-tensions,asylum seeker,453,"
				3 September 2018
				09:00 CEST+02:00			 
					09:00 CEST+02:00				",AFP/The Local,Failed asylum seeker sentenced to 8.5 years in prison for murder amid far-right tensions,"A failed asylum seeker has been sentenced to eight years and six months in prison for stabbing his 15-year-old girlfriend to death.
The sentencing in the western German town of Landau came at a time when anti-migrant protests have erupted in the eastern city of Chemnitz over the fatal stabbing of a man, allegedly by a Syrian and an Iraqi.
The judges sentenced Abdul D., who says he is from Afghanistan, for the murder and assault of the teenager called Mia, following a juvenile justice case, the court said on Monday.
The prosecution had previously demanded a prison sentence of 10 years, while the defence hoped for seven years and six months for manslaughter, reports Focus Online. Prosecutors believe that he acted out of jealousy after she broke up with him.
The incident happened on December 27th, 2017 in the middle of a drugstore and caused nationwide horror.
Right-wing populist groups took the case as an opportunity to repeatedly protest in Kandel against the asylum policy of the federal government.
The case also fuelled the discussion about the age determination of young refugees.
After his arrival in Germany, Abdul D. was admitted and cared for as an unaccompanied minor refugee. He said he was 15-years-old at the time of the crime; however, doubts have been raised about his age.
An expert had estimated his age as between 17 and a half and 20 years old. Nevertheless, the court hearing took place behind closed doors and under juvenile penal rules.
Abdul D. arrived in Germany in April 2016 and his request for asylum was rejected on February 2017, although he was not immediately deported.
The case is one in a string of high profile crimes allegedly committed by asylum seekers that has stoked popular anger against the new arrivals and put pressure on Chancellor Angela Merkel over her liberal refugee policy.
Far-right party Alternative for Germany (AfD) has been mobilizing regular demonstrations over the killing in the small town with a population of just 9,000, as it sought to bolster its anti-migrant campaign.
At the peak of the protests, thousands marched in Kandel. But they appear to have since lost momentum.
On Saturday, a demonstration in the town attracted 350 people, local police said.
Residents of the small town frustrated by the far-right rallies also lined the demonstration route, carrying banners like ""Stop hate and incitement"" or ""Kandel is colourful, not brown"" - in reference to the Nazi's khaki uniforms, according to DPA.
Rhineland-Palatinate state premier Malu Dreyer accused the far-right of exploiting the teenager's death for political gains, saying it was ""intolerable"".
""It is the hope of all of us that once the trial is over, peace will return to Kandel,"" she said."
https://www.thelocal.de/20180529/rejected-asylum-seeker-sets-himself-on-fire-stuttgart,asylum seeker,172,"
				29 May 2018
				18:02 CEST+02:00			 
					18:02 CEST+02:00				",AFP,Rejected asylum seeker severely burned after setting himself on fire near Stuttgart,"An Iranian man set himself alight on Tuesday at a German regional government office where he had sought help after receiving
notice that his asylum request had been rejected.
The 35-year-old, who was not named by police, had approached two female officials at the Göppingen district office near Stuttgart and showed them the asylum rejection letter.
""The officials agreed to help him. But the man became aggressive,"" said police in a statement.
""He took a bottle from his backpack and doused himself with the liquid,"" they added.
As the officials rushed to seek help, the man ""went up in flames"", police said.
Another official quickly put out the flames with a cloth, but the Iranian man suffered severe burns and was taken to hospital by rescue helicopter.
Some 1.2 million asylum seekers have come to Europe's biggest economy since 2015, more than half from war-torn Syria, Iraq and Afghanistan.
Amid rising disquiet among many Germans over the huge influx, the government has been battling to bring down the number of new arrivals."
https://www.thelocal.de/20170921/hours-of-transport-delays-in-cologne-after-asylum-seeker-climbs-bridge,asylum seeker,254,"
				21 September 2017
				09:29 CEST+02:00			 
					09:29 CEST+02:00				",DPA/The Local,Hours of train delays in Cologne after asylum seeker protests on busy bridge,"An asylum seeker caused numerous train delays after he climbed one of the arches of a rail bridge during rush hour in Cologne on Wednesday. He was reportedly protesting the rejection of his asylum application.
Police were alerted to the incident when they received a call about the man at 4:40pm.
When officers arrived at Hohenzollern Bridge, the man had asked for an interpreter. After an interpreter had been able to contact him, he climbed down.
""He told us he didn't want to kill himself,"" said a federal police spokesman.
The asylum application of the 29-year-old Iranian man had previously been rejected, a police spokesperson said. While on the bridge, the man had thrown notes down with poems written in Arabic script on them.
The protest action had large consequences for rush hour traffic as the Hohenzollern Bridge is particularly important for rail routes in and out of the west German city.
The bridge was subsequently closed for two and a half hours in the afternoon on Wednesday. According to Deutsche Bahn, the incident caused many diversions and partial disruptions because trains had to turn around to avoid using the bridge.
Eyewitnesses reported that the platforms at Cologne's main station were packed with people during the closure. Rescue workers from the city's fire brigade were also deployed and ships in the Rhine River under the bridge had to stop during the operation.
The asylum seeker has meanwhile been released again and, due to the disruption he caused, can expect to face a legal complaint."
https://www.thelocal.de/20180326/trial-starts-of-asylum-seeker-over-brutal-rape-in-munichs-english-garden,asylum seeker,502,"
				26 March 2018
				11:04 CEST+02:00			 
					11:04 CEST+02:00				", The Local,Trial starts of asylum seeker over brutal rape in Munich's English Garden,"On Monday a Turkish asylum seeker went on trial over the rape and attempted murder of a jogger in Munich's English Garden park in late 2016.
On a cold evening in December 2016, a 45-year-old woman was jogging through a remote part of the English Garden when she was attacked from behind.
According to prosecutors, her attacker grabbed her headband, pulled it down around her neck and strangled her with it. She screamed out for help but nobody responded.
The man then tightened the headband around her throat until she began to bleed. She collapsed in unconsciousness, but the man continued to strangle her for another 30 seconds, seemingly indifferent to the fact that she was about to die.
He then raped her and left her body in a bush.
Prosecutors have charged 28-year-old Emrah T. with the woman's rape and attempted murder.
They argue that he believed his victim would die, either through the fact she had been strangled or because he had left her face down on the ground in temperatures of 2C.
But the woman regained consciousness minutes later and managed to drag herself to a nearby restaurant where she was found by a young couple.
According to the Süddeutsche Zeitung, it was largely luck that led investigators to identify Emrah T. as the culprit four months later. After a break in at the storage facility at which he worked, police matched DNA at the scene to that of the rapist. Emrah T. was one of several employees at the facility who voluntarily gave DNA swabs to the authorities.
His DNA was also found to match that taken from the scene of a rape that took place in nearby Rosenheim in 2015. The rape, which took place weeks after Emrah T. arrived in Germany, was similar in its brutality, with the woman also strangled before the crime.
Emrah T. arrived in Germany with his pregnant wife in 2015 and applied for asylum. He told immigration authorities that he was Syrian but it later transpired that he was a Turkish national.
The crime shocked the quiet, conservative city of Munich when it took place. Police advised women to go jogging in groups and to stay in areas that were well lit.
It was also just one of several violent rapes that occured in public places at the end of 2016 in which the suspects were asylum seekers who had recently arrived in the country.
Last week, a verdict was handed down in the most high profile of those cases. A Freiburg court sentenced Hussein Khavari to life in jail after he was found guilty of the rape and murder of a 19-year-old student in the southern university town.
Critics of the German government's open door refugee policy, through which hundreds of thousands of asylum seekers arrived in the country in 2015 and 2016, say it has caused an increase in cases of rape and murder of women.
READ MORE: Why are refugees more likely to be charged with sexual assault?"
https://www.thelocal.de/20180607/police-hunt-iraqi-asylum-seeker-over-rape-murder-of-teenage-girl,asylum seeker,374,"
				7 June 2018
				15:23 CEST+02:00			 
					15:23 CEST+02:00				",DPA/The Local,Police hunt Iraqi asylum seeker over rape-murder of teenage girl,"Authorities in Wiesbaden have detained a man on suspicion of raping and murdering a teenage girl. A second suspect is believed to have fled to Iraq.
Police confirmed on Thursday that a body discovered the previous day in scrub land outside the state capital of Hesse belonged to 14-year-old Susanna F.
The teenager had been missing since May 22nd when she never turned up at home after meeting friends in the Wiesbaden town centre.
Several witness statements indicated that Susanna F. had been the victim of a crime.
Achim Thoma, the lead prosecutor in the case, said that Susanna had been strangled to death and that there was evidence she had been raped.
Police have detained a 35-year-old asylum seeker with Turkish citizenship on the suspicion that he was involved in the brutal crime. The other suspect, a 20-year-old from Iraqi, is believed to have fled back to his home country with his entire family. According, to Die Welt, the family used two different sets of identity papers to return home via Istanbul airport.
The breakthrough in the case came when a 13-year-old asylum seeker provided evidence to the police. It is not clear what relationship he had to the two suspects.
A photograph of the suspect, a 20-year-old from Iraq. Photo: DPA
The Iraqi family are believed to have entered Germany during the refugee wave of late 2015.
Several brutal rapes and murders have raised debate in Germany about whether the mass arrivals of refugees in 2015 and 2016 has made the country more dangerous for women.
Earlier this year a refugee from Afghanistan was found guilty of raping and murdering a student in Freiburg. Meanwhile two Afghan youths are awaiting trial in separate cases over the stabbing to death of teenage girls.
In Munich, the trial started in March of a Turkish asylum seeker charged with raping and assaulting a jogger in the city’s English Garden park.
While the far-right Alternative for Germany claim the crimes are evidence that Germany should not be taking in immigrants from Muslim societies, liberal groups have said that the crimes should not be used to cast suspicion on entire ethnic and religious groups.
SEE ALSO: String of knife attacks further fuels debate over refugees and violence"
