href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.de/20181008/germany-steps-up-migrant-deportations-to-north-africa,migrant,332,"
				8 October 2018
				14:11 CEST+02:00			 
					14:11 CEST+02:00				",AFP,Germany steps up migrant deportations to North Africa,"Germany has boosted the number of repatriations of rejected asylum seekers to Algeria, Morocco and Tunisia, the government said Monday, following years of diplomatic pressure on the Maghreb states.
""We have managed to improve cooperation with these countries, which has resulted in a rise of repatriations,"" said an Interior Ministry spokesman.
Between 2015 and last year, repatriations from the biggest EU economy to Algeria rose from 57 to 504, he said. To Morocco, they increased from 61 to 634, and to Tunisia from 17 to 251 over the same period.
Immigration and refugee flows became a flashpoint issue in Germany after Chancellor Angela Merkel decided in 2015 to keep borders open to a mass influx of people fleeing war and misery, half of them from Iraq, Syria and Afghanistan.
The move earned her praise from liberal commentators but also sparked a xenophobic backlash that a year ago saw the far-right and anti-Islam Alternative for Germany (AfD) enter parliament for the first time.
Public fears have been heightened by several jihadist attacks - especially a 2016 truck rampage through a Berlin Christmas market that killed 12 and was attributed to Tunisian rejected asylum seeker Anis Amri.
Germany has since pushed hard to reduce migrant flows, especially of those deemed to be fleeing poverty rather than conflict.
Bild daily quoted unnamed German security sources saying that ""intensive negotiations"" had improved cooperation with the Maghreb states, especially in exchanging biometric data to identify deportees and issue them new travel documents.
Merkel's government has also repeatedly tried to add the three North African states to its list of ""safe countries of origin"", which would vastly raise the hurdles for asylum requests by its citizens.
However, passage of the bill into law has been blocked in the upper house by states ruled by the left-leaning Greens party, which argues the Maghreb nations - Morocco, Algeria and Tunisia, cannot be considered ""safe"" as long as journalists, gay people and other minority groups are targets of state persecution there."
https://www.thelocal.de/20180827/hooligans-attack-migrants-in-chemnitz-after-stabbing-at-city-festival,migrant,543,"
				27 August 2018
				18:32 CEST+02:00			 
					18:32 CEST+02:00				",AFP,Hooligans ‘attack migrants’ in Chemnitz after stabbing at city festival,"Chancellor Angela Merkel on Monday condemned far-right protesters who were ""hunting down"" foreigners in street mobs following the killing of a German man, allegedly by a Syrian and an Iraqi.
The far-right movement PEGIDA called for demonstrations for a second straight day after a gathering of around 800 people in the city of Chemnitz in the country's ex-communist east degenerated into violent chaos, forcing police to call in reinforcements.
Several media outlets, including the Bild tabloid, reported that some demonstrators Sunday had shouted ""we are the people"", ""get lost"" and ""you're not welcome here"" at those they took to be immigrants.
Prosecutors said Monday that police had arrested a 23-year-old Syrian man and an Iraqi man, 22, on suspicion they had stabbed to death the 35-year-old German man in an altercation in the early hours of Sunday.
""The investigation, especially into the motive, the details of the crime and the murder weapon continue,"" they said in a brief statement.
In the far-right riots that followed, some protesters used bottles to attack foreign-looking people, freelance journalist Johannes Grunert, who reports frequently on the far-right scene, told Spiegel Online.
Merkel's spokesman Steffen Seibert stressed Berlin's strong condemnation of the violent protests.
""Such riotous assemblies, the hunting down of people who appear to be from different backgrounds or the attempt to spread hate in the streets, these have no place in our country,"" he said.
Asked about an apparent call by an MP from the far-right AfD party for vigilante action, Seibert warned that it is the legal system that delivers justice in a constitutional democracy.
AfD lawmaker Markus Frohnmaier had written on Twitter: ""If the state can no longer protect the citizen, then people will go on the streets and protect themselves.""
Protest, counter-protest
In the violent altercation at 3am Sunday, on the sidelines of a street festival, two other men, aged 33 and 38, were hospitalised with severe
injuries, police said.
After the street demonstrations that followed on Sunday, Chemnitz mayor Barbara Ludwig said that ""if I look at what has happened here on Sunday, I'm horrified"".
""The fact that people can agree to meet... run through town and threaten people is bad,"" she told regional broadcaster MDR.
As outrage grew over the scenes of xenophobic violence by the mostly male protesters, left-leaning activists called for a counter-protest on Monday in the city, hours before PEGIDA supporters were due to gather.
In its call for a demonstration at 6:30 pm (1630 GMT), PEGIDA's Chemnitz and West Saxony regional chapter said: ""Muster strength from anger and sadness! Only together can we ensure that his death was not pointless.""
Saxony state has become a hotspot for racist hate crimes, as misgivings run deep in the region against the arrival of more than a million asylum seekers to Germany since 2015.
The state is also the birthplace of the Islamophobic PEGIDA movement, which is linked to the AfD -- a party that has scooped up voters who blame Merkel for the migrant influx.
Surveys suggest the AfD is on track to become the second biggest party in Saxony when regional elections are held there next year.
Results of last year's general election showed that in Chemnitz itself the AfD has as many voters as Merkel's centre-right CDU."
https://www.thelocal.de/20180801/one-in-every-four-german-residents-now-has-migrant-background,migrant,255,"
				1 August 2018
				17:07 CEST+02:00			 
					17:07 CEST+02:00				",DPA/The Local,One in every four German residents now has migrant background,"Just under a quarter of residents of the Bundesrepublik have foreign roots, up 4.4 percent year-on-year, government statistics show.
The figures released by destatis on Wednesday show that roughly 19.3 million of Germany’s population had a migrant background in 2017. The number was a record high.
Someone is considered to have a migrant background if they or at least one parent was born without German citizenship.
Petra Bendel, a political scientist at Erlangen University, said that migration from within the EU was again the major driver of growth in the foreign population after two years in which refugees made up the largest number of newcomers.
“Germany needs immigrants due to the demographic changes taking place,” she stated.
Of the 19.3 million people with a migrant background, 14 percent have roots in Turkey, followed by 11 percent in Poland and seven percent in Russia.
The microcensus also looked of the first time at the primary language spoken in German homes. It found that in 10 percent of the 24 million households in the country a language other than German was spoken.
The statistics were extrapolated from a micro-census which was undertaken in a select number of German households.
Bendel said that it was important that Germans learned to accept people with other ethnic backgrounds as more than just “passport Germans”.
She said that a new social movement called #MeTwo which aims to bring attention to the subject of racism in daily life, highlighted the fact that people in the country could have more than one identity."
https://www.thelocal.de/20180831/we-arent-all-nazis-chemnitz-on-edge-after-anti-migrant-violence,migrant,572,"
				31 August 2018
				14:29 CEST+02:00			 
					14:29 CEST+02:00				",AFP,'We aren't all Nazis': Chemnitz on edge after anti-migrant violence,"Chemnitz is uneasy after a wave of racist violence following the deadly stabbing of a local man, allegedly by two migrants, stoking tension and tarnishing the eastern German city's image.
""We aren't all Nazis,"" sighs 60-year old pharmacist Rita Thal.
""Everything people are seeing and hearing about Chemnitz, it doesn't reflect reality,"" she tells AFP while queuing outside the city's football stadium where Michael Kretschmer, head of the eastern state of Saxony, was to hold a town hall-style meeting.
Although the event had long been in the diary, it took on a new urgency after a week in which black-clad far-right demonstrators attacked foreigners and clash with police and counter-protesters.
Around 500 people packed into a stuffy hall inside the grounds to hear Kretschmer, while outside, another 800 or so gathered for a demonstration organized by Pro Chemnitz - a radical right-wing movement with three seats on the city council.
Distant cries of ""Get out!"" directed at the state premier filter through the windows and the mood inside is tense.
In Chemnitz, like in many other towns and cities, there is a simmering anger over crimes committed by migrants which have been given a high profile in the media, stoking concern about the integration of more than one million people who have arrived since 2015.
Sunday's stabbing is just the latest incident, but in Chemnitz they are demanding answers.
'Not a brown town'
As mayor Barbara Ludwig of the centre-left Social Democratic Party (SPD) takes to the stage, she bears the brunt of the anger, with a chorus of booing interrupting her speech as she struggles to make herself heard.
""In Chemnitz, we're wavering between love and hate,"" she declares.
Kretschmer also seeks to reassure the crowd.
""This is not a far-right town, this town is not brown,"" he insisted, referring to the traditional colour of fascism and the Nazi party.
Nevertheless, he acknowledged that images of the mob giving Hitler salutes with their right arm outstretched in front of police too few in number to stop them, have been seen ""around the world"" on television and social media.
During the communist regime of the German Democratic Republic (GDR), the city was known as Karl-Marx-Stadt, but following reunification in 1990, its industries fell into disrepair, like in many other towns in eastern Germany's so-called ""new states"".
Since then, however, the city centre has been spruced up with green spaces established, buildings renovated and theatres and museums opening their doors.
'Lurking fear'
But for local residents, security remains the top concern.
""There's a feeling of lurking fear, especially among older people, stoked by the far right,"" explains Sabine Kühnrich, who runs a grassroots movement for democracy and tolerance.
For Birgit Menzel, a 59-year-old insurance saleswoman also at the gathering, it's not clear why people are afraid.
""Foreigners? We don't have many of them here,"" she says.
Only around seven percent of Chemnitz's population of 246,000 is foreign-born, a figure which is relatively low compared to Frankfurt or Munich where the percentage is above 25 percent.
But a man standing nearby interrupts her.
""You're talking nonsense. People are afraid, and they're right to be. I don't let my 13-year-old daughter go into town by herself,"" the shaven-headed 40-something says angrily.
""How can you say foreigners aren't a problem? Haven't you read about what's happened?"" he demands.
Another woman nods in agreement.
""If the victim had been your child, you wouldn't be reacting like this!"""
https://www.thelocal.de/20181012/germany-extends-austria-border-controls-over-migrants,migrant,296,"
				12 October 2018
				14:33 CEST+02:00			 
					14:33 CEST+02:00				",AFP,Germany extends Austria border controls over migrants,"Germany said on Friday it was extending by another half year border controls with Austria, which were reintroduced in several places in the passport-free Schengen zone in response to the migrant influx.
German Interior Ministry spokeswoman Eleonore Petermann said the new measure would begin on November 12th and apply for six months. ""It is important to say in this context that it is still our aim to return to a Schengen without borders, without border controls,"" Petermann told reporters.
""Travel without border controls is one of the greatest achievements (of the EU). But we still see problems with the protection of the EU's external borders and we still have high numbers for illegal secondary migration"" between member states.
Since 2015, several countries in the 26-nation Schengen zone have reintroduced border controls due to the largest migrant/refugee crisis since World War II - effectively suspending its principle of open-borders travel.
EU rules say countries in exceptional circumstances can reintroduce border controls for up to two years, in periods of up to six months at a time.
Petermann said more than 7,000 people crossed the German-Austrian border illegally this year until August, of whom nearly 4,000 were turned back.
The decision was ordered by Germany's hardline Interior Minister Horst Seehofer, whose conservative party is facing a tough election in the border state of Bavaria on Sunday.
Seehofer nearly toppled Chancellor Angela Merkel's shaky coalition government over the summer with a threat to unilaterally turn back migrants at the border with Austria. Arrivals there have dropped off steeply since 2015-2016.
The dispute was resolved with a more moderate compromise plan involving bilateral agreements between Germany and EU member states.
Merkel's spokesman said Friday that Seehofer's decision on the border checks had been agreed with the rest of the government."
https://www.thelocal.de/20180902/thousands-protest-for-and-against-migrants-in-german-town,migrant,446,"
				2 September 2018
				09:25 CEST+02:00			 
					09:25 CEST+02:00				",AFP,Thousands protest for and against migrants in divided Chemnitz,"Thousands of opponents and supporters of German Chancellor Angela Merkel's immigration policy marched on Saturday (Sep 1) through the eastern city of Chemnitz after a wave of racist violence that followed a knife killing.
The rallies, which drew 8,000 people according to police, left 18 people injured (including three police officers) as the anti-migrant far-right and counter-protesters held opposing rallies in the German city of Chemnitz, which was hit by xenophobic demonstrations last week.
Far-right protesters paraded with large portraits of victims of attacks perpetrated, they claimed, by asylum-seekers.
Some chanted ""Merkel must go"" and ""We are the people"" while waving German flags.
Anti-fascist demonstrators, meanwhile, brandished banners reading ""Chemnitz is neither grey nor brown"" and ""Heart instead of hate"".
There was a heavy police presence with reinforcements from all over Germany after they were outnumbered by thousands of neo-Nazis, football hooligans and other extremists earlier this week.
Sunday and Monday evenings saw outbreaks of street violence, triggered by the arrest of one Iraqi protester and one Syrian, suspected of stabbing a 35-year-old carpenter to death.
Following the arrests, mobs launched random street attacks against people they took to be foreigners, including an Afghan, a Syrian and a Bulgarian man.
Saturday's protests drew around 4,500 far-right supporters from various movements including the far-right anti-immigration alternative for Germany (AfD) party and the anti-Islam PEGIDA movement, according to police estimates.
Another 3,500 marched in support of Merkel's immigration policy, which has seen more than one million migrants and refugees allowed into Germany since 2015.
The government lent its support to the pro-migrant rally through Foreign Minister Heiko Maas who tweeted: ""The Second World War started 79 years ago. Germany caused unimaginable suffering in Europe. If once again people are parading today in the streets making Nazi salutes, our past history forces us to resolutely defend democracy.""
""We will not let right-wing extremists destroy our country and our democracy. Neither in Chemnitz, nor in Saxony nor anywhere in Germany. Our constitution must prevail. We must defend it. Now!"" added one of the Greens' leaders Cem Ozdemir in a tweet accompanied by a picture of him with demonstrators.
The violence and heated debate on immigration have brought back to the fore what has become the most challenging political issue for Merkel, especially in the former communist east of Germany where the AfD is the number one party in some towns and regions.
Following criticism of Merkel's earlier open door policy, her government has increasingly tightened asylum laws as conservative and far-right disquiet has grown.
After an initially jubilant welcome, the migrant influx sparked a strong backlash that saw a spate of hate crimes and swept once-fringe party AfD into parliament."
https://www.thelocal.de/20180703/austria-announces-plan-to-protect-border-after-controversial-german-migrant,migrant,268,"
				3 July 2018
				09:21 CEST+02:00			 
					09:21 CEST+02:00				",AFP,Austria announces plan to 'protect border' after controversial German migrant deal,"Austria's government warned Tuesday it could ""take measures to protect"" its borders after Germany planned restrictions on the entry of migrants as part of a deal to avert a political crisis in Berlin.
If the agreement reached Monday evening is approved by the German government as a whole, ""we will be obliged to take measures to avoid disadvantages for Austria and its people,"" the Austrian government said in a statement.
It added it would be ""ready to take measures to protect our southern borders in particular,"" those with Italy and Slovenia.
German Chancellor Angela Merkel reached a compromise deal Monday on migration with her rebellious interior minister, Horst Seehofer, to defuse a bitter row that had threatened her government.
Among the proposals is a plan to send back to Austria asylum seekers arriving in Germany who cannot be returned to their countries of entry into the European Union.
Austria said it would be prepared to take similar measures to block asylum seekers at its southern borders, with the risk of a domino effect in Europe.
""We are now waiting for a rapid clarification of the German position at a federal level,"" said the statement, signed by Austria's conservative
Chancellor Sebastian Kurz and his allies of the far-right Freedom party, Vice Chancellor Heinz-Christian Strache and Interior Minister Herbert Kickl.
""German considerations prove once again the importance of a common European protection of the external borders,"" the statement said.
Kurz on Tuesday is to present before the European Parliament in Strasbourg his priorities for Austria's six-month presidency of the European Union, with the issue of migration expected to feature prominently."
https://www.thelocal.de/20180116/migrant-arrivals-in-germany-decreases-sharply-in-2017,migrant,428,"
				16 January 2018
				12:41 CET+01:00			 
					12:41 CET+01:00				",AFP,Migrant arrivals in Germany decreased sharply in 2017,"The number of new asylum seekers in Germany
fell sharply last year to 186,000, the government said on Tuesday, easing pressure on Chancellor Angela Merkel as debate rages on whether to impose a
cap on migration.
The figures are a far cry from the record 890,000 arrivals registered in 2015 after Merkel opened the country's borders to those fleeing conflict at the height of Europe's migrant crisis - a decision that polarized the country.
Interior Minister Thomas de Maiziere said the number of newcomers filing asylum requests had ""dropped significantly"" in 2017 to 186,644, after already falling to some 280,000 the year before.
Refugees from war-torn Syria made up the largest group of asylum seekers in 2017 with more than 47,000 arrivals, followed by some 21,000 migrants from Iraq and over 12,000 from Afghanistan, according to the ministry.
The 2017 data will make welcome reading for Merkel, as it falls below the maximum intake of 200,000 refugees a year sought by her conservative CSU sister party.
Their insistence on a migration cap has been a key stumbling block in tortuous talks between Merkel's centre-right CDU/CSU bloc and the centre-left Social Democrats (SDP) on forming another coalition government.
A preliminary agreement reached by the parties last Friday mentioned an upper limit of around 200,000, angering many in the SPD base.
Germany's migrant arrivals have slowed sharply since the 2015 influx after several Balkans transit countries shuttered their borders and the EU in 2016 reached a deal with Turkey to stop crossings to Greek islands.
Initially overwhelmed by the flood of newcomers, De Maiziere said German authorities have made significant progress in processing asylum requests.
A huge backlog of some 435,000 open cases at the start of 2017 was reduced to around 68,000 by the end of the year, he said, back to pre-crisis levels.
""The federal office for migration and refugees is no longer grappling with the consequences of the crisis,"" De Maiziere told reporters in Berlin.
Germany has also become better at identifying migrants to spot potential security risks, he said, pointing to closer cooperation between migration officials and security services.
As well as being allowed to access mobile phone data, German authorities have introduced speech recognition tests to determine an asylum seeker's dialect and accent in case of doubts about their country of origin.
""This is a big win for Germany's security,"" De Maiziere said.
Voters punished Merkel for her liberal refugee policy in last September's general election, handing her party its worst result in decades.
Nearly four months on, Germany is still without a new government."
https://www.thelocal.de/20180830/migrant-beaten-in-racist-attack-in-north-german-city,migrant,285,"
				30 August 2018
				08:57 CEST+02:00			 
					08:57 CEST+02:00				",AFP,Migrant beaten in racist attack in northeast German city,"A migrant was subjected to xenophobic insults and beaten up in the northern German city of Wismar Wednesday evening, police said, in an attack that comes as the country is shaken by far-right demonstrations against foreigners.
The 20-year-old man, whose nationality was not specified, was walking home when ""he was stopped by three German-speaking people who insulted him in a xenophobic manner"", police said.
Two of them then hit him in the face before the third ""hit him on the shoulder and ribs with an iron chain"".
The victim fell to the ground and was beaten before his attackers fled. He suffered a broken nose and bruises to his face and upper body, said police who have opened an investigation.
The attack in the Baltic coastal city comes as Germany is reeling from weekend protests by right-wing extremists in the eastern state of Saxony, long a hotspot for xenophobia.
After the fatal stabbing of a German man, 35, allegedly by a Syrian and an Iraqi, thousands of far-right protesters marched in the city of Chemnitz for two straight days, some chasing down people they believed were immigrants.
Police reported assaults by extremists against at least three foreigners on Sunday, while investigations were opened in 10 cases of the protesters performing the illegal Hitler salute.
The ugly scenes of mostly white men, many of them extremist football hooligans, hurling abuse at people they deemed to be foreigners, have deeply alarmed Germany.
Saxony has been a stronghold of far-right parties and groups that bitterly oppose Chancellor Angela Merkel for her 2015 decision to keep open German borders to a mass influx of migrants and refugees.
SEE ALSO: Hooligans 'attack migrants' in Chemnitz after stabbing at city festival"
https://www.thelocal.de/20180524/nearly-50-percent-of-planned-migrant-deportations-are-aborted-report,migrant,270,"
				24 May 2018
				10:31 CEST+02:00			 
					10:31 CEST+02:00				",DPA/The Local,Nearly 50 percent of planned migrant deportations are aborted: report,"In the first three months of 2018, nearly every second planned migrant deportation was aborted, the Funke Mediengruppe reported on Thursday.
5,548 rejected asylum seekers were deported in the first quarter of the year, the report states with reference to the federal police.
During the same period, the authorities had to abort 4,752 repatriations in advance, for example due to the migrant in question not being found.
SEE ALSO: 200 migrants in south German town prevent deportation of man
In 75 cases pilots or their respective airlines refused to let asylum seekers on board, according to the report. A total of 314 deportations were stopped for this reason in 2017 and 139 cases in 2016.
Board member of the pilots' union Vereinigung Cockpit, Jörg Handwerg, justified the actions of pilots. If someone comes aboard who ""becomes violent and behaves aggressively, the captain has to reconsider transportation,"" he said.
Pilots are obliged by paragraph 12 of the air security law to ensure safety on board their flight.
On the other hand, German residency law dictates that airlines are legally obliged to take all rejected asylum seekers who the government wishes to deport. Pilots who refuse purely on moral grounds could face legal consequences.
READ ALSO: No, German pilots aren't defying their government by refusing to deport asylum seekers
Deportations have been aborted even though the migrant is accompanied by officers and ""poses no danger to security and order on board the aircraft,"" said a federal police spokesperson.
In the case of collective repatriations involving not one but several migrants, chartered aircraft may now be used as an alternative to scheduled flights."
