href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.it/20160708/from-asylum-seeker-in-italy-to-organic-yoghurt-entrepreneur,asylum seeker,1006,"
				8 July 2016
				09:47 CEST+02:00			 
					09:47 CEST+02:00				",Patrick Browne,From asylum seeker in Italy to organic yoghurt entrepreneur,"They say entrepreneurial spirit flourishes in the face of great adversity and Barikamà, an organic yoghurt business which employs six former asylum seekers in Rome, is the perfect example.
Each week the staff at Barikamà produce 200 litres of organic yoghurt which they deliver to customers by bicycle and sell from stalls at local markets in the city.
The operation has been such a success they have started to branch out into organic vegetables and now cultivate a hectare of land on the outskirts of the city.
Barikamà – a word which in Bambara, the principle language of Mali, means 'resistance' is a successful example of a micro-enterprise, a small-scale business which provides its workers with self-sufficiency and requires little or no initial investment.
“I set the business up in 2010 because I had no work and refused to go and toil in the fields of southern Italy, where I had spent painful six months before coming to Rome”, Barikamà founder Suleman, a 30-year-old from Mali, told The Local.
Suleman's story
A journey of 1,958 miles begins with a single step and Suleman took his in July 2008 when he left his small village in southern Mali bound for Italy.
Ahead of him lay the Sahara dessert, an illegal journey across the perilous Mediterranean, six months' exploitation in the fields of Calabria and finally, his own business in Rome.
“When you begin the journey you don't see it as dangerous. I don't think anybody does,” Suleman said.
“Everybody thinks: 'if something terrible is going to happen, it will happen to the other guy, not me.'”
After working for two months in Libya to amass the $700 needed to pay a trafficker to take him to Europe, Suleman was dropped in a dinghy off the coast of Sicily with 28 other Africans.
“But arriving is only he beginning of a new set of problems, the biggest of which is getting your papers in order,” he said.
Upon arrival, Suleman quickly applied for asylum on humanitarian grounds, but while laws state the granting of permits should take no more than 35 days, the process normally takes between 18 months and two years as the Italian system is overwhelmed by the volume of applicants it receives.
Processing is one of the biggest problems facing both the Italian state and its refugees, despite the establishment of a series of so-called 'hotspots' last year.
In the first six months of 2016, more than 70,000 migrants have arrived in Italy - the majority of them from sub-Saharan Africa.
“We waited for months, but nothing came through. Being unable to work left us all in terrible limbo, so we left Sicily for Rosarno, Calabria, where most illegals go to work,” Suleman explained.
Oranges and exploitation
For the next six months, Suleman and his friends spent 12 hours each day working in the citrus groves of Calabria for a mere €20 a day.
During that time they lived in the makeshift camps around Rosarno alongside thousands of other illegal workers. The medical humanitarian organization, Doctors Without Borders, has described the living conditions in the camps as 'worse than third-world.'
“You finally can make some money but you can just as easily die,” Suleman said.
It's not an exaggeration. Last year, tens of workers from sub-Saharan Africa dropped dead from exposure and exhaustion, having been pushed too hard in the sun-baked fields of southern Italy.
“Then there's the danger that someone will shoot you,” he adds bitterly, referring to a period of violent clashes between migrant workers which erupted after three labourers were shot with an air-rifle on their way back to the camps in January 2010.
The shootings sparked numerous protests and string of violent clashes between local residents, migrants and the police, which left 66 injured.
As racial tensions reached breaking point the government shipped 1,300 migrants off to different cities in Italy.
Suleman and his friends ended up in Rome, where they slept rough at the central Termini station and relied on the Catholic church-run charity, Caritas, to provide him with meals.
The wounds in Rosarno have still not healed. Last month tensions flared up once more, when police shot and killed Sekine Traorè, a worker from Mali, after he allegedly pulled a knife on a police officer.
Eventually Suleman and his friends were taken in by volunteers from ex-Snia, a social centre housed in a former factory in central Rome, who helped the group get their papers.
They may have been legal workers, but they were now at the back of Italy's job queue and feared they would end up toiling in the fields once more .
“The guys at ex-Snia helped me set up the business and I started by making just fifteen litres of yoghurt, which I sold at a local market. Since then, things have been steadily growing,"" Suleman explained.
A model to follow
“Now the business provides work for six migrants, from all over Africa, and we've also added an Italian, Mauro, who suffers from Aspergers Syndrome. He joined us last year and has been great.""
According to the International Office for Migration (IOM), micro-enterprises like Barikaimà represent the best alternative to humanitarian aid, and boost levels of social integration and self-esteem among refugees.
Suleman is living proof. Thanks to Barikimà, he is a fully-integrated member of Italian society, making an important contribution to his local community and economy.
Working to set up the business he has learned to speak fluent Italian and fallen in love with Ilaria, a Roman who he met at Ex-Snia.
The pair has been together ever since and earlier this year celebrated the birth of a baby boy.
“People say Italy is a racist country, but even after my time in Rosarno, I don't think so. Racists, idiots and hateful people can be found all over the globe.
“I wish people would stop calling high immigration 'a migration crisis' though. When people come to live in your country to work, share their culture and expertise, it should be seen as a blessing.”"
https://www.thelocal.it/20180320/italy-2017-asylum-requests,asylum seeker,319,"
				20 March 2018
				16:44 CET+01:00			 
					16:44 CET+01:00				",The Local,Italy received more asylum requests in 2017 than any other EU country except Germany,"Italy received the second highest number of asylum applications in the European Union for the second year in a row, according to EU figures released on Tuesday.
While first-time asylum requests fell significantly across the 28 EU members as a whole, said statistics office Eurostat, in Italy they rose by 4 percent, from 121,185 in 2016 to 126,550 last year.
Italy now accounts for 19.5 percent of all such requests in the EU, second only to Germany with 30.5 percent. France is third with 14 percent.
READ ALSO: Spanish aid group slams Italy for seizing migrant rescue boat
Most of Italy's asylum applications came from Nigerian nationals, according to Eurostat. They made up 20 percent of applicants, followed by people from Bangladesh (10 percent) and Pakistan (7 percent).
That sets Italy apart from the rest of the EU, where overall most first-time asylum seekers come from Syria, Iraq or Afghanistan.
While Italy received more requests for asylum than almost any other country, it rejected more than half of them. Little over 40 percent of applicants were granted any protection in the first instance and fewer than 10 percent received full refugee status, well below the EU-wide total of 23 percent.
READ ALSO: African, EU states focus anti-trafficking efforts at source
Overall, Italy was 19th out of 28 countries in terms of the applications it approved. The figures do not take into account cases where applicants appealed the decision, however.
Relative to its population, Italy receives fewer asylum requests per million inhabitants than Greece, Cyprus, Luxembourg, Malta, Austria, Germany or Sweden.
Nor are the numbers of requests growing fastest in Italy. Between 2016 and 2017, Spain, France and Greece saw applications rise by several thousand more than Italy did.
READ ALSO:
Italy's migrants don't expect life to change after the election
Immigration in Italy: Fact-checking 5 common myths and assumptions
Italy closes Lampedusa migrant centre for renovation after conditions criticized"
https://www.thelocal.it/20150326/italy-sees-boom-in-ukrainian-asylum-seekers,asylum seeker,696,"
				26 March 2015
				09:00 CET+01:00			 
					09:00 CET+01:00				",Emma Anderson ,Italy sees Ukrainian asylum seeker boom,"Italy saw a huge spike in Ukrainians applying for asylum in 2014, according to data released by Eurostat last week and analyzed by The Local.
Italy received the third highest number of Ukrainian asylum seekers last year, but also saw one of the greatest increases in applications. In 2013, just 35 Ukrainians applied for asylum in Italy, but that number jumped to 2,080 in 2014 - a startling 60 times the number from 2013.
Italy accepted the highest number of Ukrainian applicants compared to all other EU countries, with 165 applicants receiving positive outcomes, followed by the Czech Republic (150) and Finland (145).
Julia Zelvenska, a senior legal officer at the European Council on Refugees and Exiles, told The Local that many of those who applied for asylum, including in Italy, were those who were already in the country.
""For example, they were working or studying when the situation in Ukraine changed,"" she said.
""Asylum applicants choose specific countries usually because they either have friends or family in a particular country, could rely on the support from the community, sometimes speak the language or might have other ties with the country.""
Overall, the number of Ukrainian asylum seekers in the 28 EU member states ballooned to 14,040 people in 2014 - more than 13 times higher than the number in 2013 at 1,060 applicants.
That number is even greater when compared to 2008, the beginning of the global economic crisis, when 925 Ukrainians applied for asylum.
“What we have seen from our members working with asylum seekers are those who are fleeing the conflict in the east of Ukraine,” Zelvenska added. “In the past, it has been for political persecution, like in 2013, or for sexual orientation.”
The UN refugee agency (UNHCR) said last month that an estimated one million Ukrainians were displaced internally, with many people moving west. Some 600,000 people had sought asylum, many of them in non-EU countries such as Russia, Belarus and Moldova.
But many Ukrainians also applied for asylum in the European Union in 2014, a year that started with a revolution in Kiev and the ousting of the pro-Russian president, Viktor Yanukovych.
Russia then annexed Crimea in March, in a move widely condemned around the world, before propping up separatists fighting bloody battles with Ukrainian forces in the east of the country.
After last year's spike, the numbers have so far decreased this year, Zelvenska said.
""Recent number of asylum applications by Ukrainian asylum seekers in Europe indeed increased in 2014, but have so far been decreasing in 2015. In general, the numbers still remain quite low, for example, in February 2015 only 125 Ukrainians applied for asylum in Europe.""
Of those who applied for asylum in 2014, 650 Ukrainians received positive outcomes on their first application decision in the EU. Eurostat defines positive outcomes as grants of refugee or subsidiary protection status, or an authorisation to stay for humanitarian reasons.
Still, those who received good news were greatly outnumbered by those who were rejected in their first try - 2,335.
SEE ALSO: Asylum requests in Italy jump 143 percent
Zelvenska explained that it is generally very hard for Ukrainians to gain asylum in EU member states, or to even reach those countries in the first place.
“One of the main reasons people get rejected may be that many countries are not clear on how the situation developed and won’t issue decisions until it is clear how the Ukrainian situation is going to develop,” she said.
“European countries are also being very formalistic in the criteria for asylum,” Zelvenska added. “For example, they may say that there are options for alternative protection already within Ukraine. For people in the east, they may say that they could relocate to the west.”
Zelvenska noted though that reasons for rejection are not made public so it is difficult to know for certain.
“We think it’s not necessary to apply all the criteria in a strict manner,” she said. “They must consider each case, country and the circumstances.”
Last year, EU countries received the highest number of asylum seekers since 1992 with a total of 626,000 applicants. More than 400,000 people applied in 2013."
https://www.thelocal.it/20170619/italy-police-arrest-asylum-seeker-over-isis-propaganda,asylum seeker,210,"
				19 June 2017
				09:22 CEST+02:00			 
					09:22 CEST+02:00				",The Local,Italy police arrest asylum seeker over Isis propaganda,"Italian police have arrested a 29-year-old asylum seeker on terror-related charges, the interior ministry said on Monday morning.
""The man is believed guilty of criminal association with the aim of international terrorism and incitement to crime,"" the ministry said in a statement.
Police described the man as ""violent and with an extreme inclination to criminal activities"" and said he had expressed ""elation"" at the recent terrorist attack in Manchester, when 22 people including children were killed by a suicide bomber at a pop concert.
Terrorism in Italy: Low threat level, but a rise in radicalization
Italian police foil plot to blow up Rialto Bridge in Venice
How Italy keeps track of 80 terrorism alerts each day
He had distributed news and materials about Isis and its aims to fellow guests at the reception centre he was staying at in Crotone, southern Italy, the ministry said. He encouraged his peers to join the terror group and carry out violent acts.
Local police carried out the investigation which was coordinated by the anti-mafia authority (DDA).
According to a report in Repubblica, officers intercepted a phonecall in which the 29-year-old told his sister that ""infidels should have their throats cut"".
READ ALSO: 'We can't lower our guard': Italy ups security in crowded areas"
https://www.thelocal.it/20160115/asylum-seekers-strut-their-stuff-on-italian-catwalk,asylum seeker,547,"
				15 January 2016
				08:37 CET+01:00			 
					08:37 CET+01:00				",AFP,Asylum seekers strut their stuff on Italian catwalk,"Asylum seekers from Mali and Gambia strutted down the catwalk on Thursday at Florence's prestigious Pitti Uomo exhibition, kicking off an initiative to school would-be migrant fashionistas in Italy's top art.
In a fashion world first, farmers and construction workers who made the perilous journey by boat to Italy in May took centre stage in Tuscany's capital, modelling everything from sharply-tailored suits to tasselled jumpers and outlandish hats.
Despite initially appearing a touch overawed, they pulled off the trademark model walk - one even shooting the cameras a smouldering look worthy of a supermodel as he stopped to pose at the end of the runway.
The men, aged between 19 and 27, who could not be identified for legal reasons, were handpicked for the show from their reception centres by the ITC Ethical Fashion Initiative, which mentors young emerging designers from Africa.
""As we are in Italy and have a huge refugee crisis we also want to show that migrants are a resource,"" EFI head and founder Simone Cipriani told AFP backstage before the event, which featured four collections by African stylists.
""We are setting up a training centre for refugees and migrants in Italy to work in the industry of fashion and be enabled to go back home and set up their own businesses there,"" he said.
The project is being launched with Lai-momo, an Italian association which raises awareness of migration issues and since 2014 has been involved in running a series of reception centres in and around Bologna, in Italy's centre-north.
'Asylum seeker in a suit'
Five long-legged men with chiseled jaws were chosen from the centres for the fashion challenge, with two taking part in a photo shoot on Wednesday and three walking the catwalk in a converted warehouse, along with professional models.
Nigerian-American designer Wale Oyejide, whose Ikire Jones brand plays on a juxtaposition of African figures and classical Western art, said working with the debutants had been a perfect way to illustrate his fashion philosophy.
""Clothing is just a vehicle, I'm much more interested in discussing these issues... of migration, of borders being crossed.
""If I take an asylum seeker and put them in a suit, people perceive them in a certain way, which hopefully allows them to think of them as an equal human being, not as someones less than them,"" he said.
As two of the first-time models apprehensively took their seats in the make-up studio, the third was given a one-to-one tutorial in how to speed up his swagger to match the pumping beats of the catwalk.
Lai-momo president Andrea Marchesini Reggiani said the plan was to tap into the Made in Italy resource to tackle one of the greatest problems plaguing those waiting for their asylum applications to be processed: boredom.
""It's very difficult to work with migrants today, it's very difficult for them to integrate, because their numbers are very high and we are faced with a very deep economic crisis,"" he said.
But while many of the 140,000 migrants who arrived in Italy in 2015 are stuck doing nothing in centres, ""we already have small-scale collaborations with guests who are skilled in couture or design.
""The idea is to develop those skills in a dedicated laboratory, and maybe even produce garments as well,"" he said."
https://www.thelocal.it/20160115/video-asylum-seeker-foils-armed-robbery-at-italy-supermarket-crime,asylum seeker,261,"
				15 January 2016
				15:06 CET+01:00			 
					15:06 CET+01:00				",The Local,Asylum seeker foils armed robbery at Italian supermarket ,"Italian police have managed to arrest an armed robber thanks to the heroic intervention of a 22-year-old asylum seeker from Nigeria.
The incident happened in the town of Bisceglie, on Puglia's Adriatic coast, when an armed robber entered a supermarket with his face covered and brandishing a kitchen knife, La Stampa reports.
The man threatened the cashier at knifepoint and forced her to hand over the draw of the cash register, which contained €380.
But as he tried to escape with his loot he was chased down by the Nigerian asylum seeker, who was working outside the supermarket helping shoppers transport their groceries to their cars in exchange for small change.
As the man attempted to make his getaway, the young Nigerian gave chase, causing the would-be robber to drop the draw of the cash register. The man then turned his knife on his pursuer, but instead of backing down, the asylum seeker, from Nigeria, wrestled with the criminal and managed to disarm him.
The man then managed to wriggle free and reclaim the money before jumping on to his scooter to make an escape. However, during the tussle, the Nigerian had removed the bandanna he was using to cover his face.
Thanks to that intervention, police were able to use footage taken by a nearby CCTV camera to identify the would-be robber as a 31-year-old Italian from the nearby city of Molfetta, who was a well known to the forces for previous offences.
Police reported they had also managed to recover a portion of the money the thief had taken."
https://www.thelocal.it/20171120/turin-evicts-asylum-seekers-former-olympic-village,asylum seeker,269,"
				20 November 2017
				17:53 CET+01:00			 
					17:53 CET+01:00				",The Local,Turin evicts asylum seekers from former Olympic village,"Authorities in Turin on Monday began moving the last remaining asylum seekers out of the city's former Olympic Village, which has been occupied by squatters for the past four years.
Starting at dawn, officials moved some 60 migrants out of the site in southern Turin. Most of those evicted were put onto buses to be taken to shelter arranged for them by local churches.
The operation, carried out by the Red Cross, emergency workers and police, went smoothly for the most part, La Reppublica reported.
Le prime immagini dello sgombero dell'ex Moi di Torino. @TgrRai pic.twitter.com/n02i49hFPp
— Tgr Rai Piemonte (@TgrPiemonte) November 20, 2017
A handful of people reportedly resisted, barricading themselves in the basements where roughly a hundred people have been camped out in poor conditions over the past months.
“When we needed a home you didn't give it to us and now we're settled you want to send us away,” La Repubblica quoted one of them as saying.
Sgombero dell'ex #Moi di Torino. In cinque di rifiutano di lasciare le cantine. @TgrRai pic.twitter.com/cd3gUyIYFu
— Tgr Rai Piemonte (@TgrPiemonte) November 20, 2017
At one point more than 1,000 people were living in the concrete blocks originally built to house athletes competing in Turin's 2006 Winter Olympics.
The numbers have dwindled after successive attempts to evict the squatters amid tensions with local residents.
This latest operation is part of a project approved by Turin's government and financed by the San Paolo banking group to clear the site entirely between now and 2020, on the condition that the last remaining refugees are offered housing, training opportunities and help finding jobs."
https://www.thelocal.it/20151009/first-asylum-seekers-leave-italy-under-eu-plan,asylum seeker,737,"
				9 October 2015
				09:49 CEST+02:00			 
					09:49 CEST+02:00				",The Local/AFP,First asylum seekers leave Italy under EU plan,"UPDATED: A small group of Eritreans left Italy for Sweden on Friday, the first contingent of asylum-seekers to be relocated under a European Union scheme to ease the burden of the migration crisis on frontline countries.
Grinning shyly before the media, 19 young Eritreans shook hands with EU migration commissioner Dimitris Avramopoulos and waved as they boarded a financial police plane at Rome's Ciampino airport.
""Today is an important day for the European Union, it is a day of victory... for those who believe in Europe, for those who believed in saving human lives,"" Italian Interior Minister Angelino Alfano told journalists after the departure.
""It is a defeat for those who claim it is better for the Mediterranean to become a lake of death... and believe that scaring the European people is the way forward,"" he added.
The asylum seekers are being transferred to Sweden after it agreed on July 20th to take refugees from Italy and Greece in a bid to ease the humanitarian and financial burden on the two frontline states over two years.
They will fly to Luleå in northern Sweden, after which they will hand in their applications for asylum at a centre in Boden, according to a press release from Sweden's Migration Agency. The refugees - 14 men and five women - will then be offered a spot at a centre for refugees in the Östersund area in Sweden's Jämtland region.
Swedish Migration Minister Morgan Johansson welcomed that the scheme was being implemented for the first time on Friday at an EU summit in Luxembourg on Thursday.
“This is the first example of this issue of redistribution that we have fought for so much, to make sure that we are all prepared to accept our part of the responsibility,” he was quoted by the Swedish TT news agency as telling fellow ministers.
“Symbolically, it's very important. (…) It is important now that all countries live up to what we have actually promised each other. We break the ice and make sure that the implementation begins,” he said.
The EU formally agreed on the plan last month despite the opposition of some eastern European states worried about a popular backlash to migrants.
'More must be done'
Alfano said Italy was ready to relocate 100 more asylum-seekers who would go to Germany and the Netherlands, and the UNHCR said further relocations would take place from Italy at the beginning of next week.
""This is a significant day, a positive and important one,"" the UN refugee agency's southern Europe spokeswoman, Carlotta Sami, told AFP.
""But we know more must be done. There is a great need for measures to be put in place to allow (asylum-seekers) to arrive in Europe safely,"" she said, referring to perilous boat crossings in the Mediterranean which have cost over 3,000 people their lives this year alone.
The Eritreans had been rescued on the high seas over the past few weeks and taken to an experimental migrant screening centre or ""hotspot"" on Lampedusa island, where they were registered.
Avramopoulos and Asselborn were expected to travel to the Italian island later Friday to examine the centre, a prototype for several set to open at the end of November across Italy and Greece.
On Thursday, EU nations agreed to speed up the deportation of failed asylum seekers and crack down on so-called ""economic migrants"" - who are largely from poor African nations and not refugees from conflict zones.
A UN report in June detailed how the Horn of Africa nation, under Isaias Afwerki's iron-fisted regime for the past 22 years, has created a repressive system in which people are routinely arrested on a whim, detained, tortured, killed or disappeared.
The EU hopes the closed centres will sharply reducing the number of people who arrive by boat, refuse to be identified and head off across the borders to other bloc countries to seek a new life.
The centres and relocations are part of a multi-point plan which includes a military anti-people trafficker operation.
The UN's Security Council is set to vote Friday on a draft resolution to authorise military action against smugglers with Operation Sophia, which launched this week to seize traffickers' boats in international waters.
While the vote is not necessary for the EU to take action, the measure would legitimise plans under which European warships will board ships for inspection, confiscate them and even dispose of vessels used by migrant smugglers."
https://www.thelocal.it/20170211/italy-sets-up-fast-track-asylum-courts-for-migrants,asylum seeker,483,"
				11 February 2017
				13:09 CET+01:00			 
					13:09 CET+01:00				",AFP,Italy sets up fast-track asylum courts for migrants,"The Italian government on Friday created 14 fast-track asylum appeal courts in a bid to speed up decisions on deporting migrants with no right to stay in the country.
This latest sign of Italy moving to a tougher approach to deter further migrant arrivals, was approved by decree at a cabinet meeting on Friday.
It comes into force immediately but has to be approved by parliament inside two months.
Around half a million migrants have arrived in Italy in the last three years, most of them Africans who were rescued from overcrowded boats in the Mediterranean after setting off from Libya on vessels operated by people smugglers.
Registered asylum requests rose from 23,620 in 2013 to 123,482 last year and the average time taken to study them has risen from 167 to 268 days.
""The complexity of the migratory phenomenon is also increasing with people arriving from very different countries,"" Justice Minister Andrea Orlando said after the cabinet meeting.
""We are talking about life-defining decisions, we don't want to leave people in limbo,"" he added.
The government is also recruiting 250 additional specialists to speed up the work of the commissions which carry out the first assessment of asylum requests.
Around 60 percent of those end with a decision to deny the applicant the right to remain in Italy.
The new courts will be designed to ensure people in this case have their appeals heard much quicker and that a binding decision is made at that stage.
As things stand, rejected asylum seekers can generally mount two appeals in a lengthy process that overturns the original denial in an estimated 70 percent of cases.
""These will be specialised judges with detailed knowledge of migration issues,"" Orlando said, denying the abolition of a second appeal involved lowering standards of legal protection.
The UN refugee agency welcomed the strengthening of the asylum commissions but voiced reservations about the new courts.
""There will have to be a very thorough examination of individual cases. If it is impossible to appeal, the first hearing has to be as good as possible with the emphasis on quality rather than speed,"" a spokeswoman said.
Orlando vowed the commissions would become more reliable and consistent in their decisions thanks to the new recruits and the recording of all discussions becoming compulsory.
Friday's initiative follows recent moves by the government to make it easier for migrants awaiting decisions on their fate to do voluntary work that will help them integrate into Italian society.
Italy has also recently agreed to help train Libya's coastguard to better police its coastal waters to reduce the number of boats leaving the country, and to help its former colony with the running of centres to house migrants pending their repatriation to their home countries.
On Friday, the government announced the creation of around 20 permanent repatriation centres capable of housing a total of 1,600 people pending deportation."
https://www.thelocal.it/20151002/asylum-seekers-to-leave-italy-within-days,asylum seeker,212,"
				2 October 2015
				14:42 CEST+02:00			 
					14:42 CEST+02:00				",The Local,Asylum seekers to leave Italy 'within days',"A plan to move 120,000 asylum seekers from Italy and Greece to elsewhere in the EU, including Estonia, Luxembourg and Sweden, will get underway “within days”, Ansa reported on Friday.
Citing EU sources, the Italian news agency said the intention is to complete the process before the next EU summit on October 15th.
EU interior ministers in September agreed to relocate a total 120,000 refugees from Italy and Greece across Europe. The agreement came amid deep divisions in Europe over how to handle the continent's worst migration crisis in decades.
Italy and Greece have borne the brunt of the refugee crisis, and are establishing 'hot spots' to help them process asylum applications faster, in the wake of criticism from their EU partners.
Read more: Italy's migrant 'hotspots' face tough tests
Meanwhile, a camp on the Italian side of the Italy-France border was cleared on Wednesday as police evicted refugees who had called the area home since June.
Italian Interior Minister Angelino Alfano said on Wednesday that 130,000 migrants had arrived in Italy since the start of the year, 8,000 less than during the same period last year.
Most of the people had arrived by boat from Libya, with the majority being from Eritrea.
Some 98,000 are currently housed in state-run refugee centres."
