href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.no/20151030/knausgrd-says-progress-a-blessing-for-norway,migrant,406,"
				30 October 2015
				08:14 CET+01:00			 
					08:14 CET+01:00				",AFP,Knausgård: anti-migrant party 'a blessing' ,"Norwegian writer Karl Ove Knausgård has described the anti-immigrant Progress Party as a “blessing” for Norwegian politics, as societies must “dare to talk about the problematic aspects of immigration”.
The writer, whose 3,500 page novel My Struggle was a sensation in Norway when its six books were published between 2009 and 2011, has been increasingly vocal about what he sees as the refusal of the educated middle classes in his adopted home of Sweden to face up to the realities of immigration.
“In Sweden, my impression is that the desire to be decent, which is in itself laudable, has given people an aversion anxiety against discussing many problems concerning integration and immigration,” he told Aftenposten during a book tour. “If you talk about the issues, it means you are somehow automatically critical of immigration.”
Swedish writer Jan Guillou, speaking on Norway's state broadcaster NRK on Thursday night dismissed Knausgård's attack on Sweden, saying he was a victim of the right-wing's “delusion” that immigration could not be discussed in the country.
“Knausgård is probably one of the worst political analysts in Scandinavia,” he told NRK on Thursday night. “God! Open debate? Over the last ten years this has been one of the main topics for discussion in Sweden. It surprises me that a man like Knausgård, who has lived in Sweden, is also a victim of this delusion.”
Knausgård said that the consequences of immigration depended on how much effort society was prepared to expend on the process.
“We know nothing about the consequences of immigration, but they are clearly entirely dependent on the resources used,” he said. “The worst thing that can happen is ghettos, closed cultures developing inside the culture.”
He said that in Stockholm at least, this had already happened.
“Stockholm is a divided city. The white middle and upper classes congregate in the urban areas, while the immigrants and working classes live in the suburbs,” he said. “That same white middle class is in favour of immigration, but they have no immigrants whatsoever close to them in their personal lives, and they become furious if anyone expresses right-wing populist views.”
However Knausgård stressed that while he thought it was good that Norway had a mainstream party which could express anxieties about immigration, he was not himself a Progress supporter.
“I do not agree with their views, but it is good that they are able to express them openly without being demonised,” he said."
https://www.thelocal.no/20160608/numbers-plunge-as-norway-now-less-attractive-for-migrants,migrant,279,"
				8 June 2016
				14:24 CEST+02:00			 
					14:24 CEST+02:00				", The Local,Migrant numbers plunge as Norway now 'less attractive',"Integration Minister Sylvi Listhaug says her moves to make Norway a less sought-after destination for migrants have worked.
According to Listhaug, an increasing number of migrants have dropped the idea of seeking asylum in Norway – exactly as she hoped.
“When I ask them [migrants she spoke with in Greece and Italy, ed.] about their opinions of Norway, they say that Norway has become strict and less attractive and not a country that they want to travel to,” she told VG.
The numbers seem to back up the claim. In May, just 195 asylum seekers came to Norway, the lowest May figure in 19 years.
Listhaug said that Norway’s political signals have been heard loud and clear.
“Everything that happens here at home, gets noticed. Many people want to travel to Germany, but noticeably fewer people want to come to Norway. It is important to be clear about our restrictions because this is a market driven by smugglers,” Listhaug said.
Only 1,407 asylum seekers have been registered through May, but Listhaug said it is hard to predict what might happen as the year goes on.
“The agreement between Turkey and Greece is working now, but how it will work in the future is uncertain. There is also uncertainty on what is going on with the traffic over the Mediterranean from Libya to Italy,” she said.
The Norwegian parliament is in the final stages of negotiating an immigration and asylum overhaul championed by Listhaug, who represents the anti-immigration Progress Party.
The Norwegian Directorate of Immigration (UDI) said in January that it expects 60,000 asylum seekers in 2016, but the agency is expected to officially lower that forecast later this month."
https://www.thelocal.no/20160128/unhcr-concerned-by-norways-migrant-policies,migrant,333,"
				28 January 2016
				08:17 CET+01:00			 
					08:17 CET+01:00				",AFP,UNHCR 'concerned' by Norway's migrant policies,"The United Nations' refugee agency UNHCR expressed concern on Wednesday over Norway's policy on returning migrants to Russia and plans to tighten rules for family reunifications.
""We consider that the Norwegian procedure ... is cause for concern,"" the UNHCR's representative in the Nordic region, Pia Prytz Phiri, told reporters at the close of a three-day visit.
""It's a problem for us that Norway considers Russia a safe asylum country,"" she said.
Norway decided in November that migrants who arrived in the Scandinavian country after having stayed legally in Russia had to be swiftly sent back to Russia -- without having their asylum applications considered -- since Oslo considered Russia a safe country.
Some 5,500 migrants arrived in Norway via the ""Arctic route"" through Russia last year.
After sending some 200 people back, Norway stopped returning migrants to Russia at Moscow's request, as Russian authorities cited ""security reasons"".
But Norway has said it is negotiating a resumption with Moscow.
The Norwegian return policy risks depriving some legitimate asylum seekers of their right to protection, the UNHCR warned.
An independent body within the Norwegian immigration authority, Landinfo, said it had been informed by the UN agency that Russia had in January 2015 expelled two Syrians back to their war-torn country.
Norwegian Immigration and Integration Minister Sylvi Listhaug, speaking at the same press conference as Phiri Wednesday, assured that ""we are of course going to listen to what the UN has to say"".
She added however that ""there are situations where the UN recommendations go beyond what our commitments are in respect to international conventions"".
The UNHCR also said it was ""deeply concerned"" by Norway's plans to tighten rules for family reunifications.
The right-wing coalition government, which includes an anti-immigration party, has proposed that a person must have studied or worked for at least four years before being allowed to bring over their family.
The proposal, which is still in the early stages, would require parliament's green light and the government does not hold a majority."
https://www.thelocal.no/20161024/norwegian-ship-rescues-2400-migrants-amid-chaos,migrant,429,"
				24 October 2016
				08:16 CEST+02:00			 
					08:16 CEST+02:00				",NTB/The Local,"Norwegian ship rescues 2,400 migrants amid 'chaos'","The Norwegian ship Siem Pilot rescued 2,400 migrants in the Mediterranean Sea off the coast of Libya over the weekend in what was described as a scene of “chaos”.
Mission leader Pål Erik Teigen told NTB he's “never experienced a similar rescue”.
“We were to transfer 1,000 migrants from a tanker over to Siem Pilot when suddenly several rubber boats appeared. It seemed completely hopeless,” Teigen said.
When the Norwegian ship, which was full of migrants, began to sail away, some 25 people jumped into the sea and swam after the boat in an attempt to come on board.
“They were given life jackets and lifeboats boats quickly picked up those who were in the water. There was no one who drowned,” Teigen said.
The Norwegian ship was on Sunday night en route to Palermo with 1,093 migrants on board. Seven people were evacuated for health reasons, and the ship has 17 dead people on board, Siem Pilot said in a statement.
‘Chaos'
With the Siem Pilot over capacity, additional lifeboats were used to transfer migrants from their rubber boats to other civilian vessels.
Intelligence Officer Jan Erik Valen, who led the operation's security detail, said there was a sense of panic amongst the migrants.
“There was chaos on board the tanker. They pushed us towards the end of the boat from all directions, and fought over life jackets. Police forces from Siem Pilot helped us with shields. We beat sticks on tubes to make as much sound as possible and we ended up having to hit some of them,” he said.
Birth on board
On Sunday morning there was also a birth aboard Siem Pilot. The migrant mother and her newborn child were immediately evacuated to the Italian island of Lampedusa for further care.
“It has been chaotic at sea with very many migrant boats. The crew of Siem Pilot has worked intensely - and we are very satisfied with the work we have managed to accomplish in recent days,” Teigen said.
The Siem Pilot is part of the extensive rescue efforts in the Mediterranean and is tasked with the mission of saving desperate migrants trying to reach Europe. During the weekend rescue, the ship also had to deal with human smugglers.
“There was a boat that was very aggressive all night. We used the ship's spotlight to scare it away, but they were determined to try to retrieve the boats we had rescued the migrants from,” says Teigen.
Italy's interior ministry said Friday that more than 146,000 migrants have arrived in the country so far this year."
https://www.thelocal.no/20140211/norway-ruling-party-calls-for-swiss-style-referendum,migrant,350,"
				11 February 2014
				08:12 CET+01:00			 
					08:12 CET+01:00				",The Local,Norway ruling party calls for 'Swiss' migrant vote ,"One of Norway's two government parties has called for a Swiss-style referendum on measures to restrict immigration, in a further sign that Switzerland's shock decision will have knock-on effects elsewhere in Europe.
Mazyar Keshvari, immigration policy spokesman for the anti-immigration Progress Party, told the VG newspaper that he believed Norway should follow Switzerland's example. ""Norway should also have a referendum on immigration,"" he said. ""I am quite sure that there is majority support for tightening immigration across Norway's political parties. The polls show that."" On Sunday, the Swiss voted with a razor-thin 50.3 percent majority to limit immigration by drawing up immigration quotas, surprising the country's establishment. The decision has provoked calls for similar quotas from far-right parties elsewhere in Europe, with Germany's anti-EU party, Alternative für Deutschland (AfD), and France's National Front both calling for new Swiss-inspired immigration laws. Norway is the first country where a government party has backed the Swiss decision, however. Progress's position clashed with that of Norway's Conservative Party, which leads the ruling two-party coalition. Europe Minister Vidar Helgesen stressed that her party supported open labour markets. ""We in Norway want to emphasize that the principle of free movement of people is essential for growth and prosperity in an open economy,"" she said after the Swiss result. Switzerland and Norway are both members of the European Economic Area (EEA), rather than the European Union, so any new immigration law Switzerland successfully negotiates within the EEA treaty could in theory be adopted by Norway. ""Progress has said many times that Norway should study the EEA Agreement and use whatever room for manoeuvre there is to limit immigration,"" Keshvari said. He accused Lithuanians and Poles of being drawn to Norway by the country's free health care and generous social security benefits. He said the party had yet to decide on what kinds of limits to immigration it would impose. ""We have not taken a position on quotas, either in the Progress programme or in government policy,"" he said. ""But it [immigration policy] will tighten up as soon as negotiations with the Liberals and Christian Democrats are finished."""
https://www.thelocal.no/20160201/norway-and-russia-still-at-odds-over-asylum-returns,migrant,504,"
				1 February 2016
				10:14 CET+01:00			 
					10:14 CET+01:00				",NTB/The Local,Norway and Russia still at odds over migrant returns,"A week after Russia shut its Arctic border post with Norway for “security reasons”, the two nations have yet to agree on what should be done with asylum seekers whose claims have been rejected by Norway.
Norway temporarily halted its return of migrants -- mainly from Syria, Afghanistan, Iran and Iraq -- who had entered from Russia on January 23rd following a request from Moscow.
Some 5,500 migrants crossed from Russia into Norway last year, on the last leg of an arduous journey through the Arctic to Europe. But the right-wing government in Oslo has decided that migrants who had been living legally in Russia, or had entered Russia legally, should be immediately returned there, on the basis that Russia is a safe country.
See also: Norway suspends return of migrants from Russia
Officials from both nations will now meet on Wednesday to try to find a solution to the currently gridlocked situation.
The two sides will try to find agreement on which asylum seekers can be sent back to Russia. Moscow has said that it will not take any asylum seekers who crossed into Norway on non-returnable visas, while Oslo argues that the Russians are obligated to take them back under a 2008 bilateral agreement.
Arlid Moe, a senior researcher and Russia expert at the Fridtjof Nansen Institute, said that the Norwegian government was probably too optimistic in its assessment that the Russians would take back the rejected asylum seekers.
“They [the Norwegian authorities, ed.] may have had a legitimate believe that everything was fine since the returns went smoothly before Christmas,” he told NTB.
Moe said that an internal Russian decision likely led to Moscow's change in course.
“We are so self-centred in Norway and are so inclined to believe that it is what we do – or don't do – that is essential, but I think it is more likely that the Russians have had internal discussions that ended with a new assessment,” he added.
Moe said that a key element in the two sides finding a solution will be whether Russia will commit to stopping foreigners without a Schengen visa before they pass the Russian border and continue on to Norway's Storskog border crossing, where they can seek asylum.
“My understanding of the Russian border regime is that Russians without Schengen visas have been stopped well before the Storskog border while foreigners have been allowed to pass, but there had been so few of these up until last autumn. When so many other asylum seekers discovered this route, the news travelled quickly and resulted in a large influx. I don't think this development was in any way caused by something the Russians did,” Moe added.
According to NTB, Wednesday's meeting will also address reports that a former diplomat in the Russian Foreign Ministry is behind five different companies that issued false work permits to around 1,000 Syrians.
“It is natural to get further information on what the Russian authorities knew about this,” Norwegian Foreign Ministry official Tore Hattrem told NTB."
https://www.thelocal.no/20130917/world-press-hits-back-at-progresss-nice-party-claim,migrant,535,"
				17 September 2013
				14:23 CEST+02:00			 
					14:23 CEST+02:00				",Richard Orange,Foreign press defends Progress anti-migrant tag,"International journalists have hit back at Norway's Progress Party as it seeks to convince them not to compare it to far-right parties such as the Sweden Democrats or France's Front National.
""You are welcome to hate us, but hate us for the right reasons,"" the party's deputy leader Ketil Solvik-Olsen said at a press conference called on Tuesday to convince foreign correspondents that the party is not anti-immigration, anti-foreigner or anti-Islamic. But Tony Paterson from the UK's Independent newspaper, whose election report has been criticised by the party for accentuating its links to far-Right terrorist Anders Breivik, told Norway's TV2 channel that he did not regret the tone of his article. ""If the party leader says that Roma should be put in buses and transported back to the Balkans, this is quite clearly the language of a right-wing populist party,"" he told TV2. Meanwhile Pierre-Henry Deshayes, Norway correspondent for AFP, said that he believed that the party's criticism of international media coverage was part of a rebranding exercise aimed at a domestic audience. ""I think they are using the foreign media as a rebranding tool to make it more acceptable for the other parties to collaborate with them,"" he said. ""Two weeks ago the coverage was already happening, we were already noting that the timing was very weird for them to come to power, but they did not react because it was before the election and they still gained by seeming tough on immigration"". He accepted that it was unfair to describe Progress as the ""Breivik party"", as Italy's Corriere della Sera did in its election report. But he said it was difficult for Progress to argue that it was not anti-immigration. ""I still am waiting for the FrP [Progress Party] to say anything positive about immigration: it's all about the financial burden; its all about criminality; it's all about sneak islamisation. So in that respect I think it's fair to call them anti-immigration,"" he said. Solvik-Olsen told the conference he was disappointed that the international media continued to accentuate the fact that Anders Breivik had briefly been a party member. ""The ideas of one madman can not be linked to a party. It makes us very disappointed that this perception continues in the foreign media, even though the debate has long since been dead in Norway."" Himanshu Gulati, one of the party's rising stars, said that the membership of people of Indian origin like himself, showed that the party was not anti-immigrant. ""I think back to our summer camp this year. There were people from Somalia, Sudan, Morocco, India, Myanmar, Thailand, Vietnam and the Philippines. If only a little of what is written about us was correct, I do not think we would have seen that so many immigrants supporting our party,"" he said. But journalists at the press conference pressed Solvik-Olsen on the party's use of the term 'sneak-Islamisation' in the past, forcing him to admit that it had been ""poor use of the word"". They also highlighted the rhetoric used by Christian Tybring-Gjedde, one of the party's most controversial politicians, who has claimed that Norway is digging its ""own cultural, ethnic and religious burial"" by allowing immigration to continue at present rates."
https://www.thelocal.no/20140213/norway-minister-rules-out-swiss-style-migrant-vote,migrant,244,"
				13 February 2014
				08:17 CET+01:00			 
					08:17 CET+01:00				",AFP,Norway minister rules out 'Swiss' migrant vote,"Norwegian Justice Minister Anders Anundsen on Wednesday ruled out holding a referendum on immigration, rejecting a request by a fellow member of his populist party to follow in the footsteps of Switzerland.
""For many years, the (populist) Progress Party has claimed that more influence should be granted to the citizens. This proposition shouldn't shock anybody,"" Anundsen, a Progress Party minister was quoted by Norwegian news agency NTB during parliamentary question time. ""But within the government coalition, the Progress Party is sticking to our cooperation agreement (with the other right and centre-right parties) and does not plan a referendum on this matter."" On Tuesday, the immigration spokesman for the Progress Party, which wants to restrict the arrival of immigrants, demanded a referendum similar to the one held last Sunday in Switzerland. ""The idea of a referendum is interesting and Norway should also organise a referendum on immigration. I'm completely certain that a majority wants to tighten up"" the policy, Mazyar Keshvari told Norwegian tabloid Verdens Gang (VG).
Norway is not a member of the EU but is included in the European Economic Area and the Schengen Area which allow relatively unrestricted movement of citizens. Referendums in oil-rich Norway are far less common than in Switzerland. On Sunday, 50.3 percent of the Swiss voters decided to reverse a decision which gave equal footing to European Union citizens in the Swiss labour market. The European Commission reacted strongly, saying that it would assess EU ties with Switzerland."
https://www.thelocal.no/20151202/migrant-flow-halted-at-policed-russia-norway-border,migrant,252,"
				2 December 2015
				08:57 CET+01:00			 
					08:57 CET+01:00				",AFP/The Local,Migrant flow halted at Norway's Russia border,"A route used by migrants to enter Europe by crossing into Norway from Arctic Russia appears to have lost its appeal, with no migrants heading over the border after police were deployed, Norway said on Tuesday.
Norwegian police were stationed right on the border at the Schengen area's northernmost checkpoint on Monday, tasked with preventing entry by people without the zone's visa.
Since the start of the year, more than 5,000 migrants have crossed into Norway from Russia. Most are from Afghanistan, Syria, Iraq and Iran. The route is longer, but safer, than crossing the Mediterranean.
Norway last week announced it would send back to Russia those migrants who held Russian residence permits or visas, since that country is deemed safe for refugees.
See also: Norway to clamp down on asylum 'misuse'
But between November 25-29, Russia turned back 37 of those people to Norway, in all likelihood because they held single-entry visas. It meanwhile accepted in 23 others who held multiple-entry visas.
Norway, a country of 5.2 million, is not a member of the EU, but it is a member of Europe's Schengen zone, whose internal borders have been scrapped.
It has received some 30,000 asylum applications since the start of the year.
Most applicants have arrived in Norway via neighbouring Sweden, but since that country reinstated border controls on November 12th the flow has steadily declined: last week only 968 people sought asylum in Norway compared to 2,108 the previous week, a number that nonetheless remains much higher than normal."
https://www.thelocal.no/20151003/nordic-states-fret-over-migrant-threat-to-schengen,migrant,360,"
				3 October 2015
				16:11 CEST+02:00			 
					16:11 CEST+02:00				",TT/The Local,Nordic states fret over migrant threat to borders,"Norwegian Prime Minister Erna Solberg said on Saturday she feared for Europe's borderless Schengen zone and urged countries to shore up their external frontiers in the face of the migrant crisis.
“The challenge for the Nordic region is not an internal one, but the fact that Schengen's outer borders have broken down,” Solberg said.
“We must now make sure that the outer borders work,” she added as Europe struggles to cope with its worst refugee crisis since World War Two.
Schengen, which permits citizens of 26 states including non-EU member Norway to travel without passport formalities, is creaking under the strain of an unending flood of new arrivals with Germany, Austria and Slovakia reimposing border checks.
Solberg, whose Conservative Party is in a ruling coalition with the anti-immigration Progress Party, echoed concerns over Schengen expressed by French President Francois Hollande on Thursday.
Speaking to the AFP news agency, Hollande said Schengen was “in danger” due to the absence of registration centres to distinguish between refugees and economic migrants as EU states seek to share out some 120,000 asylum seekers, most fleeing the war in Syria.
Hollande said if there were no controls at the EU's external borders, states would feel obliged to restore national borders and controls “and it will be the end of Schengen.”
Solberg was speaking after a joint meeting with colleagues from fellow Nordic states hosted by Denmark.
Norway controls an external EU frontier with Russia, a border which has been crossed by more than 250 Syrian refugees so far this year.
Sweden's Social Democratic Prime Minister Stefan Lofven said “all those who have the right to asylum should be given it. Those who do not have the right should be sent back.”
And Danish counterpart Lars Lokke Rasmussen, a Liberal, agreed, saying: “Those who do not need protection should be sent back as quickly as possible.”
The crisis has sparked some disagreement between the Nordic states with Stockholm criticising Copenhagen for waving through some migrants to Sweden to make asylum claims.
Finland then criticised Sweden for doing the same in allowing a group of mainly Iraqi migrants to cross the border to make their own claims."
https://www.thelocal.no/20130902/progress-leader-plays-down-immigrant-report-interview,migrant,732,"
				2 September 2013
				10:57 CEST+02:00			 
					10:57 CEST+02:00				",Richard Orange,Jensen downplays own party's migrant report,"Siv Jensen, the leader of Norway's populist Progress Party, has distanced herself from the hardline immigration report put out by her party colleagues in an interview with The Local.
""We’ve not debated that yet, so I wouldn’t be able to say we’re in favour of it or against it,"" the 44-year-old leader said of a hard-line proposal to no longer recognise Islamic marriages for immigration purposes. The report, Sustainable Immigration, was put together by some of the party's most vehemently anti-Islamic and anti-immigration figures, such as deputy leader Per Sandberg, and Oslo politician Christian Tybring-Gjedde. It cites figures that show that each non-Western immigrant costs the equivalent of 42 years of an average Norwegian's tax payments, and calls for immigration from non-Western countries to be sharply reduced from from close to 20,000 a year to about 1,500 a year. In the interview, Jensen stressed that the report was not yet party policy. ""Some of these proposals will be more widely accepted, some are more controversial and need to be discussed. But I think the whole idea about this is to figure out how to make immigration more sustainable in the future."" Martine Aurdal, political editor of the Dagbladet newspaper and Jensen's biographer, said that since the twin attacks of Anders Breivik in 2011, Jensen had left more extreme rhetoric to others in the party. ""Siv Jensen used to talk about 'the hidden Islamisation of Norway', and she doesn't do that any more,"" she said. Jensen told The Local that she understood and felt compassion for immigrants. ""I truly understand why people want to move to a better place,"" she said. ""But then we need to be very clear about what are the playing rules around the country where you want to establish yourself. You need to facilitate work, and facilitate people’s ability to take part in society, rather than to be outside of society."" Although the immigration report cited Somali immigrants as one of the biggest drains on the Norwegian tax-payer, Jensen stressed that Somali people could often be entrepreneurial. ""The strange thing is that they seem to struggle here, whereas if you look at the US statistics, they’re quite successful, so it’s not probably the Somalis that represent the problem, it's the government’s policy. It’s an attack on the policy, rather than on immigrants."" As for Islam, she argued that problem was the way extremists refused to recognise the primacy of Norwegian law. ""We have to separate here between radical Islamic thoughts and secular Islam, and I think there’s a huge difference between the two,"" she said. ""I think that no society should be governed based on religious beliefs, because I believe in the freedom to believe in whatever you believe in and that you shouldn’t mix that with politics."" Jensen refused to accept that the country's Liberal and Christian Democrat parties, who last month wrote that they would refuse to be in a coalition with the Progress Party, were really seeking to block her party from government. ""I don’t think that’s what they said. They have said the same thing for a long time, which is that they would be more than happy to sit down with us and the Conservative party if the four of us gain a majority in the election and see if we have a big enough ground to form a coalition government. They’re a little bit more sceptical about being part of the government, but they would be able to support it."" She said that when she came under attack for her party's strong views, she drew on the example of her idol, the former British prime minister Margaret Thatcher. ""She was a very, very strong and she was loved and hated, and I think that’s something that a politician will go through if you have very clear statements and if you really want to make a difference. People will love you and people will hate you."" After a political career that started with her election to parliament at just 18 years old, she said that she and her party were now finally ready for power. ""The Labour Party actually existed for forty years before they formed their first government, and now we have existed for forty years and hopefully we will form our first government as well, and we are ready to take on the responsibility."" The whole 20-minute interview can be viewed below:"
