href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.es/20180329/spanish-migrant-rescuers-hit-out-at-italy-boat-seizure,migrant,390,"
				29 March 2018
				17:58 CEST+02:00			 
					17:58 CEST+02:00				",AFP,Spanish migrant rescuers hit out at Italian boat seizure,"The Spanish group whose migrant rescue boat has been impounded by the Italian authorities hit out Thursday at what it called a deliberate campaign to ensure there were no independent witnesses to how refugees are treated while trying to flee from Libya to Italy.
""Proactiva Open Arms is the new target of a clear institutional, political and media campaign that wants to keep away witnesses who could denounce human rights violations in the Mediterranean,"" founder Oscar Camps told a news conference.
The Proactiva Open Arms group, which has saved more than 5,000 migrants since the start of 2017, had its boat impounded at the port of Pozzallo in Sicily, where it arrived on Saturday with more than 200 people rescued off the coast of Libya.
The non-governmental group had refused to hand the migrants over to the Libyan coastguard, despite warnings from Rome and what the NGO claimed were death threats from the Libyans.
The prosecutor's office in Catania in eastern Sicily has opened an investigation into the NGO and three of its leaders for criminal conspiracy to promote illegal immigration.
Nevertheless, Camps argued that returning the migrants to Libya, where the situation is chaotic and human rights violations are common, ""would mean sending them back to the hell they have fled.""
The NGO's legal adviser, Jaime Rodrigo, an expert in marine law, said the legal justification for impounding the boat was ""non-existent"".
""It is possible that the boat will be held for a very long time, because the seizure can last as long as the procedure, and we know how long the procedures are,"" he said.
The boat is currently the NGO's only craft in operation and its seizure means Proactiva Open Arms, which is facing financial difficulties, cannot carry out any more rescue operations.
""We are flies and they're using cannons to fire at us,"" Camps said, calling for private donations and support from institutions.
Italy is the main entry point for migrants arriving in Europe across the Mediterranean.
According to the International Organization for Migration (IOM), as of March 25, more than 6,100 migrants had reached Italian shores since the beginning of the year and 359 have died.
In 2017, the number of arrivals in Italy was close to 22,000, with 727 deaths.
READ ALSO: Spanish NGO ship seized by Italy for saving migrants from Libya return"
https://www.thelocal.es/20180830/spanish-ngo-quits-migrant-rescues-in-lybia-over-criminalisation-of-aid-work,migrant,312,"
				30 August 2018
				15:57 CEST+02:00			 
					15:57 CEST+02:00				",AFP,Spanish NGO quits Libya migrant rescues over 'criminalisation' of aid work,"A Spanish NGO on Thursday said it will halt its migrant rescue missions off Libya to support operations in Spain, as it denounced the ""criminalisation"" of humanitarian groups in the Mediterranean.
Following a rise in migrant arrivals on the Spanish coast, Proactiva Open Arms said it will join rescue operations carried out by the Spanish coastguard in the Strait of Gibraltar and the Sea of Alboran, which separate Morocco from the EU member state.
It will begin work in Spain in the next few weeks and stay ""as long as migratory pressure lasts,"" it said in a statement.
The decision comes after tensions over migration in Europe saw Malta and Italy repeatedly close its ports to NGO ships crisscrossing the Mediterranean to help migrants at risk.
""The intense campaigns of criminalisation of NGOs in the central Mediterranean and the launch of inhumane policies have caused not only the closure of Italian and Maltese ports, but the paralysis of many humanitarian relief organisations, at the same time as a rise in the number of migrants arriving near the south of Spain,"" the NGO said in a statement.
Proactiva Open Arms has been forced to land migrants rescued off Libya three times in Spanish ports.
Rescue boats which pull migrants from dangerously overcrowded boats have faced criticism from European politicians for aiding people traffickers.
Last week three volunteers on the island of Lesbos in Greece were arrested on suspicion of helping illegal migrants to reach the country in an operation that involved 30 NGO members, police claimed.
Earlier this year, three Spaniards and two Danes were also accused of trying to help migrants illegally enter Greece.
Nearly 28,000 illegal migrants have arrived on makeshift boats on the Spanish coast since January, close to the total number of arrivals for all of 2017 on both land and sea, according to the International Organisation for Migration."
https://www.thelocal.es/20180831/should-they-stay-or-should-they-go-spain-struggles-to-set-migrant-policy,migrant,741,"
				31 August 2018
				11:20 CEST+02:00			 
					11:20 CEST+02:00				",AFP/The Local,Should they stay or should they go: Spain struggles to set migrant policy,"In June, Spain welcomed the Aquarius migrant rescue ship with open arms. Then in August, Madrid sent back to Morocco more than 100 men who had forced their way into its overseas territory of Ceuta.
The apparent U-turn has led to questions over the migration policy of the new Socialist government of Spain, which has overtaken Italy to become the preferred destination of people wanting to get to Europe.
Criticised by the conservative opposition when it insisted on opening its doors, the recent expulsion has drawn stinging reproof from activists and sarcastic glee from the likes of Italy's far-right interior minister Matteo Salvini.
When Prime Minister Pedro Sanchez came to power on June 1 after ousting his conservative rival Mariano Rajoy, he scored a coup in Europe by opening up the eastern port of Valencia to the Aquarius.
The charity ship had made headlines after being refused entry in Italy and Malta despite having 630 migrants on board whom it had saved off the coast of Libya.
At the time, Sanchez's government had also announced it intended to facilitate healthcare access to illegal immigrants.
It also planned to remove barbed wire from the fences sealing off Ceuta and Melilla, another overseas Spanish territory in Morocco, which regularly tears through the hands and legs of migrants trying to scramble over.
But this had been strongly criticised by the conservative opposition who accused the Socialists of creating a ""pull factor"" for illegal immigration and encouraging human traffickers.
So far this year more than 32,000 migrants have arrived in Spain by sea and land, according to the International Organization for Migration -- more than double arrivals for the same period in 2017.
After the Aquarius, another charity ship belonging to the NGO Open Arms was allowed to dock in Spanish ports three times.
But in mid-August, the Madrid decided to negotiate with other European states to divvy up migrants saved by the Aquarius, which was allowed to dock in Malta rather than Spain.
That was an early sign of change.
Then last week, Spain sent back to Morocco more than 100 migrants who had forced their way over the high double-fence of Ceuta in a mass expulsion condemned by human rights activists.
On Wednesday, two migrants suspected of being the ringleaders of another violent storming of the fence at the end of July were detained.
""We won't allow violent migration that attacks our country and our security forces,"" Interior Minister Fernando Grande-Marlaska said Wednesday.
Salvini gleeful
The apparent about-turn has drawn contempt from critics.
""The government is only right when it backs down,"" Pablo Casado, head of the conservative Popular Party, said after the mass expulsion.
Activists, meanwhile, are fuming.
Helena Maleno, famed for her defence of migrants, slammed the measure on Monday as a ""racist and colonialist policy"".
Deputy Prime Minister Carmen Calvo denied there had been any change, saying Spain's immigration policy followed two principles -- ""the respect of human rights and border security"".
Gemma Pinyol, a migration expert at consultancy Instrategies, said she believed the government ""wanted to make an example and show they are taking decisions, so that people don't say it's a paradise of free entry"".
Even Europe's far-right movement waded in.
""Spain is showing us how to deal with illegal immigrants,"" Alice Weidel of Germany's Alternative for Germany party, tweeted ironically.
Italy's Interior Minister Matteo Salvini (above) also responded with glee.
""If Spain does it, it's ok, but if I suggest it, I'm racist, fascist and inhuman,"" he said on Twitter.
Politics expert Cristina Monge said this had discredited Sanchez.
""He had shown signs of having a more coherent policy, more ambitious, and this contradicts him so much that it's making him lose credibility,"" she told AFP.
Badly prepared
Pinyol believes people were too quick in thinking things would change radically from Mariano Rajoy's previous conservative government, which didn't honour its commitments where migration was concerned.
The Supreme Court even ordered the state in July to take in more refugees after ruling it had only welcomed less than 13 percent of the asylum seekers Rajoy had promised to accept in 2015.
""The change is in asking Europe to take on more responsibility,"" said Pinyol.
But ""if Spain says that and no one follows, it won't be of any use.""
She thinks Spain hasn't prepared well enough to take in migrants.
""The reception system should have been updated. The centres in Ceuta and Melilla are always saturated,"" she said."
https://www.thelocal.es/20180806/spain-to-set-up-migrant-command-centre,migrant,451,"
				6 August 2018
				09:53 CEST+02:00			 
					09:53 CEST+02:00				",AFP,Spain announces plans for migrant command centre,"Spanish Prime Minister Pedro Sanchez has said his government will set up a command centre to coordinate Madrid's response to the migrant influx.
The announcement came as Spain has overtaken Italy this year as the destination of choice for migrants seeking a better life in Europe with a crackdown by Libyan authorities making it more difficult for them to reach Italian shores.
Over 23,000 people have arrived by sea so far this year with 307 dying, according to the International Organization for Migration -- more than during the whole of last year.
Sanchez said the centre would be staffed by security forces and emergency services personnel.
He said that €30 million ($35 million)would also be spent by the end of the year on an ""emergency plan"" to boost the number of places available in migrant reception centres and improve the assistance offered to migrants who did arrive.
""The timely transmission of information"" should make it possible ""to cooperate better to prevent the departure of boats from the countries of origin and prevent the impromptu arrival of boats in Spain,"" he told reporters following a weekly cabinet meeting on Friday.
In recent days migrants rescued by Spain's maritime rescue services have slept outdoors in the southern port of Algeciras due to a lack of space in migrant reception centres.
READ MORE:
EU to grant Spain emergency aid to cope with migrants
FOCUS: Spain under strain with spike in migrant arrivals
Spain denies 'mass' migration, says Europe needs 'new blood'
Spain overtakes Italy as sea route destination for migrants
Migrants wait to be processed in Algeciras port. Photo: AFP
At the same time, the European Commission said it had awarded Spain nearly €30 million in emergency assistance to help Madrid cope with the surge in migrant arrivals -- 25.6 million which was awarded on July 2nd and a further €30 million granted on Thursday.
Sanchez said his government would also step up its talks with Morocco, from where traffickers take the migrants across the Mediterranean, saying the country is ""key for the management and control of migratory flows"".
In a joint statement the European Commission and Spain ""underlined the importance of an enhanced partnership with Morocco and the need to intensify European support and cooperation with Morocco on migration.""
This includes the ""speedy delivery"" of a 55-million-euro border management programme approved for Morocco and Tunisia, the statement added.
But the availability of this aid is in doubt as European Commission chief Jean-Claude Juncker wrote to Sanchez on July 26 since several member states have not paid their contribution to an EU Emergency Trust Fund for Africa from where the money will come from, according to a copy of the letter seen by AFP."
https://www.thelocal.es/20180813/spanish-police-officer-swims-100-metres-to-rescue-migrant-from-mediterranean,migrant,393,"
				13 August 2018
				16:01 CEST+02:00			 
					16:01 CEST+02:00				", The Local,Spanish police officer swims 100 metres to rescue migrant from Mediterranean,"A Spanish police officer swam 100 metres to rescue a migrant who was struggling in the Mediterranean off the coast of San Roque, the Policia Nacional said.
The incident occurred as a lifeboat containing 70 people rescued from the high sea was coming in to dock at the town, where Spain opened a new migrant reception centre this summer to register people who attempt the perilous journey across the sea to Andalusia each week.
As the boat was beginning its approach, officers saw four people jump overboard, in an effort to swim to a jetty opposite the docks.
Officers enlisted the assistance of a small fishing boat to quickly locate them, the Policia Nacional said, and while three made it to the shore, one was visibly struggling, screaming for help and starting to submerge.
READ ALSO: Spain may be new migrant hotspot, EU border agency chief warns
In response one officer ""jumped into the water and swam around 100 metres to reach the location, noting that the person was rigid and immobile due to exhaustion and fatigue"".
""After turning him into the safety position, he (the officer) began to move him to the shore until a fishing boat reached them and managed to get him on board. The man was subsequently taken to get medical assistance where he was treated for breathing problems,"" the statement on the Policia Nacional website concluded.
Following a crackdown by Libyan authorities and Italy's hardline approach to migrants, Spain has this year become the main destination for those trying to escape Africa for Europe.
Thousands have arrived in the country by sea in 2018 and hundreds have died while trying to do so.
Last week Spanish PM Pedro Sanchez said that Spain and Germany are in discussions with the European Commission in an effort to help Morocco improve its effectiveness in controlling its borders. The North African country is a major point of departure for people trying to enter Europe.
""Fourteen kilometres separate the coast of Spain – and therefore Europe – from those of North Africa but there is an infinitely greater distance in terms of development. Reducing the depth of this abyss of inequality must be one of the main tasks of the European Union,"" Sanchez said following talks with German Chancellor Angela Merkel.
READ ALSO: Spain and Germany seek EU aid from Morocco over migrants"
https://www.thelocal.es/20180731/spain-under-strain-with-spike-in-migrant-arrivals,migrant,794,"
				31 July 2018
				16:30 CEST+02:00			 
					16:30 CEST+02:00				",AFP,FOCUS: Spain under strain with spike in migrant arrivals,"Since being plucked from a packed inflatable boat by Spanish rescuers in the Mediterranean on Friday, Glenn Alban has slept outdoors on a bed of flattened cardboard boxes in the port of Algeciras in southern Spain.
The 18-year-old Cameroonian says he gets just two meals a day -- milk and a biscuit for breakfast and juice and a sandwich for dinner -- as he waits to be identified by police and allowed to leave the port, one of Europe's biggest.
""As you can see it is difficult. It is so hot,"" he told AFP on Monday as he pointed to his makeshift bed, which was sheltered from the blazing sun by a Red Cross blanket he had tied between a fence and a concrete road barrier.
Glenn Alban at the port of Algeciras. Photo: Jorge Guerrero / AFP
""I did not expect to stay here for a long time like this. I am shocked. I can't believe it,"" said Alban, who lived in Morocco for two years before making the crossing to Spain, adding that he had expected a more efficient
reception in Europe.
He is part of a surge in the number of migrants arriving by sea on Spain's southern shores from North Africa that is stretching the country's security forces and safety net.
Spain has overtaken Italy as the preferred destination for migrant arrivals in Europe this year as a crackdown by Libyan authorities has made it more difficult for them to reach Italian shores.
READ MORE:
Spain denies 'mass' migration, says Europe needs 'new blood'
Spain overtakes Italy as sea route destination for migrants
Close to 23,000 people have arrived by sea so far this year with 307 dying in the attempt, according to the International Organization for Migration - more than during all of last year.
Just since Friday more than 1,500 migrants have landed in the southern province of Cadiz in Andalucia, with the majority of the new arrivals funnelling through Algeciras.
Dozens of migrants were filmed landing on a beach at Tarifa near Algeciras on Saturday before sprinting into woodland as stunned sunbathers -- some of them naked -- looked on, in videos that went viral on social media.
WATCH:
'Lack of means'
With police stations and makeshift emergency shelters set up in sports centres in Cadiz full, many rescued migrants have been forced to sleep inside an orange rescue boat docked in the port of Algeciras, or on the pavement beside it.
Photo: Jorge Guerrero / AFP
During a fact-finding visit to Algeciras on Saturday, Interior Minister Fernando Grande-Marlaska denied there was a ""collapse"" in the system to receive migrants, saying the situation is ""absolutely under control and controllable"".
But police and charities that work with migrants say the surge in arrivals is exposing Spain's response as unplanned, underfunded and understaffed.
""The number of migrant arrivals is very significant, as is the lack of means to deal with it,"" the representative of the Cadiz branch of the United Police Union (SUP), Carmen Velayos, told AFP.
There are not enough officers to process migrants within 72 hours of their arrival as required by law, even though agents have been pulled from other tasks or in some cases worked every day for the past month, she added.
In a sign that police are struggling to control the situation, 62 migrants escaped on Sunday from a warehouse which has been turned into a temporary shelter in the port of Barbate in Cadiz.
'Completely overwhelmed'
The authorities have not had not enough blankets, mattresses and even food for the migrants who arrived in recent days, said Ana Rosado, an activist with the Andalusian Pro-Human Rights Association (APDHA) which provides aid to the new arrivals.
In some cases officials have asked local residents to donate water and basic food items for them, she added.
""They are completely overwhelmed,"" Rosado said.
Photo: Jorge Guerrero / AFP
Migration has become a political issue in Spain since Socialist Prime Minister Pedro Sanchez took office in June and promptly agreed to accept two ship loads of asylum seekers denied entry by Italy.
The main opposition conservative Popular Party (PP) accuses Sanchez's approach of creating a ""pull factor"", but the government points out that the rise in arrivals started more than a year ago.
It accuses the previous PP administration of not preparing for a predictable rise in migrant arrivals.
The interior minister said the government was working against the clock to open a new migrant reception centre near Algeciras with room for 600 people.
Members of Spanish military emergency unit UME unloaded a truck-mounted crane on Monday to help set up the new centre scheduled to open later this week in the port of San Roque.
Words by AFP's Daniel Silva and photos by Jorge Guerrero"
https://www.thelocal.es/20180809/migrant-rescue-ship-docks-in-spain-again-after-italy-refusal,migrant,398,"
				9 August 2018
				10:36 CEST+02:00			 
					10:36 CEST+02:00				",AFP,Migrant rescue ship docks in Spain again after Italy refusal,"An NGO ship which saved 87 migrants in distress off Libya docked in Spain on Thursday after roaming the Mediterranean for days, the third such vessel to be allowed in the country in two months after Italy refused to take them in.
The white ship belonging to Spanish NGO Proactiva Open Arms arrived in the southern port of San Roque, just over the bay from Gibraltar, at 9:20am.
#openarms pic.twitter.com/zQyuthArC7
— Proactiva Open Arms (@openarms_fund) August 9, 2018
The migrants, nearly all from Sudan including Darfur, had spent 50 hours at sea on board an inflatable boat, without drinking water, and many suffered burns from a mixture of fuel and salt water before they were rescued on August 2nd.
There were 75 men and 12 boys.
The NGO says many of them were ""repeatedly abused in Libya.""
San Roque is where Spain hastily opened a new migrant reception centre as hundreds of migrants make the perilous sea crossing to the southern coast of Andalusia every week.
The new camp at Crinavis, San Roque. Photo: AFP
READ MORE:
EU to grant Spain emergency aid to cope with migrants
FOCUS: Spain under strain with spike in migrant arrivals
Faced with a crackdown by Libyan authorities and Italy's hardline approach to the arrival of migrants, Spain has now become the main destination for those trying to get to Europe from Africa.
More than 23,700 people have arrived in Spain by sea so far this year with 307 dying in the attempt, according to the International Organization for Migration -- more than during all of last year.
The country's new Socialist government has also allowed the docking of three NGO rescue ships since June after Italy and Malta refused access.
In June, the French NGO Aquarius ship, which had picked up 630 stranded migrants off Libya, was allowed to dock in Spain's eastern port of Valencia.
Then on July 4th, Proactiva Open Arms' ship docked in Barcelona with 60 migrants.
This time round though, the Spanish government has said the 87 migrants who have arrived in San Roque will be treated in the same way as the hundreds who arrive every week on Spanish shores.
When the Aquarius docked, Madrid had given each migrant a 45-day residency permit for humanitarian reasons.
Those brought back to Barcelona had also been given special treatment.
READ ALSO: Germany reaches agreement with Spain over returning migrants"
https://www.thelocal.es/20181010/morocco-navy-fires-on-migrant-boat-wounding-one,migrant,345,"
				10 October 2018
				16:33 CEST+02:00			 
					16:33 CEST+02:00				",AFP,Morocco navy fires on migrant boat crossing to Spain,"The Moroccan navy opened fire on a boat transporting migrants from the North African country, wounding one of them, a military source said on Wednesday.
Despite warning shots, ""the motorboat that was carrying 58 migrants hidden under tarpaulin made a hostile move which forced the coastguard to fire at the captain,"" said the source in Rabat who spoke on condition of anonymity.
One of the Moroccan migrants suffered a gunshot wound to the shoulder in the overnight operation to intercept the vessel off the town of Larache, on Morocco's Atlantic coast.
The wounded migrant -- a 16-year-old according to media reports -- was transferred to a hospital in Tangier, the military source told AFP.
The others aboard the boat, including men and women of various ages, were brought ashore and handed over to the security forces, the source said.
More than 43,000 migrants have made it to Spain since the start of the year, including around 38,000 by sea, according to the International Organization for Migration.
Last weekend alone, around 1,800 migrants trying to reach the European Union were rescued in the Mediterranean by the Moroccan navy and Spanish coastguard.
Since Tuesday, the Moroccan navy had come to the aid of 15 inflatable boats carrying 366 migrants after they ran into trouble, the official MAP news agency reported, citing a military source.
The latest shooting was the second of its kind in two weeks.
On September 25th, a Moroccan naval patrol opened fire on a ""go-fast"" speedboat ferrying migrants to Spain, killing a 22-year-old student and wounding three other people.
The authorities said that shooting was also in response to the boat's ""hostile manoeuvres"" and pointed out that the migrants were concealed under tarpaulin.
A growing number of Moroccans are trying to leave their country illegally to reach Europe by sea or by crossing the wire fencing between Morocco and the Spanish enclaves of Ceuta and Melilla in North Africa.
The kingdom is also a transit country for thousands of migrants from sub-Saharan Africa.
READ MORE: Spain and Morocco in talks to repatriate migrant minors"
https://www.thelocal.es/20180907/spain-restores-free-healthcare-for-illegal-migrants,migrant,333,"
				7 September 2018
				10:31 CEST+02:00			 
					10:31 CEST+02:00				",AFP,Spain restores free healthcare for illegal migrants,"Spain's parliament approved Thursday a draft law tabled by the country's new Socialist government which restores free healthcare for undocumented migrants, a right removed in 2012 by the former conservative administration.
While the Socialists have a minority of just 84 seats in the 350-seat assembly, the measure introduced by Prime Minister Pedro Sanchez shortly after he came to power in June passed with 177 votes in favour and 133 against.
It grants undocumented migrants access to public health ""under the same conditions as people who have Spanish nationality.""
Sanchez's conservative predecessor Mariano Rajoy withdrew the right to public healthcare for undocumented migrants in 2012 as part of a programme of spending cuts as Spain grappled with a financial crisis.
Several regional governments responded by giving undocumented migrants access to healthcare and Rajoy's government in 2015 reinstated access to emergency healthcare.
""Health does not know borders, identity papers, or work permits,"" Health Minister Carmen Monton told lawmakers before the measure was voted on.
Sanchez, who came to power after ousting Rajoy in a no-confidence vote, made global headlines in June by offering to take in a rescue ship that was drifting in the Mediterranean sea with 629 migrants on board. Italy and Malta had refused to let it dock.
READ MORE: Spain overtakes Italy as sea route destination for migrants
The law resorting healthcare for undocumented migrants was approved with the support of the coalition of far-left and smaller regional parties which backed the Socialists in their no-confidence vote against Rajoy.
Conservative lawmaker Teresa Angulo accused the government of ""opening wide the doors of Spain to health tourism"".
Parliament also passed a law creating over 300 public jobs aimed at processing migrants and asylum seekers.
Spain has become the main entry point for migrants arriving in Europe, after Italy and Greece. Over 33,000 migrants have arrived in Spain by sea and land so far this year, according to the International Organization for Migration.
READ ALSO: Madrid counts 10,000 unaccompanied minor migrants on Spanish soil"
https://www.thelocal.es/20171229/migrant-arrivals-by-sea-triple-in-spain-in-2017,migrant,694,"
				29 December 2017
				08:20 CET+01:00			 
					08:20 CET+01:00				",AFP/The Local,Migrant arrivals to Spain by sea triple in 2017,"Almost 21,500 migrants arrived on Spain's shores in 2017, triple the amount of the previous year, fuelled by a surge in the numbers of Algerians and Moroccans.
""At the end of the year, the tally is devastating,"" the Spanish Commission for Refugees (CEAR), which defends the right to asylum, said in a statement.
Almost 21,500 people arrived by sea on Spain's southern shores -- popular with northern European tourists -- between January 1 and December 20, up from 6,046 during the same period last year, according to the International Organization for Migration (IOM).
The number of deaths is also up. So far this year 223 people have died or disappeared while trying to reach Spain by boat, 95 more than in 2016.
Most sea arrivals are reported along the Strait of Gibraltar which is the narrowest passage of the Mediterranean Sea separating Spain from Morocco.
Smugglers transport migrants to Spain on rickety wooden boats, inflatable dinghies, and even jet-skis, charging hundreds of euros for the trip.
In August footage of sub-Saharan African migrants arriving by dinghy on a packed beach in Cadiz in the southern region of Andalusia in August during the peak summer holiday season went viral on social media, drawing attention to the rise in migrant numbers.
""We are suffering migratory pressure in the entire Mediterranean area,"" Interior Minister Juan Ignacio Zoido said Thursday in a radio interview.
'Focused on repression'
While migrant arrivals rose in Spain, they fell in Italy and Greece, the primary entry point for migrants in Europe.
Nearly 119,000 migrants have arrived so far this year in Italy, which has put in place more aggressive measures to stem arrivals on its shores, including sending Italian military ships to assist the Libyan coast guard with patrols and interception.
Roughly 28,000 migrants arrived in Greece, where a 2015 European Union deal with Turkey has helped stem the flow of people making the narrow but precarious sea crossing from Turkish shores to outlying Greek islands.
Both countries each received over 170,000 migrants by sea in 2016.
Migrants deaths in attempted crossings of the Mediterranean are down overall even as they rose in Spain.
So far this year 3,116 migrants have died or disappeared while trying to cross the Mediterranean into Europe, down from 4,967 last year, according to the IOM.
The bulk of the migrants who have arrived in Spain in recent years have been from sub-Saharan Africa but this year has seen a rise from people from Morocco and Algeria, organisations that work with migrants said.
The increase in arrivals from Algeria is due to ""the economic situation in the country, which has deteriorated in the last three years"" following a drop in the price of oil, a key export, Carlos Arce of the Human Rights Association of Andalusia (APDHA) told AFP.
Social unrest in northern Morocco's Rif region is behind the rise in arrivals from that country, he added.
Moroccan security have been ""more focused on repression than in controlling the flow of migrants"", Arce said.
Surfboards and jet-skis
Migrant arrivals from Morocco to Spain have risen since June, the United Nations Refugee Agency (UNHCR) said in a report last month.
""Moroccans use all sorts of methods to reach Spain such as jet-skis, surfboards, inflatable dinghies and wooden boats which sometimes transport over 60 people,"" it said.
Spanish authorities have struggled to cope with the surge in migrant arrivals.
The government came under fire from human rights organisations in November after it housed some 500 migrants who arrived in southern Spain, mainly from Algeria, at an unopened prison due to a lack of space at immigration detention centres.
During the last two week ""hundreds of people have been sent back to Algeria"" from the prison, including several minors, according to the director of migrant rights group Malaga Acoge, Alejandro Cortina.
Rights groups have called for migrants to be allowed to wait for the outcome of their asylum bid under more lax conditions, by reporting regularly to police or a court.
But Zoido has argued that there is a risk that the migrants would disappear, causing a ""pull effect"" that would lead smugglers to bring more migrants to the country."
