href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.se/20171102/new-deportation-policy-could-offer-hope-to-those-in-swedens-asylum-limbo,asylum seeker,528,"
				2 November 2017
				08:54 CET+01:00			 
					08:54 CET+01:00				",TT/The Local,Swedish report calls for some failed asylum seekers to get residency,"Some asylum seekers who are turned away by their home countries after having their asylum denied by Sweden should be granted residence permits to avoid years of legal limbo, a new report presented to Sweden's Migration Minister recommends.
People can get stuck for over a decade in legal limbo if their request for asylum is denied by Sweden but their home country refuses to allow them back. The new proposals would help them get a Swedish residence permit more easily in cases where the situation is beyond their control.
The idea is that rather than to wait until asylum seekers are rejected by their home countries once they are deported from Sweden, authorities should grant them Swedish residence permits in cases where it is likely that this will be the case. Authorities could predict this through assessment of the political situation in the country concerned and by looking at previous cases, for example.
READ ALSO: How two rejected asylum seekers spent a month living at a Stockholm airport
""It may include stateless persons, or those from countries where institutions are so weak that it is impossible to get ID and travel documents, so that although the person cooperates, the expulsion decision cannot be carried out,"" Anna Lundberg, the government-appointed minister behind the report, explained.
""For those who are affected, it can mean 10 to 15 years of uncertainty. And should authorities also judge that the person hasn't cooperated, he or she will not be able to work,"" Lundberg said. Speaking to Dagens Nyheter, she noted that this could infringe on their human rights.
According to her predictions, the number of people granted a residence permit wouldn't see a significant increase if her proposals are passed by the government. However. those who are granted permits would receive them much sooner, preventing years of legal limbo which are damaging both to individuals and Swedish society.
Under existing legislation, it is already possible to grant residence permits in case of ""practical barriers"", but Lundberg proposes updating this legislation to be clearer in certain circumstances. Currently permits are only granted ""to a small extent, and the legislation has become more restrictive in its application over the years,"" she said.
READ ALSO: Swedish police face tough task deporting failed asylum seekers
With permits granted earlier on in the process, Lundberg claims ""they will be able to establish themselves in Swedish society instead of becoming paperless and ending up in 'shadow societies'.""
The proposed policy has met mixed reactions in Sweden.
""It is very important that this does not become a way to avoid carrying out difficult deportations. There is a risk of that, and then it suddenly affects a huge number of people,"" said Johan Forssell, migration policy spokesperson for the Moderates.
The Green Party, which has long pushed for action on the issue, welcomed the proposals. ""It probably refers to relatively few people, but they are extremely vulnerable, in a situation where they have very few rights and simply have no chance of influencing their situation,"" said Maria Ferm, MP for Migration Policy.
If the proposals in the report are passed by Swedish parliament, they would come into effect in September 2018."
https://www.thelocal.se/20180608/swedish-parliament-bill-minor-asylum-seekers-school,asylum seeker,377,"
				8 June 2018
				07:02 CEST+02:00			 
					07:02 CEST+02:00				",AFP,Swedish parliament gives 1000s of young asylum seekers a chance to stay,"Sweden's parliament passed a bill on Thursday giving thousands of young asylum seekers a second chance to stay until they complete high school, after the overwhelmed migration agency failed to process their applications before they became adults.
The decision will allow thousands of asylum seekers who were minors when they arrived in Sweden to re-apply for temporary residency. Asylum rules are more favourable for minors.
Because asylum applications can take more than a year on average to process in Sweden, which has taken in more migrants per capita than any other country in Europe, some applicants turn 18 by the time their application is considered.
""We need to take political responsibility. (Asylum seekers) should not be affected because the Swedish authorities haven't managed to process their application on time,"" Maria Ferm, a lawmaker for the Greens, told TT news agency.
Passed with 166 votes against 134 with 48 abstentions, the bill was backed by the minority Social Democrats and Greens government and the Centre party while widely opposed by the conservative Moderates and the far-right Sweden Democrats.
READ ALSO: Swedish media paint unfair image of young refugees, researcher argues
The move exposed a rift within the centre-right Alliance before the September 9th general election in which security and immigration are the two main themes.
""The humane consequences of stopping the proposal would be far too grave,"" Annie Loof, leader of the opposition Centre Party, said in a Facebook post.
The law will enter into force on July 1st. To be considered for temporary residency, asylum seekers must re-apply by the end of September. And it is only valid for those who initially applied no later than November 24th, 2015, when Sweden tightened its asylum rules to deter migrants from travelling to Sweden.
In 2016, the Nordic nation announced it would only grant temporary three-year residence permits and limit the number of refugees who would be allowed to join family members already settled in the country.
The move was heavily criticized by human rights campaigners.
The Scandinavian country has registered 400,000 asylum applications since 2012 -- or one for every 25 inhabitants, a record in Europe -- with a peak of 162,000 applications in 2015.
READ ALSO: How herding endangered goats helps young Afghan asylum seekers in Sweden"
https://www.thelocal.se/20170101/swedens-migration-agency-close-to-clearing-crisis-backlog,asylum seeker,392,"
				1 January 2017
				14:17 CET+01:00			 
					14:17 CET+01:00				",TT/The Local,Sweden rejects less than a quarter of asylum seekers,"Sweden's Migration Agency accepted 77 percent of the record 112,000 asylum claims it processed in 2016, it has revealed in its end of year figures.
The agency processed twice as many decisions in 2016 as it did in 2015, putting on track to clear the backlog built up during Europe's refugee crisis.
Some 17,000 asylum seekers were registered as refugees, 47,000 were given a permit due to ""alternative needs of protection, and 5,880 withdrew their applications.
“We're handling it,” the agency's General Director Mikael Ribbenvik told Sweden's TT newswire after issuing the figures in a press statement. “In the autumn we hit a peak of 14,000 to 15,000 cases a month. But we can't keep up that pace and we don't need to either. We were a bit behind in the autumn and needed to catch up.”
He aims to keep processing 10,000 cases a month up until the summer, allowing him to clear the remaining 70,000 asylum seekers waiting for a decision.
“There's no point in us making decisions if they're not legally sound,"" he said. ""The risk of being tested in court hangs over all our decisions and if we don't handle them carefully we just end up with a court case.”
The number of asylum seekers coming to Sweden dropped to just 29,000 in 2016, down from more than 160,000 in the crisis year of 2015.
According to the Agency, this is partly as a result of Sweden's decision to tighten its rules on family reunion and permanent residency, and partly as a result of a refugee deal struck between the EU and Turkey.
The number of unaccompanied minors seeking asylum in Sweden has dropped the most dramatically, with just 2,200 applications compared to 35,400 in 2015.
“That can be be explained by the fact that children very often lack ID,” Ribbenvik said. “It's now difficult to get through without ID at every border control there is in Europe.”
But while the agency has done a good job speeding up processing times for asylum claims, it has diverted resources away from the processing of permits for work and other permits, leading to frustrating waits for new arrivals in the country.
""An important goal for us in 2017 is to shorten the handling time when it comes to applications for connections, work or studies,"" Ribbenvik said in a press release."
https://www.thelocal.se/20170728/how-two-rejected-asylum-seekers-spent-a-month-living-at-a-stockholm-airport,asylum seeker,763,"
				28 July 2017
				13:51 CEST+02:00			 
					13:51 CEST+02:00				",Karin Nilsson,How two rejected asylum seekers spent a month living at a Stockholm airport,"The operator of Sweden's biggest airport has told The Local about how a man and his mother lived in one of their terminals for a month after having their asylum applications rejected.
Andrey, 24, and his mother left Turkmenistan ten years ago out of fear of the repressive regime. When crossing their home country's border, they had their identification documents taken from them, and were told their Turkmen citizenship had been revoked, Swedish tabloid Expressen reports.
""When we left the country the police said we couldn't come back, and that we'd be punished by death or end up in prison as we're Christians. All our relatives were killed in Turkmenistan,"" Andrey told Expressen.
READ ALSO: Sweden cuts 2017 asylum seeker forecast again, but fewer cases will be processed
When they first arrived in Sweden in 2007, the half-Russian duo were offered jobs in southern Sweden by a Russian man. For two years they worked for the man, until he moved.
In 2009, for the first time since arriving in the Nordic nation they were informed that they could seek asylum from the Migration Agency (Migrationsverket), which they did. But their applications were rejected. They appealed, but lost and were again told they had to leave the country.
In February this year, they were forced to leave their flat in Kiruna, in Sweden's far north, and ended up living on the streets in the freezing cold.
A neighbour eventually helped them buy tickets to Finland, thinking they might be able to get asylum there. But as Finland is also a member of the EU, and as the two had already applied for asylum in Sweden, they were sent back.
After being escorted by Finnish police officers to Stockholm Arlanda, the pair decided the only option was to live in the capital's main airport. As they have refused to cooperate on their return to Turkmenistan, they are no longer entitled to accommodation or daily allowances from Migrationsverket.
""We sit here, day after day, week after week. Some days we don't have anything to eat,"" Andrey told Expressen.
Turkmenistan refuses to allow Andrey and his mother back into the country. As they are Russian speakers, Migrationsverket has also tried deporting the two to Russia.
Swedavia, the company that runs Arlanda and other major airports in Sweden, has tried to help the pair that spent a month living in the airport terminals, according to Adam Ekman, press spokesperson at Swedavia.
""We've been in contact with the authorities and tried to solve this issue, to the extent possible. And we've handed out some food coupons, blankets and fruit,"" Ekman told The Local.
READ ALSO: Stockholm airport gains on rival in busiest airport ranking
Has this ever happened before – that people waiting to be deported end up living at your airport?
""Not as far as I'm aware. It's out of the ordinary for something like this to happen,"" Ekman said.
What's Swedavia's view on this, having people stranded at Arlanda waiting to be deported?
""It's sad and regrettable that people get trapped in this way. In this particular case we feel that we've done as much as we possible can to resolve this situation,"" Ekman said.
Migrationsverket does not comment on individual cases, but Pierre Karatzian at the agency's press office confirmed they are aware of the situation. The reason why Andrey and his mother are not entitled to food or a place to sleep despite being rejected re-entry into Turkmenistan is due to a recent law change.
""The government and the Riksdag decided last year on this new law which meant that people who do not cooperate with their return can lose their right to accommodation and daily allowance. In those cases, where an asylum application has been rejected, you do have the option to appeal, and then a migration court will decide if Migrationsverket's decision was correct,"" Karatzian explained.
READ ALSO: Refugees cycled 250 km to protest against Sweden's new asylum laws
Karatzian stressed, however, that Andrey and his mother are free to leave the airport.
""The fact that these people are at Arlanda, that is something they have chosen for themselves. That's not something we have decided. They're not trapped at the airport, so to speak,"" Karatzian told The Local.
Migrationsverket's figures from January 2016 until now show that 6771 people have had their rights to accommodation and daily allowance revoked. Out of those people, approximately 443 have appealed that decision, according to Karatzian.
Karatzian and Adam Ekman at Swedavia said Andrey and his mother finally left Arlanda this week. Their exact whereabouts are unknown."
https://www.thelocal.se/20180320/shortcomings-in-swedens-treatment-of-asylum-seekers-unicef,asylum seeker,260,"
				20 March 2018
				07:18 CET+01:00			 
					07:18 CET+01:00				",TT/The Local,Shortcomings in Sweden's treatment of asylum seekers: Unicef,"There are shortcomings in how asylum seekers are treated in Sweden, according to a new report by Unicef.
The UN organization says that neither Sweden nor any other Nordic countries are meeting the requirements in the Convention on the Rights of the Child.
It cites the example of children who are taken into care because their parents are judged to be unfit to care for them, but are then later deported with the same parents anyway if their guardians receive a deportation notice.
READ ALSO: Thousands of children disappear in Swedish asylum process
Unicef also criticised the age-assessment process of asylum seekers as inadequate, as well as pointing out that children rarely speak during the asylum process in Sweden, despite the children sometimes themselves having grounds to claim asylum, such as due to the risk of child marriage.
""The report shows that despite Sweden being considered a world leader in children's rights there are major shortcomings when it comes to asylum seeking children and their rights. It can look good on paper, but in reality there are significant weaknesses,"" Unicef Sweden's Christina Heilborn said in a statement..
There are also positive comments about Sweden in the report. In particular the country is cited as a good example in how it gives all children the right to attend school, even during the asylum process.
Healthcare is also highlighted as a good example from Sweden's part, where children in the asylum process have access to it under similar terms to other children.
READ ALSO: Suicide rate higher among refugee youths in Sweden"
https://www.thelocal.se/20170726/sweden-cuts-2017-asylum-seeker-forecast-again-but-fewer-cases-will-be-processed,asylum seeker,174,"
				26 July 2017
				08:39 CEST+02:00			 
					08:39 CEST+02:00				",TT/The Local,"Sweden cuts 2017 asylum seeker forecast again, but fewer cases will be processed","The number of asylum seekers predicted to come to Sweden in 2017 has dropped by 6,700 compared to the last forecast in April.
That's according to the latest forecast by the Swedish Migration Agency (Migrationsverket), which estimates a total of 28,000 people will seek asylum in the country this year, newspaper Dagens Nyheter reports.
In 2016 by contrast 29,000 people sought asylum in Sweden.
Migrationsverket has also changed its target for the number of asylum cases that it expects to process this year, which is now 80,000. That's 15,000 fewer than the April forecast, and 25,000 fewer than a prediction from the start of the year.
READ ALSO: Tightened broder controls and legal changes keep Swedish asylum forecast on course
Standard processing times are now not expected to return until the second half of 2018, instead of late 2017 as was previously suggested.
The long processing times mean that many children have turned 18 during their asylum application period, and that in turn means more are having their application rejected, according to the authority."
https://www.thelocal.se/20161230/asylum-seekers-should-do-more-to-prove-their-identities-swedish-minister,asylum seeker,657,"
				30 December 2016
				08:36 CET+01:00			 
					08:36 CET+01:00				",TT/The Local,Asylum seekers should do more to prove their identities: Swedish minister,"Swedish Interior Minister Anders Ygeman thinks the proof of ID required when submitting an asylum application in the country is too low, and wants to see the standard toughened.
“If you don’t have an identity document, I think the burden has to be placed clearly on the individual to prove their identity,” Ygeman told Swedish news agency TT in an interview.
An inability or unwillingness to show identity documents can hamper the assessment of whether an asylum seeker has grounds for protection, as well as whether they should be returned to their country of origin if the application is rejected.
In 2016 around 60 percent of asylum seekers in Sweden showed some form of identity document early in the asylum process.
“There’s an image which has been spread by traffickers and others that the best situation is to not have an identity, and that you shouldn’t have a passport with you. That’s a false image,” Ygeman noted.
The minister emphasized that according to Swedish and international regulations it should be very difficult for asylum to be granted to anyone who does not help to clarify their identity. And he is critical of how the regulations have been applied so far in Sweden.
“Basically it is the asylum seeker who is responsible for making an identity credible. That has come to be interpreted slightly differently in Swedish law, but it has to be the foundation,” he said.
Sweden's centre-right Moderates have backed Ygeman's call. Moderate migration policy spokesperson Johan Forssell said that his party believes too little responsibility has been placed on the asylum seeker, and the burden of providing proof has been reversed.
“The position is instead that it is the authority tasked with disproving the individual, we have seen that when it comes to determining age,” Forssell noted.
In September, Sweden decided to adopt a new model of medical age assessment for unaccompanied asylum seekers, which will do so by examining teeth and knee joints.
Sweden's Migration Agency (Migrationsverket) and police have suggested to the Swedish government that it should consider granting them new powers to help establish identities.
One proposal is for the police to be able to check telephones and computers to look for evidence of identity, as well as on social media. Being able to body search asylum seekers during the asylum process, as police in Norway can currently do, is another.
But Ygeman emphasized that those proposals are delicate, and that the government must analyze them before taking any position:
“There is a legal problem there because that could involve coercive measures against someone who is not suspected of a crime.""
In a report, the Migration Agency and police highlighted coordination problems such as people being convicted of a crime in Sweden under one identity, but having another identity registered with the Migration Agency.
“That shouldn’t be able to happen. You should only have one identity and that identity should be linked to biometrics like fingerprints,” Ygeman insisted.
Another proposal is for asylum seekers who do not cooperate in clarifying their identity to be made to disclose their whereabouts and have a fixed residence.
“Generally it’s reasonable for you to have a place of residence where you are, and for that to be known to the authorities. That applies to everyone else in society,” Ygeman concluded.
An established identity is a prerequisite if rejected asylum seekers are to be returned to their homeland. The Migration Agency estimates in its most recent prognosis that 88,000 return decisions will be taken during the period 2016-2018, half of which will return voluntarily.
Ygeman thinks it is important for the pace to pick up however, including in forcible returns:
“Primarily it is important to show that you can’t choose for yourself, as well as to encourage people to return voluntarily.""
So far in 2016 around 18,000 asylum seekers have returned to their home countries or another country from Sweden. Of those, 2,400 were returned by force."
https://www.thelocal.se/20170307/sweden-begins-new-asylum-seeker-age-assessment-tests,asylum seeker,200,"
				7 March 2017
				07:28 CET+01:00			 
					07:28 CET+01:00				",TT/The Local,Sweden begins new asylum seeker age assessment tests,"A new method of assessing the age of asylum applicants by examining their teeth and knee joints is now under way in Sweden.
The new system, unveiled in September by the national forensic medicine agency (Rättsmedicinalverket), is designed to make age assessment during the asylum process more accurate.
The Swedish migration authority (Migrationsverket) has previously been criticized for failings in its initial age assessments of applicants, with some municipalities reporting suspected cases of adults being registered as a children and placed into residential care homes for young people or sent to school.
The first cases in which the new method will be used are to be sent from Migrationsverket to Rättsmedicinalverket on Tuesday. From 3,000 to as many as 14,000 lone refugee children and youths are expected to be affected by the new process, according to the migration authority.
The method of medical age assessment to be used consists of taking X-rays of wisdom teeth, and MRI scans of knee joints, which are then analyzed by dentists and radiologists. The first results are expected to be ready within a few weeks.
Over 35,000 asylum applications were made by lone refugee children in Sweden during 2015, followed by 2199 in 2016."
https://www.thelocal.se/20161224/two-per-cent-of-denmark-sweden-ferry-id-rejections-were-asylum-seekers,asylum seeker,482,"
				24 December 2016
				16:29 CET+01:00			 
					16:29 CET+01:00				", The Local,'Two percent' of Denmark-Sweden ferry ID rejections asylum seekers,"Of 10,000 people refused boarding at a passenger ferry that links Denmark and Sweden, only 200 were potential asylum seekers, says the company that runs the ferry.
The Swedish requirement for ID checks at the border between the two countries has resulted in 10,000 people being turned away from the ferry, that connects the Danish town of Helsingør with Helsingborg in Sweden.
Almost all of the rejections were due to normal travellers forgetting to bring their papers, reports Danish broadcaster DR.
ID and border checks were introduced on 4th January this year in an effort to prevent asylum seeker without papers from travelling to Sweden to seek asylum.
Only 200 hundred of the 10,000 recorded refusals during 2016 were potential asylum seekers, according to the report.
""The majority of the people we refuse boarding are Scandinavian citizens, mostly Swedes. We're obviously all used to travelling in a region where mobility is in flow,"" Henrik Rørbæk, administrative director of HH Ferries, told DR.
""It is a big procedure for the sake of relatively small figures. And in general, the flow of asylum seekers up here has not been very great. It also shouldn't be any secret that this is costing us large amounts each month,"" Rørbæk continued.
Rørbæk told DR that the ID checks cost the company three million Swedish kronor ($325,000) every month.
Over three million passengers passed through HH's ID checks in 2016, reports DR.
The company must pay fines of up to 50,000 kronor ($5,400) every time a passenger is stopped by Swedish border control without ID.
""Most people are understanding, but many others blame us for not being able to travel. So if I could have a little Christmas present, it would be that we found more convenient ways in which to maintain the border checks, so that they don't disadvantage individual travellers,"" said Rørbæk.
The director added that his company did not take any political position with regard to the ID checks.
Opposition party Enhedslisten (The Red-Green Alliance) decried the ID checks as a 'waste of resources'.
""These figures show that this border control is a bit silly. It does not stop criminals or asylum seekers, and in practice just cost money and inconveniences people,"" legal spokesperson Pernille Skipper told DR.
But Integration Minister Inger Støjberg told the broadcaster that she was not about to reconsider border control.
""We know that things can change very quickly and that a large number of asylum seekers who possibly want to travel on to Sweden might come here, and get stuck here, so as long as the Swedes maintain their ID checks, I see no reason why we should lift our border control,"" Støjberg said.
Martin Henriksen of the anti-immigration Danish People's Party told DR that if it was up to his party, it would ""always be necessary to show a passport to enter Denmark. Even for people coming from Sweden."""
https://www.thelocal.se/20180514/sweden-based-asylum-seeker-to-remain-in-detention-for-copenhagen-terror-plot,asylum seeker,256,"
				14 May 2018
				15:58 CEST+02:00			 
					15:58 CEST+02:00				",Ritzau/The Local,Sweden-based asylum seeker to remain in detention for Copenhagen terror plot ,"A Syrian man seeking asylum in Sweden and accused of planning a terror attack in Denmark will remain in police custody, the Copenhagen City Court ruled on Monday.
The 31-year-old man was arrested shortly before Christmas for his role in a failed terror plot that was hatched with a 21-year-old Syrian man in November 2016.
According to police, the two men planned to stab people at random in Copenhagen and then detonate one or more bombs in the Danish capital.
Their plan was thwarted when the younger man was stopped attempted to cross the border from Germany to Denmark. The 21-year-old, also a Syrian asylum seeker, was reportedly carrying 17,000 matches, two kitchen knives and six walkie-talkies when the German police arrested him.
The two men were reportedly recruited and brought together by Isis. The younger of the two was convicted by a German court in July 2016, when it was documented that he had declared in writing that he was willing to kill in the name of the terrorist group.
The foiled plot was an apparent suicide mission. When crossing into Denmark, the 21-year-old had no change of clothes and just a small amount of cash. Farewell letters and bomb-making instructions were found in his phone.
The 31-year-old who on Monday had his police custody extended through June 11th has declared himself innocent.
Monday's court proceedings in Copenhagen occurred behind closed doors and prosecutor Sonja Hedegaard was unwilling to provide any additional details about the case, including when the man is expected to face trial."
