href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.se/20180827/sweden-teen-arrested-for-murder-of-eu-migrant,migrant,222,"
				27 August 2018
				15:52 CEST+02:00			 
					15:52 CEST+02:00				",TT/The Local,Jönköping teen arrested for murder of EU migrant,"A teenaged boy was arrested on Monday on suspicion of murdering an EU migrant earlier this month in the Jönköping area, radio station P4 Jönköping reported on Monday.
The male migrant was found dead in a local park earlier this month but it took police a week to determine that a murder had occurred. The police investigation then led to the teenager who was arrested on Monday.
The migrant’s death led to a number of rumours amongst the local youth and numerous video clips of the victim were posted to social media. The migrant, who was in his 50s, reportedly lived in the Huskvarna park where he was found dead.
Police have been in contact with two other boys in connection with the crime. Both are under the age of 15 and one is as young as 13 according to P4 Jönköping. One of the boys is suspected of assaulting the migrant on the same day as the alleged murder while the other is suspected of harassing the victim.
The teenage murder suspect has been assigned a public defender.
Linda Schön of the Prosecution Authority (Åklagarmyndigheten) did not wish to release details of the ongoing investigation.
“In order to ensure that the preliminary investigation can be carried out legally and effectively, we wish to work undisturbed,” she said via a press release."
https://www.thelocal.se/20150527/eu-to-unveil-latest-bid-for-binding-migrant-quotas,migrant,658,"
				27 May 2015
				10:57 CEST+02:00			 
					10:57 CEST+02:00				", The Local,Sweden learns of new EU migrant quota details,"Sweden has been told to help relocate 821 migrants who have arrived in Italy and 548 who have travelled to Greece as part of the European Commission's controversial plans to ensure refugees are spread more evenly across member states.
EU's executive body's plans also include proposals to beef up European border controls, including a military action plan to stop people smugglers and improving ways for qualified immigrant workers to get jobs.
The new mandatory quota system is designed to see most EU member states allocated a set number of asylum seekers based on their population size, economic growth and former engagement with asylum seekers.
It is intended to apply to Syrians and Eritreans who arrived in Italy after April 15th and are deemed to be in need of protection. A further 16,000 migrants who arrived in Greece from the two countries should also be relocated, the EU said.
If the scheme is successful, the 40,000 chosen refugees will over the next two years be relocated to 23 countries named by Brussels and member states will be given €6,000 (55,580 kronor, $6,525) for each person they take in.
Sweden -- which already takes in more asylum seekers per capita than any other EU nation -- has been asked to welcome 821 new migrants from Italy, 3.4 percent of the total, alongside 548 from Greece.
Most EU member states will be legally required to implement the quotas, although they still need to be approved by national ministerial representatives from each country.
The UK is notably absent from the measure, following the British government's vocal opposition to plans to relocate refugees.
This is because -- along with Ireland -- it has a long-standing 'opt-in' right on some EU legislation, which means it is not obliged to participate. Denmark has a similar 'opt-out' right and will also not take part in the quota scheme.
The UK is however included in an additional EU measure to resettle 20,000 refugees from outside Europe, part of a scheme aimed at stopping people taking the dangerous journey across the Mediterranean in order to seek asylum. Sweden has been asked to help 491 people as part of the same measure.
The High Representative for the European Commission, Federica Mogherini, said: ""Two weeks after adopting our Agenda, we present today concrete proposals for its implementation, with one main aim: quickly save lives and provide protection in the EU for people in need, be they at sea, in the EU or in third countries.""
""For this reason, we are intensifying our cooperation with countries of origin and transit and with countries hosting refugees, not only to support asylum and migration capacities, but also to tackle the root causes that force people to escape and migrate: poverty, wars, persecutions, violations of human rights and natural disasters.""
Sweden is one of the most vocal supporters of the new quotas, which are also strongly backed by Germany.
“Our Common European Asylum System is not very common in a situation where a handful of member states are taking the responsibility for over 90 percent of the asylum seekers,” Sweden's justice and migration minister, Morgan Johansson, told The Local last week.
“For the Common European Asylum System to be sustainable in the long run, a more even distribution of asylum seekers within the EU is needed.”
It is estimated that more than 1,800 migrants have died so far in 2015 while making their way to Europe from war-torn nations such as Syria, Iraq and Libya, in packed boats travelling in dangerous conditions.
Sweden's foreign minister, Margot Wallström, recently told The Local that she predicted the Commission's proposals were likely to be “controversial”, but added: “What if we lived in a war zone? We would also want to flee somewhere safe with our children, or try to secure a future elsewhere. It has to do with whether or not we are serious in the EU about our guiding principles – this will affect our credibility.”"
https://www.thelocal.se/20170214/swedens-social-democrats-to-propose-limits-on-migrant-labour,migrant,402,"
				14 February 2017
				17:06 CET+01:00			 
					17:06 CET+01:00				",TT/The Local,Sweden's Social Democrats to propose limits on migrant labour,"Sweden's governing Social Democrats want to make it more difficult for low-paid jobs in the country to be offered to migrant labour from outside of the EU, with the Swedish Trade Union Confederation (LO) backing the proposal. But coalition government partners the Greens disagree.
In 2016 around 3,900 work permits were granted in Sweden for jobs which required no more than a short induction or period of training. A large proportion was in low-skilled agricultural work like berry-picking.
Backed by LO, the Social Democrat leadership now plans on proposing restrictions in the area at its next party conference.
""There are unemployed people in our country who could take these jobs, which don't require higher education or high levels of qualification. It is reasonable that they should get these jobs first,"" Social Democrat PM Stefan Löfven told Swedish news agency TT.
Sweden's current rules for migrant labour were put in place by the previous centre-right Alliance government, and were backed at the time by the Greens, who are now in coalition government with the Social Democrats.
That didn’t help the Green Party's popularity with the blue collar LO unions, but the party does not plan on changing its stance on the matter, regardless of what its Social Democrat partners think.
""No, we have the same position as before. We think that today's rules are valuable and we are of course working in different ways to improve them, prevent people being exploited and improve processing times,"" Green spokesperson Maria Ferm told news agency TT.
PM Löfven insists his party is not trying to appeal to the voters lost to populists with the proposal, and argues that those who are unemployed in Sweden should be prepared to take the available jobs regardless of whether they prefer them or not.
""If you're unemployed in Sweden you must also be ready to take the jobs that there are, that's the rules we have,"" he said.
The centre-right opposition Moderates have questioned how effective limiting foreign workers would be in that regard however.
""The problem isn't that too many people are coming here and picking berries. The big problem is that far too few people who live here are taking the jobs that there are, like for example, picking berries,"" Moderate labour policy spokesperson Elisabeth Svantesson said.
Social Democrat members will decide whether to back the proposal or not at the party's next conference in Gothenburg this April."
https://www.thelocal.se/20111123/37522,migrant,545,"
				23 November 2011
				12:47 CET+01:00			 
					12:47 CET+01:00				",TT/Rebecca Martin,Migrant workers on the rise in Sweden,"The number of people coming to Sweden to work is rising at the same time as the number of refugees coming to the country is falling, according to new figures from Statistics Sweden (Statistiska Centralbyrån, SCB).
The figures show that immigrants coming to Sweden to work has doubled since 2004, to 8,667 in 2010.
This includes those that have become registrered residents in Sweden and have stayed in Sweden for at least a year.
The trend is even more visible looking at the numbers from the Swedish Migration Board (Migrationsverket).
Since the new law came into effect, the agency has granted about 40,000 work permits to non-EU residents, although these figures only show how many permits were granted, not how many immigrants actually arrived in Sweden.
According to former minister for migration, Social Democrat Jan O. Karlsson, immmigration policy in Sweden was long goverened by the country's wish to feel benevolent.
”Only those we pitied were allowed in. It is very much a colonial way of thinking. New and modern immigration policy builds more on a global and reciprocal dependence,” he told daily Dagens Nyheter (DN).
Karlsson is referring to changes to the law on labour migration from 2008, which could be argued to be one of the most generous policies when it comes to granting work permits to residents from outside the EU.
The change to the law meant that a the Swedish National Employment Office (Arbetsförmedlingen) no longer needed to prove there was a need on the Swedish labour force before a non-EU worker could be recruited for a position in Sweden.
Following the change, individual employers are granted the power to determine their staffing needs and meaning that an offer of employment from a Swedish employer can be enough for a non-EU worker to be granted a Swedish work permit.
The permits are limited to time, but can become permanent after four years.
One of the staunchest opposers to the change, the chair of the Swedish Trade Union Confederation (Landsorganisationen, LO), Wanja Lundby Wedin, thinks that the need for workers should be still be determined by the employment agency before non-EU residents are recruited.
”Unemployment within the EU is enormous. The employers' motives in bringing people in from countries outside of the EU, to clean or to work in restaurants, is to get a labour force who will agree to work under terrible condidtions,” she told DN.
However, current minister for migration, Tobias Billström, points out that many areas have had problems with illegal workers for a number of years.
”This law makes it possible for people who want to work to do so legally. Those that are in Sweden under false pretenses can never argue their cause. Someone with a work permit can get help from their union,” he said to the paper.
Nevertheless, the Swedish Migration Board has called for rules governing the granting of work permits to be strengthened to help prevent migrant workers from being taken advantage of by unscrupulous employers.
From mid-January, companies need to be able to show that salaries, insurance and employers' fees have been met and that employers have been infomed of working conditions.
In addition, staffing companies based in countries outside the EU will be required to have a registered subsidiary in Sweden."
https://www.thelocal.se/20180822/sweden-turns-down-migrants-docked-in-italy,migrant,342,"
				22 August 2018
				15:19 CEST+02:00			 
					15:19 CEST+02:00				", The Local,Sweden turns down migrants docked in Italy,"Sweden has refused to take in a group of nearly 200 migrants stuck on a ship in an Italian port.
Italian coastguard ship Diciotti arrived at Sicily late on Monday night after picking up 177 people near the southern Italian island of Lampedusa, including an estimated 30 unaccompanied minors.
The vessel was allowed to dock, but the migrants have been denied permission to disembark.
The country’s hardline interior minister, Matteo Salvini, has threatened to take them to Libya unless other EU countries take them in, despite reports of serious abuse in North African detention camps.
Swedish Prime Minister Stefan Löfven on Wednesday confirmed reports by Swedish public radio that his centre-left coalition government had declined requests to let the migrants on board seek asylum in Sweden.
""Other countries have to step up and show that they want to take responsibility,"" he told newswire TT.
He said Sweden, which received around 163,000 asylum requests in 2015, took on a ""huge responsibility"" at the time but has since tightened its migration policies. By the end of 2018, the Migration Agency expects 23,000 people to have applied for asylum in the Nordic country this year.
Nearly 200 rescued migrants held aboard Italian coastguard ship docked in Sicily https://t.co/zjMYTmFd3f pic.twitter.com/ig2r9FQEqK
— The Local Italy (@TheLocalItaly) August 21, 2018
A spokesperson for the EU's migration commission told Italy's Ansa news agency this week that member states had been approached about the situation and ""we are working to find a solution as soon as possible"".
""The people aboard have suffered abuse, torture [and are] victims of human trafficking,"" commented the spokesperson for the UN's refugee agency in Italy, Carlotta Sami. ""They urgently need assistance and the right to claim asylum. A fundamental right, not a crime.""
According to the latest figures from the UNHCR, the crossing from North Africa to southern Italy is becoming more deadly: more than 1,500 people died making the journey between January and July, or one in every 17 who tried. The death rate tripled this year compared to the same period in 2017."
https://www.thelocal.se/20160129/swedish-police-files-5000-migrant-incidents-sin,migrant,326,"
				29 January 2016
				15:52 CET+01:00			 
					15:52 CET+01:00				", The Local,"Swedish police file 5,000 migrant incidents","Swedish police have had to act on more than 5,000 incidents concerning asylum accommodation and other issues concerning migrants since October, according to figures obtained by a Swedish newspaper.
The Dagens Nyheter newspaper recently revealed that the police have designated a special code, R291, for incidents involving asylum seekers and refugees, allowing them to keep tabs on how last autumn’s record influx of asylum seekers into the country has affected their work.
According to SvD's collation of all R291 cases, police have been called out to no fewer than 559 registered assaults, 450 fights, 194 cases of violent threats, 58 fires, two bomb threats, nine robberies and four rapes, all involving recently arrived asylum seekers.
“The unrest in asylum accommodation is something that requires more and more of us,” Sweden’s police commissioner Dan Eliasson told SvD after the figures were released. “I am concerned about these developments. I fear that there may be even more trouble, I think the trend points in that direction. If we analyze this carefully, there is an increasing problem.”
As well as the violent crimes, there were 37 cases of attempted suicide, 42 cases of people reported as “mentally ill”, 96 missing persons, and three deaths.
Eliasson said the pressure on the Swedish authorities, and the experiences of newly arrived migrants was a recipe for unrest.
“There is a difficult accommodation situation for many people, it’s crowded, some people bring with them the baggage of traumatic events. There can be various disagreements between the groups.”
The the Swedish police’s National Operations Department (NOA) introduced the code in October at the peak of Sweden’s refugee crisis when as many as 10,000 new asylum seekers were registering in the country every week.
At the time police saw a surge in the number of call-outs to crimes of violence, arson and intimidation at asylum centres.
The code coveres all cases “involving migrant situation”, including cases where asylum seekers are victims or perpetrators of crimes."
https://www.thelocal.se/20160209/migrant-attack-plot-leads-to-14-arrests,migrant,357,"
				9 February 2016
				06:50 CET+01:00			 
					06:50 CET+01:00				",TT/AFP/The Local,Polish far-right linked to Sweden 'migrant attack plot',"Police believe the group was planning a violent attack at refugee housing in Nynäshamn, a small town in a rural area south of Stockholm.
Officers rounded up 14 people on Monday night in cars close to the asylum accommodation that is thought to have been the intended target of the plot.
Batons, knives, iron bars and axes were found in the suspects' vehicles.
Hesam Akbari, a spokesperson for Stockholm police, told the TT news agency that members of the group were facing a number of charges.
""The (police) report now concerns three offences. Preparation for aggravated assault, incitement to aggravated assault and incitement to aggravated arson,"" he said.
Police added that all of those arrested were set to be questioned on Tuesday.
""They are Polish citizens and they belong to the far-right sphere,"" police spokesman Lars Alvarsjö told public broadcaster Swedish Radio.
The editor of Swedish anti-racism magazine Expo, Mikael Färnbo, told TT that they have previously observed close links between far-right communities in Sweden and Eastern Europe.
""In general terms alone we can say that we know that there are connections,"" he said.
The Aftonbladet daily reported that some of the suspects were living and working in Sweden.
Last month, dozens of masked men believed to belong to hooligan or neo-Nazi gangs gathered in central Stockholm and distributed leaflets calling for attacks on young migrants.
Three of the 14 men arrested on Monday evening were involved in the January incident, Alvarsjö told AFP.
Nynäshamn, some 60km south of the Swedish capital is a picturesque coastal town that is frequently used as a gateway to Stockholm's archipelago.
Swedish officials recently have called for stepped-up security at asylum accommodation across the country after an employee at a centre for unaccompanied child refugees was fatally stabbed in January.
However news of the alleged plot emerged as police appeared to make efforts to calm far-right sentiment in the country by releasing statistics which suggest that less than one percent of crimes in Sweden are linked to refugees.
Sweden took in a record 163,000 asylum seekers in 2015 and expects to receive around 100,000 more this year, despite tightening its borders."
https://www.thelocal.se/20150831/eu-calls-migrant-crisis-emergency-talks,migrant,389,"
				31 August 2015
				08:16 CEST+02:00			 
					08:16 CEST+02:00				", The Local,EU calls migrant crisis emergency talks,"The European Union has called an emergency meeting of interior and justice ministers in two weeks to find concrete measures to cope with escalating migration.
Luxembourg, which holds the EU's rotating presidency, announced the extraordinary meeting, to be held on September 14th, late on Sunday following a joint call for action by Germany, France and Britain.
“The situation of migration phenomena outside and inside the European Union has recently taken unprecedented proportions,” it said in a statement.
The number of migrants reaching the EU's borders reached nearly 340,000 during the first seven months of the year, up from 123,500 during the same period in 2014, according to the bloc's border agency Frontex.
At least 2,300 migrants have died at sea since January during attempts to reach Europe, almost invariably on overcrowded boats chartered by people smugglers. Just last week, 71 decomposing bodies were discovered in an abandoned truck in Austria -- in a grim reminder of the ruthlessness of human traffickers.
Swedish justice and migration minister Morgan Johansson welcomed the extraordinary meeting and called for joint efforts to tackle the Europe-wide crisis.
“It is an issue which Sweden has been virtually alone in pushing, but it is becoming more and more obvious that it has to happen. I hope more countries realize that,” he told the TT news agency.
The meeting in Brussels is set to discuss international cooperation, measures to prevent trafficking and how to outline a return policy.
READ ALSO: Were human smugglers on board both of death?
Sweden recorded the next biggest number of asylum applications in the EU in 2014 after Germany -- 13 percent, although as a proportion in relation to its population size, the country is shouldering the biggest burden in the bloc.
However there are signs that refugees are starting to shun the Nordic nation as news spreads about long waiting times and cumbersome bureaucracy in Sweden.
A report by Sweden's Migration Board (Migrationsverket) last month suggested that the number of predicted asylum seekers in 2015 would be around 74,000, compared to the 90,000 it suggested in February.
“The processing times are pretty long compared to Germany, which has a fast-track lane...in Sweden it is difficult to get housing and jobs; this affects people's choice of destination country,” Anders Danielsson, head of the Swedish Migration Board, told the TT newswire in July."
https://www.thelocal.se/20180828/homeless-romanian-murdered-in-swedish-park-remembered-as-grateful-and-kind,migrant,450,"
				28 August 2018
				19:54 CEST+02:00			 
					19:54 CEST+02:00				", The Local,Homeless Romanian murdered in Swedish park remembered as ‘grateful and kind’,"The homeless migrant who was murdered earlier this month has been identified as a 48-year-old man from Romania known as ‘Gica’.
Friends of Gica, whose real name was Gheorge Hortolomei-Lupu, are speaking out after a teenage boy was arrested on Monday in connection with his death.
Iréne Linddahl, who works for local aid group Kyrkhjälpen, said she first met Gica four years ago when he came to a party hosted by her group in Huskvarna. He became regularly involved with Kyrkhjälpen’s efforts to help other homeless EU migrants in Sweden.
“He was friendly, grateful and kind,” Linddahl told Aftonbladet. “He lived outdoors and primarily devoted himself to begging.”
Gica’s body was discovered in a Huskvarna park earlier this month but it took police a week to determine that a murder had occurred. The police investigation then led to the teenager who was arrested on Monday. Police have also questioned two other boys in connection with the crime. Both are under the age of 15 and one is as young as 13 according to P4 Jönköping. One of the boys is suspected of assaulting the migrant on the same day as the alleged murder while the other is suspected of harassing the victim.
READ ALSO: Jönköping teen arrested for murder of EU migrant
Videos of the teenagers beating and harassing the 48-year-old were reportedly circulated on social media.
Mikael Good, a volunteer who helped the homeless and other down-on-their-luck people in Huskvarna, also fondly remembered Gica and said he couldn’t think of any reason anyone would want to hurt him.
“I was completely destroyed [by the news]. I cannot understand why anyone would do this to a weak person who couldn’t defend himself,” Good told Aftonbladet.
Both Good and Linddahl said that Gica’s health had taken a serious turn in recent months and that he had lost a great deal of weight and had difficulty getting around.
According to Linddahl, Gica came to Sweden roughly four years ago from a town near Bacau in Romania. He reportedly lost his job at a printing company and got divorced shortly thereafter. This upending of his life led him to leave Romania. He spent time in several other EU countries before settling in Sweden.
""He probably thought people were nice here and that he had found a beautiful spot overlooking the lake and the mountains,"" Good said.
He worked in the Huskvarna area as a fruit picker for awhile before becoming a bottle collector and full-time beggar.
Kyrkhjälpen held a memorial for Gica that was attended by roughly 50 people, including a number of other Romanians and local Huskvarna residents.
The investigation of the teenagers suspected of being involved in Gica’s death is ongoing."
https://www.thelocal.se/20131127/opposition-to-tear-up-migrant-worker-law,migrant,382,"
				27 November 2013
				15:51 CET+01:00			 
					15:51 CET+01:00				",Ann Törnkvist,Swedish opposition to scrap migrant-worker law,"The left-wing opposition stands ready to tear up the controversial Laval Law, which differentiates between domestic and foreign workers, if the Social Democrat party wrests power from the government in next year's elections.
""Swedish collective bargaining agreements should apply in Sweden,"" said party leader Stefan Lövfen on Wednesday at a press conference. ""It does not matter from which country the employee comes from nor where the employer is registered."" The Council of Europe's European Committee on Social Rights (ECSR) slammed Sweden as late as last week for what is known as the Laval Law, stating that it failed to guarantee equal rights for foreign guest workers. The law gets its name from a 2004 union blockade in Stockholm archipelago suburb Vaxholm, where a construction team from Latvian company Laval was building a school. The Social Democrat party and its traditional ally LO, the Swedish Trade Union Confederation, said it was high time to make sure the client has the responsibility for salaries and taxes - and that such a responsibility would extend down the line of subcontractors, no matter how long the list. The conservative Labour Market Minister Elisabeth Svantesson responded to Wednesday's statement from the opposition by dubbing it ""protectionist"". ""Both social democracy and LO are giving voice to protectionism, and want to build a wall to keep out employees from other countries,"" she told the TT news agency. Following the Vaxholm conflict, the Swedish government legislated to make it harder for unions to enforce collective action in the defence of foreign workers' rights. The unions were also told to pay 2.7 million kronor ($392,000) for the Latvian company's subsequent court cases and ""general damages"".
The unions have all along maintained that the reforms restrict the rights to freedom of association and collective bargaining. ""The government believes in The Swedish Model with good conditions for all, but we should not close the doors to people from other countries,"" the labour market minister added. She defended the Laval Law, known as Lex Laval in Sweden, despite last week's critique from the Council of Europe. Svantesson said the law acted as a safeguard to make sure there is worker protection at the same time as allowing the free movement of services and labour. ""That is why Lex Laval exists,"" she said on Wednesday."
