info,author,headline,article_text
"
				22 August 2018
				15:19 CEST+02:00			 
					15:19 CEST+02:00				", The Local,Sweden turns down migrants docked in Italy,"
Sweden has refused to take in a group of nearly 200 migrants stuck on a ship in an Italian port. 

	Italian coastguard ship Diciotti arrived at Sicily late on Monday night after picking up 177 people near the southern Italian island of Lampedusa, including an estimated 30 unaccompanied minors.

	The vessel was allowed to dock, but the migrants have been denied permission to disembark.

	The country’s hardline interior minister, Matteo Salvini, has threatened to take them to Libya unless other EU countries take them in, despite reports of serious abuse in North African detention camps.

	Swedish Prime Minister Stefan Löfven on Wednesday confirmed reports by Swedish public radio that his centre-left coalition government had declined requests to let the migrants on board seek asylum in Sweden.

	""Other countries have to step up and show that they want to take responsibility,"" he told newswire TT.

	He said Sweden, which received around 163,000 asylum requests in 2015, took on a ""huge responsibility"" at the time but has since tightened its migration policies. By the end of 2018, the Migration Agency expects 23,000 people to have applied for asylum in the Nordic country this year.



			Nearly 200 rescued migrants held aboard Italian coastguard ship docked in Sicily https://t.co/zjMYTmFd3f pic.twitter.com/ig2r9FQEqK
		— The Local Italy (@TheLocalItaly) August 21, 2018



	A spokesperson for the EU's migration commission told Italy's Ansa news agency this week that member states had been approached about the situation and ""we are working to find a solution as soon as possible"".

	""The people aboard have suffered abuse, torture [and are] victims of human trafficking,"" commented the spokesperson for the UN's refugee agency in Italy, Carlotta Sami. ""They urgently need assistance and the right to claim asylum. A fundamental right, not a crime.""

	According to the latest figures from the UNHCR, the crossing from North Africa to southern Italy is becoming more deadly: more than 1,500 people died making the journey between January and July, or one in every 17 who tried. The death rate tripled this year compared to the same period in 2017.
"
"
				5 September 2018
				14:50 CEST+02:00			 
					14:50 CEST+02:00				", The Local,Wildfires and migrants: the issues defining the Swedish election,"
OPINION: Anamaria Dutceac Segesten, senior lecturer in European studies at Lund University, examines the issues grabbing headlines ahead of the Swedish election. 

	Sweden is heading for a general election on September 9, with two pressing political issues driving the agenda. But a third, simmering problem could yet define the next parliament.

	More than 50 wildfires raged across Sweden during the summer of 2018 – the warmest summer since 1756. So severe was the problem that the Swedish government had to request help from the EU. The gravity of the situation brought environmental questions to the fore, as the effects of climate change became more tangible than ever.

	All this has provided new impetus to the struggling Green Party which had looked unlikely to secure the four percent of votes needed to secure seats in the national parliament but now looks likely to reach that threshold. A similar turnaround took place in the 1988 election, when a sudden outbreak of seal pest, a contagious disease that kills the young of the species, helped the Greens enter the Riksdag for the first time.

READ ALSO: The Local's coverage of the 2018 summer heatwave

	But the event most defining these elections is the refugee crisis.

	In the autumn of 2015, Sweden opened its doors to asylum seekers from Syria and elsewhere, taking in more than 100,000 people over a period of just a few months. Managing the influx of people proved difficult and the Social Democrat/Green coalition government had to introduce a much stricter version of its asylum policy as a result.

	This effectively closed down Sweden's southern border with Denmark and temporarily suspended the Schengen agreement, which allows free movement through continental Europe. The switch from an open-door policy to a very restrictive approach to asylum, and the poor way in which new arrivals were managed cast a shadow of doubt over the competence of prime minister Stefan Löfven. His Social Democratic Party is now likely to see a significant drop in voter support.

	The refugee crisis has had a major impact on Swedish politics. The Sweden Democrats, a staunchly anti-immigration party, has thrived on migration becoming a major concern for many citizens. Current polls show that the party is projected to win about 20 percent of the vote – its best ever result by a significant margin.

READ ALSO: The Local's coverage of the Swedish election

	However, the crisis has had a far broader affect on political discourse. In February 2013, Tobias Billström, then immigration minister for the Conservative Party, was reprimanded by his party leader for proposing capping the number of non-EU citizens allowed to residency in Sweden. Today, the same Conservative Party, under the new leadership of Ulf Kristersson, has not shied away from proposing a very similar policy.

	The refugee crisis has normalized the topic of immigration management, which has affected the agendas of every political party running in this election. All have been forced to take a position on the subject, which has, in turn, made it a deeply polarizing topic.

	The political field has been divided into those who are in favour of a more generous immigration approach (Social Democrats, the Left, the Greens and the Centre Party) and those who prefer a stricter policy (the Conservatives, the Christian Democrats, the Sweden Democrats and to some extent, the Liberals). Disagreements over immigration may even lead to a split within the centre-right Alliance that held power in two consecutive governments (2006-2010 and 2010-2014), with the Centre Party defecting from the group position to embrace a more restrictive immigration approach.

	While the event of the refugee crisis was the spark that ignited the recent debate on immigration, the topic is connected to longer-term transformations in Swedish society. Political parties are also seeking answers to the difficulties caused by an ageing population, synonymous with a large number of retirees and high demand on the healthcare and elderly-care systems.

	Integrating non-EU migrants into the labour market has been a slow process. And, if you add into the mix the generous welfare benefits traditionally provided by the Swedish state (long parental leave, free education at all levels, subsidised healthcare), the dilemma faced by Swedish politicians is evident. The biggest issue of this (and coming) elections will really be the future of the welfare state. Parties must either find creative solutions to finance public services – or propose cutting some of them.

Anamaria Dutceac Segesten, Senior Lecturer in European Studies, Lund University

This article was originally published on The Conversation. Read the original article.
"
"
				4 September 2018
				07:59 CEST+02:00			 
					07:59 CEST+02:00				", The Local,'Political participation of migrants in Sweden is important for the quality of democracy',"
OPINION: Sweden's democracy is very inclusive – but it relies on people using their right to participate, write Adina Trunk and Lina Antara of Stockholm-based International Institute for Democracy and Electoral Assistance (IDEA). 

	When we arrive home, the steady flow of letters, supermarket ads, bills and newspapers, maybe even a postcard, are a familiar sight. These days, this pile of post is likely to contain a golden ticket to a recurrent event that sometimes gets easily forgotten. This little white, blue and yellow envelope, contains a voting card, and while this is not news to most Swedes, for new Swedish residents it is often a surprising, memorable moment, linked to the virtues of a democracy of their new home, all wrapped up in a letter.

	The cornerstone of democracy is undoubtedly voting. For those born and raised in a democracy, voting constitutes a natural right and responsibility. For those who've never lived in one, it's often an aspiration or a dream. At election time, Sweden stands out as one of the most inclusive countries in the world.

	Here, non-Swedish citizens have the right to both vote and stand as candidates in the regional and municipal elections (but not national elections) if they have legally resided in Sweden for a continuous period of three years. Citizens from other EU countries gain these rights as soon as they are registered in the Swedish population register. The result of this is a great impact politics on the local level. Research from International IDEA shows that in particular, the political participation of migrants and refugees in Sweden is important for (increasing) the quality of democracy.

	Today, approximately 50 countries around the world – ranging from Chile to South Korea, New Zealand and the Netherlands – allow migrants to participate in elections after a certain period of residence. Granting voting rights to migrants is often a controversial issue, given that voting is traditionally linked to citizenship. In the majority of host countries, only certain categories of voters, such as citizens from EU member states, are entitled to vote and usually only in local elections.

	Sweden stands out in that regard given that it has granted voting rights since the 70s to all migrants with three years of residency, regardless of their country of origin.

READ ALSO: How Sweden hopes to get more foreign-born residents voting

	Through these measures, Swedish authorities wanted to enhance the participation and political inclusion of migrants and raise the perception that their voice also mattered. Indeed, recent research by International IDEA has found that voting is an important means of integrating into a host society, educating migrants about their civic responsibilities and preparing future active citizens. It also provides migrants with incentives to learn more about the democratic norms of the host society and motivates them to strengthen their knowledge of the host country's political system.

	Ultimately, political rights can contribute to an increased feeling of belonging and acceptance. Thus, political rights should not only be seen as an end goal, or a reward for successful integration, but as a means in itself. As illustrated in International IDEA's Global State of Democracy report, host countries with inclusive migration policies such as Sweden, are more likely to have a higher quality of democracy, especially when it comes to the aspects of representative government and fundamental rights.

	Some Swedish institutions have taken concrete steps to link theory to practice. To ensure that all eligible voters are aware of the electoral process, migrant voters are targeted through the use of minority languages in voter information campaigns. For instance, in view of the upcoming elections, the Swedish Election Authority provides information on how to vote into 31 languages, including Arabic and Somali.

	Furthermore, any legal resident, including migrants, can join any Swedish political party of their choice, paying just a membership fee. Party membership can be requested through online forms or by visiting the nearest party office in the area. In certain cases, political parties have even adopted voluntary quotas for candidates with non-Nordic immigrant background, with the view to increasing internal diversity and addressing the issue of migrants' underrepresentation in political life.

	Ultimately democracy relies on people, citizens or residents to actively take part in the democratic processes. Whether it's through political party engagement, civil society involvement, debates, articles, manifestations or voting, we all have the responsibility to engage.

	The elections this Sunday are just one important way to contribute, and for many it can be a first important step to integration that started when they found that small, white, blue and yellow envelope waiting for them at home.

Article written by Adina Trunk, special adviser to the Secretary-General at International IDEA, and Lina Antara, programme officer at International IDEA.
"
"
				18 June 2018
				07:44 CEST+02:00			 
					07:44 CEST+02:00				",AFP,"Cricket is booming in Sweden, thanks to migrants","
Wooden bats and red balls are taking over Sweden's fields: cricket is booming in the Scandinavian country thanks to Afghan and Pakistani migrants who've found a way to reconnect with their roots. 

	In a country where ice hockey reigns supreme, cricket was barely seen here ten years ago. But it has exploded in popularity recently and now boasts 65 teams in towns across Sweden.

	""Three or four years ago, we had only 13 clubs in Sweden and the number of players was around 600 or 700,"" said Tariq Zuwak, chairman of the Swedish Cricket Federation.

	With four divisions, the federation now counts more than 2,000 players: half have acquired Swedish citizenship, the other half are still waiting. Just a handful of members were born in Sweden.

	With the visor of his cap shading his eyes from the sun, his face showing signs of exertion after a match, 18-year-old Saeed Ahmed is one of the recently arrived players.

	He began playing cricket as a young boy in his native Afghanistan. Arriving in Sweden in 2015 after a perilous and exhausting journey, signing up with a cricket team was a top priority.

	Ahmed hopes to improve his game even further. On this unusually hot spring day in central Stockholm, he needs just 30 minutes to prove to Under-19s coach David Williman that his hard work is paying off.

INTERVIEW: Meet the Brit bringing cricket to Sweden


Coach David Williman speaks to players. Photo: Jonathan Nackstrand/AFP

	""It was tough,"" admits Ahmed, originally from Jalalabad in eastern Nangarhar province.

	And no wonder: the young Afghan has just played against one of the best known cricket teams in the world: London's Marylebone Cricket Club (MCC) which holds worldwide responsibility for the sport's rules, known as Laws.

	The MCC team is in Sweden to instruct players on the official rules of the game, played by millions of people, predominantly in Britain's former colonies in Asia.

	Facing off against the ""Real Madrid of cricket"", as the Swedes jokingly call MCC on the sidelines, they lose the game but have a blast nonetheless.

	The number of cricket teams in Sweden has more than quadrupled in just a few years, a rise attributed ""mainly to the global situation in recent years,"" Zuwak said.


Photo: Jonathan Nackstrand/AFP

	Sweden has registered around 400,000 asylum applications since 2012 -- with more than one in eight coming from Afghanistan. That represents one application for every 25 inhabitants in the Scandinavian country, a record in Europe. Sweden saw a peak of 162,000 asylum applications in 2015.

	As Sweden grappled with the massive influx, the cricket federation also found itself having to adapt, creating new teams across the country. It also created two new positions, including one dedicated solely to integrating new arrivals into Swedish society.

	Playing cricket is a way for the asylum seekers to clear their thoughts and forget the troubles that hang over them while their asylum applications are being processed.

	""The youngsters miss their families and are worried about their asylum process. But when they play cricket, there is nothing else on their mind than having fun,"" said federation chairman Zuwak.


Photo: Jonathan Nackstrand/AFP

	It's also a way to avoid being brutally cut off from their roots.

	""I've made friends here who also come from Afghanistan,"" said Ahmed, who plays for a team in the suburb of Huddinge, south of Stockholm. The youngster now hopes to take part in the qualifying matches in England in July and August for the Under-19 World Cup.

	Meanwhile, Sweden's national squad, coached since May by former Pakistan cricketer Mohammad Wasim, will this summer play for the second time in the qualifiers for the ICC World T20 -- a shorter and more spectacular version of traditional cricket -- with the hopes of playing against the world's best teams in Australia in 2020.

IN DEPTH: How is Sweden tackling its integration challenge?

By Helene Dauschy
"
"
				31 May 2016
				07:49 CEST+02:00			 
					07:49 CEST+02:00				", The Local,"Fewer than 500 of 163,000 asylum seekers found jobs","
Of almost 163,000 people who applied for asylum in Sweden last year, less than 500 landed a job, according to a report by a Swedish public broadcaster. 

	Using figures from Sweden's employment agency Arbetsförmedlingen and migration authorities Migrationsverket, SVT reported on Tuesday that 494 asylum seekers who arrived in 2015 have managed to find a job to support themselves while waiting for their application to get processed.

	A person who arrives in Sweden with valid identification documents and has applied for asylum is normally allowed to work despite not yet having a work or residence permit, if Migrationsverket grants them an exception.

	Such an exception is called the 'at-und' and usually gets processed automatically, reported SVT. However, only a third of asylum seekers aged 20-64 were given one in a year when Sweden received an unprecedented number of asylum claims.

	“It was an incredible number of people applying for asylum in Sweden and so that we would be able to register all of them, we had to de-prioritize certain tasks, and that was the matter of jobs,” Migrationsverket officer Lisa Bergstrand told SVT.

	The centre-left Social Democrat-Green government wants to hand out mainly temporary residence permits in the next three years, which would step up the pressure on asylum seekers to find work. A permanent permit could be offered after the first expires, if the person is able to support themselves.

	But figures suggest that the gap between Swedes and foreign-born is likely to grow. In April, the unemployment rate among people born in Sweden was at its lowest since before the global financial crisis in 2008, falling to 4.7 percent. The equivalent among residents born abroad was 14.9 percent.

	Long waiting times for residence permits, today up to a year, makes the matter all the more pressing. But Arbetsförmedlingen has little means of supporting asylum seekers looking for work.

	“They may be registered in our database as unemployed, but they are only entitled to basic services, that is using our online services and talking to advisers. But there are no programme-based alternatives, that is no courses and no traineeships,” Fredrik Möller, integration officer at Arbetsförmedlingen, told SVT.

	Meanwhile, other initiatives are slowly emerging in Sweden. Earlier this month The Local wrote about Sana Abdullah, 30, an IT engineer who got a job after only seven months in Sweden through Sync Accelerator, a recruitment agency helping startups connect with asylum seekers. 

	“There are a lot of people coming from Syria who are very talented and have a lot of experience especially in the field of IT. It's good to use these qualifications and it will benefit Sweden too. I know a lot of people who want to work, not just learn the language,” she told The Local at the time.
"
"
				16 February 2018
				13:02 CET+01:00			 
					13:02 CET+01:00				",AFP/The Local,'Stop deporting skilled migrants!' Swedish CEOs say,"
A group of CEOs representing some of Sweden's most prominent companies, including retail giant H&M and telecom equipment maker Ericsson, on Friday slammed the country for deporting a number of highly-skilled workers. 

In a letter published by the financial daily Dagens Industri and signed by around 30 bosses – including H&M CEO Stefan Persson and Ericsson chief executive Börje Ekholm – they write that expulsions of foreign employees ""harm business"" and that ""Swedish companies need to hire globally"".

	""We cannot expect engineers, IT-technicians, and other specialists to leave their countries if they risk expulsion from Sweden for unpredictable reasons,"" they added.

	The migration agency has faced criticism for refusing to extend foreign employees' work permits, leading to expulsion, on controversial grounds.

	Hussein Ismail, a Lebanese engineer at a biotech company that he founded in 2012, is facing deportation along with his wife and children after cutting his own wage for three months in 2015 to help his company survive.

READ ALSO: Why is Sweden deporting its foreign professionals?

	Sweden's strict laws against social dumping stipulate that if a foreign worker receives a salary below a collective agreement, then that employee must be sent back to the country of origin.

	In other cases, the migration agency decided to deport a foreign worker who failed to take the required amount of holiday and because of an administrative error made by an employer.

	The migration agency doesn't comment publicly on individual cases but insists on the respect for the Swedish rule of law when it sends a deportation order.

	Jenny Lindén Urnes, head of a group specializing in steel coatings, said the expulsions are ""an absurd soap opera"" that ""weakens Sweden's competitiveness"".

	And Ericsson CEO Ekholm warned in the letter that if the company ""wants to keep its research activities in Sweden, then economic immigration must operate in a transparent and predictable way"".

Job shortages and unemployed foreigners

	Such complaints may have been heard. In December, the Migration Court of Appeal handed down a ruling aimed at introducing more flexibility in handling the cases.

	""This is still insufficient, put an end to these tragedies and do it now,"" the bosses said in the letter.

	According to Johan Attby, founder of the social network Fishbrain, Stockholm will have to find 60,000 IT professionals by 2020 or risk losing its status as a hub for startups.

	""We have a continued broad job growth and a widespread labour shortage in several professions,"" Annelie Almérus, analyst at the Swedish Public Employment service, said in a report.

	""This provides good job opportunities within a record amount of professions,"" she added.

	The need for engineers, teachers and nurses in Sweden are evident.

	Sweden has received 400,000 asylum applications since 2012, a record per capita in Europe.

	This boost to its ageing population will only bear fruit in the long run: many applicants are still in school and others lack the required skills and qualifications.

	""You need at least a high-school degree to get a long-term establishment in the job market,"" Almérus said.

	Foreign-born residents are five times as likely (20 percent) to be unemployed as those born in the Nordic nation, according to the Statistics Sweden authority.

	The unemployment average was 6.5 percent in January, according to new figures presented by Statistics Sweden on Friday. Starting from May, Sweden's centre-left minority government is to expand subsidized entry-level jobs, a move demanded by employers.
"
"
				16 October 2018
				15:37 CEST+02:00			 
					15:37 CEST+02:00				", The Local,"Debunk: No, Sweden isn't cancelling a Christmas concert because of migrants","
Several international far-right websites claimed that a Swedish Christmas concert had been cancelled in order to avoid offending Muslim migrants. In fact, the cause was a delay on budget and logistics planning from the company behind the event. The Local explores how the story got misrepresented. 

	The O Helga Natt (Oh, Holy Night) event in Örebro, central Sweden, is the country's biggest open air Christmas concert. It has been held since 2001 and broadcast on TV for ten years, but won't be broadcast this year and it's unclear if it will be held at all.

	One extremist far-right website reported that the disruption to the event was ""likely"" to be an example of ""Swedish traditions being suppressed in order not to offend migrants who don't hold Christian beliefs"", without providing any evidence for this claim.

	The column was written under the name 'Emma R' and published on the alt-right website Voice of Europe, before spreading to other far-right sites including the Geller Report and on the alt-right Peter Sweden Twitter account.

	It cited SVT Nyheter Örebro, which published a short article last week about the decision not to broadcast the concert. The article stated that it was unclear whether the event itself would still take place, contrary to Voice of Europe's article which stated the concert had already been ""cancelled"".

	""TV4 is not broadcasting O Helga Natt this year,"" executive producer Karin Dofs confirmed to The Local in a written comment. ""Because it isn't certain that the concert will be staged, we cannot plan for a TV broadcast either.""

	""It is sad that we're losing such a great and long-standing Christmas tradition, but we hope to be able to show O Helga Natt next year again,"" Dofs added.

	""We deal with untrue news being spread by answering questions we get with transparency. The reason why we decided not to broadcast the event is that there are uncertainties about whether the event will actually take place. These uncertainties have nothing to do with the untruths that have appeared in various forums,"" she said, when asked how TV4 reacted to the false reports.

READ ALSO: How a minor traffic incident was reported as 'horror' by international media

	As for the uncertainty over whether the concert will take place, there are a few contributing factors, none of them apparently relating to religion. Firstly, it's important to note that the concert has not been cancelled by ""Sweden"", as stated on the far-right sites, but rather removed from the programming schedule of one TV channel, TV4. 

	In September, Örebrokompaniet – the marketing company for Örebro municipality – announced that it was withdrawing its offer to be a partner of the event and its support of 900,000 kronor. The reason given was that the company organizing the event, Ambitiös, had failed to put forward a detailed budget or event plan.

	""We are not able to wait any longer for information because we need to move on in our planning before Christmas. We are commissioned by the municipality of Örebro to conduct a larger event for Örebro residents over Christmas and so we need to have enough time to find ways to use these resources in another way. Therefore, we are now withdrawing the offer,"" Christer Wilén, CEO of Örebrokompaniet, said in a statement in late September, adding that it was up to Ambitiös, the event's organizers, to let residents know if the event would go ahead. The Local has contacted Wilén for comment.

	Ambitiös took over organization of O Helga Natt after the company previously responsible went bankrupt in 2016, and was acquired by Ambitiös. Davor Dundic, CEO and owner of the latter company, said the strong brand and popularity of O Helga Natt was one of the main reasons for the acquisition, and Dundic was earlier this year nominated for an award as 'Örebro resident of the year' for his role in rescuing the free concert.

	When The Local contacted Ambitiös, we were told no one in the office was available to speak about O Helga Natt and to send an email, which at the time of publication had not received a response. The website for the concert has not been updated since February 2018, and still lists the details for the 2017 event, while several long-term past collaborators, including a producer and director, told SVT that they have also been unable to find up-to-date information on the event's status.



 


					 


						 

						 



				 




View this post on Instagram


				 



						 

						 

						 



						 

						 



						 

						 

						 



#Repost @ateljesusannearvidsson ・・・ Vårt vackra Örebro med O Helga Natt @ateljesusannearvidsson @ohelganatt #jul #örebro

				A post shared by  Sveriges största julkonsert (@ohelganatt) on Dec 27, 2017 at 4:37pm PST





Last year's concert

	In its headline, Voice of Europe wrote: ""Sweden cancels traditional Christmas concert and increases promotions for Islamic events"", implying that funds and time slots set aside for traditional Christmas festivities were being diverted to Islamic cultural events. In fact, Örebrokompaniet has said it still plans to spend the money it had allocated to O Helga Natt on another large-scale Christmas event for the community.

	The Netherlands-based website describes itself as a ""conservative news network"" but most articles have a strong anti-migrant and anti-Islam bias. 

	The article about O Helga Natt concluded with a statement calling on readers to ""start speaking up and to stop accepting the destruction of our culture, counties (sic) and continent NOW"", in a thinly veiled attempt to appeal to far-right, anti-immigration or anti-Muslim sympathizers.

	Journalism professor Christian Christensen highlighted the impact of presenting biased takes on news in order to appeal to certain groups in a tweet:



			Now, which headline will get clicks....?

			“SWEDEN CANCELS CHRISTMAS CONCERT TO APPEASE ISLAMISTS”

			vs.

			“Organizers of one local Christmas concert fail to provide city with budget, calling event into question”
		— Christian Christensen (@ChrChristensen) October 16, 2018



	It's not the first time that Sweden's local Christmas festivities have been falsely reported abroad.

	In 2016, extremist fake news rights reported that the Scandinavian country had issued a ban on Christmas lights for religious reasons and particularly to avoid offending Muslims. The reports came as a surprise to anyone who was actually in Christmas for the festive season, where cities and towns were covered, as usual, in sparkly lights and other festive decorations.

	As with the O Helga Natt reports, that story started with a grain of truth. Transport administration Trafikverket had announced that councils wishing to hang lights on state-owned lampposts had to apply for permission, both for legal and health safety reasons. 
"
"
				8 June 2018
				07:02 CEST+02:00			 
					07:02 CEST+02:00				",AFP,Swedish parliament gives 1000s of young asylum seekers a chance to stay,"
Sweden's parliament passed a bill on Thursday giving thousands of young asylum seekers a second chance to stay until they complete high school, after the overwhelmed migration agency failed to process their applications before they became adults. 

	The decision will allow thousands of asylum seekers who were minors when they arrived in Sweden to re-apply for temporary residency. Asylum rules are more favourable for minors.

	Because asylum applications can take more than a year on average to process in Sweden, which has taken in more migrants per capita than any other country in Europe, some applicants turn 18 by the time their application is considered.

	""We need to take political responsibility. (Asylum seekers) should not be affected because the Swedish authorities haven't managed to process their application on time,"" Maria Ferm, a lawmaker for the Greens, told TT news agency.

	Passed with 166 votes against 134 with 48 abstentions, the bill was backed by the minority Social Democrats and Greens government and the Centre party while widely opposed by the conservative Moderates and the far-right Sweden Democrats.

READ ALSO: Swedish media paint unfair image of young refugees, researcher argues

	The move exposed a rift within the centre-right Alliance before the September 9th general election in which security and immigration are the two main themes.

	""The humane consequences of stopping the proposal would be far too grave,"" Annie Loof, leader of the opposition Centre Party, said in a Facebook post.

	The law will enter into force on July 1st. To be considered for temporary residency, asylum seekers must re-apply by the end of September. And it is only valid for those who initially applied no later than November 24th, 2015, when Sweden tightened its asylum rules to deter migrants from travelling to Sweden.

	In 2016, the Nordic nation announced it would only grant temporary three-year residence permits and limit  the number of refugees who would be allowed to join family members already settled in the country.

	The move was heavily criticized by human rights campaigners.

	The Scandinavian country has registered 400,000 asylum applications since 2012 -- or one for every 25 inhabitants, a record in Europe -- with a peak of 162,000 applications in 2015.

READ ALSO: How herding endangered goats helps young Afghan asylum seekers in Sweden
"
"
				29 April 2015
				07:54 CEST+02:00			 
					07:54 CEST+02:00				", The Local,Begging migrants in Sweden double in year,"
The number of EU migrants living in Sweden and believed to be begging on the country’s streets has more than doubled since last year, to around 4000 people, a new survey suggests. 

	From Vellinge in southern Sweden to Kiruna in the far north, there are now begging EU migrants, mostly from Romania and Bulgaria, across the country.

	According to a survey by Swedish broadcaster SVT, a total of 3,400 to 4,100 were living in Sweden just after Easter. This compares with an estimated 800 to 2,000 reported in a similar study a year ago.

	241 of Sweden’s 290 municipalities responded to a questionnaire sent out by the news network, which suggests that the total number of estimated migrants could be even higher if it were to include responses from the missing regions.

	Martin Valfridsson, Sweden's debut national coordinator for vulnerable EU citizens, who started in the freshly-created post in February, told the broadcaster that its figure sounded “accurate” based on his experiences.

	He has spent the past few weeks meeting municipalities and charities around the country as part of his efforts to better coordinate cooperation between the different groups that are currently providing aid and assistance to poor EU migrants.

READ ALSO: Meet northern Sweden's frozen Roma beggars

	SVT's study suggested that there were now beggars in at least 40 municipalities where there were no migrants from Romania or Bulgaria a year ago, including Arvidsjaur in northern Sweden and Saffle Värmland.

	Sweden's long-term vision is to cut the number of beggars moving to the Nordic nation, while assisting those who have already made the journey. 

	""Beggars cannot uphold the same level of welfare as those who are resident in Sweden, but we should seek to use the resources we have here in the most efficient way to help them as much as possible,"" Valfridsson told The Local earlier this year.

	Most of the beggars are members of the Roma community - one of the EU's largest minority groups - and arrive as EU tourists under the right to Freedom of Movement. Many live in tents or caravans and make a living by asking Swedes for money outside shops and underground stations.

	Sweden and Romania have said they will cooperate and work against fighting poverty within the Roma community, following key talks between ministers from both countries in the Swedish capital earlier in January.

	 

	""Local authorities in Romania and Sweden will cooperate and we will prepare projects to achieve common goals for employment and social welfare in both our countries,"" promised Rovana Plumb, who is Minister for Labour, Family, Social Protection and the Elderly in Romania.
"
"
				16 April 2018
				17:00 CEST+02:00			 
					17:00 CEST+02:00				",Catherine Edwards,'Sweden doesn’t need foreign cleaners': Finance Minister,"
Sweden's Finance Minister said in a newspaper interview that it is time for the country to revisit labour migration policy, and that it should be much tougher for non-EU migrants to move to Sweden for unskilled jobs. 

	""Considering we have lots of new arrivals who need to enter the job market, I don’t see any need for cleaning staff or dish-washers from other continents as labour migrants,"" Finance Minister Magdalena Andersson told Svenska Dagbladet in an interview ahead of Monday’s presentation of the spring budget.

READ ALSO: What Sweden's spring budget means for you

	""Within the areas where Sweden needs skills; doctors for example, or data engineers, there should be good possibilities for labour migration,” the minister said. ""On the other hand, I find it hard to see why we should have the most generous rules in the OECD for unskilled labour migration.""

	Last year, around 15,500 people from non-EU countries received work permits in Sweden. Almost a third of those moved for jobs which required less than tertiary level education, data from the Swedish Migration Agency shows.

	In the first three months of 2018, around one in seven of the work permits granted fell into this category.

	Sweden's existing rules on labour migration, put together by the centre-right Alliance and the Green Party in 2008, state that it falls to employers to determine whether they need foreign workers to fill jobs. Previously this had been decided by assessments of labour shortages from the Swedish Employment Agency and unions.

	Prime Minister Stefan Löfven, who like Andersson is a Social Democrat, has also called for changes to the labour migration rules, saying in a speech last February that jobs requiring little or no education should be filled first and foremost by unemployed people already in Sweden. He echoed this sentiment last week, stating: ""It is unreasonable that thousands of people come to Sweden each year to do jobs that unemployed people in Sweden could do.""

	Although Sweden's unemployment rate is relatively low at 6.2 percent, this is higher than targets set by the government and a long way off Sweden's ambitious goal of achieving the EU's lowest unemployment rate by 2020.

	Both politicians faced criticism from Sweden's other major parties, with Jonas Sjöstedt, the leader of the Left Party, comparing Löfven's comments to the rhetoric of the far-right Sweden Democrats.

	And in response to Andersson's interview, Annie Lööf, who leads the Centre Party, said the Social Democrats ""should be ashamed of the image they're spreading of labour migration which Sweden and Swedish businesses so badly need"".

REVEALED: How many work permits Sweden has granted so far in 2018, and to whom

	 
"
