href,keyword,word_count,info,author,headline,article_text
https://www.thelocal.ch/20180709/swiss-teachers-expect-too-little-of-migrant-children-study,migrant,331,"
				9 July 2018
				16:46 CEST+02:00			 
					16:46 CEST+02:00				", The Local,Swiss teachers expect too little of migrant children: study,"A new study shows that teachers are failing school students with a migrant background by expecting too little of them.
“Those who demand too little of children, demand less and less of them,” said Markus Neuenschwander, author of the SCALA study, which was carried out by University of Applied Sciences and Arts Northwestern's (FHNW).
One of the most surprising findings of the study was that teachers had lower expectations of students with a migrant background even when it came to mathematics, where there is no real different in terms of results achieved compared to students without that background.
Read also: Swiss primary school adopts 'simplified German' to communicate with parents
In German classes, where a difference in results could be expected, teachers' expectations of migrant children were even lower.
Neuenschwander said the survey-based results meant a vicious circle: teachers' prejudices were confirmed.
“The difference in performance between migrants and non-migrants gets larger during their school career,” he told Swiss weekly NZZ am Sonntag.
The study's also results confirm the findings of research carried out overseas.
“Lower expectations lead to lower performance,” said University of Zurich education researcher Katharina Maag.
For Neuenschwander, the results of the study are clear: teachers need further education designed to question their preconceptions of migrant children.
“Most of them are not aware that they have prejudices,” he said.
A study of 15,000 students published late last year showed children of immigrants in Switzerland are more likely to fail when they start senior high school or vocational training because their parents don't know the Swiss system very well.
According to the study undertaken by the universities of Zurich and Bern, a huge 46 percent of teens born to immigrant parents fall behind after age 15. Either they drop out of continuing education, are forced to retake a year or take a gap year. That compares with just 31 percent of children born to Swiss parents.
Read also: Politician offers kids 2,000 Swiss sausages after outcry over pork-free lunch"
https://www.thelocal.ch/20180222/immigration-amnesty-international-slams-switzerlands-tough-stance-on-migrants,migrant,503,"
				22 February 2018
				10:23 CET+01:00			 
					10:23 CET+01:00				", The Local,Switzerland’s tough stance on migrants criticized by Amnesty International,"Switzerland has been taken to task by the human rights group Amnesty International for its tough treatment of asylum seekers and migrants.
The country was violating international legal principles by returning migrants and asylum seekers with rejected asylum claims to countries where they are in danger of persecution, Amnesty said in its annual report published on Thursday.
The human rights group cited the examples ""of people with failed asylum claims or undocumented migrants"" being sent back to countries including Sri Lanka, Turkey and Sudan where they were at risk of ""serious human rights"" violations.
In its report into the state of human rights in 159 countries around the world, Amnesty also said concerns remained “regarding the use of disproportionate force during the deportation of migrants” while several asylum seekers had been returned to other Schengen countries under the Dublin regulation ""without duly taking into account their family ties in Switzerland"".
According to EU rules enshrined in the Dublin Convention, their applications for asylum should therefore be processed in the first EU country in which they arrive.
Amnesty International also expressed concerns over a highly-controversial initiative put forward for referendum by the right-wing Swiss People’s Party which calls for Swiss law to be given primacy over international law and would see Switzerland renegotiating or even renouncing international treaties, including those on human rights, if necessary.
The ‘Swiss law instead of foreign judges (initiative for self-determination)' has been heavily criticised by the Swiss government who say it would seriously threaten the country’s stability.
No date has been set for the vote.
Geneva Papyrus project
In related news, the first round of results of a pilot project being run in Geneva with the aim of ""regularizing"" the position of the city’s many undocumented workers has been cautiously welcomed by the State Secretary for Migration Mario Gattiker.
The so-called ‘Papyrus’ project – developed in secret in agreement with federal Swiss authorities in what Geneva's economy minister Pierre Maudet described as a bid to “lift institutional hypocrisy and put an end to the exploitation of people without papers” – has seen 1,093 obtain legal paperwork, Geneva daily the Tribune de Genève reported on Tuesday.
A total of 81 percent of those people are from Latin America with many working as nannies or cleaners.
""I agree that a solution needs to found for these people. The Geneva experience is interesting but I am waiting on the final evaluation,"" state migration secretary Gattiker said after the preliminary figures were released.
The Papyrus project is to run until the end of 2018 with some 2,200 to 2,500 people expected to benefit from the scheme. Conditions are strict. Applicants must be financially independent and have no criminal record. In addition, applicants with families must have lived in the canton of Geneva for five years, while that figure is 10 years for singles. A good level of French is also a condition.
Recent figures from the State Secretariat for Migration (SEM) suggest there are 13,000 undocumented workers in Geneva and 73,000 in Switzerland."
https://www.thelocal.ch/20160421/swiss-army-ready-to-act-in-worst-case-migrant-scenario,migrant,263,"
				21 April 2016
				08:26 CEST+02:00			 
					08:26 CEST+02:00				",AFP/The Local,Swiss army ready to act in worst case migrant scenario,"Switzerland has said it is ready to mobilize up to 2,000 soldiers at border crossings should migrants continue to arrive into the country.
Swiss federal authorities said they have drawn up three separate scenarios ranging from 10,000 arrivals inside a month to a worst case of 30,000 inside a few days.
The latter ""would necessitate army intervention,"" the government said.
In a statement on Wednesday the government said it had tasked the defence ministry with putting 2,000 troops on standby for such an eventuality.
The plans, agreed last Thursday, aim to coordinate state, cantonal and communal response in the event of a large influx of people.
While the government noted that for the moment no such military intervention is necessary, it said it wanted to be able to react quickly.
Given the current shifting state of migratory routes ""Switzerland could be faced in the coming weeks or months by an influx of people seeking protection,"" it told AFP.
During the Kosovo crisis in 1999 Switzerland received 9,600 asylum applications in a single month, it said.
The number of people requesting asylum in Switzerland has dropped in recent months, according to latest figures, however the Swiss federal migration office (SEM) said the situation in Europe was still ""volatile"" and it could envisage the number of asylum seekers to Switzerland rising again during the course of the year.
Under the emergency plans up to 9,000 beds would be made available for migrants under scenario three.
The SEM has already increased the number of places available from 2,200 to 4,600 over the past year, it said."
https://www.thelocal.ch/20160706/migrant-busted-trying-to-sneak-to-switzerland-in-suitcase,migrant,186,"
				6 July 2016
				10:25 CEST+02:00			 
					10:25 CEST+02:00				",The Local,Migrant busted trying to sneak into Switzerland in a suitcase,"Border guards at a Swiss train station were shocked to find an Eritrean migrant trying to sneak into the country from Italy crammed inside a suitcase.
The 21-year-old migrant lacked the correct papers to leave Italy and had been smuggled onto a Switzerland-bound train at Milan's Central station by a friend who was travelling legally.
Once the train reached Chiasso, a town just over the Swiss-Italian border in the southern canton of Ticino, guards boarded the train to carry out checks.
But their suspicion was quickly aroused by the strange shape and extreme weight of the suitcase, which was removed from the train.
Guards placed the luggage on the platform, at which point the young migrant-contortionist calmly emerged. A video below, uploaded to YouTube on Monday, shows the feat.
The trick did little to impress border guards however, and the migrant and his friend were immediately sent back to Italy.
The young Eritrean is not alone in attempting to make it out of Italy, where refugees and migrants are often forced to wait up to two years to receive documents that will allow them to work."
https://www.thelocal.ch/20180423/swiss-activists-held-in-france-for-helping-migrants-cross-alps,migrant,326,"
				23 April 2018
				19:24 CEST+02:00			 
					19:24 CEST+02:00				",AFP,Swiss activists held in France for helping migrants cross Alps,"Four Italians and two Swiss activists were taken into custody in France on Monday for helping a group of
migrants cross over from Italy via the Alps, prosecutors said.
The prosecutor's office in the Alpine town of Gap told AFP the six were detained for ""helping illegal immigrants enter national territory"".
Read also: Switzerland's tough stance on migrants criticised by Amnesty International
The group are accused of helping around 30 migrants cross into France via the Montgenevre Pass on Sunday when around a hundred activists, most of them French and Italian, crossed the border with the group.
The activists and migrants clashed briefly with security forces at the ski station before making it to a migrant aid centre in the nearby French town of Briançon.
The incident came after far-right activists from the pan-European movement Generation Identity blocked the nearby Echelle pass in protest at the rise in migrant crossings of the Alps, as other routes around Europe have been shut down.
The group unveiled a massive banner on the mountain reading ""Closed border, you will not make Europe home! No way. Back to your homeland!""
Fasci buffoni #noborders #BriserLesFrontieres pic.twitter.com/4659fcuVgC
— Davide Gastaldo (@davidegastaldo) April 22, 2018
Thousands of young men from francophone west Africa have trudged across the mountains over the past two years, dreaming of jobs in France.
Interior Minister Gerard Collomb said both ""far left and far right"" groups were responsible for ""unacceptable action"" on the mountain, hours before lawmakers passed a controversial new immigration law.
Read also: Human traffickers prey on migrants and rescuers alike in French Alps
The law offers more help to those granted refugee status in integrating in France, but also makes it easier to deport those rejected as ""economic"" migrants.
Rights groups object to provisions that allow failed asylum-seekers to be detained for up to 90 days pending deportation and a reduction of the time in which people can appeal a rejected claim to just two weeks."
https://www.thelocal.ch/20150506/switzerland-backs-shared-migrant-responsibility,migrant,271,"
				6 May 2015
				18:40 CEST+02:00			 
					18:40 CEST+02:00				",AFP,Swiss back shared migrant responsibility,"Switzerland said on Wednesday it would be willing to adopt an EU migration proposal currently being debated by Brussels for the even geographical distribution of asylum seekers across Europe.
""It is high time for Europe to have a distribution ratio based on solidarity,"" President Simonetta Sommaruga said during a meeting with her Austrian counterpart, Heinz Fischer, in Vienna.
""Switzerland will join it.""
Sommaruga added that ""more can be done"" for the thousands of refugees trying to reach Europe's southern shores by boat.
Both Switzerland and Austria insisted the influx of migrants should not be borne alone by the countries where they first arrive — Italy, Malta, Cyprus and Greece.
Sommaruga said Switzerland had already decided to take in another 3,000 Syrian refugees in addition to the 10,000 already in the country.
""There is no national solution,"" she said.
""We need European answers.""
A non-member of the EU, Switzerland is nevertheless part of the Schengen agreement, which enables the free movement of people between a large number of European countries.
The death of more than 1,200 illegal migrants in the Mediterranean last month has sparked strong debate among European nations on how to deal with the situation.
The European Commission, the EU executive, is due on May 13th to present a migration policy that will include proposals to make legal economic immigration to the EU easier, and to set refugee quotas for all member states.
It will go before EU heads of government and heads of state at their June 25th-26th summit.
The last attempt to change the rules, in 2013, failed when 24 of the 28 EU member states voted against."
https://www.thelocal.ch/20150901/mediterranean-migrant-count-continues-to-rise,migrant,152,"
				1 September 2015
				16:03 CEST+02:00			 
					16:03 CEST+02:00				",AFP,Mediterranean migrant count continues to rise,"More than 350,000 migrants have risked their
lives crossing the Mediterranean this year, and some 2,600 have died while making the perilous journey to Europe, the Geneva-based International Organization for Migration said on Tuesday.
The latest figures from IOM show that 234,778 migrants had landed in Greece and another 114,276 in Italy, with most of the other arrivals split between Spain (2,166) and the island of Malta (94).
The figure from 2015 already dwarfs that of 2014, when 219,000 made the crossing throughout the entire year.
The majority of arrivals in Greece were Syrians fleeing the country's protracted civil war, while Eritreans topped the list of migrants who have landed in Italy.
Aside from deaths among those trying to reach Europe by crossing the Mediterranean, IOM noted that another 1,000 people had lost their lives this year along various other migration routes, including the Sahara desert and
South Asia's Bay of Bengal."
https://www.thelocal.ch/20150804/mediterranean-migrant-death-toll-rises-above-2000,migrant,659,"
				4 August 2015
				19:20 CEST+02:00			 
					19:20 CEST+02:00				",AFP,"Med migrant death toll 'rises above 2,000'","More than 2,000 people have died trying to cross the Mediterranean Sea to Europe this year, data released in Geneva showed on Tuesday, bearing testimony to migrants' increasingly desperate attempts to reach the continent.
""Unfortunately, we have now reached a milestone whereby over 2,000 migrants and refugees have died as of this past weekend,"" International Organization for Migration spokesman Itayi Virri told reporters in the Swiss city.
The organization said around 188,000 people had been rescued so far this year trying to cross the Mediterranean, and warned the 200,000-mark could be crossed by the end of the week.
IOM said the latest toll confirms ""this route as the deadliest for migrants in search of a better life,"" and warned the situation was worsening.
Up until the end of July last year, more than 1,600 migrants perished trying to make the journey, with 3,279 dying throughout the whole of 2014.
Nearly all of the people crossing the Mediterranean so far this year, often in rickety boats and at the mercy of human traffickers, have landed either in Italy (97,000) or Greece (90,500), the IOM said.
Virri said the so-called central Mediterranean route had proved by far the deadliest, with just over 1,930 people dying trying to cross from Libya to Italy so far this year, while only about 60 had died trying to reach Greece.
The eastern route is shorter and IOM said that traffickers taking people to Italy tended to use more unseaworthy vessels, leading to the higher death toll.
Nineteen people lost their lives in the Channel of Sicily last week alone, with the bodies of 14 migrants brought to the Sicilian port of Messina on July 29th.
They had been travelling with 456 others who were rescued.
And on Monday, 550 migrants rescued in the Mediterranean over the weekend arrived in Sicily aboard a ship operated by Doctors Without Borders (MSF), which also carried the bodies of five people who died at sea.
The victims, four women and one man, were found dead on a boat that was rescued on Saturday with 112 people on board, and appeared to have died of dehydration.
Tragic milestone
While lamenting the tragic milestone of more than 2,000 deaths, Virri pointed out that increased European Union efforts since April to rescue migrants at sea meant ""a lot of people have been saved who otherwise would have lost their lives.""
Many of those risking their lives to cross the Mediterranean travel on to other European countries, with a number of them setting their sights on Britain, which along with France is grappling with a migrant crisis of its own.
The migrant crisis in the northern French port of Calais has hit the headlines in the past week, with hundreds of people desperate to reach Britain making attempt after attempt to breach Eurotunnel defences, some paying for it with their lives.
Last week, a Sudanese man in his 30s died, apparently crushed to death by a lorry, and at least 10 people have been killed since June trying to get through the Channel Tunnel to Britain where many already have family and work is perceived as easier to find.
Police said some 600 attempts were made to get into the tunnel from the Calais side overnight to Tuesday, and around 1,700 attempts were made the night before.
Between 3,000 and 5,000 migrants are meanwhile reported to be camped out in Calais waiting for a chance to cross to Britain, and IOM on Tuesday urged Europe to seek broader, long-term measures to address the wider migrant crisis affecting the continent.
It cautioned that ""stop-gap measures such as fences and barriers being planned or erected in the EU"", including at Calais, would not stop irregular migration but would put vulnerable migrants more at risk of falling prey to smugglers.
""Europe has a moral and a historic responsibility to respond in a humanitarian way,"" IOM regional director for the EU Eugenio Ambrosi said in a statement."
https://www.thelocal.ch/20151222/migrant-count-in-europe-tops-million-un,migrant,353,"
				22 December 2015
				13:52 CET+01:00			 
					13:52 CET+01:00				",AFP,Migrant count in Europe tops million: UN agency,"More than one million migrants and refugees
reached Europe this year, including over 970,000 who made the dangerous journey across the Mediterranean, the Geneva-based UN refugee agency said on Tuesday.
The new figures, jointly released by the UNHCR and the International Organization for Migration (IOM), listed migrant arrivals in six European countries since January 1st, with the vast majority of people — 821,008 — landing in Greece.
A total of 3,692 migrants died or disappeared crossing the sea, IOM said.
""The number of people displaced by war and conflict is the highest seen in Western and Central Europe since the 1990s,"" the UNHCR said, referring to the conflicts in the former Yugoslavia that decade.
Half of those who made it to Europe this year were Syrians fleeing their country's brutal civil war, the UNHCR said, underscoring the conflict's dominant role in fuelling Europe's migrant crisis.
Afghans made up 20 percent of the group, while seven percent of arrivals were Iraqis.
After Greece, Italy received the second highest number of migrants, with 150,317 people reaching its territory this year, all by sea.
This marked a slight declined from 2014, when 170,000 people landed in Italy after crossing the Mediterranean from North Africa.
Rounding out the group of European countries that saw migrant arrivals in 2015 was Bulgaria (29,959), Spain (3,845), Cyprus (269) and Malta (106).
""We know migration is inevitable, it's necessary and it's desirable,"" said IOM chief William Lacy Swing,
""But it's not enough to count the number of those arriving . . . we must also act,"" he added, calling for ""legal, safe and secure"" migration for those forced to leave their home country.
The total number of arrivals by sea in 2014 was about 219,000, according to the UN.
Reflecting on the last 12 months, the UNHCR criticized the ""initial chaotic reaction"" in parts of Europe to the flood of migrants, but applauded signs that a more coordinated response was now emerging.
But a unified EU position remains elusive, with Hungary and Slovakia having made threats of legal action against the bloc's controversial plan to distribute 160,000 refugees across the bloc."
https://www.thelocal.ch/20170926/hundreds-of-young-asylum-seekers-choose-to-disappear-in-switzerland,migrant,399,"
				26 September 2017
				10:46 CEST+02:00			 
					10:46 CEST+02:00				", The Local,Hundreds of young asylum seekers choose to disappear in Switzerland,"More than 500 underage asylum seekers went missing in Switzerland in 2016, a huge rise on the previous year's tally of 94, according to official statistics reported by RTS.
In total, around 5,000 unaccompanied migrants aged under 18 at the time of arrival currently live in Switzerland, said the broadcaster, quoting the Swiss migration office (SEM).
However after saying they want to claim asylum, many then flee the official reception centres and disappear from the authorities' radar.
In total 539 young migrants went missing in 2016 – a figure that includes 81 who were aged over 18 but who are counted as minors because they claimed asylum when they were under 18.
The vast majority – 324 – were aged 16-17, while 134 were in the age bracket 6-15.
So far this year 310 minors have dropped off the SEM's radar.
Speaking to the broadcaster, Valentina Darbellay of Swiss child aid agency Terre des hommes said many of these young people risked ending up victims of trafficking or as delinquents.
Reporting practices vary from canton to canton, meaning young migrants are not always reported missing as non-migrant children would be, she said, adding that this discrimination was “shocking”.
Lukas Rieder, a spokesman for the SEM, recognized that young migrants going missing was a problem, but said the elevated numbers last year were proportional to the number of young asylum seekers now living in Switzerland.
The SEM intends to work with the canton of “harmonize” practices across the country, he told RTS.
The issue does not only concern the underage.
Last September the SEM confirmed that in the previous three months between 20 and 40 percent of asylum seekers had fled reception centres after claiming asylum.
A report in the media suggested that in some areas of the country up to 90 percent of asylum seekers flee while awaiting the outcome of their application.
The SEM said at the time that most of those who disappear from Swiss reception centres are thought to be heading for Germany.
As a result, there's nothing to suggest that there are more illegals living in Switzerland.
Under the rules of the Dublin agreement, refugees are only allowed to enter Switzerland if they say they want to claim asylum here.
Anyone who does not state their intention to claim asylum in Switzerland is refused entry and must return to the first European country they entered."
